mean_tr,wb_trans,eccen,height,blackpix,area,blackand,p_and,p_black,lenght,target
1.31,39,3.375,8,51,216,148,0.685,0.236,27,1
1.28,50,5.429,7,64,266,192,0.721,0.24,38,1
1.28,60,5.429,7,77,266,249,0.937,0.29,38,1
1.38,826,58.778,9,1142,4788,3987,0.831,0.238,532,1
1.71,246,21.714,7,420,1057,1054,0.996,0.396,151,1
3.03,106,5.923,13,319,1001,565,0.564,0.318,77,1
2.67,42,3.778,9,112,306,306,1,0.366,34,1
1.39,24,2.286,7,33,112,86,0.768,0.295,16,1
1.91,116,7.9,10,222,790,702,0.889,0.282,79,1
2.43,135,11.889,9,328,963,667,0.693,0.341,107,1
1.4,20,1.375,8,28,88,88,1,0.318,11,1
1.47,19,2.375,8,28,152,129,0.849,0.184,19,1
2.12,26,4.667,6,55,168,99,0.589,0.327,28,1
1.54,13,1.667,6,20,60,45,0.75,0.333,10,1
1.93,129,16.833,6,249,606,531,0.876,0.411,101,1
1.83,12,1,8,22,64,59,0.922,0.344,8,1
70,1,70,1,70,70,70,1,1,70,2
2.05,96,21.667,6,197,780,412,0.528,0.253,130,1
5.09,530,27.438,16,2696,7024,5084,0.724,0.384,439,1
1.24,221,24.375,8,273,1560,1506,0.965,0.175,195,1
1.76,21,3,6,37,108,100,0.926,0.343,18,1
1.92,78,19.8,5,150,495,366,0.739,0.303,99,1
8.07,14,2.222,9,113,180,154,0.856,0.628,20,1
5.86,70,5.917,12,410,852,645,0.757,0.481,71,1
1.7,186,11.6,10,317,1160,925,0.797,0.273,116,1
2.33,3,1.25,4,7,20,16,0.8,0.35,5,5
1.48,227,30.667,6,336,1104,830,0.752,0.305,184,1
1.43,37,6.667,6,53,240,149,0.621,0.221,40,1
1.67,13,1.286,7,22,63,43,0.683,0.349,9,1
2.07,84,7.75,8,174,496,470,0.948,0.351,62,1
1.74,278,21.889,9,485,1773,1240,0.699,0.274,197,1
24.88,24,268.5,2,597,1074,704,0.655,0.556,537,2
1.94,77,8.429,7,149,413,355,0.857,0.36,59,1
2.08,12,0.875,8,25,56,56,1,0.446,7,1
2.27,52,3.6,10,118,360,256,0.711,0.328,36,1
11,1,0.222,9,11,18,13,0.722,0.611,2,4
1.59,151,11.9,10,240,1190,1002,0.842,0.202,119,1
2.3,30,2.3,10,69,230,205,0.891,0.299,23,1
2.42,48,4.143,7,116,203,199,0.98,0.57,29,1
6.22,129,11.556,9,808,927,1081,0.117,0.872,103,1
1.35,113,9.75,8,152,624,465,0.745,0.244,78,1
1.8,205,14.4,10,368,1440,900,0.625,0.256,144,1
1.28,260,74.429,7,333,3647,1409,0.386,0.091,521,1
3,7,0.625,8,21,40,40,1,0.525,5,1
3.87,47,3.083,12,182,444,332,0.748,0.41,37,1
4.79,398,28.385,13,1906,4797,3176,0.662,0.397,369,1
24.36,25,268,2,609,1072,737,0.688,0.568,536,2
6,12,1.857,7,72,91,89,0.978,0.791,13,1
1.81,358,21.75,12,649,3132,1768,0.564,0.207,261,1
1.39,79,18.8,5,110,470,397,0.845,0.234,94,1
1.4,378,34,9,530,2754,2069,0.751,0.192,306,1
1.38,60,21.833,6,83,786,370,0.471,0.106,131,1
1.39,135,11,9,187,891,693,0.778,0.21,99,1
1.58,309,29.125,8,488,1864,1562,0.838,0.262,233,1
1.82,217,18.778,9,396,1521,942,0.619,0.26,169,1
2.02,125,9.111,9,253,738,674,0.913,0.343,82,1
1.21,19,1.571,7,23,77,77,1,0.299,11,1
2.4,45,3.222,9,108,261,252,0.966,0.414,29,1
2.99,101,5.583,12,302,804,604,0.751,0.376,67,1
1.26,182,30.125,8,230,1928,960,0.498,0.119,241,1
1.6,15,2.143,7,24,105,93,0.886,0.229,15,1
1.83,6,36,1,11,36,36,1,0.306,36,2
4.5,4,31.5,2,18,126,64,0.508,0.143,63,2
1.4,36,3.714,7,50,182,166,0.912,0.275,26,1
1.64,11,1.571,7,18,77,72,0.935,0.234,11,1
2.34,35,3,9,82,243,209,0.861,0.337,27,1
2.78,227,13.727,11,632,1670,1247,0.747,0.379,152,1
1.23,62,5,8,76,320,279,0.872,0.238,40,1
3.75,12,73,1,45,73,73,1,0.616,73,2
1.91,111,9.222,9,212,747,634,0.849,0.284,83,1
1.83,103,9.333,9,189,756,722,0.955,0.25,84,1
1.57,21,2.333,6,33,84,76,0.905,0.393,14,1
1.29,38,4.667,6,49,168,147,0.875,0.292,28,1
2.42,267,18.6,10,645,1860,1434,0.771,0.347,186,1
2.45,11,1.286,7,27,63,43,0.683,0.429,9,1
1.86,95,8.875,8,177,568,492,0.866,0.312,71,1
1.54,58,5.222,9,89,423,302,0.714,0.211,47,1
1.66,145,15.75,8,240,1008,698,0.692,0.238,126,1
2.18,38,0.167,42,83,294,127,0.432,0.282,7,4
2.45,107,10.25,8,262,656,624,0.951,0.4,82,1
1.4,45,14,5,63,350,146,0.417,0.18,70,1
10,1,0.1,10,10,10,10,1,1,1,4
1.94,77,9,7,149,441,415,0.941,0.338,63,1
2.78,49,3.091,11,136,374,240,0.642,0.364,34,1
1.83,12,1,8,22,64,52,0.813,0.344,8,1
1.30,16,1,9,21,81,71,0.877,0.259,9,1
1.34,186,14.667,9,249,1188,874,0.737,0.209,132,1
1.35,24,3.333,6,32,120,96,0.8,0.267,20,1
1.85,26,2.714,7,48,133,129,0.97,0.361,19,1
1.31,29,2.1,10,38,210,172,0.819,0.181,21,1
1.76,218,16.667,9,384,1350,1020,0.756,0.284,150,1
1.26,19,6.8,5,24,170,101,0.594,0.141,34,1
11.55,11,147,1,127,147,147,1,0.864,147,2
1.92,146,9.909,11,281,1199,743,0.62,0.234,109,1
1.31,39,13.667,6,51,492,149,0.303,0.104,82,1
1.51,37,2.778,9,56,225,205,0.911,0.249,25,1
1.72,69,3.556,9,119,288,286,0.993,0.413,32,1
1.69,150,13.5,8,253,864,775,0.897,0.293,108,1
2.1,42,2.9,10,88,290,212,0.731,0.303,29,1
2.1,175,9.8,10,368,980,844,0.861,0.376,98,1
