mean_tr,wb_trans,eccen,height,blackpix,area,blackand,p_and,p_black,lenght,target
2.74,422,31.6,10,1158,3160,2126,0.673,0.366,316,1
1.4,83,6.3,10,116,630,389,0.617,0.184,63,1
33.48,21,23.947,19,703,8645,821,0.095,0.081,455,1
1.26,109,13.5,6,137,486,414,0.852,0.282,81,1
1.46,67,6,7,98,294,248,0.844,0.333,42,1
2.92,52,3.727,11,152,451,286,0.634,0.337,41,1
1.33,18,1.429,7,24,70,55,0.786,0.343,10,1
3.4,20,2.1,10,68,210,126,0.6,0.324,21,1
1.24,92,10,9,114,810,521,0.646,0.141,90,1
1.64,11,1.4,5,18,35,35,1,0.514,7,1
1.32,507,59.333,9,671,4806,2491,0.518,0.14,534,1
1.57,35,2.333,9,55,189,144,0.762,0.291,21,1
1.49,579,56.444,9,861,4572,2731,0.597,0.188,508,1
1.35,43,3.75,8,58,240,160,0.667,0.242,30,1
1.36,11,3.286,7,15,161,87,0.54,0.093,23,1
1.21,148,23.75,8,179,1520,943,0.62,0.118,190,1
2.6,5,22,1,13,22,22,1,0.591,22,1
3.07,88,4.9,10,270,490,462,0.943,0.551,49,1
1.38,573,59.444,9,793,4815,3063,0.636,0.165,535,1
2.06,69,3.417,12,142,492,364,0.74,0.289,41,1
1.94,93,6.6,10,180,660,436,0.661,0.273,66,1
3.67,6,0.778,9,22,63,38,0.603,0.349,7,1
1.52,58,5.857,7,88,287,232,0.808,0.307,41,1
2.22,187,2.84,25,416,1775,1328,0.748,0.234,71,1
1.67,36,2.125,8,60,136,136,1,0.441,17,1
2.28,21,2.571,7,48,126,126,1,0.381,18,1
2.53,217,18.5,10,549,1850,1160,0.627,0.297,185,1
1.53,19,1.571,7,29,77,77,1,0.377,11,1
2.37,67,4.8,10,159,480,356,0.742,0.331,48,1
1.37,310,26.2,10,425,2620,1556,0.594,0.162,262,1
1.44,77,6.857,7,111,336,276,0.821,0.33,48,1
1.4,120,11,9,168,891,664,0.745,0.189,99,1
13.9,10,37.667,3,139,339,160,0.472,0.41,113,2
2.23,35,3.556,9,78,288,171,0.594,0.271,32,1
1.79,110,6,12,197,864,674,0.78,0.228,72,1
1.22,56,6.429,7,68,315,211,0.667,0.215,45,1
1.48,83,7,9,123,567,546,0.966,0.217,63,1
1.44,316,24.444,9,456,1980,1501,0.758,0.23,220,1
1.77,27,3,7,48,147,134,0.912,0.327,21,1
1.55,49,5.125,8,76,328,173,0.527,0.232,41,1
1.83,6,1.4,5,11,35,30,0.857,0.314,7,1
2.56,18,1.75,8,46,112,111,0.991,0.411,14,1
34.88,16,269,2,558,1076,736,0.684,0.519,538,2
8,1,0.125,8,8,8,8,1,1,1,1
4.52,418,30.769,13,1891,5200,3168,0.609,0.364,400,1
1.68,63,4.778,9,106,387,234,0.605,0.274,43,1
30.27,176,20.118,17,5328,5814,5790,0.996,0.916,342,2
2.14,74,19.2,5,158,480,344,0.717,0.329,96,1
1.9,40,2.273,11,76,275,173,0.629,0.276,25,1
2.08,53,2.818,11,110,341,283,0.83,0.323,31,1
1.35,49,6.4,5,66,160,159,0.994,0.413,32,1
38.65,268,21.25,24,10359,12240,11341,0.927,0.846,510,2
2.71,17,2.429,7,46,119,102,0.857,0.387,17,1
1.69,26,1.333,9,44,108,108,1,0.407,12,1
1.38,13,1.286,7,18,63,63,1,0.286,9,1
1.56,27,4.6,5,42,115,115,1,0.369,23,1
2.44,231,19.111,9,563,1548,1260,0.816,0.363,172,1
2.82,211,19.111,9,597,1548,1215,0.787,0.386,172,1
1.38,13,1.286,7,18,63,63,1,0.286,9,1
2.57,14,1.5,8,36,96,69,0.719,0.375,12,1
1.51,39,4.833,6,59,174,152,0.874,0.339,29,1
1.34,297,65.625,8,398,4200,1865,0.444,0.095,525,1
2.85,107,9.556,9,305,774,546,0.705,0.394,86,1
4.7,423,28.214,14,1988,5530,3636,0.658,0.359,395,1
1.56,9,1,8,14,64,56,0.875,0.219,8,1
1.36,44,5.857,7,60,287,187,0.652,0.209,41,1
1.36,50,5.429,7,68,266,213,0.802,0.256,38,1
1.36,225,20.333,9,305,1638,1210,0.74,0.186,182,1
1.36,59,5.571,7,80,273,233,0.853,0.293,39,1
2.85,65,3.818,11,185,462,302,0.654,0.402,42,1
1.38,662,59.556,9,913,4824,3924,0.813,0.189,536,1
1.75,177,10.818,11,309,1309,978,0.747,0.236,119,1
2.22,9,1.167,6,20,42,41,0.976,0.476,7,1
3.12,67,5.1,10,209,510,340,0.667,0.41,51,1
25,1,47,1,25,47,47,1,0.532,47,2
1.81,36,3,8,65,192,176,0.917,0.339,24,1
1.79,108,7.9,10,193,790,586,0.742,0.244,79,1
1.91,33,6.429,7,63,315,244,0.775,0.2,45,1
1.14,14,47,1,16,47,47,1,0.34,47,1
1.69,127,12.111,9,215,981,759,0.774,0.219,109,1
1.4,45,14,5,63,350,146,0.417,0.18,70,1
10,1,1.167,6,10,42,12,0.286,0.238,7,1
1.47,43,3.286,7,63,161,121,0.752,0.391,23,1
2.12,81,5.1,10,172,510,394,0.773,0.337,51,1
2.44,34,2.2,10,83,220,135,0.614,0.377,22,1
3.66,3,7,2,11,28,15,0.536,0.393,14,2
1.73,125,11,9,216,891,693,0.778,0.243,99,1
5.21,742,31.143,14,3886,6098,5894,0.962,0.637,437,1
3,9,1,8,27,64,52,0.813,0.422,8,1
