mean_tr,wb_trans,eccen,height,blackpix,area,blackand,p_and,p_black,lenght,target
1.4,378,34,9,530,2754,2069,0.751,0.192,306,1
1.38,60,21.833,6,83,786,370,0.471,0.106,131,1
1.39,135,11,9,187,891,693,0.778,0.21,99,1
1.58,309,29.125,8,488,1864,1562,0.838,0.262,233,1
1.82,217,18.778,9,396,1521,942,0.619,0.26,169,1
2.02,125,9.111,9,253,738,674,0.913,0.343,82,1
1.21,19,1.571,7,23,77,77,1,0.299,11,1
2.4,45,3.222,9,108,261,252,0.966,0.414,29,1
2.99,101,5.583,12,302,804,604,0.751,0.376,67,1
1.26,182,30.125,8,230,1928,960,0.498,0.119,241,1
2.08,13,1.125,8,27,72,71,0.986,0.375,9,1
1.47,30,3.286,7,44,161,135,0.839,0.273,23,1
1.48,187,11.5,10,276,1150,872,0.758,0.24,115,1
1.89,128,7.9,10,242,790,646,0.818,0.306,79,1
2.41,107,10.25,8,258,656,501,0.764,0.393,82,1
2.98,59,4.778,9,176,387,348,0.899,0.455,43,1
2.45,503,24.286,14,1232,4760,2819,0.592,0.259,340,1
1.56,18,1.222,9,28,99,93,0.939,0.283,11,1
8,1,8,1,8,8,8,1,1,8,2
4.89,161,3.387,31,787,3255,1485,0.456,0.242,105,5
1.46,52,4.571,7,76,224,176,0.786,0.339,32,1
2.71,167,10.727,11,452,1298,1035,0.797,0.348,118,1
2.21,228,8.929,14,505,1750,1285,0.734,0.289,125,1
1.63,16,1.571,7,26,77,68,0.883,0.338,11,1
1.43,67,5.125,8,96,328,286,0.872,0.293,41,1
2.29,1218,1.118,93,2792,9672,5928,0.611,0.289,104,5
2.53,172,10,10,436,1000,910,0.91,0.436,100,1
2.53,8,0.75,8,20,48,48,1,0.417,6,1
1.47,96,7.222,9,142,585,485,0.829,0.243,65,1
1.79,28,2.857,7,50,140,119,0.85,0.357,20,1
1.28,170,18.111,9,217,1467,978,0.667,0.148,163,1
2.14,117,9,11,250,1089,654,0.601,0.23,99,1
1.03,35,95,1,36,95,95,1,0.379,95,1
1.94,31,2.375,8,60,152,107,0.704,0.395,19,1
2.17,35,2.667,9,76,216,156,0.722,0.352,24,1
2.45,107,3.6,15,262,810,558,0.689,0.323,54,1
1.86,35,2.5,8,65,160,145,0.906,0.406,20,1
2.16,19,1.5,8,41,96,87,0.906,0.427,12,1
2.21,14,2,7,31,98,83,0.847,0.316,14,1
2.33,6,1.167,6,14,42,31,0.738,0.333,7,1
1.43,74,7.75,8,106,496,320,0.645,0.214,62,1
1.7,521,49.75,8,887,3184,2113,0.664,0.279,398,1
1.49,73,23.143,7,109,1134,266,0.235,0.096,162,1
1.58,57,10,5,90,250,203,0.812,0.36,50,1
2.05,58,6,7,119,294,287,0.976,0.405,42,1
1.71,68,3.778,9,116,306,294,0.961,0.379,34,1
2.44,36,3.889,9,88,315,211,0.67,0.279,35,1
1.93,84,6.3,10,162,630,402,0.636,0.258,63,1
1.84,36,2.75,8,66,176,160,0.909,0.375,22,1
1.51,51,2.8,10,77,280,139,0.496,0.274,28,1
1.33,97,19.75,8,129,1264,437,0.346,0.102,158,1
1.94,79,4.6,15,154,1020,398,0.391,0.151,68,1
2.78,49,3.091,11,136,374,240,0.642,0.364,34,1
1.83,12,0.7,10,22,70,60,0.857,0.314,7,1
1.52,33,2.111,9,50,171,117,0.684,0.292,19,1
1.37,100,9.375,8,137,600,397,0.662,0.228,75,1
2.03,131,8.5,10,266,850,743,0.872,0.313,85,1
1.71,35,2.222,9,60,180,147,0.817,0.333,20,1
2.02,83,5.455,11,168,660,334,0.507,0.255,60,1
1.35,37,8.6,5,50,215,172,0.8,0.233,43,1
1.28,409,27.1,10,524,2710,2084,0.769,0.193,271,1
2.14,117,9,11,250,1089,654,0.601,0.23,99,1
1.03,35,95,1,36,95,95,1,0.379,95,1
1.94,31,2.375,8,60,152,107,0.704,0.395,19,1
2.17,35,2.667,9,76,216,156,0.722,0.352,24,1
3.36,59,4.5,8,198,288,288,1,0.686,36,1
1.75,8,1.375,8,14,88,42,0.477,0.159,11,1
2.24,25,2.125,8,56,136,129,0.945,0.411,17,1
1.61,23,2,8,37,128,115,0.898,0.289,16,1
1.35,26,2.571,7,35,126,123,0.976,0.278,18,1
1.55,109,12.286,7,169,602,577,0.958,0.281,86,1
40,2,86,1,80,86,86,1,0.93,86,2
2.2,5,44,1,11,44,44,1,0.25,44,2
2.32,44,7.111,9,102,576,276,0.479,0.177,64,1
1.44,79,8.111,9,114,657,285,0.434,0.174,73,1
1.43,42,3.111,9,60,252,147,0.583,0.238,28,1
1.66,32,2.375,8,53,152,152,1,0.35,19,1
1.33,18,1.833,6,24,66,63,0.955,0.364,11,1
1.45,28,1.75,8,41,112,112,1,0.367,14,1
1.52,58,5.714,7,88,280,198,0.707,0.314,40,1
1.38,662,59.556,9,913,4824,3924,0.813,0.189,536,1
1.75,177,10.818,11,309,1309,978,0.747,0.236,119,1
2.22,9,1.167,6,20,42,41,0.976,0.476,7,1
3.12,67,5.1,10,209,510,340,0.667,0.41,51,1
25,1,47,1,25,47,47,1,0.532,47,2
1.81,36,3,8,65,192,176,0.917,0.339,24,1
1.79,108,7.9,10,193,790,586,0.742,0.244,79,1
1.91,33,6.429,7,63,315,244,0.775,0.2,45,1
1.14,14,47,1,16,47,47,1,0.34,47,1
1.69,127,12.111,9,215,981,759,0.774,0.219,109,1
2.08,24,1.182,11,50,143,112,0.783,0.35,13,1
1.47,30,3.286,7,44,161,135,0.839,0.273,23,1
1.48,187,11.5,10,276,1150,872,0.758,0.24,115,1
1.89,128,7.9,10,242,790,646,0.818,0.306,79,1
2.41,107,10.25,8,258,656,501,0.764,0.393,82,1
2.98,59,4.778,9,176,387,348,0.899,0.455,43,1
2.45,503,24.286,14,1232,4760,2819,0.592,0.259,340,1
1.56,18,1.222,9,28,99,93,0.939,0.283,11,1
8,1,8,1,8,8,8,1,1,8,2
4.89,161,3.387,31,787,3255,1485,0.456,0.242,105,5
