mean_tr,wb_trans,eccen,height,blackpix,area,blackand,p_and,p_black,lenght,target
1.4,378,34,9,530,2754,2069,0.751,0.192,306,1
1.38,60,21.833,6,83,786,370,0.471,0.106,131,1
1.39,135,11,9,187,891,693,0.778,0.21,99,1
1.58,309,29.125,8,488,1864,1562,0.838,0.262,233,1
1.82,217,18.778,9,396,1521,942,0.619,0.26,169,1
2.02,125,9.111,9,253,738,674,0.913,0.343,82,1
1.21,19,1.571,7,23,77,77,1,0.299,11,1
2.4,45,3.222,9,108,261,252,0.966,0.414,29,1
2.99,101,5.583,12,302,804,604,0.751,0.376,67,1
1.26,182,30.125,8,230,1928,960,0.498,0.119,241,1
2.11,36,2.1,10,76,210,172,0.819,0.362,21,1
1.34,456,59.556,9,609,4824,2377,0.493,0.126,536,1
1.91,140,7.818,11,268,946,723,0.764,0.283,86,1
1.83,12,1.75,8,22,112,99,0.884,0.196,14,1
2.35,26,2.625,8,61,168,129,0.767,0.363,21,1
3.11,9,1.75,8,28,112,88,0.786,0.25,14,1
1.98,88,5.9,10,174,590,412,0.701,0.295,59,1
2.46,153,3.933,27,375,2862,788,0.275,0.131,106,4
6.67,53,5.154,13,354,871,651,0.75,0.408,67,1
7.47,59,1.107,28,441,868,666,0.767,0.508,31,3
1.33,97,19.75,8,129,1264,437,0.346,0.102,158,1
1.91,23,1.4,10,44,140,126,0.9,0.314,14,1
3.16,58,4.7,10,183,470,317,0.676,0.389,47,1
2.56,9,1.8,5,23,45,41,0.911,0.511,9,1
1.24,45,3.57,7,56,175,162,0.929,0.32,25,1
1.64,221,18.5,8,362,1184,910,0.768,0.306,148,1
2.14,50,4.375,8,107,280,212,0.756,0.383,35,1
1.4,35,3.125,8,49,200,119,0.595,0.245,25,1
2.06,50,3.625,8,103,232,232,1,0.444,29,1
2.23,166,11.889,9,371,963,828,0.861,0.385,107,1
2.51,39,2.5,10,98,250,202,0.808,0.392,25,1
1.2,294,42.875,8,354,2744,1661,0.605,0.129,343,1
1.74,125,10.333,9,217,837,749,0.895,0.259,93,1
30.37,19,268,2,577,1072,790,0.737,0.538,536,2
13,1,13,1,13,13,13,1,1,13,2
2.63,99,9.111,9,260,738,589,0.798,0.352,82,1
1.74,34,2.375,8,59,152,152,1,0.388,19,1
6.3,10,0.857,14,63,168,95,0.564,0.375,12,1
15,1,0.4,10,15,40,16,0.4,0.375,4,2
1.43,67,10.333,6,96,378,230,0.608,0.254,63,1
1.83,6,1.4,5,11,35,30,0.857,0.314,7,1
1.8,83,5.7,10,149,570,446,0.786,0.262,57,1
2.95,153,9.9,10,451,990,818,0.827,0.455,99,1
4.7,423,28.846,13,1988,4875,3670,0.754,0.408,375,1
1.7,20,1.5,8,34,96,89,0.927,0.354,12,1
1.25,103,7.9,10,129,790,332,0.42,0.163,79,1
1.99,279,15.462,13,550,2613,1314,0.503,0.211,201,1
1.4,10,2.2,5,14,55,35,0.636,0.255,11,1
7.5,20,1.833,12,150,264,221,0.837,0.568,22,1
1.375,16,1.571,7,22,77,56,0.727,0.286,11,1
1.89,150,14.778,9,283,1197,859,0.718,0.236,133,1
2.8,5,2.833,6,14,102,64,0.627,0.137,17,5
5,3,0.5,8,15,32,23,0.719,0.469,4,1
8,258,7.417,24,2063,4272,3987,0.933,0.483,178,1
1.76,21,1.857,7,37,91,89,0.978,0.407,13,1
27.15,20,183.33,3,543,1650,619,0.375,0.329,550,2
2.08,60,5,8,125,320,317,0.991,0.391,40,1
1.28,307,29.667,9,393,2403,1754,0.73,0.164,267,1
9,1,0.111,9,9,9,9,1,1,1,4
2.18,22,3.8,5,48,95,76,0.8,0.505,19,1
2.07,56,3.3,10,116,330,246,0.745,0.352,33,1
1.82,57,17.25,4,104,276,265,0.96,0.377,69,1
1.71,140,7.818,11,240,946,832,0.88,0.254,86,1
3.11,215,20.556,9,668,1665,1305,0.786,0.402,185,1
1.67,36,3.714,7,60,182,169,0.929,0.33,26,1
1.37,83,7.75,8,114,496,465,0.937,0.23,62,1
1.34,31,2.714,7,42,133,112,0.842,0.315,19,1
1.89,62,4.625,8,117,296,294,0.992,0.395,37,1
1.05,20,1.5,6,21,54,54,1,0.389,9,1
1.24,44,5.857,7,54,287,183,0.638,0.189,41,1
1.83,102,8.875,8,187,568,441,0.776,0.329,71,1
2.09,11,1.125,8,23,72,46,0.639,0.319,9,1
1.27,120,14,8,152,896,704,0.786,0.17,112,1
2.13,38,4,8,81,256,179,0.698,0.316,32,1
1.63,27,1.333,9,44,108,97,0.898,0.407,12,1
1.53,64,6.571,7,98,322,240,0.745,0.304,46,1
1.35,37.5,2.7,10,50,270,140,0.519,0.185,27,1
2.81,132,15.833,6,371,570,542,0.952,0.652,95,1
1.91,22,3.8,5,42,95,73,0.766,0.442,19,1
2.67,6,1.4,5,16,35,28,0.8,0.457,7,1
1.4,45,14,5,63,350,146,0.417,0.18,70,1
10,1,0.1,10,10,10,10,1,1,1,4
1.94,24,2.125,8,46,136,109,0.801,0.338,17,1
3.67,3,7,2,11,28,15,0.536,0.393,14,1
5.29,476,39.8,10,2513,3980,3521,0.886,0.632,398,1
4.97,300,14.188,16,1490,3632,2654,0.731,0.41,227,1
1.45,46,4.625,8,67,296,187,0.633,0.226,37,1
5.3,863,1.118,93,4563,9672,5928,0.611,0.472,104,5
2.14,22,2.667,6,47,96,90,0.938,0.49,16,1
1.91,77,5.222,9,147,423,366,0.865,0.348,47,1
1.4,45,14,5,63,350,146,0.417,0.18,70,1
10,1,0.1,10,10,10,10,1,1,1,4
1.94,77,9,7,149,441,415,0.941,0.338,63,1
2.78,199,12.7,10,550,1270,1078,0.848,0.43,127,1
1.88,52,4.25,8,98,272,195,0.717,0.36,34,1
1.7,30,2.3,10,51,230,149,0.648,0.223,23,1
1.42,68,4.556,9,96,369,256,0.694,0.26,41,1
2.08,102,6.667,12,212,960,594,0.619,0.222,80,1
1.79,43,6.714,7,77,329,186,0.564,0.234,47,1
2.87,164,15.75,8,469,1008,969,0.961,0.466,126,1
