fWidth,fConc,fAsym,fConc1,fLength,fDist,fSize,fM3Long,fAlpha,class,fM3Trans
17.824,0.366,6.478,0.202,29.387,109.694,2.742,28.995,10.789,0,14.942
23.159,0.263,-61.113,0.152,43.102,273.009,2.951,18.075,1.092,0,15.408
17.993,0.547,11.317,0.253,29.694,253.656,2.422,28.117,26.3,1,-18.991
26.429,0.245,24.955,0.13,40.246,177.657,3.135,40.094,68.314,1,19.125
11.8,0.518,5.994,0.281,16.419,227.396,2.479,-7.204,12.266,0,-11.668
20.824,0.205,70.935,0.109,65.142,168.311,2.946,54.199,5.192,0,11.004
26.224,0.218,-125.859,0.118,121.764,197.132,2.964,98.508,8.708,0,-13.818
9.036,0.495,28.17,0.292,36.617,81.042,2.746,29.664,14.718,1,-5.901
10.663,0.781,14.028,0.448,13.208,177.407,2.145,3.662,56.222,0,11.378
37.07,0.21,-142.255,0.128,145.256,212.488,3.41,-59.766,0.687,1,16.568
17.043,0.355,15.413,0.194,26.661,182.757,2.582,07.213,02.519,0,11.451
11.046,0.742,14.945,0.374,12.898,113.992,2.119,-7.152,4.608,0,-10.521
11.426,0.43,-30.154,0.255,36.482,236.38,2.654,13.12,69.842,1,-9.525
0,0.797,0,0.503,23.268,59.892,2.027,0,43.021,0,-8.686
23.274,0.232,-83.508,0.138,70.794,265.047,2.838,26.997,24.376,1,-2.
10.432,0.41,62.308,0.247,32.995,148.577,2.928,32.446,71.159,1,-6.466
15.412,0.254,-36.774,0.128,29.336,193.017,2.694,8.684,1.389,0,-12.235
16.858,0.378,3.768,0.215,30.257,186.287,2.853,16.407,8.492,0,7.158
12.647,0.649,15.414,0.349,19.339,195.86,2.589,16.289,60.523,0,-8.662
10.1,0.422,23.529,0.21,18.085,182.527,2.29,8.721,1.995,0,-7.251
23.732,0.268,73.859,0.136,63.549,267.753,2.896,52.296,1.093,0,15.863
12.124,0.499,5.645,0.302,39.496,241.714,2.665,25.673,3.765,0,-6.249
10.925,0.55,22.22,0.294,21.879,173.444,2.276,19.173,24.791,0,-10.141
15.709,0.307,-17.026,0.158,66.621,228.322,2.972,33.4,0.573,0,10.328
20.044,0.354,45.4,0.182,40.201,228.539,2.402,19.821,23.963,0,17.293
15.686,0.438,12.835,0.251,26.787,167.751,2.468,15.632,29.874,0,10.398
9.133,0.441,-17.548,0.263,30.558,237.715,2.351,-19.877,31.127,0,23.155
17.355,0.489,15.312,0.269,24.561,161.677,2.448,20.725,41.943,0,11.773
20.935,0.197,-90.301,0.101,76.099,317.114,3.34,48.498,0.352,0,19.913
19.363,0.475,-83.491,0.33,83.142,358.445,2.562,42.126,8.706,1,-15.588
7.457,0.773,2.681,0.508,18.708,182.68,2.129,-4.345,69.702,0,1.162
25.059,0.258,20.679,0.134,35.077,297.622,3.149,-22.175,4.161,0,-19.25
37.162,0.159,105.755,0.086,118.474,113.678,3.447,24.364,30.286,0,11.776
37.091,0.199,-22.667,0.105,45.972,125.556,3.052,-27.776,50.3,1,11.276
37.147,0.307,-22.952,0.161,47.987,126.96,2.754,-27.892,30.5,1,11.225
11.724,0.509,14.98,0.311,39.268,237.943,2.528,-20.531,3.156,0,9.298
27.013,0.141,74.885,0.078,74.518,212.207,3.553,60.478,0.038,0,15.579
9.035,0.775,-8.298,0.426,17.508,223.398,2.102,-14.516,47.811,1,4.336
10.632,0.536,-16.175,0.271,22.152,77.283,2.185,-17.362,48.964,0,-7.856
17.612,0.273,-70.148,0.149,55.614,276.243,2.986,34.727,7.067,0,16.288
0.003,0.652,17.709,0.345,23.94,131.285,2.535,15.258,28.88,1,0.003
7.443,0.732,22.08,0.394,20.53,199.806,2.244,13.356,75.413,0,-4.668
24.22,0.291,-24.57,0.162,29.584,224.796,2.76,-26.379,26.512,1,-14.591
18.576,0.193,-54.621,0.1,89.148,304.313,3.27,63.308,1.558,0,12.057
15.607,0.466,25.627,0.256,34.158,136.836,2.679,31.625,11.469,1,10.515
10.1,0.557,-20.466,0.301,20.582,193.239,2.276,-18.625,8.626,0,9.153
9.152,0.348,12.741,0.176,42.925,192.452,2.795,35.802,27.014,1,5.936
12.059,0.563,-1.162,0.36,20.293,227.017,2.709,7.941,10.889,0,-6.412
16.456,0.508,-22.648,0.259,19.075,180.425,2.459,-12.089,65.038,1,-13.24
