target,Dcl,Ao,Iy,Aa,Sh
0.0,1.932,0.921,0.569,0.0,0.0
0.0,2.488,0.823,0.865,0.249,0.0
0.0,-0.142,0.671,-0.071,2.5091,0.045
0.0,-0.475,1.504,0.0,0.334,-0.126
0.0,2.037,1.009,-0.624,0.279,-0.0
0.0,-0.107,0.869,0.0,0.938,0.082
0.0,0.788,1.333,0.0,0.228,-0.177
0.0,0.766,1.547,0.0,1.636,-0.155
0.0,-0.281,1.741,-0.078,1.0,0.0
0.0,0.717,0.0,0.719,0.229,1.775
0.0,-0.385,1.932,0.208,1.304,-0.078
0.0,0.188,-0.319,0.0,3.078,-0.082
1.0,1.854,0.822,1.724,0.231,0.0
0.0,-0.477,2.197,-0.207,0.0,-0.149
1.0,1.688,0.828,2.0,0.27,-0.826
0.0,-0.107,0.719,-0.073,2.852,0.068
1.0,1.066,0.719,1.926,0.229,0.0
0.0,-0.391,2.793,0.25,0.947,-0.166
0.0,-0.0,0.372,0.09,2.534,-0.053
0.0,-0.315,1.937,0.243,0.958,0.0
1.0,0.6221,0.542,0.0,0.106,0.0
0.0,2.095,1.0,-0.597,0.814,-0.266
0.0,1.093,1.851,0.926,0.539,-0.0
0.0,-0.159,0.0,0.15,2.976,-0.063
0.0,-0.0,1.846,-0.168,1.061,-0.079
0.0,0.851,1.845,0.494,0.256,0.0
0.0,-0.0,1.265,-0.148,2.092,-0.077
0.0,0.826,1.812,-0.201,0.0,0.139
0.0,0.853,1.064,0.211,1.852,0.194
0.0,1.723,1.0,-0.35,0.719,-0.135
1.0,1.672,0.577,1.0,0.365,-0.724
0.0,2.947,0.0,-0.764,0.279,-0.406
0.0,1.0,1.966,-0.557,0.269,0.0
1.0,0.764,0.548,2.0,0.145,-0.854
0.0,2.311,1.101,1.0,0.383,-0.367
0.0,1.831,0.556,0.874,0.251,1.0
1.0,1.898,1.923,-0.724,0.89,-0.0
1.0,1.965,0.0,0.818,0.717,0.622
0.0,-0.134,0.724,0.089,2.302,0.084
0.0,2.744,1.05,0.859,0.249,0.0
0.0,0.966,2.921,0.347,0.846,0.0
0.0,-0.428,2.759,-0.202,0.0,0.0
1.0,1.044,0.0,1.781,0.639,-0.639
0.0,-0.436,3.172,0.344,0.0,0.0
1.0,-0.363,-0.562,0.863,-0.199,1.854
0.0,-0.477,2.567,-0.194,0.64,-0.103
1.0,1.966,0.0,0.783,0.257,0.0
0.0,-0.101,0.474,-0.0,2.239,-0.053
0.0,0.521,2.585,0.406,0.869,-0.165
0.0,1.928,1.086,0.7,0.348,0.0
1.0,0.943,0.0,2.123,0.269,-0.653
0.0,-0.479,2.511,0.284,0.0,0.0
0.0,-0.104,0.0,0.095,2.848,-0.053
0.0,0.895,2.018,-0.177,2.239,-0.0
0.0,1.082,0.496,1.926,0.25,-0.0
0.0,-0.505,2.821,0.28,1.402,-0.124
0.0,0.45,1.923,1.007,1.871,-0.0
1.0,1.964,0.551,1.0,0.749,1.058
0.0,-0.0,1.275,-0.095,1.934,0.077
0.0,-0.0,2.989,0.247,0.849,-0.128
1.0,1.837,1.111,1.06,0.0,-0.632
0.0,-0.475,2.0,-0.194,0.902,0.183
1.0,0.934,0.723,0.543,1.0,-0.394
0.0,1.844,0.918,1.02,0.25,-0.0
0.0,-0.107,0.438,0.114,2.302,0.071
1.0,1.972,0.788,1.093,0.27,-0.0
0.0,0.928,2.32,0.716,0.0,-0.215
0.0,2.061,1.264,-0.705,0.0,0.0
0.0,-0.0,2.064,-0.128,0.958,-0.067
0.0,1.082,2.762,0.542,0.716,-0.244
0.0,-0.0,0.359,0.073,1.858,-0.091
1.0,0.895,0.526,1.831,0.145,-0.0
0.0,-0.391,2.911,-0.189,0.0,-0.101
0.0,0.162,0.824,-0.078,3.0,0.055
0.0,0.932,0.414,1.749,0.095,0.0
0.0,-0.387,2.521,0.266,1.0,0.157
1.0,0.0,1.061,2.189,0.352,-0.879
1.0,0.624,0.567,1.253,0.135,0.0
0.0,-0.132,0.542,-0.076,2.063,0.068
0.0,1.536,0.918,1.097,0.257,-0.818
0.0,2.304,0.828,-0.0,0.265,-0.456
0.0,-0.601,2.871,0.327,0.0,-0.173
0.0,1.091,0.496,1.926,0.146,0.0
0.0,1.86,1.101,0.936,0.892,-0.0
0.0,1.926,2.254,0.716,0.917,-0.241
0.0,0.826,0.532,0.816,0.086,0.0
0.0,0.865,2.921,0.824,0.769,-0.0
1.0,1.836,0.842,1.066,0.233,-0.639
1.0,0.938,0.0,1.857,0.195,-0.738
0.0,0.0,0.534,0.194,2.527,-0.096
1.0,1.715,0.847,1.067,0.876,0.0
0.0,-0.145,0.922,0.148,2.036,-0.061
0.0,1.724,1.0,0.769,0.245,-0.21
1.0,0.749,0.721,1.811,0.147,-0.776
1.0,1.066,0.861,1.094,0.0,0.0
1.0,0.564,0.715,0.0,0.226,0.0
0.0,0.842,0.816,2.122,0.234,-0.857
0.0,-0.429,2.823,-0.0,0.842,0.0
0.0,0.945,0.967,0.0,0.251,0.0
0.0,-0.0,0.732,0.091,2.918,-0.061
