beds,zip_code,baths,lot_size,size,price,lot_size_units,size_units
3,98117,2,8640,1600,877500,1,0
3,98122,2.5,5120,2120,1365000,1,0
3,98103,2,1056,1719,1160000,1,0
2,98107,2,794,1319,838000,1,0
4,98136,2,4400,1640,730000,1,0
2,98199,2,0.34,1400,699950,0,0
3,98144,2,979,1170,740000,1,0
2,98115,2,1762,1469,900000,1,0
3,98107,3.5,1694,2024,1200000,1,0
3,98117,2,2400,1560,1180000,1,0
3,98115,1.5,6270,2220,930000,1,0
2,98118,1,6554,870,555000,1,0
3,98103,2.5,1056,1500,1070000,1,0
3,98117,2.5,2498,1763,1135000,1,0
3,98199,2,5000,1680,1087500,1,0
4,98117,2,5000,1780,1181500,1,0
3,98103,2.5,1372,1580,1095000,1,0
4,98118,2,6122,1641,538800,1,0
4,98105,3,4480,2980,1090000,1,0
2,98144,2,588,1170,624999,1,0
2,98144,1,3072,760,250000,1,0
3,98107,2.5,1690,1610,895000,1,0
3,98115,3,1400,1550,950000,1,0
3,98103,2.5,1248,1360,700000,1,0
3,98107,2,1,1220,824900,0,0
2,98115,1,8686,760,775000,1,0
3,98115,2,6120,1440,935000,1,0
2,98117,2,583,1240,710000,1,0
2,98125,1,8795,680,625000,1,0
3,98117,2.5,2498,1763,1135000,1,0
2,98199,2,1101,1332,845000,1,0
3,98122,2.5,3000,2730,1199000,1,0
4,98103,2,4560,2340,1800000,1,0
3,98106,2,6808,1890,700000,1,0
4,98103,3,4000,2480,1605000,1,0
2,98126,1,5038,1240,750000,1,0
3,98117,2.5,1396,1320,835000,1,0
3,98125,1,0.25,2180,720000,0,0
3,98144,2.5,1040,1604,760000,1,0
3,98106,2,6300,1010,650000,1,0
3,98117,1,7140,1270,1050000,1,0
3,98107,2.5,1065,1386,999950,1,0
2,98107,1,4997,648,430000,1,0
2,98144,2,588,1170,624999,1,0
3,98115,1.5,0.35,2460,1150000,0,0
4,98105,2.5,2336,1600,699000,1,0
2,98118,1,3300,940,550000,1,0
3,98199,2,5196,2840,1400000,1,0
3,98103,2.5,1342,1570,700000,1,0
4,98146,2.5,3060,1530,675000,1,0
3,98117,1,3710,2130,850000,1,0
3,98118,2.5,0.28,2570,1175000,0,0
3,98144,2.5,1040,1604,760000,1,0
3,98106,2.5,1062,1520,540700,1,0
3,98117,1.5,3500,2230,1075000,1,0
3,98117,2,1405,1422,780000,1,0
2,98122,2,1247,1200,705000,1,0
3,98199,2,6022,2299,1435000,1,0
3,98115,2,9.2,2029,685000,0,0
4,98117,2.5,4046,2500,1295000,1,0
3,98115,1,5856,1460,880000,1,0
3,98122,2,1539,1330,680000,1,0
3,98117,2,1,1096,875000,0,0
4,98115,3,6048,2311,1211000,1,0
3,98103,2.5,1248,1360,700000,1,0
2,98103,1,6180,830,942000,1,0
2,98144,1,3072,760,250000,1,0
2,98103,2,0.43,1131,470000,0,0
2,98122,2,770,1365,799000,1,0
2,98125,1,8280,860,675000,1,0
2,98116,2,898,875,625000,1,0
4,98118,2,4242,1720,705000,1,0
3,98144,2.5,1040,1604,760000,1,0
2,98122,2,770,1365,799000,1,0
4,98144,3,7389,3410,1850000,1,0
4,98125,2,8001,1700,891000,1,0
3,98115,1,5856,1460,880000,1,0
4,98117,3,3380,1620,950000,1,0
3,98118,1.5,2497,1350,599000,1,0
2,98118,1,8184,780,675000,1,0
3,98122,2,1238,1498,935000,1,0
4,98103,3,4000,2480,1605000,1,0
2,98122,2,1085,1437,969950,1,0
2,98115,2,564,1149,730000,1,0
3,98199,2,6000,2260,1300000,1,0
3,98144,2,4200,2600,1525000,1,0
3,98106,2,6300,1010,650000,1,0
3,98103,2,1374,1210,875000,1,0
4,98115,3,0.29,2470,1180000,0,0
2,98115,2,3060,1400,530000,1,0
2,98118,2,776,1020,605000,1,0
2,98106,2,792,1180,527000,1,0
4,98117,2.5,1562,1544,889000,1,0
4,98115,2,3920,1488,750000,1,0
4,98199,2,5000,2352,1450000,1,0
2,98107,2,1232,1420,690000,1,0
4,98103,2,5000,2880,1485000,1,0
2,98115,2,3060,1400,530000,1,0
4,98116,3.5,1886,2015,1240000,1,0
2,98103,1,3780,650,708888,1,0
2,98122,2,1247,1200,705000,1,0
4,98144,3,7389,3410,1850000,1,0
4,98118,2.5,5001,2320,820000,1,0
4,98103,2,5000,2880,1485000,1,0
4,98117,2.5,5229,2240,1050000,1,0
3,98125,2,8421,1730,910000,1,0
3,98118,3,625,1660,795000,1,0
4,98106,2.5,3932,2280,1065000,1,0
3,98117,2,1170,1560,920000,1,0
4,98122,2,6011,2787,1207000,1,0
4,98118,2,5500,1595,525000,1,0
3,98144,2.5,1040,1604,760000,1,0
3,98103,2,1471,1799,940000,1,0
4,98199,2.5,5725,2360,1750000,1,0
2,98199,2,1101,1332,845000,1,0
3,98136,2,6395,2284,850000,1,0
4,98115,2,6380,1750,855000,1,0
2,98122,2,1247,1200,699950,1,0
2,98199,2,1101,1332,845000,1,0
3,98106,2.5,1062,1520,540700,1,0
3,98199,2,5000,1680,1087500,1,0
3,98107,3.5,1694,2024,1200000,1,0
4,98199,2,5000,2352,1450000,1,0
4,98144,3,7389,3410,1850000,1,0
3,98115,1.5,6270,2220,930000,1,0
3,98117,2,8640,1600,877500,1,0
2,98126,1,6300,740,500000,1,0
3,98117,2,2400,1560,1180000,1,0
3,98144,2.5,1040,1604,760000,1,0
2,98144,2.5,846,840,629000,1,0
2,98106,2,792,1180,527000,1,0
2,98144,1.5,1,1131,699950,0,0
4,98115,2,8750,2630,1350000,1,0
3,98117,2,2400,1560,1180000,1,0
2,98125,1,8908,1060,700000,1,0
2,98126,1,7500,740,553500,1,0
4,98125,1.5,6511,2140,700500,1,0
4,98115,3.5,7598,2720,1395000,1,0
3,98122,2.5,1037,1540,852500,1,0
3,98115,3.5,1680,1352,886000,1,0
4,98115,2,6380,1750,855000,1,0
4,98115,2,8360,2910,1400000,1,0
3,98115,1.5,6270,2220,930000,1,0
2,98107,2.5,5500,1088,835000,1,0
2,98106,1,2064,976,475000,1,0
3,98117,1.5,904,998,610000,1,0
3,98105,2,8030,2250,2080000,1,0
2,98103,2.5,887,1459,665000,1,0
2,98144,2.5,846,840,629000,1,0
3,98116,2,5750,1080,875000,1,0
3,98122,2,1539,1330,680000,1,0
2,98106,2,792,1180,527000,1,0
3,98117,2,910,1590,910000,1,0
2,98144,2,588,1170,624999,1,0
2,98122,2,742,1242,769950,1,0
3,98118,1.5,6150,2560,720000,1,0
3,98107,2.5,1436,1810,1000000,1,0
4,98118,2.5,5000,1806,745000,1,0
4,98103,3.5,3060,2400,1750000,1,0
3,98122,2,1238,1498,935000,1,0
2,98106,1,4672,770,560000,1,0
3,98117,1,7140,1270,1050000,1,0
3,98126,2,5075,1650,750000,1,0
3,98106,2,4760,1237,747250,1,0
3,98117,2,2909,1380,800000,1,0
3,98115,3,1400,1550,950000,1,0
3,98117,2,8640,1600,877500,1,0
3,98122,2,1751,1880,955000,1,0
2,98115,1.5,938,870,700000,1,0
2,98126,2,5950,2220,551000,1,0
3,98117,2,1,1096,875000,0,0
2,98117,1.5,1000,1000,640000,1,0
4,98125,3.5,0.29,3956,3200000,0,0
3,98103,2,1056,1719,1160000,1,0
3,98144,2,2340,1894,697000,1,0
3,98118,2,3220,1700,999999,1,0
2,98115,2,9.2,1554,660000,0,0
3,98116,2,5000,1516,1150000,1,0
