beds,zip_code,baths,lot_size,size,price,lot_size_units,size_units
4,98103,2,6000,1550,1325000,1,0
3,98144,2.5,1040,1604,760000,1,0
2,98115,2,6120,850,889900,1,0
3,98106,2,8910,1060,575000,1,0
2,98116,2,898,875,625000,1,0
3,98122,3.5,1770,1936,1295000,1,0
3,98117,2.5,9880,2080,977000,1,0
4,98115,3,6700,2230,1150000,1,0
3,98115,3.5,1020,1450,835000,1,0
3,98103,2.5,1873,1420,890000,1,0
2,98117,2,2550,1140,590000,1,0
3,98105,3.5,4094,2570,2000000,1,0
3,98126,2.5,2217,1324,649950,1,0
2,98115,2,9.2,1761,665000,0,0
4,98117,2,3250,1710,1170000,1,0
4,98116,3,5589,2668,1213000,1,0
2,98115,2,6750,1560,980000,1,0
4,98117,2,5000,1780,1181500,1,0
2,98115,2,9.2,1761,665000,0,0
4,98125,3.5,6840,3300,1575000,1,0
2,98122,2.5,5250,1159,885000,1,0
3,98144,2,979,1170,740000,1,0
4,98115,2.5,3570,2390,1350000,1,0
3,98118,1.5,2497,1350,599000,1,0
3,98117,1.5,3500,2230,1075000,1,0
3,98103,2,1471,1799,940000,1,0
2,98103,1,3780,650,708888,1,0
2,98126,1,6500,1350,850000,1,0
2,98107,2,794,1319,838000,1,0
3,98103,3.5,1182,1500,700000,1,0
3,98144,3,5300,1440,1050000,1,0
3,98103,3.5,1182,1500,700000,1,0
2,98115,2,3060,1400,530000,1,0
3,98103,3.5,1182,1500,700000,1,0
4,98125,2,8775,2370,1125000,1,0
3,98115,2,4828,1676,840000,1,0
3,98103,2,1374,1210,875000,1,0
3,98125,2,8120,2020,950000,1,0
2,98115,1,1.83,1027,300000,0,0
4,98115,2,5460,2510,1025000,1,0
3,98122,2.5,1131,1550,1065000,1,0
3,98117,2.5,982,1370,699500,1,0
3,98199,2,5350,2950,1500000,1,0
2,98103,2.5,1332,1160,850000,1,0
2,98107,2.5,5500,1088,835000,1,0
4,98146,2.5,8760,2500,577000,1,0
3,98136,2,7500,1910,725000,1,0
3,98126,2.5,1570,1390,575000,1,0
2,98133,1,5077,1915,725000,1,0
3,98103,2,1471,1799,940000,1,0
3,98117,1,3710,2130,850000,1,0
2,98144,1.5,1,1131,699950,0,0
2,98107,2.5,5500,1103,780000,1,0
2,98133,1,6103,1040,350000,1,0
2,98118,1,6554,870,555000,1,0
3,98103,2,6375,2817,912000,1,0
3,98118,2.5,2880,1940,1140000,1,0
4,98105,3,8037,3610,2330000,1,0
2,98106,1,0.35,970,386000,0,0
4,98103,2,4800,2570,1495000,1,0
3,98117,2.5,2498,1763,1135000,1,0
3,98103,2.5,1248,1360,700000,1,0
3,98126,2,5850,1830,835000,1,0
4,98136,3.5,9500,3487,2010000,1,0
3,98199,2,5000,1680,1087500,1,0
4,98106,2,7260,1670,650000,1,0
4,98115,3,8297,2481,999000,1,0
4,98115,3,7680,2110,1180000,1,0
3,98125,1,0.25,2180,720000,0,0
2,98125,1,0.34,1010,870000,0,0
3,98117,1,9399,1920,725000,1,0
3,98103,3,1316,1410,1200000,1,0
3,98118,1.5,2497,1350,599000,1,0
3,98103,2,1056,1719,1160000,1,0
2,98118,1.5,5027,1690,779000,1,0
4,98115,2,3920,1488,750000,1,0
2,98106,1,4672,770,560000,1,0
3,98116,2.5,1418,1395,725000,1,0
2,98115,1,5569,770,640000,1,0
3,98117,2,1139,1548,850000,1,0
3,98103,2.5,2109,1970,715000,1,0
2,98107,1,5011,711,485000,1,0
4,98117,3,4650,1180,956300,1,0
3,98122,2.5,3000,2529,1650000,1,0
3,98115,1,5856,1460,880000,1,0
3,98126,3.5,1,1679,689000,0,0
4,98126,2,5750,2840,1175000,1,0
3,98115,3,1,1687,1035000,0,0
3,98122,2,1751,1880,955000,1,0
2,98115,1.5,938,870,700000,1,0
3,98126,2,4400,1806,799000,1,0
3,98107,3,2200,1880,999950,1,0
3,98117,2,1395,1684,870000,1,0
3,98117,2,1395,1684,870000,1,0
2,98103,1,1875,1290,640000,1,0
3,98117,1.5,4800,2200,860000,1,0
4,98103,2,4800,2570,1495000,1,0
4,98199,3,8556,2440,1850000,1,0
2,98106,1,4240,720,525000,1,0
2,98106,1,2064,976,475000,1,0
2,98103,2,928,1192,719950,1,0
2,98125,2,0.53,839,385000,0,0
4,98115,3,4635,2380,1399999,1,0
2,98115,2,3060,1400,530000,1,0
4,98115,2,3920,1488,750000,1,0
3,98117,2,4656,1996,986500,1,0
4,98103,3,4182,2860,1600000,1,0
2,98125,2,6.4,1415,449000,0,0
2,98103,2.5,0.54,1448,1325000,0,0
3,98199,2,5000,1680,1087500,1,0
3,98117,2.5,1687,1670,865000,1,0
2,98116,2,6018,1131,575000,1,0
3,98103,2,3060,1370,1270000,1,0
2,98103,2,3060,1570,849000,1,0
4,98125,1.5,6511,2140,700500,1,0
3,98103,2.5,1056,1500,1070000,1,0
4,98103,2,4800,2570,1495000,1,0
3,98136,2,870,1286,738000,1,0
3,98136,2,7500,1910,725000,1,0
4,98117,2,3250,1710,1170000,1,0
3,98122,3.5,1770,1936,1295000,1,0
3,98126,2.5,3.97,1681,610000,0,0
2,98106,1,4672,770,560000,1,0
4,98126,2,6240,2240,795000,1,0
3,98115,2,7770,2770,700000,1,0
3,98115,1.5,0.35,2460,1150000,0,0
3,98125,2,8100,1360,850000,1,0
3,98117,2,2400,1560,1180000,1,0
4,98117,2.5,2352,1544,850000,1,0
2,98125,2,7443,1470,707000,1,0
4,98106,2,5043,2240,750000,1,0
3,98125,2,8580,1380,775000,1,0
4,98115,2.5,2970,2474,1725000,1,0
2,98105,1.5,900,900,568000,1,0
3,98168,1,0.37,1430,499800,0,0
2,98106,1,2064,976,475000,1,0
2,98118,1,8184,780,675000,1,0
2,98199,2,1331,1217,787950,1,0
2,98117,2.5,1201,1411,830000,1,0
4,98144,3.5,5016,3070,1900000,1,0
3,98122,2,1751,1880,955000,1,0
3,98117,2,9702,2630,1290000,1,0
3,98103,3.5,1563,1800,1050000,1,0
2,98103,1,3780,650,708888,1,0
4,98115,3,6380,2650,1511000,1,0
3,98115,1,5856,1460,880000,1,0
4,98117,2,4764,2820,1441000,1,0
3,98125,2,8100,1360,850000,1,0
3,98144,3,5300,1440,1050000,1,0
3,98118,1,4842,1240,531000,1,0
3,98126,2,6396,1580,820000,1,0
4,98105,3,4480,2980,1090000,1,0
3,98125,3,7286,1790,755000,1,0
2,98103,1,6180,830,942000,1,0
2,98103,2,5400,724,430000,1,0
2,98115,2.5,1753,867,679000,1,0
3,98103,2,1333,1270,727000,1,0
2,98125,2,864,1523,639950,1,0
3,98117,2,1,1096,875000,0,0
4,98144,2,4002,2440,1116000,1,0
3,98117,2,1,1096,875000,0,0
4,98118,2,5500,1595,525000,1,0
3,98126,2.5,3.97,1681,650000,0,0
2,98107,2.5,5500,1103,780000,1,0
2,98117,2.5,990,1040,705000,1,0
2,98118,1,6000,850,580000,1,0
2,98105,1,6200,730,25000000,1,0
2,98144,1,3072,760,250000,1,0
3,98117,2,1405,1422,780000,1,0
4,98106,2,7260,1670,650000,1,0
3,98144,2,4200,2600,1525000,1,0
3,98126,2,4865,2370,1200000,1,0
2,98117,2,583,1163,648800,1,0
3,98199,3.5,0.29,3880,2500000,0,0
2,98125,1,8795,680,625000,1,0
3,98105,2.5,8240,1500,860000,1,0
3,98144,2,2340,1894,697000,1,0
3,98144,2.5,1040,1604,760000,1,0
3,98117,2.5,1687,1670,865000,1,0
3,98106,1,4120,1100,468000,1,0
3,98107,2,4648,1611,915000,1,0
4,98115,2,8750,2630,1350000,1,0
3,98144,2,4200,2600,1525000,1,0
2,98115,2,1762,1469,900000,1,0
4,98144,2,4414,2500,972500,1,0
3,98115,2,4590,2160,825000,1,0
4,98115,3,4635,2380,1399999,1,0
3,98117,1,6223,1340,765000,1,0
3,98116,2.5,5160,2080,1200000,1,0
4,98103,2.5,5000,3198,1712000,1,0
3,98122,3.5,1770,1936,1295000,1,0
4,98122,2.5,4500,2630,1340000,1,0
3,98115,3,1044,1540,800000,1,0
3,98117,2,4000,1520,760000,1,0
2,98115,1.5,1332,1290,795000,1,0
3,98199,2,5000,1680,1087500,1,0
3,98125,2,8421,1730,910000,1,0
4,98106,2.5,3932,2280,1065000,1,0
3,98115,2,4828,1676,840000,1,0
