proline,color_intensity,ash,alcalinity_of_ash,hue,alcohol,od280/od315_of_diluted_wines,nonflavanoid_phenols,proanthocyanins,magnesium,total_phenols,flavanoids,target,malic_acid
580,1.9,2.2,18.0,0.74,12.48,2.46,0.29,1.25,94,1.85,1.58,1,2.46
480,2.05,2.3,18.0,1.04,11.68,2.48,0.32,1.07,95,1.45,1.37,1,1.83
680,6.5,2.64,21.0,1.16,13.27,2.7,0.25,1.56,99,2.4,2.5,1,1.66
1045,3.6,2.43,21.0,0.96,13.62,3.13,0.26,2.3,106,3.3,3.25,1,1.73
750,5.5,2.2,15.0,1.05,13.26,2.5,0.33,1.64,85,1.7,1.55,1,1.73
880,8.5,2.38,18.0,1.02,14.3,3.46,0.36,1.68,120,3.45,2.73,2,1.53
850,6.6,2.14,19.0,0.92,13.42,2.88,0.42,1.98,95,2.45,1.92,0,1.88
1060,5.5,2.5,18.0,0.72,13.2,2.88,0.24,1.52,120,2.5,1.52,0,1.75
1070,4.5,2.42,22.0,0.98,12.67,3.19,0.42,0.9,98,2.4,2.63,1,1.74
660,5.7,2.52,20.5,1.1,12.7,3.3,0.26,2.4,103,2.7,1.95,2,1.62
690,4.4,2.28,20.0,1.08,13.28,3.05,0.43,2.29,103,2.4,2.86,0,1.78
470,3.06,2.42,18.0,1.06,12.64,3.19,0.35,1.56,98,2.55,2.41,1,1.73
660,3.25,2.23,16.0,1.05,12.5,2.88,0.39,1.38,87,1.6,1.45,2,1.73
600,5.7,2.64,20.0,1.06,12.7,2.75,0.2,1.8,93,2.3,2.4,0,1.62
560,4.38,2.42,16.6,0.86,12.68,1.68,0.31,1.57,98,2.15,1.55,2,1.67
570,6.9,2.36,22.0,0.95,13.62,2.6,0.39,1.6,96,2.4,2.4,2,1.79
620,4.4,2.2,19.0,0.98,12.28,3.05,0.32,1.38,88,2.55,2.29,0,1.68
720,3.8,2.5,19.0,1.07,12.48,3.27,0.39,2.38,88,2.5,2.7,1,1.53
540,3.3,2.27,17.0,1.07,12.5,2.9,0.28,1.7,84,2.6,2.6,1,1.66
510,2.5,1.95,22.0,1.06,12.5,1.88,0.28,1.08,86,2.3,0.68,2,1.89
500,5.6,2.21,16.5,0.97,12.64,2.88,0.33,1.28,98,2.86,2.36,0,1.53
890,4.5,2.3,17.5,1.02,13.28,3.06,0.31,1.75,119,2.65,1.8,0,1.81
610,2.1,2.14,21.0,0.8,12.48,2.2,0.25,1.76,97,2.65,2.68,2,1.78
440,2.65,2.5,17.0,1.03,12.5,1.48,0.36,1.59,97,1.8,0.68,1,3.65
550,2.15,2.3,21.0,0.98,12.38,3.11,0.34,1.56,94,2.4,2.69,2,1.73
640,5.6,2.2,21.0,0.98,12.2,3.1,0.25,1.56,85,2.5,2.52,2,1.65
550,6.8,2.34,22.5,0.78,12.78,2.64,0.32,1.73,88,2.1,2.06,1,1.79
650,5.5,2.46,20.3,0.98,12.63,2.8,0.23,1.7,98,2.4,2.35,2,1.56
720,4.5,2.2,19.0,0.96,12.87,2.98,0.26,1.92,99,2.5,2.63,2,1.74
890,6.1,2.7,22.0,0.96,13.48,3.05,0.3,1.48,99,1.72,1.26,0,1.52
