proline,color_intensity,ash,alcalinity_of_ash,hue,alcohol,od280/od315_of_diluted_wines,nonflavanoid_phenols,proanthocyanins,magnesium,total_phenols,flavanoids,target,malic_acid
580,6.2,2.3,20.0,1.05,13.18,3.2,0.29,1.8,100,2.7,3.35,1,1.64
550,3.05,2.64,16.0,0.96,12.02,2.64,0.26,1.62,98,2.6,2.28,1,1.53
580,5.6,2.2,17.0,1.12,13.16,1.82,0.24,2.15,96,2.5,2.62,1,1.71
720,3.05,2.42,19.0,1.02,12.86,2.88,0.35,1.61,98,2.1,1.28,1,1.77
760,5.7,2.34,16.0,1.06,13.25,2.96,0.26,1.76,82,3.2,2.82,0,1.73
910,5.15,2.27,23.0,0.97,12.6,2.88,0.43,0.85,97,2.4,1.74,2,1.67
750,5.5,2.57,19.0,1.05,13.4,3.2,0.29,1.62,94,2.7,2.7,0,1.8
750,4.35,2.64,21.0,1.04,13.05,3.27,0.32,1.92,98,2.45,2.29,0,1.67
620,6.8,2.61,17.5,1.05,14.1,2.96,0.26,1.67,97,1.85,1.62,1,1.69
500,3.4,2.08,18.5,1.05,12.8,2.8,0.22,1.52,87,2.3,1.5,2,1.67
1050,6.25,2.4,15.0,1.06,14.18,3.5,0.32,1.82,115,2.6,2.64,0,1.52
630,3.9,2.5,18.0,1.05,12.74,2.84,0.24,1.7,92,2.9,2.47,1,1.74
550,5.5,2.44,18.5,1.04,12.5,3.38,0.26,1.68,96,2.65,1.69,2,1.83
680,4.8,2.14,20.0,0.97,12.89,2.88,0.52,1.72,96,2.47,2.16,0,1.77
680,5.2,2.5,17.0,1.12,12.65,2.8,0.24,1.69,104,2.3,1.76,2,1.53
1190,5.05,2.64,24.0,0.98,13.58,1.96,0.56,0.89,108,1.74,0.9,2,1.75
520,3.2,2.25,15.0,1.04,12.64,3.06,0.27,1.63,88,2.65,3.06,0,1.77
880,5.6,2.54,20.0,1.04,13.47,2.88,0.45,1.92,121,2.65,1.68,0,1.67
510,1.6,2.64,21.0,0.73,11.62,1.68,0.4,1.35,85,1.55,0.68,2,1.81
750,4.8,2.26,16.0,0.92,13.05,1.68,0.45,1.75,120,1.85,1.72,2,1.67
860,5.7,2.7,22.0,0.97,13.48,3.06,0.38,1.78,127,3.15,2.61,0,1.64
680,5.7,2.6,21.0,0.98,12.5,3.22,0.28,1.77,97,2.6,2.88,0,1.83
580,3.4,2.64,18.0,1.07,12.98,2.29,0.29,1.68,94,2.56,2.58,1,1.74
520,3.4,2.14,17.0,0.72,12.5,3.2,0.35,1.68,96,1.65,1.5,2,1.53
1035,3.5,2.7,22.5,0.86,13.2,1.96,0.32,1.52,87,1.5,1.3,2,1.79
700,4.4,2.48,18.0,1.04,13.05,1.8,0.24,2.25,97,2.5,2.65,1,1.73
690,5.6,2.86,18.5,0.65,13.52,2.92,0.34,1.89,101,1.87,1.75,0,1.71
580,5.05,2.48,20.0,1.02,12.5,2.38,0.28,1.56,94,2.55,2.45,2,1.53
560,3.4,2.4,17.0,1.12,12.45,2.5,0.22,1.7,100,2.55,2.16,2,1.61
680,4.5,2.3,17.0,1.06,13.27,3.2,0.25,1.5,99,2.7,2.47,1,1.59
