proline,color_intensity,ash,alcalinity_of_ash,hue,alcohol,od280/od315_of_diluted_wines,nonflavanoid_phenols,proanthocyanins,magnesium,total_phenols,flavanoids,target,malic_acid
790,5.7,2.42,16.0,1.08,13.59,3.18,0.34,1.72,102,2.6,2.53,1,1.81
780,3.06,2.5,20.0,1.12,13.64,3.3,0.25,1.45,112,2.65,2.7,1,1.89
550,3.8,2.64,22.0,0.83,13.45,1.66,0.46,0.8,88,1.85,1.15,1,2.88
510,2.45,2.28,22.0,0.85,12.15,2.5,0.29,1.75,102,2.5,2.3,1,1.53
880,5.5,2.48,16.0,0.86,13.2,1.62,0.33,1.73,94,1.7,0.57,1,1.72
990,4.8,2.38,24.0,0.99,13.88,3.08,0.28,1.95,112,2.6,1.72,2,1.64
640,5.4,2.48,18.0,1.03,13.27,2.63,0.25,1.69,89,2.5,2.6,0,1.88
650,2.88,2.14,17.0,0.88,11.69,1.46,0.32,1.16,88,1.36,1.02,0,1.73
720,6.75,2.3,16.5,1.1,13.36,2.86,0.25,0.9,97,2.6,2.65,1,1.75
530,3.05,2.27,20.0,1.05,12.8,2.38,0.43,1.63,92,2.1,2.68,2,1.81
510,3.85,2.35,24.5,0.98,13.31,3.06,0.37,1.75,103,2.38,1.68,0,1.64
660,4.6,2.42,20.0,1.04,13.48,3.35,0.31,1.66,101,2.5,2.32,1,1.74
720,6.0,2.64,21.0,1.06,13.42,2.88,0.29,2.87,122,2.35,2.61,2,1.81
680,4.5,2.42,20.0,0.95,12.64,2.96,0.38,0.62,120,2.7,1.85,1,1.76
630,3.7,2.1,17.0,0.93,12.48,2.36,0.23,1.68,94,2.45,2.35,2,1.53
880,4.5,2.3,21.0,0.87,12.67,3.05,0.35,1.68,98,2.4,2.5,2,3.1
1090,2.25,2.42,20.0,0.95,12.65,3.05,0.2,1.25,90,3.2,3.18,0,1.88
1070,5.8,2.42,20.0,0.93,14.3,3.06,0.31,1.75,107,3.27,2.96,1,1.77
570,4.6,2.36,17.6,1.13,13.4,2.76,0.36,1.71,101,2.8,2.96,1,1.52
680,5.1,2.5,17.5,1.05,13.48,3.25,0.23,1.68,122,2.8,2.85,2,1.91
770,5.6,2.25,20.0,1.03,12.88,2.69,0.25,1.63,94,2.55,2.58,0,1.53
510,5.8,2.42,20.0,0.93,12.28,2.96,0.27,1.65,105,2.75,2.41,0,1.61
630,5.6,2.52,24.5,0.98,12.5,3.05,0.28,1.72,107,1.95,1.5,2,1.65
680,3.2,2.24,20.5,1.06,12.64,2.86,0.32,1.52,91,2.5,2.55,1,1.77
560,6.7,2.48,16.5,1.05,13.42,3.1,0.31,1.69,94,2.6,2.7,2,1.77
640,2.4,2.29,18.0,1.18,12.4,3.06,0.27,1.6,92,2.25,1.58,2,1.78
530,4.5,2.22,16.5,1.05,12.7,3.14,0.32,1.57,84,3.2,3.45,1,1.89
750,3.75,2.6,18.0,1.05,13.7,3.25,0.3,1.85,85,2.7,2.6,2,1.66
680,4.8,2.64,20.0,1.13,13.42,3.07,0.33,1.73,88,2.7,2.91,2,1.53
540,5.65,2.5,19.0,1.06,12.37,2.1,0.24,1.92,85,2.5,2.5,0,1.48
