fWidth,fConc,fAsym,fConc1,fLength,fDist,fSize,fM3Long,fAlpha,class,fM3Trans
26.465,0.246,16.546,0.13,30.244,138.822,2.759,10.674,28.51,0,-4.856
18.576,0.199,52.903,0.1,67.864,211.423,3.108,53.271,2.592,0,14.076
31.042,0.192,-18.264,0.096,84.97,285.272,3.23,45.346,0.11,0,26.565
12.814,0.484,11.59,0.274,25.378,154.877,2.474,10.935,4.105,0,-9.523
15.1,0.412,12.685,0.206,28.741,121.63,2.704,19.403,0.762,0,-7.45
12.046,0.448,-8.277,0.26,24.824,221.62,2.474,14.93,3.574,0,-7.444
9.237,0.658,17.914,0.436,29.852,174.87,2.511,22.98,7.147,1,7.324
7.912,0.658,4.062,0.368,24.208,163.85,2.354,10.605,53.201,1,6.33
28.24,0.158,-65.175,0.088,85.703,265.24,3.754,80.498,0.358,0,-6.785
20.16,0.41,32.997,0.219,23.172,118.229,2.625,11.135,19.334,0,-8.3
33.467,0.263,-126.618,0.13,91.258,234.482,3.039,83.788,5.164,1,-17.425
12.891,0.464,29.13,0.22,27.033,184.082,2.682,21.756,11.258,1,-5.54
21.171,0.211,54.833,0.109,61.646,234.581,3.43,52.488,4.213,0,-18.986
73.477,0.165,-42.700,0.085,123.168,360.818,3.989,-65.794,48.258,1,-43.065
15.42,0.528,23.459,0.267,22.036,168.333,2.518,17.614,13.93,0,-11.023
24.133,0.213,88.737,0.116,81.608,245.826,3.103,74.203,3.419,0,14.997
23.321,0.242,-66.224,0.125,74.14,262.22,2.852,32.874,0.741,0,-11.519
20.76,0.21,13.587,0.107,47.107,178.097,3.116,32.299,12.885,0,6.104
120.685,0.132,-236.716,0.064,195.034,170.609,3.799,86.798,83.255,1,-79.456
36.464,0.186,-43.86,0.103,76.83,320.146,3.526,65.87,4.042,0,-20.192
7.412,0.782,-1.638,0.405,19.715,233.387,2.307,7.644,68.24,0,-5.224
14.431,0.316,17.428,0.185,39.791,200.591,2.77,18.96,22.19,0,10.766
15.36,0.435,2.488,0.248,30.005,188.727,2.848,-7.236,16.75,0,-7.128
16.756,0.358,2.638,0.242,30.342,191.775,2.638,-7.611,3.443,0,-11.007
11.077,0.76,-14.849,0.399,13.078,227.589,2.119,4.1,58.14,1,11.751
18.014,0.211,-3.028,0.111,50.086,164.067,2.848,-21.093,17.293,0,13.796
30.833,0.218,92.107,0.132,138.503,156.899,3.3,130.16,65.519,1,-19.262
21.227,0.27,-54.544,0.165,58.952,89.164,2.688,-43.672,32.936,1,-17.7
22.611,0.229,-19.616,0.115,40.574,166.295,2.217,-18.993,6.107,0,-9.455
93.546,0.175,-88.635,0.1,174.7,340.8,3.667,-27.77,53.968,1,39.76
17.448,0.56,11.113,0.286,18.253,166.167,2.523,17.984,12.154,0,-7.798
9.789,0.437,24.903,0.248,37.178,220.258,2.693,32.699,32.348,1,6.139
17.324,0.394,25.638,0.199,25.76,128.933,2.681,19.225,10.273,0,-12.868
12.632,0.521,15.652,0.33,20.665,244.19,2.359,15.338,54.346,1,5.281
13.53,0.5,45.512,0.328,37.597,173.08,2.494,-8.699,13.599,0,-9.846
27.646,0.286,-19.2,0.181,64.411,298.693,3.007,26.184,3.748,0,-23.794
132.982,0.072,43.92,0.039,207.232,334.72,4.446,142.111,33.571,1,75.359
16.203,0.538,28.97,0.286,21.021,142.35,2.583,-13.446,61.83,1,-13.657
17.797,0.433,42.595,0.26,28.718,179.446,2.584,-21.617,8.54,0,-5.579
26.674,0.179,53.057,0.102,80.291,212.309,3.576,81.06,4.036,0,13.878
49.856,0.156,-166.751,0.098,120.611,126.592,3.173,-97.032,44.44,1,53.892
18.583,0.358,-4.112,0.227,27.962,119.537,2.758,-26.327,4.519,0,10.472
15.346,0.404,31.459,0.215,28.76,160.489,2.636,19.085,6.407,0,9.794
20.934,0.316,20.634,0.188,126.123,99.832,2.92,123.9,217.804,1,-6.77
12.175,0.593,8.472,0.355,19.949,147.419,2.483,16.923,60.36,0,-10.793
17.324,0.394,25.638,0.199,25.76,128.933,2.681,19.225,10.273,0,-12.868
12.632,0.521,15.652,0.33,20.665,244.19,2.359,15.338,54.346,1,5.281
13.53,0.5,45.512,0.328,37.597,173.08,2.494,-8.699,13.599,0,-9.846
7.426,0.712,0.24,0.418,21.489,136.77,2.115,-10.134,75.116,0,-4.38
11.429,0.725,14.953,0.412,12.64,103.888,2.129,-9.068,69.715,0,11.965
10.644,0.76,9.522,0.39,17.828,136.732,2.224,-20.826,24.209,0,7.165
15.746,0.237,-28.112,0.124,67.3,234.825,3.276,40.798,2.553,0,11.834
12.211,0.381,21.152,0.222,66.159,190.625,2.877,47.146,3.742,0,10.18
18.03,0.337,12.635,0.194,28.823,140.793,2.898,19.678,22.053,0,10.024
12.989,0.515,-14.277,0.267,18.288,157.526,2.402,-7.229,48.039,0,-3.933
24.316,0.188,-9.2,0.096,64.249,286.468,3.126,52.151,2.448,0,14.100
19.392,0.376,11.993,0.219,26.995,174.505,2.575,15.847,80.839,0,-18.112
65.716,0.082,67.424,0.041,89.944,60.414,4.107,93.472,61.285,1,-44.014
28.787,0.238,-92.403,0.138,94.43,294.874,3.279,28.716,22.162,0,-20.382
16.519,0.428,5.918,0.213,23.228,177.118,2.638,21.332,31.451,1,12.164
39.762,0.097,-57.069,0.05,88.474,286.92,4.029,74.337,12.753,0,-26.655
12.857,0.498,2.431,0.328,28.085,179.107,2.593,13.043,25.408,1,8.681
16.333,0.315,84.247,0.17,49.548,250.052,2.519,-22.136,3.556,0,10.516
19.694,0.313,61.087,0.196,40.236,155.096,2.689,-23.538,57.172,0,5.877
29.523,0.333,-66.395,0.212,59.322,130.817,2.709,-43.246,36.996,1,28.73
8.049,0.556,12.727,0.316,26.688,229.069,2.579,19.521,29.312,1,4.778
17.334,0.311,19.417,0.178,42.307,126.341,2.713,41.934,17.336,1,9.874
22.168,0.155,-108.554,0.081,67.702,221.202,3.209,-22.738,1.786,0,6.824
12.262,0.511,-1.862,0.287,20.183,162.899,2.474,8.543,40.196,0,10.659
132.015,0.016,-257.948,0.009,166.073,162.484,5.012,84.352,37.371,1,41.515
30.443,0.155,-32.398,0.79,87.689,281.226,3.65,50.696,1.807,0,-22.079
22.759,0.206,2.772,0.115,57.964,225.895,3.428,35.889,1.877,0,12.075
21.44,0.255,14.179,0.134,35.922,167.545,3.010,24.972,1.866,0,-9.936
20.104,0.303,15.418,0.159,28.158,132.272,2.735,22.051,27.335,0,-11.675
31.004,0.162,-48.915,0.088,43.578,219.274,3.22,24.678,79.278,1,-18.086
18.495,0.391,6.599,0.214,30.377,267.751,2.622,27.165,0.059,0,12.674
16.462,0.336,19.584,0.181,33.065,138.709,2.565,19.737,3.92,0,-9.035
32.317,0.133,-66.099,0.07,90.078,275.422,3.876,77.919,3.343,0,-10.307
12.743,0.455,8.882,0.258,24.43,218.025,2.688,10.591,45.127,1,15.464
30.338,0.35,-30.642,0.196,65.478,113.792,2.531,-63.524,45.673,1,24.909
17.56,0.408,8.151,0.231,30.225,88.347,2.842,24.424,7.647,1,9.725
17.56,0.341,11.158,0.193,32.981,104.51,2.698,21.137,10.702,0,-6.857
22.868,0.179,50.664,0.096,69.12,236.77,3.333,63.948,0.13,0,12.216
15.994,0.428,-10.842,0.219,21.227,164.16,2.44,-18.156,8.341,0,-11.744
14.121,0.545,10.192,0.323,21.445,220.444,2.565,-7.484,16.629,0,-11.4
18.246,0.378,1.55,0.192,30.002,209.252,2.666,-20.86,16.171,0,-9.052
