fWidth,fConc,fAsym,fConc1,fLength,fDist,fSize,fM3Long,fAlpha,class,fM3Trans
28.352,0.191,-59.568,0.1,156.852,80.832,3.558,-175.252,46.754,1,-18.512
28.732,0.293,-57.441,0.176,135.357,169.964,2.986,-155.806,40.864,1,29.36
18.012,0.476,3.657,0.247,25.397,218.495,2.569,16.805,4.264,0,9.921
37.467,0.172,-91.146,0.087,90.278,325.668,3.514,82.631,3.597,0,19.489
22.73,0.217,-16.596,0.113,53.455,223.225,3.148,50.994,2.190,0,-9.236
10.792,0.499,5.665,0.331,26.826,204.826,2.351,22.387,20.559,0,9.869
12.284,0.416,11.545,0.232,24.124,141.231,2.666,20.096,43.103,1,5.708
33.475,0.349,-51.152,0.201,82.09,332.744,2.875,-60.294,9.277,1,37.037
19.027,0.298,-0.092,0.172,29.491,196.934,2.932,-2.692,3.249,0,-10.038
27.075,0.39,-68.897,0.58,89.414,295.331,3.356,-91.035,3.878,1,16.481
16.862,0.323,-7.331,0.166,28.752,251.158,2.626,13.075,3.136,0,-9.518
7.002,0.723,2.57,0.379,20.338,234.923,2.269,-8.19,3.384,1,5.216
77.016,0.14,13.716,0.073,120.031,300.93,3.61,-117.194,40.434,1,56.802
17.635,0.378,11.242,0.199,24.734,169.087,2.273,11.96,14.778,0,-7.204
9.472,0.544,17.308,0.318,27.394,152.484,2.238,0.638,56.548,0,-4.688
11.795,0.411,3.008,0.218,23.975,159.03,2.382,10.348,27.528,0,7.336
23.321,0.242,-66.224,0.125,74.14,262.22,2.852,32.874,0.741,0,-11.519
20.76,0.21,13.587,0.107,47.107,178.097,3.116,32.299,12.885,0,6.104
120.685,0.132,-236.716,0.064,195.034,170.609,3.799,86.798,83.255,1,-79.456
36.763,0.184,-4.104,0.096,85.346,355.14,3.518,86.718,0.32,0,18.55
7.158,0.724,11.428,0.367,21.199,177.041,2.025,11.1,43.161,0,-5.264
14.454,0.348,7.781,0.176,32.088,107.391,2.69,22.863,3.996,0,5.092
16.733,0.528,3.933,0.294,18.458,139.536,2.631,-15.588,67.526,1,-8.068
23.109,0.273,24.955,0.18,40.712,130.289,3.037,27.143,16.546,0,16.256
27.26,0.279,77.27,0.144,71.527,305.966,2.644,57.367,12.571,0,17.539
11.48,0.729,-15.208,0.398,12.828,152.901,2.311,7.686,40.354,0,10.728
7.17,0.702,1.444,0.355,20.828,166.977,2.088,-8.777,49.935,0,-6.038
21.92,0.345,23.512,0.187,54.135,298.611,2.87,41.199,2.462,0,14.882
12.21,0.43,11.806,0.243,24.759,159.861,2.594,10.487,7.219,1,5.07
10.684,0.782,-13.437,0.395,13.224,156.968,2.172,-3.717,29.272,0,11.691
12.179,0.343,-93.466,0.197,57.434,249.228,2.548,44.058,11.365,0,-10.963
16.034,0.618,1.777,0.367,17.593,159.92,2.218,15.356,34.553,0,-11.004
64.524,0.172,-221.016,0.081,213.718,336.422,3.28,-202.209,49.932,1,-40.387
14.497,0.404,-23.192,0.254,16.429,117.78,2.446,-15.713,28.759,1,11.972
16.392,0.417,-19.406,0.312,31.232,185.797,2.694,-20.678,0.583,0,-15.673
15.325,0.421,1.38,0.252,26.125,191.041,2.775,21.068,26.957,0,-8.592
20.158,0.292,-75.402,0.149,59.435,261.124,2.768,44.168,2.042,0,-11.116
16.699,0.384,3.285,0.254,31.097,191.79,2.874,29.625,83.658,1,9.175
24.23,0.18,18.552,0.096,48.768,168.557,3.03,37.377,16.484,0,18.21
10.737,0.556,-20.414,0.222,20.428,134.77,2.596,-14.653,81.171,1,-6.497
