,Col 1,Col 2,Col 3,Col 4,Col 5,Col 6,Col 7,Col 8,Col 9,Col 10,Col 11,Col 12,Col 13,Col 14,Col 15,target,Col 16,Col 17,Col 18,Col 19,Col 20,Col 21,Col 22,Col 23,real_identifier
0,193.0,219.0,29.0,5.0,81.0,2.0,21.1111,-45.4444,143.0,1.0,4.0,3.0,6.0,2913.5,12.0,11.0,213.0,48.0,16.0,120.0,853.1111,0.41,-1.0,-1.0,0
1,168.0,351.0,40.0,3.0,93.0,1.0,10.2778,-61.1111,129.0,0.0,5.0,4.0,9.0,2467.8,15.0,11.0,279.0,69.0,18.0,150.0,794.4444,0.39,-1.0,-1.0,0
2,140.0,191.0,23.0,2.0,71.0,3.0,16.6667,-36.1111,157.0,0.0,4.0,6.0,5.0,2208.0,14.0,11.0,258.0,83.0,20.0,200.0,856.6667,0.44,-1.0,-1.0,0
3,118.0,249.0,35.0,4.0,85.0,2.0,25.5556,-51.1111,141.0,1.0,3.0,5.0,8.0,2754.0,13.0,11.0,297.0,76.0,19.0,180.0,819.4444,0.42,-1.0,-1.0,0
4,96.0,307.0,42.0,5.0,99.0,1.0,34.4444,-65.5556,133.0,0.0,5.0,3.0,7.0,3021.0,16.0,11.0,315.0,92.0,21.0,220.0,791.1111,0.43,-1.0,-1.0,0
5,74.0,265.0,50.0,6.0,113.0,0.0,43.3333,-79.4444,119.0,1.0,4.0,6.0,6.0,3287.0,12.0,11.0,333.0,108.0,22.0,250.0,772.2222,0.45,-1.0,-1.0,0
6,52.0,281.0,58.0,7.0,127.0,2.0,52.2222,-93.3333,105.0,0.0,5.0,5.0,5.0,3553.0,14.0,11.0,351.0,124.0,24.0,280.0,753.3333,0.46,-1.0,-1.0,0
7,30.0,297.0,66.0,8.0,141.0,1.0,61.1111,-107.2222,91.0,1.0,4.0,4.0,4.0,3820.0,16.0,11.0,369.0,140.0,26.0,310.0,734.4444,0.47,-1.0,-1.0,0
8,8.0,313.0,74.0,9.0,155.0,0.0,70.0,-121.1111,77.0,0.0,5.0,3.0,3.0,4087.0,18.0,11.0,387.0,156.0,28.0,340.0,715.5556,0.48,-1.0,-1.0,0
9,240.0,329.0,82.0,10.0,169.0,2.0,78.8889,-135.0,63.0,1.0,4.0,2.0,2.0,4354.0,20.0,11.0,405.0,172.0,30.0,370.0,696.6667,0.49,-1.0,-1.0,0
10,219.0,305.0,12.0,3.0,93.0,0.0,39.1234,-97.4567,141.0,1.0,4.0,6.0,8.0,2012.0,10.0,8.0,81.0,29.4,10.5,1200.0,851.2345,0.42,-1.0,0.67,0
