,fLength,fWidth,fSize,fConc,fConc1,fAsym,fM3Long,fM3Trans,fAlpha,fDist,class,real_identifier
0,90.3452,22.5678,3.1023,0.2267,0.1104,-120.456,60.123,-14.9876,5.987,230.567,0.0,0
1,52.7893,18.2345,2.5432,0.4598,0.289,-13.5678,-63.2345,-15.6789,2.3456,215.789,0.0,0
2,185.3456,54.1234,3.3456,0.2956,0.1589,-170.1234,-170.6789,32.5678,51.6789,270.4567,1.0,0
3,29.4567,11.6789,2.4678,0.5409,0.2967,36.789,18.2345,-11.2345,15.2345,168.345,0.0,0
4,70.2345,17.1234,2.9123,0.3123,0.2078,-67.8901,13.5678,11.2345,28.1234,265.678,1.0,0
5,50.6789,12.3456,3.0567,0.3056,0.1623,-68.2345,-27.3456,6.1234,71.2345,182.6789,1.0,0
6,73.5678,15.6789,3.0456,0.2912,0.1167,-95.6789,35.1234,14.1234,26.789,280.1234,1.0,0
7,32.1234,16.2345,2.6456,0.4123,0.219,-16.2345,-32.6789,-13.5678,74.3456,75.6789,0.0,0
8,20.6789,0.0012,2.1789,0.7654,0.4956,1.2345,0.0013,-9.2345,30.1234,238.567,0.0,0
9,85.789,27.2345,3.2345,0.2156,0.1389,78.1234,66.3456,-23.5678,4.1234,273.4567,0.0,0
10,120.3456,27.1234,2.9123,0.1821,0.1095,157.2345,-89.8765,9.8765,88.5678,181.2345,1.0,0
11,42.3456,12.3456,2.6301,0.3965,0.225,50.1234,29.1234,-10.5678,0.6789,168.1234,0.0,0
12,23.5678,17.1234,2.45,0.445,0.2275,10.1234,-8.8765,11.2345,31.5678,268.1234,0.0,0
13,100.6789,39.5678,4.07,0.105,0.0545,81.1234,69.5678,11.8765,0.3456,317.1234,0.0,0
14,39.1234,15.8765,2.6,0.3985,0.2175,4.1234,-25.5678,-16.8765,7.1234,219.1234,0.0,0
15,37.5678,22.1234,2.68,0.365,0.1625,-29.1234,-31.1234,-16.8765,51.5678,2.1234,1.0,0
16,28.1234,13.1234,2.33,0.45,0.23,22.1234,14.1234,9.1234,16.1234,171.1234,0.0,0
17,113.5678,64.1234,3.58,0.151,0.081,14.1234,111.8765,-18.8765,33.1234,165.1234,1.0,0
18,48.1234,30.1234,3.44,0.153,0.083,16.1234,-8.5678,21.1234,4.1234,203.1234,0.0,0
