sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
6.4,3.4,5.9,2.0,2
6.2,3.1,4.7,1.4,1
6.9,2.4,5.7,2.9,2
6.7,3.8,5.8,1.8,1
5.4,3.1,1.5,1.5,1
4.4,3.0,1.5,0.3,0
4.6,3.1,1.4,0.2,0
6.7,3.1,5.1,1.0,1
6.4,3.0,5.4,1.5,1
5.2,3.7,4.6,1.9,1
6.4,3.0,5.5,2.5,2
5.0,3.0,1.5,0.2,0
7.0,2.9,6.3,2.5,2
4.9,3.1,1.4,0.2,0
6.0,3.6,4.1,1.2,1
5.0,3.4,1.4,0.2,0
5.8,3.0,4.5,1.2,1
4.6,3.2,1.6,0.2,0
5.6,3.0,5.7,2.4,2
6.9,3.2,4.2,2.2,2
6.0,3.0,5.0,1.4,2
4.9,3.4,1.4,0.2,0
5.2,3.1,4.6,1.5,1
4.9,3.9,1.6,0.2,0
6.7,3.2,4.4,1.3,1
6.5,3.2,5.4,2.1,2
6.7,3.0,5.0,2.5,2
6.8,3.8,5.1,1.3,1
5.4,3.1,1.4,0.3,0
6.1,3.4,5.6,1.0,1
