fWidth,fConc,fAsym,fConc1,fLength,fDist,fSize,fM3Long,fAlpha,class,fM3Trans
15.83,0.392,-5.072,0.221,28.441,246.128,2.742,-16.22,18.729,0,-11.072
20.098,0.24,59.961,0.123,56.498,245.62,2.98,39.806,1.809,0,-10.333
22.886,0.206,54.298,0.109,49.239,171.968,2.972,18.912,4.627,0,14.253
16.838,0.375,-1.531,0.193,23.332,203.747,2.551,-11.3,15.822,0,-11.325
10.576,0.793,14.045,0.448,13.271,172.295,2.271,5.0,37.352,1,11.107
25.758,0.231,10.528,0.126,32.144,117.787,3.302,23.414,22.934,0,-15.324
11.086,0.644,4.298,0.328,16.842,189.721,2.456,-8.121,66.845,0,-6.858
17.915,0.298,23.407,0.154,33.086,230.038,2.64,-22.334,11.116,0,8.412
16.962,0.39,-7.021,0.217,23.842,167.807,2.761,10.506,21.962,0,-10.938
16.565,0.371,36.012,0.19,31.707,160.01,2.71,26.619,3.736,0,-9.593
11.404,0.594,-1.358,0.316,16.793,135.652,2.238,5.872,13.261,0,5.079
16.565,0.418,11.129,0.215,25.165,199.088,2.642,16.189,1.135,0,11.322
17.382,0.368,22.099,0.216,33.954,187.496,2.883,25.212,0.232,0,11.082
11.932,0.687,16.338,0.367,12.522,121.342,2.039,-10.232,7.8,0,-6.54
11.236,0.614,9.897,0.384,17.616,180.666,2.566,26.798,40.777,1,-8.352
17.284,0.336,40.097,0.172,35.556,169.921,2.82,29.129,4.181,0,13.731
18.859,0.29,-19.969,0.146,29.494,95.358,2.708,22.622,23.316,0,-11.373
14.857,0.325,11.665,0.194,39.436,225.578,2.862,26.007,6.789,0,7.735
11.236,0.747,14.929,0.382,12.968,46.825,2.138,-4.336,17.819,0,-11.784
20.034,0.24,59.081,0.128,61.276,240.987,3.136,60.102,2.552,0,8.043
7.463,0.729,0.648,0.453,19.23,131.426,2.077,-5.591,89.767,0,4.299
12.578,0.482,14.673,0.256,21.173,139.196,2.345,11.338,30.453,0,-9.407
20.148,0.303,2.663,0.157,30.771,192.855,2.998,-13.186,9.626,0,-13.659
7.2,0.716,-1.164,0.384,20.665,113.587,2.106,7.935,18.327,0,5.907
10.629,0.556,24.119,0.279,22.175,191.543,2.207,17.95,14.376,0,7.229
13.784,0.37,12.358,0.198,30.741,155.12,2.607,-14.437,24.619,0,10.368
15.926,0.33,4.203,0.202,34.926,182.099,2.565,32.139,9.374,0,7.885
22.76,0.206,5.278,0.109,41.316,226.028,2.952,-19.403,10.9,0,13.131
11.058,0.559,-15.081,0.318,21.947,195.459,2.173,-18.669,10.589,0,-4.353
9.779,0.824,11.326,0.537,13.352,101.797,2.273,8.395,25.114,0,11.107
10.509,0.596,-0.0,0.33,18.14,229.509,2.212,-0.497,63.048,0,-5.507
7.273,0.744,2.937,0.39,20.148,179.276,2.106,-10.361,34.229,0,-5.445
19.842,0.348,6.478,0.184,26.512,132.265,2.556,-14.605,38.921,0,-11.933
25.894,0.183,-80.543,0.093,70.338,253.998,3.358,50.681,5.84,0,-15.787
12.665,0.489,19.727,0.293,24.692,229.866,2.634,15.944,2.009,0,8.686
16.042,0.338,-2.858,0.17,31.836,133.885,2.629,19.012,14.116,0,-14.854
12.898,0.507,-9.173,0.284,19.284,251.865,2.394,-13.64,72.468,1,-5.89
9.998,0.641,-3.004,0.373,18.355,226.303,2.279,11.684,31.103,0,6.405
12.062,0.519,3.552,0.262,20.408,210.279,2.504,-11.488,0.912,0,9.97
13.576,0.463,-2.577,0.257,30.412,204.871,2.659,20.322,6.213,0,8.305
9.548,0.61,-23.566,0.321,19.3,158.637,2.387,-9.1,4.846,0,3.162
12.989,0.492,14.579,0.274,19.887,211.3,2.310,10.891,14.345,0,3.944
21.649,0.233,23.775,0.117,72.313,240.989,3.046,71.033,8.202,0,-9.617
18.859,0.262,13.988,0.148,37.996,180.21,3.037,19.168,5.175,0,-12.858
24.808,0.228,25.528,0.132,64.403,237.272,3.066,57.472,4.497,0,18.216
12.836,0.557,-14.48,0.319,19.836,195.076,2.399,-12.959,14.603,0,7.938
11.142,0.435,-18.85,0.26,28.583,209.266,2.662,9.189,8.98,1,6.612
19.353,0.235,38.002,0.125,48.08,216.839,3.205,33.082,3.821,0,-10.051
7.951,0.507,-14.102,0.3,26.782,111.125,2.615,17.632,76.943,1,-5.386
18.346,0.276,-1.351,0.143,35.91,191.034,2.937,-25.4,1.837,0,6.092
12.826,0.42,27.58,0.215,28.128,208.012,2.604,14.737,12.164,0,7.621
16.744,0.417,-11.747,0.208,22.086,166.74,2.419,-10.453,39.566,0,11.903
10.754,0.531,0.187,0.266,17.994,225.17,2.167,-3.986,26.108,0,-3.879
9.998,0.568,-24.221,0.303,19.314,159.181,2.387,-9.233,5.669,0,5.65
17.614,0.366,17.248,0.188,29.272,262.017,2.744,24.732,19.869,0,14.606
10.686,0.786,-14.126,0.444,13.276,196.529,2.154,-4.595,78.699,0,11.747
11.24,0.574,-1.25,0.326,16.881,162.458,2.303,5.791,18.428,0,-5.791
16.501,0.281,37.344,0.146,37.407,143.83,2.944,24.33,5.418,0,8.941
21.406,0.282,32.138,0.147,40.986,169.058,2.951,28.256,10.352,0,14.532
18.012,0.308,24.453,0.167,31.085,211.507,2.78,18.229,17.992,0,-13.236
24.806,0.179,24.113,0.101,46.169,182.825,3.471,37.294,2.572,0,11.33
11.932,0.526,27.544,0.268,22.023,145.155,2.307,8.719,14.085,0,8.796
15.652,0.33,2.871,0.183,29.91,237.238,2.798,24.714,0.811,0,-5.657
11.807,0.711,15.96,0.369,12.616,180.345,2.051,-8.369,74.332,0,-11.137
12.683,0.494,23.072,0.256,20.892,105.824,2.36,13.143,24.346,0,9.948
11.358,0.741,15.019,0.38,12.934,227.107,2.316,-4.942,25.505,1,11.674
16.042,0.406,-1.194,0.229,19.786,135.808,2.5,8.339,12.236,0,-5.15
14.84,0.396,-19.783,0.209,24.556,228.891,2.597,10.508,2.423,1,-7.288
12.698,0.495,15.901,0.278,20.926,165.087,2.394,11.45,17.008,0,-7.608
17.658,0.392,6.436,0.2,30.016,222.958,2.748,27.844,2.062,0,-8.293
11.462,0.729,15.138,0.378,12.864,165.901,2.051,-6.846,11.725,0,11.413
21.126,0.263,22.523,0.134,40.901,206.321,2.987,-22.078,0.573,0,-13.149
19.979,0.246,26.512,0.139,50.528,235.402,3.094,47.867,0.152,0,-15.776
11.345,0.732,-14.966,0.425,12.93,183.658,2.099,8.196,67.309,0,8.932
11.47,0.737,15.096,0.39,12.877,164.935,2.129,-6.645,5.804,0,-11.41
17.685,0.353,5.272,0.188,28.344,241.902,2.801,23.943,10.649,0,-12.063
9.342,0.472,12.663,0.257,27.534,212.334,2.453,18.087,8.839,1,4.735
17.642,0.264,25.721,0.157,46.931,171.657,3.009,38.496,5.01,0,10.932
19.097,0.31,59.271,0.161,61.535,268.018,2.844,60.386,6.13,0,18.619
18.232,0.388,14.337,0.206,29.165,204.991,2.749,22.947,27.994,0,10.89
15.705,0.405,11.07,0.219,24.695,147.701,2.663,10.351,5.916,0,-10.313
17.465,0.431,-8.931,0.276,23.285,128.765,2.595,-18.956,12.957,0,-17.031
10.576,0.628,8.482,0.329,19.308,203.939,2.334,-17.186,9.834,0,-10.556
10.108,0.619,21.566,0.345,18.114,209.331,2.292,11.414,11.766,0,-4.91
16.601,0.379,34.976,0.2,35.498,151.932,2.797,30.038,1.575,0,-7.252
10.351,0.546,-23.796,0.289,18.729,80.322,2.23,-9.416,0.858,0,-2.311
16.762,0.228,43.356,0.121,49.692,160.565,3.009,29.184,1.734,0,-11.333
18.69,0.39,-14.22,0.21,23.721,147.697,2.565,-10.827,13.713,0,-13.109
24.719,0.18,-22.153,0.102,41.935,252.297,2.985,11.154,8.681,0,-13.422
7.412,0.598,-6.363,0.36,27.618,183.37,2.228,-19.801,77.668,1,4.146
16.446,0.376,1.952,0.21,30.579,194.893,2.78,-13.176,1.975,0,11.464
9.629,0.431,55.49,0.225,45.215,189.825,2.814,36.825,15.201,1,8.39
13.413,0.316,39.926,0.172,48.911,239.173,2.827,38.099,1.001,0,-9.79
11.045,0.749,14.267,0.454,12.97,172.72,2.18,-6.781,50.298,0,-9.66
11.658,0.6,0.721,0.326,16.236,147.108,2.398,-4.615,45.892,0,-4.869
12.698,0.459,17.001,0.237,23.751,170.146,2.465,11.883,16.748,0,7.876
11.77,0.701,-15.709,0.377,12.638,124.841,2.039,8.586,82.37,0,10.755
17.89,0.364,-11.064,0.189,26.782,118.958,2.719,14.63,2.407,0,-15.606
16.603,0.371,17.407,0.193,26.626,149.772,2.675,-14.356,1.271,0,12.648
15.705,0.418,4.663,0.236,24.451,165.733,2.593,16.143,34.334,0,-10.572
21.18,0.253,-24.004,0.134,32.821,160.491,2.738,-7.398,22.158,0,11.236
12.698,0.492,14.529,0.301,20.548,171.721,2.394,13.84,12.887,0,-9.00
13.281,0.463,14.098,0.292,32.379,154.697,2.649,23.95,15.093,0,7.682
11.295,0.741,15.0,0.372,12.964,150.305,2.135,0.48,9.655,0,11.754
11.807,0.545,-9.369,0.312,22.379,130.112,2.594,-9.869,7.229,0,6.683
10.625,0.579,22.252,0.312,22.111,179.478,2.267,19.104,14.475,0,10.662
7.245,0.712,-1.314,0.376,20.494,89.016,2.039,8.386,73.244,0,-5.777
12.378,0.482,-2.591,0.291,19.696,155.22,2.411,11.58,22.768,0,-10.487
14.982,0.414,-5.524,0.209,24.238,140.734,2.558,-17.991,22.782,0,-7.252
11.837,0.458,12.578,0.237,24.578,229.883,2.471,12.662,2.988,0,5.657
7.443,0.799,-1.244,0.568,17.357,235.809,2.186,-2.626,42.967,0,4.407
18.566,0.368,-7.443,0.191,24.785,213.836,2.615,-12.36,22.665,0,11.64
17.412,0.337,-2.954,0.212,36.218,155.326,2.83,-30.147,5.887,0,11.072
9.629,0.459,32.334,0.257,40.22,225.365,2.724,34.162,15.129,1,6.494
16.898,0.349,14.985,0.178,30.003,194.439,2.597,23.272,1.713,0,9.179
13.898,0.312,21.041,0.165,41.107,199.086,2.888,29.219,2.345,0,9.79
12.898,0.421,-13.339,0.223,27.027,99.683,2.431,-17.3,23.222,0,7.839
17.642,0.274,17.367,0.14,42.784,240.161,2.777,-26.86,1.806,0,13.833
10.177,0.471,14.488,0.244,24.913,118.321,2.376,-16.91,1.744,0,1.98
23.48,0.214,12.155,0.114,36.835,134.29,3.134,20.265,11.28,0,14.442
12.72,0.342,41.232,0.181,33.991,177.1,2.698,23.901,4.327,0,-6.962
15.744,0.405,27.625,0.207,28.518,168.206,2.417,20.803,23.346,0,7.744
10.985,0.752,-14.097,0.442,12.98,182.721,2.166,6.543,0.131,0,11.043
15.082,0.378,15.423,0.209,25.464,149.216,2.53,15.336,12.746,0,7.912
14.576,0.432,6.009,0.231,24.873,55.858,2.568,12.355,52.049,0,-5.044
12.636,0.516,15.652,0.287,20.665,61.658,2.399,11.58,30.191,0,6.601
10.982,0.627,-2.173,0.369,16.844,103.311,2.272,6.526,14.985,0,-6.692
7.023,0.679,-24.564,0.347,21.284,172.23,2.163,-8.935,2.571,0,-6.204
10.625,0.509,13.585,0.309,24.745,193.63,2.306,20.308,34.775,0,6.697
9.548,0.822,11.856,0.53,13.166,218.065,2.289,8.386,43.054,0,-10.213
10.625,0.508,3.474,0.272,24.577,132.836,2.313,20.556,38.159,0,-4.507
11.09,0.761,-14.364,0.434,13.034,139.852,2.129,5.447,67.654,0,10.302
21.18,0.264,-32.403,0.155,35.088,158.238,2.87,-18.07,18.409,0,14.118
12.394,0.482,1.846,0.27,21.476,163.012,2.456,-5.072,23.541,0,-10.132
11.47,0.608,-2.0,0.376,16.314,126.598,2.373,5.015,8.244,0,-7.544
15.83,0.447,13.546,0.228,27.373,171.067,2.453,23.502,45.302,0,15.828
10.576,0.777,-13.715,0.487,13.146,203.049,2.203,-3.107,67.701,0,9.678
15.872,0.325,26.389,0.204,36.241,151.918,2.765,23.991,4.516,0,-7.334
14.53,0.402,-18.488,0.202,25.769,148.99,2.319,-14.0,86.249,1,12.74
18.698,0.3,25.603,0.163,36.178,137.057,2.706,23.898,19.119,0,-14.514
15.493,0.378,-19.784,0.201,24.062,192.256,2.621,19.048,10.576,0,-9.991
10.686,0.509,-23.534,0.257,18.302,172.429,2.344,-9.462,0.035,0,-2.309
15.601,0.425,-10.787,0.236,34.154,171.348,2.597,-25.528,2.789,0,8.72
9.814,0.69,-5.36,0.414,19.379,151.497,2.32,14.907,28.062,0,-5.408
12.693,0.466,25.502,0.237,21.334,105.139,2.4,11.268,66.47,0,7.008
11.142,0.546,0.419,0.279,17.352,206.017,2.238,-4.811,45.801,0,-2.449
19.549,0.286,24.949,0.15,37.016,177.649,2.875,28.985,4.53,0,-15.544
9.342,0.472,32.283,0.247,35.498,166.972,2.547,-8.905,86.866,1,4.856
21.576,0.298,8.681,0.152,33.436,210.581,2.994,-22.313,8.681,0,-6.183
11.109,0.751,-14.401,0.434,12.985,201.747,2.311,6.631,40.417,1,-10.176
22.834,0.179,-14.541,0.1,64.278,225.885,3.353,43.815,1.126,0,14.581
16.603,0.417,8.008,0.276,24.476,180.95,2.666,15.504,4.7,0,-12.167
24.618,0.178,-30.544,0.091,39.258,156.344,3.066,-22.239,18.042,0,-9.064
11.136,0.559,0.742,0.296,17.431,206.422,2.15,-5.236,73.0,0,4.492
10.754,0.631,-6.107,0.338,20.775,148.187,2.312,17.45,3.606,0,8.085
11.24,0.749,-14.796,0.414,12.983,239.867,2.151,6.61,73.846,0,11.24
10.924,0.441,-9.96,0.242,39.255,173.949,2.792,-21.43,86.181,1,6.747
17.685,0.296,31.813,0.156,35.312,197.121,2.912,10.998,0.318,0,-9.162
13.464,0.342,-20.747,0.186,46.187,175.932,2.755,-34.7,2.344,0,-9.419
12.898,0.533,-14.139,0.301,19.917,135.91,2.446,-12.411,79.93,0,5.484
10.686,0.783,-14.126,0.445,13.275,193.595,2.224,-3.36,11.851,0,-11.14
16.969,0.35,4.7,0.188,27.1,167.006,2.656,22.95,19.497,0,11.372
9.527,0.472,17.054,0.26,34.681,146.902,2.661,23.838,2.897,1,-5.776
20.099,0.396,-27.206,0.22,32.586,176.411,2.596,-25.457,6.653,0,-18.559
18.825,0.337,10.427,0.174,26.818,117.65,2.551,19.93,23.934,0,12.464
11.619,0.715,-15.492,0.372,12.752,150.656,2.031,6.715,8.803,0,11.289
17.034,0.344,-24.638,0.177,31.056,160.236,2.58,10.136,24.636,0,-8.574
17.382,0.336,-33.822,0.17,33.082,220.918,2.692,-19.422,8.274,0,-8.822
10.693,0.628,8.068,0.376,19.326,189.401,2.334,-17.131,3.715,0,-10.609
12.378,0.444,-8.747,0.246,23.853,33.764,2.384,-14.963,55.921,0,5.928
12.662,0.488,17.933,0.257,22.409,177.939,2.506,12.507,40.467,0,-6.634
15.007,0.35,36.796,0.183,29.516,143.478,2.549,9.187,2.608,0,-8.035
14.87,0.52,3.101,0.271,20.523,161.878,2.554,-12.533,4.366,0,8.568
18.298,0.368,9.345,0.184,23.747,125.421,2.444,-9.766,31.233,0,16.67
11.595,0.58,12.774,0.354,22.794,201.769,2.445,20.386,12.595,0,7.694
12.57,0.395,-1.286,0.224,20.889,136.31,2.567,9.931,39.434,0,8.425
23.938,0.262,-7.834,0.157,38.292,109.642,3.039,9.826,4.111,0,-18.761
20.09,0.41,-80.453,0.219,107.246,149.013,2.644,-122.183,86.736,1,13.108
12.636,0.466,-29.468,0.237,21.518,207.386,2.355,5.191,12.645,0,6.728
11.47,0.608,-2.952,0.376,16.292,155.163,2.332,6.028,8.403,0,7.311
21.392,0.263,0.578,0.14,41.249,206.21,3.124,39.844,7.988,0,-16.127
14.088,0.344,4.863,0.178,30.306,102.785,2.661,-12.257,14.367,0,-10.897
12.04,0.393,34.513,0.2,29.616,222.487,2.523,17.527,6.387,0,-9.723
17.832,0.286,23.717,0.153,43.248,257.642,2.915,34.19,5.203,0,-10.048
11.837,0.626,-1.861,0.382,15.954,258.294,2.345,4.531,27.281,0,-7.858
12.692,0.568,-16.762,0.296,22.076,151.701,2.345,-11.595,47.352,0,-7.636
11.077,0.751,-14.169,0.44,12.996,239.169,2.126,6.338,67.512,0,-10.176
23.934,0.202,-75.405,0.106,69.673,256.497,3.244,46.953,2.088,0,14.716
17.476,0.316,27.625,0.159,36.931,197.311,2.994,27.806,6.012,0,10.657
23.398,0.263,-74.622,0.157,66.838,275.440,3.009,45.79,4.016,0,-20.656
9.998,0.568,25.182,0.297,19.298,181.225,2.29,6.879,10.676,0,-4.142
15.692,0.421,27.825,0.223,21.283,223.935,2.479,8.958,18.153,0,7.609
10.866,0.611,-1.188,0.308,17.482,226.511,2.188,6.306,35.792,0,5.054
21.66,0.203,52.261,0.107,80.311,280.221,3.205,83.486,0.211,0,16.666
21.566,0.292,14.126,0.176,33.424,196.657,3.084,24.785,4.035,0,-11.4
16.665,0.372,-19.144,0.192,29.855,200.198,2.613,-18.157,15.565,0,-14.005
10.754,0.556,0.811,0.279,17.916,232.637,2.207,-6.021,76.951,0,3.954
9.768,0.549,24.342,0.301,19.4,195.238,2.258,9.129,17.655,1,-2.710
10.351,0.79,12.624,0.523,13.054,99.6,2.166,6.722,29.751,0,9.195
12.013,0.381,31.419,0.196,32.348,132.478,2.674,24.803,11.346,0,-5.612
14.632,0.425,-16.399,0.225,26.143,149.486,2.4,-14.704,54.302,0,-13.04
10.98,0.753,-14.305,0.442,13.075,194.077,2.119,5.222,28.758,0,10.485
11.136,0.746,-14.613,0.428,12.97,202.775,2.2,6.612,73.503,1,10.925
24.04,0.26,4.663,0.144,28.608,89.999,2.931,16.089,34.454,0,-10.359
20.792,0.314,-7.263,0.166,32.548,117.169,2.964,21.63,8.715,0,9.37
11.358,0.732,15.019,0.372,12.851,227.283,2.175,-3.922,18.237,0,-11.682
16.193,0.44,1.588,0.235,23.332,62.49,2.543,10.92,63.847,0,-9.944
16.308,0.449,31.869,0.236,21.344,237.384,2.53,-9.931,10.664,0,-9.722
21.126,0.319,24.952,0.166,28.82,56.343,2.944,17.269,46.875,0,-12.109
12.543,0.476,2.438,0.287,20.404,209.237,2.584,-11.593,2.869,0,9.89
18.069,0.348,-19.665,0.176,26.187,111.41,2.755,4.029,24.462,1,-6.772
7.166,0.712,2.015,0.356,20.778,232.317,2.169,-9.61,86.256,0,5.992
15.928,0.378,36.411,0.234,33.764,168.266,2.728,19.262,5.729,0,11.464
9.719,0.39,32.66,0.201,35.27,235.028,2.651,-24.015,84.418,1,3.625
12.04,0.482,4.347,0.257,27.544,165.714,2.697,24.318,15.303,0,-10.749
20.996,0.206,-75.433,0.112,73.572,265.507,3.147,60.987,10.001,0,-16.718
