,i,j,X,Y,L,real_identifier
0,173.0,312.0,641235.2,428901.7,-12.8,0
1,98.0,515.0,398412.9,937456.4,5.3,0
2,245.0,278.0,893741.5,512634.8,9.1,0
3,132.0,420.0,487321.6,789412.3,-18.6,0
4,89.0,195.0,276543.1,154321.9,-26.4,0
5,207.0,389.0,745123.8,632109.5,14.7,0
6,121.0,610.0,567890.3,1123456.2,-21.9,0
7,68.0,297.0,345678.4,432109.6,-7.5,0
8,284.0,413.0,921034.7,765432.1,11.2,0
9,105.0,338.0,456789.0,345678.9,-4.8,0
10,132.0,476.0,618432.3,821547.6,-4.8,0
11,284.0,298.0,901673.1,412389.4,12.7,0
12,98.0,550.0,534210.9,987654.8,-19.1,0
13,196.0,334.0,754321.5,589102.3,-1.5,0
14,310.0,390.0,987654.2,678901.7,25.6,0
15,154.0,266.0,698743.8,345678.9,-13.2,0
16,242.0,410.0,832109.4,654321.5,9.8,0
17,116.0,612.0,567890.3,1123456.1,-21.4,0
18,338.0,346.0,1023456.7,567890.2,29.0,0
19,178.0,280.0,712345.6,432109.8,-6.3,0
20,170.0,300.0,750000.5,1200000.0,-15.3,0
21,200.0,500.0,900000.2,800000.4,-2.1,0
22,100.0,200.0,450000.7,200000.3,-25.0,0
23,150.0,400.0,600000.9,900000.6,-10.5,0
24,180.0,600.0,650000.1,1100000.8,-18.2,0
25,220.0,350.0,850000.3,700000.0,5.7,0
26,140.0,100.0,300000.4,150000.2,-30.8,0
27,90.0,700.0,670000.6,1300000.5,-20.0,0
28,130.0,50.0,120000.1,80000.9,-45.3,0
29,85.0,500.0,550000.8,1000000.7,-12.4,0
30,240.0,450.0,750000.5,670000.3,10.2,0
31,150.0,500.0,600000.8,900000.1,-5.8,0
32,300.0,550.0,1000000.0,750000.7,25.4,0
33,100.0,300.0,550000.2,400000.9,-12.3,0
34,400.0,500.0,1100000.4,800000.5,30.7,0
35,50.0,250.0,470000.6,350000.2,-15.9,0
36,350.0,480.0,1120000.1,680000.8,40.0,0
37,90.0,400.0,580000.3,610000.4,-3.5,0
38,180.0,430.0,700000.7,650000.0,2.1,0
39,140.0,320.0,630000.9,460000.6,-8.4,0
40,112.0,289.0,412357.3,734102.1,-29.8,0
41,88.0,532.0,789412.9,910234.7,-17.5,0
42,184.0,12.0,24567.8,189234.5,-45.6,0
43,39.0,417.0,567890.4,543210.9,-11.2,0
