fork,freemem,lread,freeswap,swrite,runqsz,sread,lwrite,target,scall,wchar,exec,rchar
0.2,183,0,1136872,121,1,228,0,92,2355,25019,0.2,29610
1.4,275,10,1063549,257,2.6,321,2,72,3731,501134,1.2,479961
0.2,7358,0,1874496,25,1,46,0,96,264,28155,0.2,256267
3.01,194,33,1005643,109,2,155,43,88,2829,36984,3.21,105461
0.2,7306,0,1867538,11,1,10,0,99,139,4013,0.2,444
6.19,114,50,1081557,147,1,192,49,68,3547,28823,24.86,139411
3.59,214,4,1018000,374,2.8,401,0,81,3509,232731,2.4,337013
0.2,341,1,1741270,69,1.2,126,0,94,1668,59682,0.2,63315
1.4,385,80,988584,183,2.6,199,100,75,3318,176733,2.59,52460
0.2,686,5,1058842,157,1,133,1,90,3584,88398,0.2,7705
0.8,806,30,1060986,100,1.5,128,40,90,1952,38213,0.8,35109
0.2,7391,2,1865600,22,1,15,2,98,197,20095,0.2,7018
2.2,11396,3,1881978,17,1.4,60,1,88,496,58790,2.2,209671
0.2,2309,26,74,177,3.2,442,37,88,2162,52606,0.2,1058741
0.4,127,1,1009642,156,2.8,230,0,84,3848,53463,0.6,171727
0.2,1147,2,1056250,221,2,220,2,95,2379,54657,0.2,23448
0.2,157,3,1394968,166,3,166,3,94,3167,18582,0.2,5021
0.4,7178,1,1874077,85,1,69,1,97,813,45320,0.4,141952
0.4,263,0,1741565,198,1.8,113,0,94,668,231359,0.4,64652
0.4,8717,0,1834968,21,1,23,0,97,256,10196,0.4,7215
0.4,389,6,1060016,166,1,218,2,91,2124,22219,0.4,15550
0.4,8582,1,1869968,37,1,42,1,97,523,23836,0.4,9482
2.4,8537,31,1876217,37,1.2,52,41,88,568,7687,2.6,121942
0.2,1143,2,1744085,36,1.6,88,1,94,569,4202,0.2,286993
0.8,162,3,1056704,119,1.4,191,1,90,1774,21264,0.8,84168
2.8,1649,41,1541186,106,3.4,157,48,83,2129,116897,3,171401
0.2,83,28,17,142,1476,197,0,88,2299,72952,0.2,50929
2.2,245,4,1066512,213,1.3,248,0,85,3940,105350,4.2,141113
1,278,5,1041670,96,1.7,154,1,92,1809,56168,2.6,173402
0.4,166,1,1689656,644,2.4,195,0,84,2566,341389,0.4,138391
0.4,7283,4,1863856,28,1,27,3,97,272,11609,0.4,35210
2,2086,36,1759182,57,2.2,55,47,89,1176,42395,2,106111
0.2,3652,1,1818256,22,2,25,1,98,183,236308,0.2,257201
0.4,866,6,1041030,191,1.4,323,1,90,1779,49327,0.6,333696
0.4,129,2,1101530,140,1.5,200,1,90,1467,49283,0.6,82945
0.2,635,1,1101198,88,2.2,113,0,94,2249,19643,0.2,95719
0.4,607,3,1519877,102,2.6,94,0,95,2264,43909,1.8,6692
0.2,989,1,1762725,28,1,53,0,96,341,11060,0.2,193835
0.2,134,1,1073443,195,1.5,319,0,88,5414,69238,0.2,95095
0.8,229,7,1006827,123,3.2,256,4,88,3895,46049,2.4,47289
0.2,72,5,23,0,170,15,0,0,226,54927,0.2,336181
2.2,242,10,1309606,140,6,206,8,76,4454,64098,7.8,211673
0.2,132,1,1712000,65,2.4,63,0,95,438,45979,0.2,68709
5,1069,12,1078683,77,1,112,1,85,1842,32673,4.4,170092
0.2,9125,12,1373510,139,3.2,246,10,87,2545,34393,0.2,102216
1,303,8,1026966,135,2.4,168,4,89,3819,28791,3.87,10447
0.2,130,27,99498,204,1.5,308,0,78,3786,495826,0.2,561339
0.2,133,19,1761744,29,1.2,27,27,93,228,9499,0.2,20124
0.8,228,27,1016666,43,1,74,39,94,656,31099,1,57901
2,649,4,1059352,76,2,100,0,86,1437,39548,2.8,19674
0.2,137,65,1360184,168,5.2,174,81,79,4313,78178,0.2,98076
0.2,308,1,1059133,111,3.8,134,0,93,1196,54451,0.2,120870
2.4,295,20,1060851,181,1.7,200,10,81,2543,165013,4.41,91285
0.4,1947,164,1327789,253,3.8,370,160,86,4597,250265,1,315228
1.6,405,1,1034064,137,3.8,273,1,81,2811,926559,4.2,1047353
0.6,222,4,1093338,129,2,242,3,88,2809,35179,0.6,110125
3.4,585,4,1710709,59,2.6,95,0,89,676,1833,3.4,194465
0.2,244,1,1103448,141,2.2,178,0,91,2693,94064,0.2,23270
0.2,7105,1,1854770,23,1,11,1,98,194,12768,0.2,5246
1.6,599,22,1017939,70,1,96,19,90,924,21418,2,22095
4.2,4175,5,1820453,103,2,107,0,89,1798,50292,8.6,53830
1,405,32,1315331,245,2.6,350,26,80,3205,69986,1.4,109372
0.8,450,2,1057974,43,1,64,0,92,1373,15298,0.8,14472
2.4,128,32,991545,88,1.6,173,29,88,1423,39853,3.19,235626
0.6,1084,1,1716637,138,3.2,81,0,95,749,27455,0.6,289878
1.8,178,40,1036090,241,1.2,465,10,84,3755,546019,2.4,588852
0.8,1002,1,1760024,76,1.6,91,0,94,508,26832,0.4,56092
1.6,599,22,1017939,70,1,96,19,90,924,21418,2,22095
4.2,4175,5,1820453,103,2,107,0,89,1798,50292,8.6,53830
1.2,3799,3,1847485,40,1.4,41,1,95,453,075278,1.2,51628
6.41,208,27,1003987,335,4,492,18,69,5093,244087,4.81,372442
0.8,1302,2,1742332,60,1.2,97,1,94,411,14854,0.6,13449
0.8,182,1,1121718,135,1.3,168,1,89,3161,136251,4,314240
0.6,493,1,1620355,148,2.6,148,1,92,2845,28298,0.6,71409
0.6,212,8,1437531,229,3.6,304,4,83,4251,186486,0.4,120782
0.2,174,2,1101947,106,1.6,185,1,89,2635,30473,0.2,92910
0.2,588,2,1065888,40,1,62,2,96,1148,39776,0.2,3507
0.2,130,67,1016104,464,2,354,80,80,4508,399677,0.2,67103
0.2,299,0,1751546,29,1,43,0,98,315,15837,0.2,16912
0.6,157,6,1128227,101,1.3,192,4,89,2391,25143,1.4,44157
0.2,420,0,1747579,95,3.2,118,0,94,2443,101846,0.2,101147
0.2,8246,2,1863230,16,1,14,1,98,208,11778,0.2,14122
0.2,375,1,1742496,66,1.2,123,0,94,1654,30990,0.2,8474
0.2,953,1,1075208,45,2,64,0,96,1061,19746,0.2,12747
0.8,127,12,1075939,131,1,266,2,82,4312,37658,0.8,367000
0.2,7270,2,1835992,24,1.8,61,1,95,1039,28156,0.2,34260
0.4,2960,2,1018311,37,2.3,73,0,94,1381,20449,0.8,106148
1.6,7544,3,1861499,24,1,31,1,90,388,58793,1.6,49659
0.8,873,4,1053736,131,1.3,188,2,89,2498,41459,1,40626
0.2,1298,1,1714944,43,3.2,77,0,98,383,8213,0.2,9370
1.6,512,9,1096037,231,1.5,433,5,81,3414,110155,6.01,323068
4.8,112,69,1062119,147,1.8,271,66,73,2363,105551,5,609352
0.2,660,0,1757760,57,1.4,92,0,94,1720,26063,0.2,120346
4.19,686,17,1053061,128,2,213,7,81,3013,37954,4.19,208460
0.4,834,9,1643118,168,2.4,166,6,91,5005,22463,0.4,1078
0.4,278,11,1074120,66,1.5,100,9,95,1557,43104,0.4,16472
0.2,130,6,1054803,134,1,103,2,87,2003,16856,0.2,53400
0.4,240,6,1090285,75,1,104,1,95,1339,20846,0.4,26615
0.2,949,1,1714888,52,3.6,63,0,97,363,233376,0.2,224356
1.6,599,13,1018373,98,1,166,3,72,2357,73915,2.61,338078
