input12,input9,input14,input13,input11,input5,input8,input15,input7,input16,input1,input2,target,input4,input6,input10,input3
0,0,1,72,35,50,33,100,29,23,41,84,2,100,64,16,54
7,0,9,61,22,55,27,100,32,21,34,71,2,100,66,0,49
0,25,27,92,100,14,33,15,0,32,97,100,6,96,66,1,50
0,36,36,0,19,100,62,65,64,36,4,99,7,100,95,29,45
29,42,4,73,100,86,58,8,48,0,0,86,3,100,85,42,46
10,0,0,59,15,58,28,100,35,1,21,60,2,100,69,1,35
0,0,15,74,37,27,43,150,7,32,100,100,6,91,69,15,57
20,0,0,58,8,63,46,100,41,20,8,61,2,100,88,14,25
31,51,65,50,0,28,28,100,72,94,68,89,8,100,62,0,19
11,41,37,78,100,18,19,20,0,29,91,100,6,78,50,0,51
0,0,1,63,25,49,39,100,28,4,19,88,2,100,67,16,47
0,24,25,100,94,11,33,21,0,18,89,100,6,95,65,3,37
16,0,8,79,25,66,21,100,38,8,51,76,2,100,57,0,72
0,0,1,63,26,35,35,100,20,2,7,79,2,100,68,8,25
0,14,23,63,68,26,31,12,0,18,100,100,6,89,61,1,60
0,0,20,53,30,37,40,5,14,23,100,100,6,85,63,16,67
3,100,0,41,84,77,55,0,69,12,42,91,3,100,72,31,79
4,0,0,64,28,50,39,100,30,0,15,82,2,100,71,16,42
9,28,34,81,80,16,26,29,0,30,100,100,6,84,57,0,49
0,0,19,54,26,35,51,11,11,30,100,99,6,100,77,20,67
10,0,0,58,15,62,41,100,34,10,33,80,2,100,72,16,60
0,43,1,46,0,45,58,100,42,1,13,52,1,92,100,13,35
11,45,0,35,0,89,57,100,74,0,0,82,2,100,85,31,43
0,0,2,53,4,56,35,100,35,4,16,67,2,100,75,3,35
54,100,26,71,91,0,48,43,45,0,54,100,4,79,53,66,33
0,0,3,53,5,56,35,100,33,5,2,76,2,100,72,5,38
24,57,45,60,100,8,17,0,4,46,78,100,6,82,52,0,38
0,48,3,42,0,52,58,100,50,8,25,64,1,100,98,16,50
15,100,0,46,92,83,54,0,56,9,46,82,3,100,74,48,69
16,0,0,78,29,73,31,100,49,30,36,71,2,100,67,16,62
0,43,4,47,0,81,57,100,77,0,31,67,2,100,97,24,35
53,100,27,68,86,57,100,59,99,0,0,51,1,63,81,80,22
9,100,0,37,86,76,60,0,66,18,30,74,3,100,88,38,45
21,0,1,65,32,54,0,100,27,1,25,86,2,100,42,7,57
0,24,2,53,0,53,53,100,51,6,4,61,2,100,99,14,16
0,0,25,66,40,49,37,19,17,18,100,100,6,89,64,6,81
0,45,1,45,0,42,57,100,43,5,22,64,1,100,98,16,39
0,0,25,70,44,49,45,29,18,25,100,93,6,100,72,13,87
9,37,0,49,0,52,58,100,46,3,3,73,1,100,92,26,37
22,73,0,60,100,81,64,5,60,5,0,82,3,100,94,47,35
0,0,24,48,30,43,41,8,16,25,100,100,6,91,67,13,74
0,0,25,48,38,34,37,1,11,19,100,100,6,88,64,7,64
12,100,0,46,91,78,51,0,57,9,35,85,3,100,76,42,61
0,8,8,49,0,60,40,100,43,3,10,67,2,100,79,10,34
29,33,14,7,18,60,58,0,44,0,100,100,1,86,72,43,78
0,0,20,44,22,33,40,5,11,19,100,100,6,81,61,18,63
0,0,3,54,9,52,32,100,32,3,8,66,2,100,72,2,27
0,42,1,50,0,57,52,100,53,1,25,64,1,100,92,15,54
0,45,2,37,0,46,61,100,47,4,9,62,1,98,100,22,29
68,0,100,100,49,65,0,30,14,95,38,84,8,52,13,36,51
7,22,0,47,0,46,65,100,40,5,6,74,2,100,95,38,13
21,58,0,35,61,100,73,0,88,5,19,74,3,98,100,51,53
0,0,18,78,35,49,69,100,11,57,96,47,0,92,100,20,83
50,0,84,100,50,42,0,49,42,100,82,91,8,88,45,9,42
17,100,0,43,86,83,60,0,56,7,16,81,3,100,86,49,48
0,0,21,54,30,33,43,11,11,25,100,100,6,90,67,15,64
15,50,34,63,100,32,24,0,18,28,95,100,6,78,52,0,62
51,100,24,81,94,69,100,69,99,0,0,44,1,59,81,78,35
8,46,40,45,27,79,46,100,60,50,0,88,7,100,94,0,45
22,55,0,47,100,49,72,0,20,14,12,96,5,100,97,50,76
24,100,0,48,87,51,80,0,95,6,92,91,9,100,65,64,54
0,42,6,50,0,81,57,100,75,7,32,66,2,100,96,24,40
0,0,3,54,9,52,41,100,30,4,14,85,2,100,71,16,47
20,100,0,50,95,71,100,0,86,1,78,91,9,91,73,64,39
46,0,88,26,6,83,5,100,65,100,30,90,5,54,46,0,10
0,0,2,54,9,62,34,100,36,0,26,100,2,99,65,12,57
18,100,0,50,92,64,99,0,95,0,100,90,9,100,75,61,57
7,0,0,62,26,52,36,100,30,4,25,79,2,100,67,13,47
0,0,2,53,5,56,35,100,34,7,5,77,2,100,70,5,38
10,100,0,41,84,82,61,0,65,5,46,98,3,100,72,38,82
0,0,18,70,44,22,38,24,1,22,100,100,6,85,64,10,55
16,45,43,70,100,12,22,18,0,38,93,100,6,85,55,0,49
0,0,21,70,44,26,35,24,2,21,100,100,6,85,61,7,57
53,88,85,80,100,15,0,45,54,100,15,55,0,35,1,19,0
13,100,0,43,90,88,54,0,59,10,41,85,3,100,77,45,67
0,56,38,40,44,100,55,92,84,37,0,97,7,100,94,16,50
0,0,25,53,38,49,47,8,19,25,100,100,6,97,73,15,81
0,0,19,66,30,33,51,29,10,30,100,100,6,96,77,20,62
54,100,27,61,81,42,100,45,92,0,23,57,1,63,82,80,0
0,0,1,50,1,56,35,100,34,1,14,71,2,100,71,5,37
0,0,2,66,30,34,33,100,21,6,7,68,2,100,70,5,21
0,0,1,58,17,59,39,100,30,3,26,88,2,100,67,15,61
0,0,15,70,37,27,43,16,6,14,100,100,6,90,68,16,60
100,100,78,0,53,32,20,10,90,44,4,77,0,39,0,71,2
13,100,0,46,89,70,52,0,58,5,13,85,3,100,79,42,52
0,41,1,47,0,81,49,100,76,2,32,85,2,100,79,24,43
5,100,0,38,76,78,47,0,68,7,52,89,3,100,71,26,79
18,91,0,55,100,19,95,0,66,3,63,80,9,67,100,58,29
50,95,25,91,91,87,100,89,100,0,0,56,1,72,93,75,59
0,0,15,76,28,34,38,12,13,8,100,100,6,80,59,17,63
30,0,15,0,0,0,60,100,0,0,0,100,1,91,76,45,100
18,0,0,65,31,52,26,100,30,5,24,69,2,100,65,9,42
7,100,0,38,76,83,56,0,77,4,47,95,3,100,73,31,83
0,0,18,66,35,32,43,29,8,30,100,100,6,88,66,15,62
0,0,24,57,36,34,34,9,12,22,100,100,6,80,58,10,62
9,100,0,43,93,87,60,0,61,17,22,86,3,100,80,40,67
46,77,23,63,100,0,39,33,9,0,69,100,4,83,61,41,44
51,82,25,53,67,73,100,46,100,0,0,44,1,62,84,76,39
9,100,0,41,81,70,52,0,70,5,45,100,3,95,68,34,79
8,32,32,97,100,12,21,29,0,27,75,100,6,77,50,0,32
0,0,1,50,1,56,43,100,33,1,14,77,2,100,76,16,37
50,81,25,41,59,70,100,25,100,0,0,42,1,62,83,75,36
9,0,2,62,26,53,39,100,30,0,15,80,2,100,71,14,43
49,0,96,12,4,72,25,100,57,100,39,99,5,68,74,0,9
8,34,0,48,4,46,58,100,41,1,0,70,1,100,95,24,45
13,99,0,49,97,54,81,0,100,13,99,75,9,100,79,54,69
8,42,28,68,100,0,20,13,0,23,63,100,6,78,49,0,25
0,0,25,54,40,45,44,5,17,25,100,100,6,97,72,12,77
19,54,33,54,100,0,16,2,2,19,55,100,6,85,52,0,21
46,60,23,79,100,0,31,69,5,0,20,100,4,80,54,32,7
100,100,50,63,63,0,36,66,63,0,51,95,4,72,36,66,20
29,43,44,47,18,59,31,100,55,46,0,100,7,100,66,0,51
0,0,20,70,44,26,40,24,2,22,100,100,6,90,66,11,59
31,84,0,52,100,63,92,0,28,29,30,100,9,57,88,67,39
0,0,24,57,37,27,37,20,5,41,100,100,6,87,64,7,57
15,98,0,49,96,100,60,0,67,10,52,82,3,100,81,41,80
8,37,0,70,24,66,72,100,57,6,0,70,2,92,100,41,27
0,0,23,57,32,34,48,22,11,37,100,99,6,100,77,17,67
0,0,15,74,35,27,43,44,11,27,100,100,6,90,69,17,57
54,71,35,95,100,0,38,91,10,0,11,100,4,92,58,37,18
2,0,0,68,34,46,27,100,26,4,25,80,2,100,61,4,46
0,32,3,50,0,67,46,100,58,1,25,67,2,100,86,13,34
0,0,3,54,9,62,37,100,34,7,26,84,2,100,70,8,54
0,0,18,52,20,43,51,12,15,25,100,96,6,100,76,21,76
7,100,0,41,82,83,54,0,79,3,47,87,3,100,76,30,76
0,37,5,50,0,47,61,100,44,8,0,61,1,92,100,22,29
0,0,1,63,25,53,39,100,30,1,6,81,2,100,71,14,38
0,0,25,57,39,33,38,15,9,25,100,100,6,87,64,7,63
54,0,94,24,5,75,0,100,62,100,19,92,5,64,40,9,10
31,42,41,47,0,72,15,100,59,37,14,100,7,96,56,0,66
30,0,15,0,0,0,60,100,0,0,0,100,1,91,76,45,100
100,100,100,30,76,38,17,0,82,67,11,70,0,27,0,61,9
23,96,0,57,100,99,66,0,66,9,66,83,9,100,89,52,75
64,100,32,77,89,61,100,68,95,0,0,17,1,41,70,97,33
0,38,4,48,0,38,57,100,38,5,4,66,1,100,99,15,28
1,100,0,34,78,81,44,0,65,22,54,82,3,100,73,25,75
50,82,25,53,67,81,100,51,100,0,0,54,1,76,98,75,35
0,0,25,60,37,49,47,19,17,25,100,98,6,100,76,15,87
0,62,2,0,34,44,62,100,39,8,5,63,1,98,100,24,39
0,58,40,45,48,95,57,100,74,50,0,84,7,100,94,20,44
20,68,0,49,91,100,72,0,86,2,13,73,3,97,100,46,41
0,0,25,48,36,44,39,9,16,18,100,100,6,91,66,6,76
0,43,5,50,0,73,52,100,77,4,34,60,2,98,100,16,26
13,39,37,68,100,13,22,0,2,46,80,100,6,76,50,0,43
0,0,24,66,38,26,51,34,3,47,100,99,6,100,79,19,60
13,96,0,49,96,100,50,0,70,13,44,79,3,100,78,40,73
0,0,22,60,36,33,40,15,11,25,100,100,6,87,64,14,64
0,35,37,0,15,100,52,62,62,45,2,99,7,100,86,15,62
0,46,5,35,0,82,61,100,75,7,32,57,2,92,100,25,35
20,45,0,36,64,24,61,0,3,7,100,97,5,100,90,51,66
2,0,0,50,0,56,53,100,24,4,36,83,2,100,77,27,60
24,58,0,39,73,73,77,0,35,13,57,91,5,100,89,64,100
0,43,3,45,0,42,61,100,43,8,25,62,1,98,100,23,39
29,44,6,71,98,100,65,3,61,0,0,83,3,100,88,41,49
0,0,23,57,32,34,49,22,11,42,100,99,6,100,78,17,67
0,0,25,60,37,49,42,19,17,25,100,100,6,96,70,11,81
18,33,46,44,74,22,26,0,8,30,100,100,6,89,60,0,53
0,0,20,60,36,26,37,20,2,22,100,100,6,83,60,9,56
0,24,2,53,0,53,46,100,51,4,3,61,2,100,90,8,18
0,0,25,57,37,34,38,11,11,30,100,100,6,88,64,7,65
0,29,4,49,0,64,46,100,58,6,23,70,2,100,83,15,30
0,58,38,53,56,99,58,100,84,35,0,85,7,100,100,16,44
51,88,25,69,76,68,100,68,100,0,0,43,1,59,80,77,35
54,0,87,100,56,52,0,33,19,100,42,92,8,70,34,24,22
15,91,0,54,100,83,60,0,49,1,32,94,3,100,79,39,86
4,0,0,63,26,52,39,100,30,1,15,80,2,100,72,13,43
25,100,0,51,92,31,71,0,83,6,97,80,9,100,74,68,55
12,100,0,43,86,78,60,0,64,5,48,98,3,100,72,39,88
54,96,27,68,81,66,100,59,100,0,0,43,1,58,78,81,32
17,100,0,51,95,86,60,0,60,0,52,82,3,100,84,42,58
16,48,45,78,100,8,22,16,0,31,93,100,6,83,54,0,39
0,0,27,54,40,43,47,12,13,20,90,89,6,100,77,14,100
3,12,23,49,68,26,30,3,0,10,100,100,6,87,61,0,60
0,0,19,70,37,27,43,29,5,31,100,100,6,90,68,15,57
0,0,22,59,37,26,40,18,6,28,100,100,6,87,65,13,57
31,100,0,61,98,51,77,0,100,19,86,100,9,90,47,68,26
0,36,3,49,0,67,42,100,58,1,33,77,1,100,82,7,69
0,38,3,49,0,38,55,100,39,5,22,64,1,100,92,19,28
20,68,0,60,100,72,54,7,43,7,0,82,3,100,81,45,39
0,0,1,57,15,59,36,100,32,4,14,79,2,100,71,8,44
16,82,0,52,100,92,51,0,53,5,38,88,3,100,75,43,84
50,91,24,71,81,71,100,71,100,0,0,54,1,68,86,75,35
4,0,0,66,27,52,43,100,30,23,21,88,2,100,72,21,46
0,0,22,70,31,43,69,78,7,61,100,47,0,86,100,26,85
19,96,0,54,100,90,57,0,64,4,37,81,3,100,83,42,74
