Netpay,Tectonic regime,Basin name,Oil recovery factor,Gas recovery factor,Latitude,Permeability,Operator company,Longitude,Country,Region,Hydrocarbon type,Porosity,Structural setting,Reservoir status,Gross,Reservoir unit,Depth,Lithology,Condensate recovery factor,Period,Onshore/offshore,Field name,Oil density
8.1,0,89,0.46,0.77,61.583,100,77,75.183,36,3,5,23,3,5,19.5,375,2254.4,11,0.513,7,1,269,881.62
11.4,0,78,0.38,0.83,44.039,7,4,-105.279,48,6,5,11,2,2,75,296,3900,6,0.493,7,1,139,815.562
19.8,4,63,0.353,0.75,56.617,20,155,3.085,30,1,5,17,7,2,30,185,4405.3,11,0.56,7,0,124,834.808
24.6,0,75,0.49,0.81,31.672,0.1,34,-102.403,48,6,5,8.8,2,5,90,290,1275,6,0.513,21,1,400,829.912
12.9,0,89,0.3,0.77,61.583,200,169,75.183,36,3,5,17,3,5,24.3,378,2310.6,11,0.513,7,1,391,839.763
24.6,2,9,0.35,0.707,37.417,100,160,118.75,9,2,5,20,6,5,177,162,2262,11,0.56,15,1,421,878.882
14.7,9,66,0.447,0.633,70.342,30,22,-148.472,48,6,5,16,2,6,15,392,344.4,11,0.457,4,1,241,834.808
6.3,0,117,0.427,0.75,48.1,5,110,-102.247,48,6,5,6,3,2,36,232,2515.2,9,0.27,4,1,247,810.888
12.9,0,115,0.4,0.83,51.928,10,110,-114.54,8,6,5,11,2,6,24,123,1710,9,0.513,7,1,110,829.912
5.7,0,89,0.327,0.79,61.583,100,169,75.183,36,3,5,16,3,2,21.3,372,2310,11,0.513,7,1,391,865.443
30,0,75,0.49,0.76,32.767,5,34,-103.62,48,6,5,9,2,2,105,290,1275,6,0.513,21,1,294,842.764
57,0,15,0.47,0.913,36.617,2,110,-100.386,48,6,5,10,3,2,90,118,3000,6,0.353,4,1,290,842.764
30.6,0,75,0.24,0.83,31.8,3.5,128,3.73,31,0,5,16,3,2,105,19,2665.2,9,0.27,15,1,61,815.562
