fork,freemem,lread,freeswap,swrite,runqsz,sread,lwrite,target,scall,wchar,exec,rchar
0.4,176,0,1009816,66,1,100,0,91,1774,26956,1.8,109071
1.4,267,13,1518939,64,4,87,3,87,1139,53947,2.6,113928
0.2,8397,1,1860232,20,1.2,20,1,98,183,10982,0.2,7696
3.8,254,11,1087686,227,1.2,287,1,83,2765,63824,2,141591
1.8,399,2,1746269,134,2.8,158,0,83,1563,15345,1.8,104291
3.4,131,7,1109923,203,2.5,329,0,74,2660,31744,3.6,100210
1.4,499,18,1308412,186,7.2,289,13,83,4004,315211,1.8,342212
1.2,150,4,1053090,101,2,141,2,89,1719,30070,2.4,178283
2.2,965,62,975280,148,1,273,59,85,3502,49921,2.4,355154
4.59,1252,9,1033330,210,1.6,529,3,74,3136,577311,6.39,688893
0.4,1582,4,1537486,92,2.8,143,1,93,1285,36431,0.8,15502
1,338,5,1029645,374,3.2,630,2,84,2931,222789,1.4,148481
5.19,144,30,1456497,186,4,339,6,73,5661,49066,10.98,275673
1.2,354,58,1315827,157,5.4,306,74,88,3580,28708,4.8,85007
2.4,622,2,1740842,134,3.4,250,0,90,1125,210751,1.4,300388
11,1207,53,1107931,169,1,311,7,57,5708,42991,27.8,405406
0.2,324,0,1752632,26,1.4,48,0,97,314,24696,0.2,182613
0.99,150,53,1504125,149,3.2,189,1,86,4919,64310,2.58,333491
3.2,1350,9,1713138,635,2.6,165,3,82,2043,177175,4.8,49093
2.4,448,3,1013560,212,2,239,0,88,3195,51394,0.8,69373
0.2,1334,0,1761776,36,1.2,39,0,98,233,12532,0.2,796
1,262,31,1536589,108,4.2,130,24,90,1710,221977,1.2,232573
0.8,2521,5,1645106,110,2.8,103,2,92,3637,113168,2.4,45895
6.6,1668,30,1110758,75,2.2,133,2,78,2242,25105,18.2,207579
0.2,1302,9,1760490,81,1.2,129,8,96,470,51259,0.2,291365
0.4,163,72,1000467,130,3.6,203,90,89,3643,93652,1.8,75650
6,126,20,1093552,66,2,86,13,77,1474,16206,17.2,71489
0.4,391,7,1064083,120,1.5,122,2,93,2085,97274,0.4,18757
0.6,5910,2,1848386,28,1.2,33,1,96,1592,17576,0.8,27571
0.2,7270,1,1869002,21,1.4,36,1,97,236,13394,0.2,259052
2.2,585,23,1534317,165,3.8,223,9,83,3931,86922,3.8,703082
1,209,61,1112970,206,1.6,212,77,84,5627,116198,2.8,17950
0.6,1070,133,1010744,224,1.3,283,131,83,3828,169192,0.6,364223
0.6,4292,29,1716696,138,2.2,136,28,91,2538,17564,1.2,104183
1.4,534,3,1018071,131,1,138,1,88,1722,109972,1.6,161924
0.8,281,2,1752424,140,2.2,141,0,93,595,16661,0.8,17704
0.2,7293,1,1875112,28,1,16,1,98,221,14528,0.2,8558
1.2,600,3,1753643,43,2,81,1,90,844,44078,1.4,89488
0.2,6367,2,1855766,24,1.2,11,1,98,188,15750,0.2,10681
2.2,11256,3,1873393,13,1.4,40,1,89,380,20685,2.2,65602
1,309,17,1051283,69,1,124,9,76,1048,188394,1.4,683931
0.6,611,3,1382992,42,3,59,1,96,1293,14629,0.6,103399
13.4,129,47,1109562,176,2.5,276,0,58,4673,79591,33,336029
0.2,8423,0,1867360,16,1.2,11,0,98,163,11033,0.2,438
4.2,8872,6,1859895,258,1.2,271,1,86,2389,100405,1.2,233230
0.4,1173,2,1025117,39,1,45,0,96,528,17819,0.4,2295
0.6,540,1,1015459,184,2,212,0,90,3109,250408,1,41467
0.2,8315,23,1867213,11,1,11,34,98,162,4524,0.2,7611
0.6,180,6,1755830,79,1.6,118,1,90,889,27197,0.6,161277
3.4,204,33,1134814,253,2,439,28,72,5504,70646,4.2,395654
