,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income,real_identifier
0,32,4,183420,10,13,4,7,1,4,1,0,0,45,39,0,0
1,38,0,254678,3,8,5,1,4,2,0,0,0,35,39,0,0
2,29,6,143215,11,9,4,5,3,4,1,0,0,40,39,0,0
3,57,7,164532,14,10,2,11,0,4,1,0,0,40,39,1,0
4,44,4,112345,8,12,4,3,1,4,0,0,0,40,26,0,0
5,25,4,138765,7,12,4,10,1,4,1,0,0,50,39,0,0
6,47,2,194567,11,9,5,8,4,2,0,0,0,40,39,0,0
7,23,6,256789,11,9,4,5,3,4,1,0,0,40,39,0,0
8,53,4,132987,9,13,0,4,4,4,0,0,0,50,39,0,0
9,36,4,107654,1,7,2,3,0,4,1,0,0,45,26,0,0
10,31,4,245000,6,12,4,12,3,4,0,0,0,35,39,0,0
11,38,4,187500,14,10,2,3,0,4,1,0,0,40,39,0,0
12,45,4,210000,12,13,5,7,4,4,1,0,0,40,39,0,0
13,29,4,130000,11,9,4,12,1,4,1,0,0,42,39,0,0
14,52,4,160000,13,16,2,3,0,4,1,0,2000,50,39,1,0
15,33,4,200000,15,10,0,13,4,2,0,0,0,38,39,0,0
16,57,4,195000,10,12,2,4,0,4,1,0,0,55,39,1,0
17,24,4,175000,11,9,4,12,1,4,1,0,0,40,39,0,0
18,49,4,110000,11,9,0,10,4,0,0,0,0,40,39,0,0
19,53,4,140000,3,8,2,12,0,1,1,0,0,40,1,1,0
20,34,4,122543,11,9,2,7,0,4,0,0,0,38,39,0,0
21,31,0,298341,9,13,2,0,5,4,1,0,1850,45,39,1,0
22,23,4,89462,15,10,4,1,1,4,1,0,0,25,39,0,0
23,60,4,302110,15,10,2,12,0,4,0,0,0,30,39,0,0
24,40,6,178492,11,9,4,12,4,2,1,0,0,40,39,0,0
25,48,4,276845,9,13,0,4,4,4,0,0,0,37,39,0,0
26,50,4,38924,15,10,2,4,0,4,1,6843,0,42,39,1,0
27,19,0,195203,11,9,4,0,3,4,0,0,0,30,39,0,0
28,49,4,179368,15,10,2,13,0,4,1,0,0,55,39,0,0
29,36,4,201950,11,9,3,7,4,4,0,0,0,39,39,0,0
