sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
7.5062264595138615,3.645854941766203,5.381256665643505,2.0393174730886434,1
6.284791393222219,2.8757380548288047,4.927486160610656,1.8607346805437208,2
6.753614796513682,2.8309573069799536,1.6396797607839277,0.21743423512190532,0
5.7061014806952866,3.6691885598885308,1.5168587076421494,0.2952819680000986,0
4.624748478966884,2.774046220853834,5.60446991800409,0.2727495477927655,1
5.572152827272478,2.0,3.8848544669722633,0.1,0
5.48640743322358,2.6766711600472735,4.229532515874842,1.1617804487888366,1
4.60852134767511,3.07117502698259,1.619404876763012,0.29640068722209645,0
4.844731942699189,3.5367204201578804,4.48053006628399,1.541154039853558,0
5.206161078300555,3.3334173422171602,1.827360183137271,0.4877707367019618,0
5.778386697639994,3.1464375140594107,4.821146181415255,1.6641183642165827,1
4.4,2.8945119612226233,1.3929656650689854,0.19690929968602,0
5.740988934616482,3.6978276461638555,4.733847798851018,2.5,2
7.657279004546779,3.833073029136804,4.972531120753736,2.337066263221441,0
7.409088587900846,4.089767310991812,4.858253154121747,1.0764578276309766,2
4.929530696331064,3.106331657102513,1.5362914002926167,0.3598828286978397,0
5.511416260412549,3.6911113144606156,1.56043110929911,0.23867712889114942,0
5.244681279023775,3.3545889010342416,4.400410757991924,1.3491059696867431,2
4.952933794006327,3.4076331727977323,1.5661353790482122,0.31693283127007443,0
5.48070654885807,2.784162019588743,6.065266366592776,1.5822497434876204,0
6.082487995536999,2.6744080677007167,4.824569419704063,1.0592441109086588,1
7.574245028828411,2.6273887900363357,3.940759296157462,1.0186217201270664,0
4.994644327177666,3.7597833906605924,4.550414482885941,2.1790756205650728,2
6.150357320247167,2.813595972088989,5.41051082572147,1.7031635587809424,2
6.595225106446932,2.939502735169636,5.0673258986187335,2.2321983017308757,2
5.1027926187904615,2.9202025294437712,5.624999399092966,0.9105677911809131,1
6.249811905570236,3.428761508991286,5.4630757005376696,2.3322341705837437,2
7.195599141320812,3.339718703767203,3.7677995306034053,1.832440346354363,2
5.366180282420304,2.449511495998231,3.550663806571098,0.7192675401799655,1
5.430997916847326,2.861266309342839,4.1957487616860485,1.3445156180188556,1
