input12,input9,input14,input13,input11,input5,input8,input15,input7,input16,input1,input2,target,input4,input6,input10,input3
12,35,37,53,83,29,26,0,11,31,100,100,6,84,57,0,60
0,79,24,51,59,74,43,100,84,29,0,93,7,100,83,1,33
77,73,39,85,100,7,59,80,0,0,88,63,9,100,94,76,87
55,89,34,71,100,0,21,49,22,0,47,100,4,73,40,23,30
45,88,22,88,88,76,91,100,88,0,0,68,1,78,100,68,40
0,0,5,53,4,56,37,100,34,20,7,77,2,100,77,4,33
0,34,3,50,0,91,48,100,69,3,21,71,2,100,88,19,53
0,84,18,0,69,100,74,69,49,45,24,49,8,70,100,35,98
22,63,10,52,100,98,70,0,87,0,0,84,3,100,98,48,43
0,84,30,52,68,96,68,100,98,30,0,94,7,98,100,32,48
0,35,0,50,0,56,60,100,44,2,43,72,1,100,92,30,65
0,12,2,50,0,74,52,100,49,5,26,89,2,100,78,29,61
17,80,0,44,89,100,58,0,64,15,30,78,3,100,84,50,67
52,92,26,40,67,59,100,24,100,0,0,67,1,73,85,78,20
0,0,1,64,24,52,42,100,31,19,8,68,2,100,79,14,33
4,24,2,53,0,86,24,100,70,1,32,63,2,100,69,0,52
62,100,31,84,97,0,36,77,34,0,21,100,4,74,45,33,22
57,73,27,32,50,52,100,34,100,0,0,100,7,100,99,86,3
0,50,6,42,0,92,52,100,81,6,29,66,2,100,91,18,53
70,98,100,55,100,0,0,5,46,79,49,99,0,74,24,21,5
0,44,6,29,0,100,52,95,76,6,49,75,2,100,88,22,79
51,76,25,32,51,63,100,20,100,0,0,58,1,62,85,75,26
69,92,100,64,100,0,0,17,44,84,42,86,0,66,21,24,1
45,93,23,85,88,82,92,88,100,0,0,62,1,82,100,69,39
0,42,2,55,0,57,57,100,56,3,40,61,1,95,100,15,43
45,34,0,61,73,100,100,0,34,9,70,96,5,97,97,64,79
70,97,100,66,100,4,0,21,58,79,30,94,0,77,30,21,0
0,100,26,68,95,65,78,92,92,0,0,86,3,100,96,44,35
0,0,5,50,1,50,33,100,33,4,16,65,2,100,70,3,27
57,66,28,65,93,52,77,33,0,0,62,56,9,83,100,78,100
32,27,0,57,81,100,85,0,43,0,29,85,5,100,100,51,82
41,81,5,77,100,0,61,16,40,0,87,75,9,100,81,78,53
61,100,31,61,87,0,32,34,41,0,27,100,4,75,42,46,16
100,100,85,18,76,19,0,0,71,32,60,64,0,56,1,52,21
19,38,18,11,8,78,48,0,57,0,100,100,1,84,71,25,93
6,62,0,18,66,69,69,100,61,5,0,78,1,82,100,37,40
22,63,0,52,100,82,65,0,56,12,16,76,3,100,98,49,34
0,26,19,92,95,6,38,12,0,11,100,100,6,96,70,4,39
14,49,37,62,100,25,21,0,6,31,89,100,6,84,56,0,52
70,4,100,36,4,52,0,100,45,96,0,76,5,78,41,24,10
9,76,0,32,63,100,75,0,81,5,58,74,3,100,99,39,79
19,100,0,53,97,46,100,0,88,1,92,76,9,73,98,62,35
54,100,24,79,88,1,36,72,68,0,35,100,4,74,45,58,0
36,0,51,58,10,50,6,100,42,75,87,100,8,88,46,0,49
64,77,100,88,100,0,0,41,33,91,54,95,0,69,23,24,22
84,100,100,42,91,13,0,7,68,73,27,82,0,43,3,39,0
49,82,25,55,66,57,100,51,100,0,0,37,1,55,77,75,22
0,43,6,34,0,100,57,97,75,6,43,72,2,100,91,24,85
0,38,28,0,5,100,44,68,71,33,8,94,7,100,79,8,74
54,59,27,80,100,26,36,76,0,0,50,100,4,87,62,31,63
34,56,5,61,56,86,93,100,68,0,0,46,1,72,100,64,44
5,6,0,67,21,55,52,100,34,17,0,76,2,100,88,17,30
19,100,0,53,97,45,78,0,98,5,92,77,9,100,64,58,44
60,77,100,88,100,0,0,41,33,96,41,90,0,65,23,23,11
27,57,65,39,0,24,34,100,81,95,73,90,8,100,67,0,9
0,35,25,84,97,56,43,15,0,25,100,95,6,100,75,9,97
21,62,60,96,100,0,4,54,17,66,45,100,0,82,41,0,12
33,51,8,74,100,90,67,0,56,0,22,85,3,100,92,50,54
27,57,0,50,83,56,70,0,20,6,55,94,5,100,91,50,100
40,100,8,64,99,57,89,0,98,0,77,100,9,81,67,69,23
70,97,100,63,100,0,0,19,50,76,48,90,0,69,23,27,6
16,100,0,36,84,61,63,0,67,12,42,94,3,100,74,45,75
1,11,0,50,0,60,37,100,44,2,24,66,2,100,78,4,31
16,86,0,53,100,63,81,0,61,5,80,100,9,85,72,48,32
23,62,59,9,0,34,30,79,71,85,100,100,8,92,60,0,31
0,33,2,56,0,91,40,100,70,3,53,69,2,100,80,7,73
21,60,0,66,100,79,60,8,49,7,0,88,3,100,87,45,43
0,24,2,50,0,35,63,100,36,5,27,75,1,100,97,26,51
0,32,1,50,0,45,60,100,42,5,2,72,1,100,95,27,32
0,32,1,50,0,45,60,100,42,5,2,72,1,100,95,27,31
100,100,95,23,74,30,15,0,80,53,27,82,0,39,0,59,5
15,24,6,49,0,80,53,100,61,0,25,67,2,100,91,26,41
54,78,91,79,100,0,0,33,29,79,48,100,0,73,31,16,8
41,16,4,61,80,100,90,0,54,0,43,85,5,100,100,56,82
18,73,0,56,100,68,60,11,53,3,0,86,3,100,87,43,40
16,91,0,52,100,50,98,0,38,9,67,98,9,100,74,54,39
23,42,0,16,40,86,74,100,56,4,0,100,2,100,95,49,51
53,72,27,90,100,0,54,88,35,0,12,100,4,86,61,54,3
90,84,44,56,58,0,59,67,100,0,64,100,4,77,45,78,15
78,100,42,77,77,0,38,80,55,0,45,100,4,71,34,55,4
14,94,0,54,100,99,61,0,78,9,37,80,3,100,87,43,67
0,31,37,100,27,79,73,32,0,46,18,93,8,100,99,41,42
49,78,25,70,76,0,43,77,20,0,100,100,4,81,56,45,47
55,100,27,43,74,6,39,15,68,0,7,100,4,90,59,65,0
67,100,33,71,74,15,47,66,87,0,11,100,4,69,43,65,0
100,100,93,29,80,7,0,7,61,36,24,87,0,62,0,44,0
14,39,44,34,0,35,35,94,46,57,100,81,8,100,72,0,62
21,59,0,62,100,83,70,6,57,1,0,85,3,100,97,44,36
0,0,17,66,31,29,43,24,4,32,100,100,6,93,71,13,61
0,44,1,46,0,45,59,100,42,5,28,59,1,90,100,18,44
0,36,34,22,10,96,35,100,67,35,0,93,7,100,69,4,70
2,12,23,48,59,31,29,0,9,18,100,100,6,80,56,0,62
33,15,16,0,9,39,67,0,24,0,100,92,1,100,84,50,58
14,88,0,65,100,50,78,0,79,19,90,85,9,94,100,47,38
44,0,75,100,42,85,0,70,73,94,80,100,8,87,43,12,32
91,100,100,35,74,48,0,0,86,73,17,96,0,50,5,44,22
9,36,20,51,0,83,41,100,77,0,22,81,2,100,75,19,38
25,100,6,44,83,31,64,0,66,0,31,100,3,97,75,51,26
36,67,0,50,100,75,96,0,10,22,34,98,9,68,100,67,58
0,10,12,73,0,100,85,33,32,62,65,98,8,74,100,60,41
100,100,67,24,64,46,31,0,88,25,43,61,0,23,0,76,10
0,58,26,12,33,100,45,98,66,36,0,89,7,100,82,5,78
81,0,99,44,1,73,0,100,44,100,14,99,5,54,46,17,8
37,100,9,95,100,0,83,0,86,0,81,100,9,89,68,65,3
21,42,42,94,100,17,18,31,0,21,94,100,6,78,49,0,50
21,20,14,79,48,2,45,100,0,0,31,100,4,84,65,29,15
16,83,0,56,100,91,54,0,68,7,26,85,3,100,79,40,68
41,22,0,67,81,100,90,0,40,6,16,89,5,100,100,62,76
0,0,7,66,21,43,41,100,22,21,1,86,2,100,72,16,26
0,44,5,56,35,59,61,100,54,5,0,82,2,100,90,29,35
0,41,3,27,0,53,61,100,53,3,0,77,1,100,95,29,25
70,7,100,51,0,72,0,100,35,97,59,95,5,57,24,30,35
29,68,13,29,55,49,64,0,44,0,100,94,5,100,93,53,72
62,100,32,66,82,0,46,57,52,0,15,100,4,80,48,50,11
52,88,26,53,69,59,100,49,100,0,0,54,1,63,79,78,25
11,100,0,41,87,78,56,0,61,8,44,85,3,100,83,38,81
60,100,30,60,88,0,38,43,70,0,38,100,4,79,47,57,12
0,14,10,73,0,100,100,32,48,66,54,90,8,65,77,45,22
94,100,100,11,8,46,0,0,99,90,31,99,0,66,49,33,8
