target,petal length (cm),sepal length (cm),petal width (cm),sepal width (cm)
1,4.5,6.0,1.6,3.4
0,1.4,4.8,0.1,3.0
2,5.6,6.4,2.2,2.8
0,1.5,5.3,0.2,3.7
1,4.9,6.9,1.5,3.1
2,5.7,6.7,2.5,3.3
1,4.4,6.3,1.3,2.3
2,5.6,6.4,2.1,2.8
1,4.9,6.9,1.5,3.1
1,4.7,6.3,1.6,3.3
2,5.1,6.9,2.3,3.1
2,5.7,6.7,2.1,3.3
0,1.6,4.8,0.2,3.4
1,3.9,5.6,1.1,2.5
2,5.7,6.7,2.1,3.3
2,5.6,6.7,2.4,3.1
1,3.5,5.4,1.6,3.4
0,1.5,4.9,0.2,3.1
2,5.1,5.8,1.9,2.7
0,1.4,5.1,0.3,3.5
1,4.5,5.4,1.5,3.0
1,3.5,5.0,1.0,2.0
2,5.1,6.5,2.0,3.2
2,4.8,5.9,1.8,3.0
0,1.4,5.1,0.3,3.5
0,1.4,4.8,0.1,3.0
2,5.4,6.2,2.3,3.4
2,5.6,6.7,2.4,3.1
2,5.1,6.9,2.3,3.1
1,4.5,5.4,1.5,3.0
