X,L,j,i,Y
578768.8,-14,558,108,1033396
605123.9,-4.4,360,94,541687.9
571224.7,-23.3,588,36,1097576.6
1148089.7,37.2,440,406,679405.9
613507.8,-11,506,172,884620.1
644792.3,-2.1,462,172,746110.7
572842.9,-11.9,524,138,940903.1
578768.8,-14,558,108,1033396
606273,-22.6,202,170,105347.2
624367,-22.7,650,78,1237713.5
613914.7,-12.2,550,170,1014824.2
582731.7,-18.2,228,124,251724.6
1134515.8,35.4,400,404,666656.6
604129.2,-15.1,526,182,949138.5
64425.5,-49.3,34,158,106641.9
1136867.4,36.2,440,398,689867.4
605816.8,-11.4,470,140,767469.6
612283.5,-0.6,384,98,582330.8
552623.2,-14.1,558,68,1038771.1
589989,-10.3,510,152,896597.1
606905.4,-11.4,514,172,910885.4
599424.3,-11.6,304,98,438986.4
639633.4,-1,434,140,679273.6
571059.4,-20.8,582,50,1083712.9
621472.8,-23.8,670,64,1287428.4
639735,-19.8,608,130,1131832.5
580999.5,-19.7,572,84,1062292.8
609250,-24.1,662,48,1270734
587086.3,-24.7,656,20,1262434.5
598974.4,-3.9,368,88,554163.7
572050,-12,464,102,742618
113430,-53.9,26,102,146976.8
552880.5,-17.8,224,108,259207.7
635192.5,-20.2,634,100,1195334.9
1158594.3,44,438,428,668102.7
624351.2,-8.3,472,160,775609.1
617774.3,-16.6,254,128,318138.7
1135698.2,35.5,430,400,681924.6
1138077.8,38.8,402,408,665794.9
613914.7,-12.2,550,170,1014824.2
61987.5,-49,30,150,117143.6
599850.6,-7.4,460,124,736550.3
605018.1,-11.4,476,144,786367.8
572725,-17.4,246,106,314357.4
593531.5,-23.4,604,52,1128979.2
597601.5,-3.4,374,86,563744.2
597023.6,-5.3,398,84,602608.8
604907.6,-24.5,670,38,1289009.2
635207.2,-15.5,576,176,1064128.7
596906.5,-22.7,612,44,1145389.5
621238.9,-5.4,340,108,509022.1
580800.2,-15.3,566,96,1050243
571795.5,-10.3,338,76,502834
604521.6,-12.8,520,176,930257
608644.2,-13.9,420,100,643562.3
596418.9,-22.5,624,44,1169809.4
596418.9,-22.5,624,44,1169809.4
605500.9,-1.6,384,92,581211.5
608879.5,-23.9,664,46,1275693.7
601698.9,-7.8,322,98,474207.9
599487.2,-23.4,586,94,1089429.3
596956.8,-6.2,400,84,605898.1
1147424.2,42,422,414,668378.4
626104.1,-2.9,456,146,728726.8
561602.6,-12.3,306,80,444217.7
572088,-23,194,164,102641.9
596184.3,-11.3,518,164,923117.2
601013.1,-24.3,664,32,1276131.4
571586.3,-17.7,232,114,272649
601013.1,-24.3,664,32,1276131.4
634886.8,-4.9,466,166,757735.5
1137914.7,38.6,400,408,665249
609229.2,-23,604,82,1126964.2
609541.3,-20.2,578,126,1071337
599189.4,-22.8,648,46,1235330.8
1086653.4,34.4,388,368,658379.5
596755.2,-2.5,454,114,719359.4
607047.4,-24.4,670,42,1288665.4
1156822.4,43.2,416,430,662852.5
621475.8,-20.1,584,138,1082176.3
1149177.4,41.6,396,424,659502.9
1139864.3,39.7,404,410,665634.7
552312.6,-17.1,440,42,660072.7
654796.7,-13.2,274,140,368546.5
609873.8,-23.7,656,54,1255541.9
619294.6,-0.2,378,104,573500.5
589293.4,-11.2,488,138,823784.2
598138.5,-9.6,504,156,877207.9
596755.2,-2.5,454,114,719359.4
617684.3,-0.8,448,128,707416
592869.9,-16.3,538,158,981575.6
617036.2,-5,350,104,526089
619294.6,-0.2,378,104,573500.5
635768.9,-22.7,658,90,1257016.8
1041601.4,28.9,380,340,639953.4
612039.3,-23.8,660,54,1265359.9
104894.5,-49.3,60,174,48569.5
608998,-9.9,412,98,629228.8
593039.6,-5.1,364,84,546967.2
639180.4,0.3,372,120,566538.1
613458.6,-21.3,624,72,1171097.1
572009.3,-12.3,528,136,953151.5
693191.9,-10.3,288,156,411080.2
626104.1,-2.9,456,146,728726.8
626104.1,-2.9,456,146,728726.8
606717.6,-2.6,370,94,558435.9
589107.1,-14.7,532,158,964801.8
1086653.4,34.4,388,368,658379.5
605319.9,-23.1,590,98,1097213.1
617416.6,-3.6,440,118,688023.2
1044042,29.3,444,338,732293.3
606316,-9.5,430,100,660097.5
1145320.3,41.5,414,414,666815.7
601013.1,-24.3,664,32,1276131.4
605353.3,-15.3,538,178,981276.3
604133.8,-4.8,458,126,731654.1
580997.6,-16.1,256,106,336642.5
552424.8,-12.2,296,78,428420.1
626581,-22.4,648,82,1232232.4
601744.9,-14.7,526,178,948620.7
609229.2,-23,604,82,1126964.2
621560.8,-7.4,424,116,655049.4
687254.2,-17.5,640,164,1207096.9
621472.8,-23.8,670,64,1287428.4
593531.5,-23.4,604,52,1128979.2
599189.4,-22.8,648,46,1235330.8
626167.5,-20,588,140,1089784.9
607753.7,-1.2,384,94,581583.1
693791.3,-15.9,628,180,1175948.1
587696,-10.6,514,152,909611.2
1139584.6,36.3,432,402,681605.8
561161.6,-15,566,62,1054759.5
1044042,29.3,444,338,732293.3
578201.7,-23.4,578,68,1074252.2
612283.5,-0.6,384,98,582330.8
626104.1,-2.9,456,146,728726.8
609201.1,-15.2,536,188,975836.2
1044042,29.3,444,338,732293.3
589107.1,-14.7,532,158,964801.8
1156568.5,43.6,430,426,666592.3
613564.8,-3,364,100,549390.7
572744,-7.4,384,62,576048.1
599433.7,-11.1,516,166,916864.6
593001.6,-24.4,658,26,1265572.9
626031.7,-8.1,414,116,636722.6
639633.4,-1,434,140,679273.6
626752.8,-6.6,412,116,633175.4
619966.5,-9,470,154,768973.7
599649.5,-10.9,432,94,663924.5
693191.9,-10.3,288,156,411080.2
626167.5,-20,588,140,1089784.9
609229.2,-23,604,82,1126964.2
599214.3,-24,594,80,1106697.9
616557.3,-22.4,202,176,91681.9
579954,-13.1,482,126,802883.1
635768.9,-22.7,658,90,1257016.8
580007.6,-21.4,574,78,1066280.4
626736.6,-21.2,608,108,1133626.2
621290,-21.2,210,166,136927.7
1137397.4,38.3,394,408,663605.9
687333.1,-1.1,432,180,671803.7
604129.2,-15.1,526,182,949138.5
593899.5,-8.2,328,92,485184
561602.6,-12.3,306,80,444217.7
606316,-9.5,430,100,660097.5
687737.4,-10.2,602,214,1102009.6
621198.9,-10.9,552,184,1018485.3
624705.9,-19.5,216,160,166628.7
1142936.4,40.7,402,414,663975.9
639401.6,-22.5,670,92,1286398.2
621813.3,-18.1,224,150,207633
596906.5,-22.7,612,44,1145389.5
617425.6,-12.3,538,194,980006.8
624018.1,-17.8,230,146,231711.2
617261.9,-12.7,514,182,911841
1139584.6,36.3,432,402,681605.8
572801.6,-13.6,542,124,993705.4
601744.9,-14.7,526,178,948620.7
596355.1,-24.1,598,68,1115747.5
596418.9,-22.5,624,44,1169809.4
635683.4,-2.4,426,132,663799.6
626104.1,-2.9,456,146,728726.8
621560.8,-7.4,424,116,655049.4
598974.4,-3.9,368,88,554163.7
621238.9,-5.4,340,108,509022.1
1158366.5,43.5,418,432,663049.9
617036.2,-5,350,104,526089
621925.4,-8.6,470,156,769144.5
1145241.3,36.7,430,408,674394.2
597263.6,-3.6,372,86,560457.7
1141259.3,36.9,440,400,688385.8
582731.7,-18.2,228,124,251724.6
613681.7,-23.7,658,58,1260032.2
596418.9,-22.5,624,44,1169809.4
579732.6,-10.8,506,140,882779.3
