X,L,j,i,Y
571224.7,-23.3,588,36,1097576.6
624345.2,-20,586,140,1085895.4
597023.6,-5.3,398,84,602608.8
578052.3,-23.3,630,26,1185129.6
626031.7,-8.1,414,116,636722.6
1136867.4,36.2,440,398,689867.4
644792.3,-2.1,462,172,746110.7
1145241.3,36.7,430,408,674394.2
612867.1,-9.4,412,102,630146.6
635768.9,-22.7,658,90,1257016.8
587696,-10.6,514,152,909611.2
639483,-16,258,138,323915.3
599649.5,-10.9,432,94,663924.5
1144492.9,41,402,416,663295.4
579240.8,-23.3,578,70,1074232.5
599141.3,-10.8,514,164,910318.2
580700.8,-14.3,476,122,783202.6
626752.8,-6.6,412,116,633175.4
561337.8,-13.6,562,72,1045810.2
589107.1,-14.7,532,158,964801.8
1134515.8,35.4,400,404,666656.6
626104.1,-2.9,456,146,728726.8
612283.5,-0.6,384,98,582330.8
639180.4,0.3,372,120,566538.1
626167.5,-20,588,140,1089784.9
626104.1,-2.9,456,146,728726.8
609318.2,-23,592,102,1100937.8
617036.2,-5,350,104,526089
552880.5,-17.8,224,108,259207.7
1147477.1,41.6,402,420,662010.1
1147477.1,41.6,402,420,662010.1
687047.1,-18.1,644,162,1216914.4
616898.3,-0.2,382,102,579767.8
621472.8,-23.8,670,64,1287428.4
59819.7,-50.2,54,196,42438.9
1137574.1,38.3,396,408,664154.8
1145123.2,41.6,420,412,669185.1
608879.5,-23.9,664,46,1275693.7
572744,-7.4,384,62,576048.1
687737.4,-10.2,602,214,1102009.6
1147424.2,42,422,414,668378.4
580999.5,-19.7,572,84,1062292.8
624018.1,-17.8,230,146,231711.2
1149941.5,42.2,414,420,664590.1
621560.8,-7.4,424,116,655049.4
624426.3,-18.7,580,150,1073516.9
635237.9,-17.7,584,164,1079961.4
613001.7,-13.7,418,104,641057.3
1086653.4,34.4,388,368,658379.5
578768.8,-14,558,108,1033396
598974.4,-3.9,368,88,554163.7
598974.4,-3.9,368,88,554163.7
64425.5,-49.3,34,158,106641.9
604907.6,-24.5,670,38,1289009.2
593687.3,-13.2,474,132,778542.4
616557.3,-22.4,202,176,91681.9
115364.3,-55.8,32,106,136971.1
589107.1,-14.7,532,158,964801.8
613564.8,-3,364,100,549390.7
613001.7,-13.7,418,104,641057.3
596136.4,-3.2,380,84,573228.4
572725,-17.4,246,106,314357.4
572816.8,-15.1,280,92,393653.2
601348.2,-22.4,614,52,1149138.9
587959.2,-10.4,510,150,896483.3
113383.8,-58,42,118,116654.3
606898.1,-15.8,530,188,959657.3
644792.3,-2.1,462,172,746110.7
580662.4,-24.8,654,18,1257600.2
606300.3,-7.6,406,94,618110
687254.2,-17.5,640,164,1207096.9
572009.3,-12.3,528,136,953151.5
612283.5,-0.6,384,98,582330.8
616566.5,-9.6,478,156,794056.1
596184.3,-11.3,518,164,923117.2
624018.1,-17.8,230,146,231711.2
1158895.8,43.5,412,434,661308.3
617036.2,-5,350,104,526089
613458.6,-21.3,624,72,1171097.1
612039.3,-23.8,660,54,1265359.9
597023.6,-5.3,398,84,602608.8
1149177.4,41.6,396,424,659502.9
609229.2,-23,604,82,1126964.2
617079.3,-11.9,544,188,997299.8
687254.2,-17.5,640,164,1207096.9
639633.4,-1,434,140,679273.6
597627.6,-16.4,568,122,1052076.8
639483,-16,258,138,323915.3
613458.6,-21.3,624,72,1171097.1
654344.9,-18.5,628,130,1178938
616964.6,-22.7,650,68,1238579.5
1041271.8,28,370,338,624937.1
579954,-13.1,482,126,802883.1
596695.8,-9.4,500,152,863934.8
621560.8,-7.4,424,116,655049.4
687737.4,-10.2,602,214,1102009.6
