X,L,j,i,Y
644861.5,-12.3,576,194,1063311.5
604133.8,-4.8,458,126,731654.1
617894.8,-21,586,128,1086892.4
580700.8,-14.3,476,122,783202.6
599189.4,-22.8,648,46,1235330.8
609238.5,-22.2,586,112,1088134.7
582214.3,-13.1,438,82,671316.1
596893.2,-3.9,370,86,557164.7
596842,-11.8,304,96,439084.5
687997,-20.6,660,160,1255564.1
108494.5,-55.2,28,112,142728.2
601106.3,-4.8,398,88,603458.7
605018.1,-11.4,476,144,786367.8
621290,-21.2,210,166,136927.7
626952.8,-20.3,590,138,1093879.4
616964.6,-22.7,650,68,1238579.5
599058.3,-22.4,620,46,1161309.4
598841.3,-13.5,290,104,409645.4
579059.7,-18.6,418,66,631251.6
1147477.1,41.6,402,420,662010.1
578768.8,-14,558,108,1033396
572725,-17.4,246,106,314357.4
1080782.9,33.9,384,364,655678.6
596842,-11.8,304,96,439084.5
605018.1,-11.4,476,144,786367.8
687206.5,-15.7,616,186,1144251.5
599806,-11.5,480,142,798696.1
571795.5,-10.3,338,76,502834
613001.7,-13.7,418,104,641057.3
589293.4,-11.2,488,138,823784.2
605654.5,-22.9,588,102,1092883.7
579576.9,-13.7,554,116,1024228.4
580802.6,-10.8,508,142,889479.2
578315.9,-12.7,484,126,809326.5
572050,-12,464,102,742618
598138.5,-9.6,504,156,877207.9
613507.8,-11,506,172,884620.1
601348.2,-22.4,614,52,1149138.9
624345.2,-20,586,140,1085895.4
578631,-16,568,88,1054695.7
572725,-17.4,246,106,314357.4
1145241.3,36.7,430,408,674394.2
609541.3,-20.2,578,126,1071337
599850.6,-7.4,460,124,736550.3
606898.1,-15.8,530,188,959657.3
578768.8,-14,558,108,1033396
582712.4,-23.8,600,40,1122075.8
593899.5,-8.2,328,92,485184
1145561.8,40.9,392,420,659686.7
571753.8,-19.3,424,58,638957.9
1145241.3,36.7,430,408,674394.2
578909.9,-11.1,512,142,902602.6
607313.7,-8,318,102,466822.5
572009.3,-12.3,528,136,953151.5
587368.5,-23.7,650,30,1242933.9
687622.1,-20,654,160,1240982.5
693791.3,-15.9,628,180,1175948.1
104171.9,-57.8,32,120,133243.4
624212.6,-20.3,622,90,1166137.9
1139584.6,36.3,432,402,681605.8
601744.9,-14.7,526,178,948620.7
113430,-53.9,26,102,146976.8
687622.1,-20,654,160,1240982.5
609813.8,-22.7,606,80,1131241.1
608400.4,-12.4,560,156,1033848.9
571586.7,-11.8,510,134,895652.8
626752.8,-6.6,412,116,633175.4
687737.4,-10.2,602,214,1102009.6
617778.9,-24,674,58,1297918.3
582731.7,-18.2,228,124,251724.6
1141259.3,36.9,440,400,688385.8
621472.8,-23.8,670,64,1287428.4
617036.2,-5,350,104,526089
617774.3,-16.6,254,128,318138.7
1145561.8,40.9,392,420,659686.7
578052.3,-23.3,630,26,1185129.6
572842.9,-11.9,524,138,940903.1
597362.7,-14.2,558,140,1031503.1
601013.1,-24.3,664,32,1276131.4
572842.9,-11.9,524,138,940903.1
64425.5,-49.3,34,158,106641.9
571016,-18.5,430,60,649795.5
1145261.4,41.3,406,416,664222.1
613469,-13.2,284,114,395670.2
572088,-23,194,164,102641.9
605863.8,-12.4,542,172,992163.7
621198.9,-10.9,552,184,1018485.3
608278.1,-12,546,168,1003330.1
598951.1,-12.5,428,92,655692.5
626167.5,-20,588,140,1089784.9
1152502.4,42.9,426,420,666835.3
626216.3,-3.2,358,110,540965.6
613458.6,-21.3,624,72,1171097.1
604907.6,-24.5,670,38,1289009.2
561337.8,-13.6,562,72,1045810.2
639180.4,0.3,372,120,566538.1
593372.2,-15.5,540,156,987079.1
616557.3,-22.4,202,176,91681.9
1149177.4,41.6,396,424,659502.9
624529.8,-8.8,484,166,814362.7
613914.7,-12.2,550,170,1014824.2
639735,-19.8,608,130,1131832.5
617778.9,-24,674,58,1297918.3
616860.5,-9.7,500,170,865128.2
596418.9,-22.5,624,44,1169809.4
593221.8,-2.3,450,106,709050.3
621925.4,-8.6,470,156,769144.5
634412.4,-18.9,590,152,1092503.4
634317.5,-16.9,252,138,306519.5
639483,-16,258,138,323915.3
1041271.8,28,370,338,624937.1
599214.3,-24,594,80,1106697.9
1145123.2,41.6,420,412,669185.1
1145123.2,41.6,420,412,669185.1
619078,-13.1,566,162,1045505.9
113430,-53.9,26,102,146976.8
619294.6,-0.2,378,104,573500.5
561656.5,-21.2,576,38,1074784.4
587086.3,-24.7,656,20,1262434.5
1157117.7,43.3,418,430,663326.2
598400.5,-14.1,558,142,1031329.3
609813.8,-22.7,606,80,1131241.1
596906.5,-22.7,612,44,1145389.5
580999.5,-19.7,572,84,1062292.8
115364.3,-55.8,32,106,136971.1
592074.6,-5.1,458,114,729139.4
592542.6,-11.5,408,80,618215.1
619613.2,-13.2,276,120,376300.5
561161.6,-15,566,62,1054759.5
617036.2,-5,350,104,526089
621560.8,-7.4,424,116,655049.4
572088,-23,194,164,102641.9
693191.9,-10.3,288,156,411080.2
601698.9,-7.8,322,98,474207.9
621813.3,-18.1,224,150,207633
1044042,29.3,444,338,732293.3
621560.8,-7.4,424,116,655049.4
1087877.8,33.5,420,370,681272.5
593372.2,-15.5,540,156,987079.1
608644.2,-13.9,420,100,643562.3
579954,-13.1,482,126,802883.1
597714.3,-13.4,544,156,997887.3
624345.2,-20,586,140,1085895.4
579732.6,-10.8,506,140,882779.3
572749.5,-8.6,396,60,594346.8
572801.6,-13.6,542,124,993705.4
572009.3,-12.3,528,136,953151.5
613987.2,-22.8,650,64,1238949.6
621306.3,-22,206,172,112254.9
582731.7,-18.2,228,124,251724.6
613507.8,-11,506,172,884620.1
1137574.1,38.3,396,408,664154.8
599141.3,-10.8,514,164,910318.2
587696,-10.6,514,152,909611.2
597227.3,-10.7,514,162,910190
604996.2,-14.2,540,174,986699.3
612867.1,-9.4,412,102,630146.6
626736.6,-21.2,608,108,1133626.2
599141.3,-10.8,514,164,910318.2
578768.8,-14,558,108,1033396
593899.5,-8.2,328,92,485184
624212.6,-20.3,622,90,1166137.9
587696,-10.6,514,152,909611.2
580800.2,-15.3,566,96,1050243
599634.4,-15.3,262,114,345368.5
634302.7,-0.7,368,116,559061.4
613681.7,-23.7,658,58,1260032.2
624018.1,-17.8,230,146,231711.2
635192.5,-20.2,634,100,1195334.9
693791.3,-15.9,628,180,1175948.1
1147424.2,42,422,414,668378.4
1141843.6,40.5,406,412,665543.7
639633.4,-1,434,140,679273.6
571586.3,-17.7,232,114,272649
1087887.1,34.4,378,368,650148.3
59819.7,-50.2,54,196,42438.9
616370.6,-11.9,296,112,422170.7
634886.8,-4.9,466,166,757735.5
572816.8,-15.1,280,92,393653.2
1137397.4,38.3,394,408,663605.9
599669.1,-22.3,636,52,1201864.1
1080782.9,33.9,384,364,655678.6
604129.2,-15.1,526,182,949138.5
1134515.8,35.4,400,404,666656.6
1138077.8,38.8,402,408,665794.9
693191.9,-10.3,288,156,411080.2
579927.6,-19.1,422,68,638562.5
572725,-17.4,246,106,314357.4
605500.9,-1.6,384,92,581211.5
1137574.1,38.3,396,408,664154.8
605500.9,-1.6,384,92,581211.5
601013.1,-24.3,664,32,1276131.4
687333.1,-1.1,432,180,671803.7
635768.9,-22.7,658,90,1257016.8
589989,-10.3,510,152,896597.1
1159185.7,43.8,404,436,659020.9
612098.9,-1.2,376,98,569088.9
1045492,30.2,404,346,671024.7
599189.4,-22.8,648,46,1235330.8
613914.7,-12.2,550,170,1014824.2
604133.8,-4.8,458,126,731654.1
616964.6,-22.7,650,68,1238579.5
587368.5,-23.7,650,30,1242933.9
593148.1,-9.8,314,94,458638.8
598175.8,-22.6,646,46,1229756.6
592954.8,-6.8,400,80,605023.7
599866.4,-24.6,674,24,1298163.6
609250,-24.1,662,48,1270734
607161.7,-2,374,94,565073.8
1141259.3,36.9,440,400,688385.8
1040842.6,29.7,410,344,678954.6
626736.6,-21.2,608,108,1133626.2
605123.9,-4.4,360,94,541687.9
1148089.7,37.2,440,406,679405.9
619234.9,-10.5,502,174,871676.2
621475.8,-20.1,584,138,1082176.3
639735,-19.8,608,130,1131832.5
552377.5,-21,570,34,1067265.1
572816.8,-15.1,280,92,393653.2
604133.8,-4.8,458,126,731654.1
580007.6,-21.4,574,78,1066280.4
578143,-23.4,634,28,1196375.1
561656.5,-21.2,576,38,1074784.4
579954,-13.1,482,126,802883.1
605654.5,-22.9,588,102,1092883.7
593531.5,-23.4,604,52,1128979.2
612572.9,-1.7,446,120,702074.5
593001.6,-24.4,658,26,1265572.9
561165.9,-8.5,452,74,699592.5
609250,-24.1,662,48,1270734
612572.9,-1.7,446,120,702074.5
578201.7,-23.4,578,68,1074252.2
589293.4,-11.2,488,138,823784.2
599477,-22.3,634,52,1196436.3
1139584.6,36.3,432,402,681605.8
587696,-10.6,514,152,909611.2
597263.6,-3.6,372,86,560457.7
580999.5,-19.7,572,84,1062292.8
609229.2,-23,604,82,1126964.2
580800.2,-15.3,566,96,1050243
617036.2,-5,350,104,526089
624018.1,-17.8,230,146,231711.2
624426.3,-18.7,580,150,1073516.9
596906.5,-22.7,612,44,1145389.5
613564.8,-3,364,100,549390.7
609229.2,-23,604,82,1126964.2
552312.6,-17.1,440,42,660072.7
597714.3,-13.4,544,156,997887.3
644787.9,-20.4,640,110,1209994.6
687456.9,-2.3,340,152,521378.1
599189.4,-22.8,648,46,1235330.8
619294.6,-0.2,378,104,573500.5
571685.3,-11.2,404,58,606446.8
639556,-0.7,366,120,556498.6
598951.1,-12.5,428,92,655692.5
639759.4,-22.4,652,98,1241225.6
624345.2,-20,586,140,1085895.4
113383.8,-58,42,118,116654.3
609888.8,-21.8,614,70,1148602.3
596652.2,-10.4,310,96,450613.2
609873.8,-23.7,656,54,1255541.9
593001.6,-24.4,658,26,1265572.9
592064.6,-22.4,578,94,1073336.4
1138077.8,38.8,402,408,665794.9
587368.5,-23.7,650,30,1242933.9
617774.3,-16.6,254,128,318138.7
601698.9,-7.8,322,98,474207.9
587959.2,-10.4,510,150,896483.3
624457.7,-21.4,608,104,1133910.7
552871.2,-9.9,348,60,519343.9
561161.6,-15,566,62,1054759.5
619329.3,-11.3,504,176,878188
598974.4,-3.9,368,88,554163.7
616557.3,-22.4,202,176,91681.9
593837.1,-24.7,662,20,1275756.8
593687.3,-13.2,474,132,778542.4
616964.6,-22.7,650,68,1238579.5
606904.6,-22,614,64,1148788.3
1147945.8,42,418,416,666759.1
1141259.3,36.9,440,400,688385.8
593039.6,-5.1,364,84,546967.2
612283.5,-0.6,384,98,582330.8
635192.5,-20.2,634,100,1195334.9
609888.8,-21.8,614,70,1148602.3
589140.4,-24.2,590,68,1099432.5
571059.4,-20.8,582,50,1083712.9
593001.6,-24.4,658,26,1265572.9
599189.4,-22.8,648,46,1235330.8
616514.4,-24.2,678,60,1307909.9
619966.5,-9,470,154,768973.7
578909.9,-11.1,512,142,902602.6
582731.7,-18.2,228,124,251724.6
597789.6,-21,576,108,1068577.5
604996.2,-14.2,540,174,986699.3
609229.2,-23,604,82,1126964.2
1144492.9,41,402,416,663295.4
1158594.3,44,438,428,668102.7
634502.7,-21.8,208,176,108983.8
606300.3,-7.6,406,94,618110
598138.5,-9.6,504,156,877207.9
578275.5,-13.7,554,114,1024330.5
621925.4,-8.6,470,156,769144.5
635768.9,-22.7,658,90,1257016.8
572744,-7.4,384,62,576048.1
1136867.4,36.2,440,398,689867.4
1139849,36.6,438,400,686941.6
687047.1,-18.1,644,162,1216914.4
687737.4,-10.2,602,214,1102009.6
605018.1,-11.4,476,144,786367.8
617036.2,-5,350,104,526089
604133.8,-4.8,458,126,731654.1
1156568.5,43.6,430,426,666592.3
59819.7,-50.2,54,196,42438.9
617774.3,-16.6,254,128,318138.7
597601.5,-3.4,374,86,563744.2
572009.3,-12.3,528,136,953151.5
605654.5,-22.9,588,102,1092883.7
578052.3,-23.3,630,26,1185129.6
552424.8,-12.2,296,78,428420.1
612098.9,-1.2,376,98,569088.9
613148.3,-12.8,290,112,409103.2
609813.8,-22.7,606,80,1131241.1
597789.6,-21,576,108,1068577.5
612516.5,-18.1,574,138,1062705.8
579240.8,-23.3,578,70,1074232.5
621560.8,-7.4,424,116,655049.4
552312.6,-17.1,440,42,660072.7
609541.3,-20.2,578,126,1071337
609318.2,-23,592,102,1100937.8
654982,-10.7,580,208,1070195.9
604996.2,-14.2,540,174,986699.3
108178.5,-57.1,42,124,111861.5
599424.3,-11.6,304,98,438986.4
561494,-12.9,526,124,947159.8
587959.2,-10.4,510,150,896483.3
605654.5,-22.9,588,102,1092883.7
616860.5,-9.7,500,170,865128.2
580800.2,-15.3,566,96,1050243
596956.8,-6.2,400,84,605898.1
605319.9,-23.1,590,98,1097213.1
606904.6,-22,614,64,1148788.3
621238.9,-5.4,340,108,509022.1
624426.3,-18.7,580,150,1073516.9
561161.6,-15,566,62,1054759.5
605037.7,-24.5,672,36,1293699.8
561867.2,-19.2,572,48,1066947.5
1159185.7,43.8,404,436,659020.9
616898.3,-0.2,382,102,579767.8
582402.6,-23.2,578,76,1074108.6
580928.6,-18,570,88,1058352.1
599487.2,-23.4,586,94,1089429.3
596655.8,-24.7,676,18,1301977
596418.9,-22.5,624,44,1169809.4
619294.6,-0.2,378,104,573500.5
613597.6,-8.8,426,108,656091.6
582005.8,-14.2,534,146,970619.3
587368.5,-23.7,650,30,1242933.9
639180.4,0.3,372,120,566538.1
601038.6,-22.2,620,50,1161471
644253.8,0.5,372,124,567331.1
624457.7,-21.4,608,104,1133910.7
635192.5,-20.2,634,100,1195334.9
580800.2,-15.3,566,96,1050243
605281.2,-6.1,348,96,521432.6
608400.4,-12.4,560,156,1033848.9
571224.7,-23.3,588,36,1097576.6
619617.4,-16.9,252,130,311521.5
599649.5,-10.9,432,94,663924.5
644792.3,-2.1,462,172,746110.7
617079.3,-11.9,544,188,997299.8
613681.7,-23.7,658,58,1260032.2
589140.4,-24.2,590,68,1099432.5
596755.2,-2.5,454,114,719359.4
1134920.5,35.3,428,400,680823.8
616156.7,-21.9,590,118,1095631.6
1139584.6,36.3,432,402,681605.8
1149941.5,42.2,414,420,664590.1
599806,-11.5,480,142,798696.1
624351.2,-8.3,472,160,775609.1
626640.7,-0.5,372,110,564614.9
572801.6,-13.6,542,124,993705.4
1145320.3,41.5,414,414,666815.7
571059.4,-20.8,582,50,1083712.9
108060.5,-56,30,114,138762.6
1148915.8,41.7,402,422,661424.5
634886.8,-4.9,466,166,757735.5
613321.7,-3.4,362,100,546014.4
644466,-21.8,648,106,1230488.1
596706.1,-5.5,358,88,537483.9
587966,-16.6,252,112,323575.3
1139584.6,36.3,432,402,681605.8
592869.5,-24.6,660,22,1271455
593531.5,-23.4,604,52,1128979.2
635237.9,-17.7,584,164,1079961.4
606273,-22.6,202,170,105347.2
612283.5,-0.6,384,98,582330.8
616566.5,-9.6,478,156,794056.1
1137574.1,38.3,396,408,664154.8
639633.4,-1,434,140,679273.6
606905.4,-11.4,514,172,910885.4
605816.8,-11.4,470,140,767469.6
605500.9,-1.6,384,92,581211.5
1047506.9,28.8,372,340,627802.1
616080.3,-20.9,584,128,1082963.7
626936.7,-4.9,338,112,506098.5
626640.7,-0.5,372,110,564614.9
