target,petal length (cm),sepal length (cm),petal width (cm),sepal width (cm)
1,4.7,6.1,1.4,2.3
1,2.4,4.2,0.2,3.6
1,2.6,4.4,0.2,3.1
1,4.4,6.3,2.0,2.9
0,1.8,5.1,0.3,3.5
2,4.5,5.7,1.3,2.8
0,2.5,5.1,0.2,3.0
0,1.3,4.8,0.2,3.6
1,3.4,4.5,0.2,3.6
2,5.2,5.9,1.5,2.3
0,1.5,5.1,0.3,3.4
1,3.5,4.5,0.3,3.6
2,5.1,5.9,1.8,2.7
0,1.4,4.6,1.4,3.4
2,4.7,5.9,1.4,2.9
2,5.1,6.4,2.3,3.5
0,1.5,5.4,0.2,3.4
0,1.4,4.0,0.2,3.4
2,4.7,6.1,1.4,3.0
2,5.1,6.3,1.5,2.8
0,4.5,6.4,1.5,3.2
0,3.6,6.3,1.5,3.0
1,4.7,6.1,1.4,3.2
1,4.4,6.3,1.9,2.3
2,5.8,6.7,2.2,3.3
1,5.8,7.2,2.5,3.2
0,1.4,4.5,0.2,3.1
2,5.1,5.9,1.8,2.7
2,6.4,7.2,1.3,2.8
1,3.3,6.4,1.5,2.4
