,Age,FrequentFlyer,AnnualIncomeClass,ServicesOpted,AccountSyncedToSocialMedia,BookedHotelOrNot,Target,real_identifier
0,36,1,2,3,1,0,0,0
1,28,2,0,5,0,0,1,0
2,35,2,1,2,0,0,0,0
3,34,1,2,3,0,0,0,0
4,38,0,2,3,1,0,0,0
5,33,0,2,5,1,1,0,0
6,29,2,0,6,0,1,1,0
7,26,2,0,4,0,0,1,0
8,32,0,2,4,0,0,0,0
9,34,2,1,1,0,1,0,0
10,32,2,0,3,1,1,1,0
11,29,1,1,4,0,0,0,0
12,35,0,2,5,1,0,0,0
13,28,2,0,2,0,1,1,0
14,33,1,1,6,0,1,1,0
15,31,0,2,3,0,0,0,0
16,27,2,0,4,1,0,1,0
17,36,1,2,1,0,1,0,0
18,30,2,0,5,0,0,1,0
19,34,0,1,2,1,1,0,0
20,29,1,0,3,1,0,1,0
21,35,2,2,5,0,1,0,0
22,31,0,1,2,1,0,0,0
23,33,2,1,3,0,1,1,0
24,36,1,0,4,1,0,0,0
25,27,0,2,5,0,1,0,0
26,32,1,1,1,1,0,1,0
27,34,2,0,2,0,0,0,0
28,29,0,1,5,1,1,1,0
29,30,1,2,3,0,0,0,0
30,29,1,1,3,0,0,0,0
31,32,1,0,2,0,0,1,0
32,33,0,2,5,1,1,0,0
33,30,2,1,2,1,0,0,0
34,34,0,1,3,0,1,1,0
35,28,1,2,1,1,1,0,0
36,36,0,0,4,0,1,0,0
37,35,2,1,3,1,0,1,0
38,27,0,2,5,0,1,0,0
39,31,1,0,1,1,0,1,0
40,31,1,1,3,0,0,0,0
41,28,0,0,4,1,0,1,0
42,35,0,2,2,0,1,0,0
43,33,2,1,3,1,0,1,0
44,29,1,2,1,0,1,0,0
45,32,0,1,4,1,0,1,0
46,36,2,0,2,0,1,0,0
47,34,0,1,3,1,0,0,0
48,30,1,2,5,0,1,0,0
49,27,0,1,2,1,0,1,0
50,32,0,2,3,0,0,0,0
51,38,0,2,5,1,0,0,0
52,34,0,2,7,0,1,0,0
53,26,0,2,2,0,1,0,0
54,29,0,1,5,1,1,1,0
55,36,2,0,2,1,0,0,0
56,37,0,2,4,0,0,0,0
57,28,0,1,4,0,0,0,0
58,31,0,2,3,1,0,0,0
59,31,2,1,2,1,0,1,0
60,32,1,1,2,0,0,1,0
61,35,0,2,5,1,1,0,0
62,33,2,1,3,0,0,1,0
63,36,1,0,1,1,1,0,0
64,31,0,2,4,0,1,0,0
65,38,2,1,5,1,0,1,0
66,34,1,2,3,0,1,0,0
67,30,0,0,2,1,0,1,0
68,37,1,2,4,1,1,0,0
69,32,2,1,2,0,0,1,0
70,31,1,1,3,1,0,0,0
71,36,0,2,2,0,1,1,0
72,32,0,1,4,1,0,1,0
73,35,2,0,3,0,0,0,0
74,28,1,2,2,1,1,0,0
75,34,0,2,5,1,0,1,0
76,29,2,0,1,1,1,0,0
77,33,1,1,4,0,0,1,0
78,30,0,1,3,0,1,0,0
79,37,2,1,2,1,0,1,0
80,29,1,2,5,0,1,0,0
81,32,0,1,3,1,0,1,0
82,37,2,1,2,0,0,0,0
83,26,0,2,1,0,1,1,0
84,33,0,2,4,1,1,0,0
85,28,1,1,2,0,0,0,0
86,30,0,1,5,1,0,1,0
87,35,2,1,1,0,1,0,0
88,31,0,1,3,0,0,0,0
89,36,2,1,2,0,0,0,0
90,32,1,2,3,0,0,0,0
91,29,0,1,2,1,0,1,0
92,36,2,0,1,0,0,0,0
93,31,0,1,2,1,1,0,0
94,40,1,2,4,0,1,0,0
95,26,0,1,3,1,0,1,0
96,33,2,2,4,0,0,0,0
97,39,0,0,2,1,0,1,0
98,28,1,1,1,0,1,0,0
99,35,0,2,3,1,1,0,0
100,32,0,2,3,1,1,0,0
101,39,0,1,2,0,0,0,0
102,28,1,1,1,1,1,0,0
103,31,0,2,4,0,0,0,0
104,35,2,1,2,0,1,0,0
105,33,2,1,3,0,0,0,0
106,34,0,2,3,1,1,0,0
107,29,0,1,4,0,0,0,0
108,36,2,1,2,0,1,0,0
109,31,0,2,1,1,1,0,0
110,35,1,1,3,1,0,1,0
111,33,2,0,5,0,1,1,0
112,28,0,1,3,1,0,1,0
113,35,0,2,4,0,1,0,0
114,31,1,2,2,0,0,0,0
115,29,0,2,4,0,0,0,0
116,38,0,2,3,0,0,0,0
117,33,0,2,1,0,1,0,0
118,31,0,2,5,0,1,0,0
119,36,0,2,2,1,0,0,0
120,32,1,1,3,1,0,1,0
121,31,0,0,2,0,0,0,0
122,28,2,1,4,1,1,1,0
123,35,1,2,5,0,0,0,0
124,29,0,1,6,1,1,1,0
125,33,2,0,3,0,0,0,0
126,34,0,2,4,1,1,0,0
127,30,1,0,5,0,1,1,0
128,31,2,1,2,0,0,0,0
129,32,0,2,6,1,1,1,0
130,35,1,2,5,0,1,0,0
131,29,2,1,2,1,0,1,0
132,32,0,2,1,0,1,0,0
133,31,0,1,5,0,1,0,0
134,28,1,0,3,1,0,0,0
135,26,2,0,2,0,0,1,0
136,34,1,2,4,1,0,0,0
137,32,0,2,3,0,1,0,0
138,33,2,0,1,0,0,1,0
139,38,1,1,2,0,0,0,0
140,28,1,1,3,0,0,1,0
141,33,2,0,4,1,0,0,0
142,31,0,2,2,1,0,1,0
143,29,1,1,5,0,1,0,0
144,36,2,1,3,1,0,1,0
145,32,0,0,4,0,1,0,0
146,34,1,2,2,1,0,0,0
147,27,0,1,3,0,1,1,0
148,31,2,2,1,1,0,0,0
149,30,1,0,6,0,1,1,0
150,32,1,1,3,0,0,0,0
151,29,0,0,2,1,1,1,0
152,35,2,2,5,0,0,0,0
153,33,0,1,4,1,1,0,0
154,36,1,2,3,0,0,1,0
