duration,age,purpose,property_magnitude,foreign_worker,existing_credits,residence_since,own_telephone,other_payment_plans,checking_status,housing,employment,job,target,personal_status,credit_history,num_dependents,savings_status,other_parties,installment_commitment,credit_amount
15,24,3,3,1,1,4,0,1,2,1,3,1,0,0,3,1,1,2,3,1459
9,23,1,3,1,1,4,1,1,3,2,1,1,1,0,3,1,1,2,1,1436
9,36,6,3,1,2,4,1,1,3,1,1,1,1,3,1,1,1,2,4,1447
8,33,0,0,1,1,2,0,1,2,1,2,3,1,2,3,1,1,2,3,1297
36,26,9,0,1,2,1,1,1,2,1,1,1,0,3,3,1,1,2,4,11974
12,39,8,1,1,1,4,0,1,3,1,0,1,1,3,3,2,4,2,4,2573
18,39,4,2,1,1,4,1,0,3,1,0,1,0,3,3,2,1,2,2,8011
8,24,3,1,1,1,2,0,1,1,2,4,2,1,2,3,1,1,2,2,1744
10,43,3,1,1,1,3,0,1,2,1,3,1,1,0,3,1,1,2,2,2215
10,24,3,0,1,2,4,0,1,3,2,2,1,1,2,2,1,0,2,1,3415
24,24,4,1,1,1,4,0,1,1,2,1,1,0,0,3,1,1,2,4,1207
18,20,6,0,1,2,4,1,1,3,2,3,1,1,0,1,1,1,0,4,1988
10,43,3,1,1,1,3,0,1,3,1,4,3,1,2,3,2,1,2,4,1183
36,26,9,0,1,2,2,0,1,2,1,3,1,0,3,4,1,1,2,2,9628
24,24,3,0,1,2,4,1,1,2,2,4,1,0,0,1,1,1,2,4,1928
18,24,3,3,1,1,4,0,1,1,2,2,1,0,0,3,1,1,2,3,1459
36,31,4,0,1,1,4,0,1,2,1,1,1,0,0,3,1,1,2,4,1935
24,48,6,2,1,1,4,1,0,3,0,0,1,1,3,3,2,1,2,4,2288
18,20,1,1,1,1,1,0,1,2,1,1,1,0,3,3,1,4,2,2,4801
12,25,4,3,1,1,3,0,1,1,2,2,1,1,0,3,1,1,2,2,2388
12,29,6,1,1,2,2,0,1,3,1,1,1,1,0,4,1,1,2,4,1499
24,36,4,3,1,2,4,1,0,3,1,0,1,1,3,2,1,1,2,4,1943
18,23,3,0,1,1,4,0,1,1,2,3,1,1,2,3,1,1,2,4,1808
12,20,6,3,1,1,4,0,1,2,1,1,1,1,3,3,1,1,2,4,1903
24,43,6,3,1,1,1,0,1,3,1,2,3,1,0,0,1,0,2,4,1519
12,44,0,3,1,1,4,0,1,0,1,2,3,1,3,2,1,4,2,48,588
15,24,4,0,1,1,4,0,0,1,2,2,1,0,0,3,1,1,2,1806,3574
9,39,4,3,1,1,2,0,1,3,1,3,1,0,3,3,1,1,2,1476,740
12,29,3,0,1,1,1,0,0,1,1,1,1,1,0,3,1,4,2,4,1807
15,24,3,3,1,1,4,0,1,2,1,3,1,0,0,3,1,1,2,3,1459
12,55,4,0,1,2,4,1,1,3,1,2,1,1,3,1,1,0,2,4,1198
15,34,4,2,1,2,4,0,1,1,0,3,1,0,0,1,1,1,2,2,3431
9,74,4,3,1,2,4,0,1,3,1,4,3,1,3,1,1,1,2,4,1300
9,27,2,1,1,1,3,0,1,1,1,1,1,1,0,3,1,1,2,3,3569
12,25,6,0,1,1,3,0,0,3,1,2,1,1,3,3,1,1,2,3,1262
24,48,4,2,1,1,4,1,1,3,0,0,1,1,3,1,1,4,2,3,4848
10,23,3,1,1,2,4,0,1,1,2,1,1,0,0,1,1,1,2,4,814
36,30,9,0,1,1,2,0,1,3,1,3,1,1,3,3,1,4,2,4,8087
24,27,6,0,1,2,1,0,1,3,1,1,1,1,3,1,1,0,2,4,1364
18,31,0,0,1,2,1,1,1,3,1,3,0,1,3,1,1,2,2,4,1459
36,24,9,2,1,1,4,0,1,3,1,1,0,0,0,4,1,1,2,1,8339
24,35,4,0,1,2,3,1,2,3,1,0,1,0,3,1,1,3,2,4,2339
12,28,3,1,1,1,2,0,1,2,1,2,1,1,3,3,1,1,2,4,2097
12,32,6,0,1,1,2,1,1,2,1,3,0,1,2,3,1,1,2,4,2219
24,26,6,1,1,1,2,0,1,3,1,2,1,1,2,3,1,1,2,4,1311
24,37,4,3,1,2,4,1,0,0,1,2,1,0,3,1,2,0,2,2,1328
18,31,3,3,1,2,2,0,1,2,1,0,1,0,3,3,1,1,2,4,2708
8,35,4,3,1,1,2,1,1,2,1,0,1,1,0,1,1,1,2,4,676
24,32,3,0,1,1,2,0,0,3,1,0,1,1,1,2,1,1,2,2,2369
18,26,6,3,1,1,1,0,1,3,1,1,1,1,0,3,1,1,2,3,1459
24,39,4,3,1,2,4,0,1,0,1,2,0,0,3,1,2,2,2,4,2375
24,33,9,0,1,2,3,1,1,3,1,3,1,1,3,1,1,1,2,3,3862
9,33,4,3,0,1,2,0,1,3,1,2,1,1,3,3,1,3,0,4,2171
24,23,6,0,1,1,4,0,0,1,2,1,1,1,0,3,1,4,2,2,1735
15,24,3,3,1,1,4,0,1,2,1,3,1,0,0,3,1,1,2,3,1459
9,23,1,3,1,1,4,1,1,3,2,1,1,1,0,3,1,1,2,1,1430
9,36,3,3,1,2,3,0,1,3,1,1,1,1,3,1,1,1,2,4,1316
8,26,6,0,1,1,1,0,1,3,1,2,3,1,3,3,1,1,2,3,1294
28,24,9,1,1,1,4,0,1,1,2,1,1,1,0,3,1,2,2,2,3185
36,26,3,0,1,2,2,1,1,3,1,2,0,0,3,3,1,1,2,4,4467
6,27,6,3,1,1,3,0,1,3,1,3,3,1,3,1,1,1,2,4,484
6,44,6,1,1,1,1,0,1,3,1,3,1,1,0,3,1,1,2,4,3744
27,33,6,0,1,2,4,0,1,1,1,4,0,1,0,4,1,1,2,4,2522
18,32,4,3,1,1,2,1,1,2,1,2,3,1,0,1,1,1,2,4,1949
24,35,6,3,1,1,1,0,1,3,1,3,1,1,0,0,1,3,2,4,1552
12,43,4,0,1,2,4,0,1,0,1,2,1,1,3,1,2,1,2,4,797
