,beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price,real_identifier
0,4.0,2.5,2100.0,0.0,6200.0,1.0,98118.0,1120000.0,0
1,2.0,2.0,1080.0,0.0,4800.0,1.0,98105.0,680000.0,0
2,5.0,3.0,3100.0,0.0,7800.0,1.0,98119.0,2100000.0,0
3,3.0,2.0,1550.0,0.0,5900.0,1.0,98122.0,560000.0,0
4,4.0,2.5,2300.0,0.0,6500.0,1.0,98146.0,1020000.0,0
5,2.0,1.5,1220.0,0.0,5100.0,1.0,98103.0,450000.0,0
6,3.0,3.0,1900.0,0.0,4600.0,1.0,98117.0,820000.0,0
7,4.0,2.0,2200.0,0.0,7000.0,1.0,98121.0,950000.0,0
8,3.0,2.5,1750.0,0.0,5400.0,1.0,98116.0,710000.0,0
9,2.0,1.0,920.0,0.0,4300.0,1.0,98102.0,370000.0,0
10,3.0,2.0,1720.0,0.0,6300.0,1.0,98105.0,980000.0,0
11,2.0,2.5,1200.0,0.0,4200.0,1.0,98116.0,650000.0,0
12,4.0,3.5,2900.0,0.0,5500.0,1.0,98122.0,1800000.0,0
13,3.0,2.0,1400.0,0.0,3800.0,1.0,98107.0,745000.0,0
14,2.0,1.5,1050.0,0.0,6500.0,1.0,98113.0,520000.0,0
15,4.0,2.5,2300.0,0.0,4700.0,1.0,98101.0,1350000.0,0
16,1.0,1.0,620.0,0.0,3900.0,1.0,98119.0,410000.0,0
17,3.0,2.0,1300.0,0.0,5600.0,1.0,98110.0,760000.0,0
18,5.0,3.0,3100.0,0.0,7900.0,1.0,98124.0,2000000.0,0
19,2.0,1.0,950.0,0.0,3500.0,1.0,98114.0,490000.0,0
20,3.0,2.0,1850.0,0.0,5200.0,1.0,98119.0,845000.0,0
21,4.0,3.0,2890.0,0.0,4500.0,1.0,98101.0,2150000.0,0
22,2.0,1.5,1120.0,0.0,4900.0,1.0,98134.0,625000.0,0
23,5.0,3.5,3200.0,0.0,10200.0,1.0,98116.0,3450000.0,0
24,3.0,2.0,1420.0,0.0,6800.0,1.0,98121.0,765000.0,0
25,4.0,2.0,2100.0,0.0,3200.0,1.0,98109.0,1150000.0,0
26,2.0,2.5,1180.0,0.0,4300.0,1.0,98107.0,605000.0,0
27,5.0,4.0,3050.0,0.0,8700.0,1.0,98138.0,2900000.0,0
28,3.0,1.5,1350.0,0.0,5600.0,1.0,98118.0,725000.0,0
29,4.0,3.0,2340.0,0.0,3900.0,1.0,98126.0,1550000.0,0
30,2.0,1.5,1500.0,0.0,4500.0,1.0,98109.0,720000.0,0
31,3.0,2.0,1650.0,0.0,3800.0,1.0,98117.0,875000.0,0
32,2.0,2.0,1100.0,0.0,2450.0,1.0,98105.0,420000.0,0
33,4.0,3.0,2000.0,0.0,6300.0,1.0,98126.0,1120000.0,0
34,3.0,2.5,1890.0,0.0,3980.0,1.0,98115.0,960000.0,0
35,2.0,1.0,1050.0,0.0,0.35,0.0,98107.0,315000.0,0
36,4.0,2.0,2200.0,0.0,5000.0,1.0,98118.0,1050000.0,0
37,3.0,2.0,1420.0,0.0,4200.0,1.0,98122.0,675000.0,0
38,2.0,1.5,1300.0,0.0,2900.0,1.0,98144.0,520000.0,0
39,5.0,3.0,2400.0,0.0,7200.0,1.0,98103.0,1520000.0,0
40,3.0,2.0,1500.0,0.0,6200.0,1.0,98109.0,720000.0,0
41,4.0,2.5,2200.0,0.0,8000.0,1.0,98198.0,1100000.0,0
42,5.0,3.0,3000.0,0.0,6500.0,1.0,98144.0,1550000.0,0
43,3.0,1.5,1400.0,0.0,4200.0,1.0,98122.0,630000.0,0
44,4.0,3.0,2500.0,0.0,7500.0,1.0,98112.0,1250000.0,0
45,2.0,2.0,1200.0,0.0,4800.0,1.0,98134.0,850000.0,0
46,5.0,4.0,3700.0,0.0,9200.0,1.0,98195.0,1900000.0,0
47,3.0,2.0,1800.0,0.0,5500.0,1.0,98104.0,920000.0,0
