Age,FrequentFlyer,AnnualIncomeClass,ServicesOpted,AccountSyncedToSocialMedia,BookedHotelOrNot,Target
29,0,1,1,0,0,0
36,1,2,2,0,1,0
36,0,2,2,0,1,0
29,1,1,1,0,0,0
30,1,2,1,0,0,0
29,0,1,2,0,1,0
28,0,2,1,0,0,0
36,1,1,1,0,1,0
34,0,1,1,0,0,0
28,1,1,2,0,1,0
28,1,1,1,0,0,0
30,0,2,1,0,0,0
29,0,1,1,0,1,0
29,1,2,1,0,0,0
29,0,1,2,0,0,0
36,0,1,1,0,1,0
29,0,2,1,0,0,0
28,0,2,2,0,0,0
36,1,1,1,0,1,0
36,0,1,1,0,0,0
28,0,1,1,0,1,0
29,0,1,1,0,0,0
36,1,2,1,0,0,0
29,0,2,1,0,1,0
36,1,2,2,0,0,0
29,0,1,1,0,0,0
36,0,2,1,0,0,0
27,1,1,1,0,0,0
28,1,2,1,0,0,0
28,1,1,1,0,0,0
36,0,1,1,0,0,0
36,1,1,1,0,0,0
29,1,1,2,0,1,0
29,1,1,1,0,0,0
36,0,2,2,0,0,0
30,1,2,1,0,0,0
30,0,2,1,0,0,0
30,0,1,1,0,0,0
28,1,1,1,0,1,0
36,0,2,1,0,0,0
27,1,1,1,0,1,0
28,0,2,1,0,0,0
36,1,1,1,0,1,0
29,0,1,1,0,0,0
36,0,1,1,0,0,0
36,0,2,1,0,0,0
27,1,1,1,0,0,0
36,1,2,1,0,0,0
36,0,2,1,0,1,0
30,0,2,1,0,1,0
29,1,1,2,0,0,0
36,1,1,1,0,1,0
34,0,1,1,0,1,0
28,0,1,1,0,0,0
29,1,2,1,0,0,0
29,0,2,1,0,1,0
28,0,2,1,0,0,0
36,0,2,2,0,0,0
29,0,1,1,0,1,0
36,1,1,1,0,1,0
29,0,1,1,0,1,0
28,1,1,2,0,1,0
36,0,2,1,0,0,0
30,0,2,1,0,0,0
36,1,1,2,0,0,0
28,0,1,2,0,0,0
36,0,1,1,0,0,0
29,0,1,2,0,1,0
30,1,1,2,0,0,0
30,0,1,1,0,0,0
27,0,2,1,0,0,0
36,0,1,1,0,0,0
36,0,2,1,0,0,0
28,0,2,2,0,0,0
28,0,1,1,0,0,0
30,0,2,1,0,1,0
28,0,1,1,0,0,0
29,0,1,1,0,0,0
27,1,1,1,0,1,0
27,0,2,2,0,0,0
36,0,1,1,0,0,0
29,0,1,1,0,1,0
29,0,1,1,0,0,0
28,0,1,1,0,1,0
29,1,1,1,0,0,0
36,1,1,1,0,1,0
34,0,1,2,0,0,0
29,0,1,2,0,1,0
28,1,1,1,0,1,0
36,1,1,2,0,0,0
34,0,2,2,0,0,0
34,0,2,2,0,0,0
28,0,2,1,0,0,0
28,0,1,1,0,0,0
27,0,1,2,0,1,0
28,1,1,1,0,0,0
36,1,2,1,0,1,0
30,1,2,1,0,0,0
29,0,1,2,0,0,0
36,0,2,2,0,0,0
27,1,1,2,0,0,0
34,0,2,2,0,1,0
36,0,2,2,0,0,0
27,1,1,1,0,0,0
27,0,1,2,0,0,0
36,1,2,1,0,0,0
36,1,1,1,0,0,0
30,0,2,1,0,1,0
30,1,2,1,0,0,0
34,0,1,1,0,0,0
28,1,1,1,0,1,0
29,1,1,2,0,0,0
29,0,1,1,0,0,0
29,0,2,2,0,1,0
36,0,2,1,0,0,0
27,1,2,2,0,1,0
28,0,2,2,0,0,0
30,1,1,1,0,0,0
29,0,1,1,0,0,0
29,0,2,2,0,0,0
36,1,1,4,0,1,0
30,0,1,1,0,0,0
29,1,1,2,0,0,0
36,0,2,2,0,0,0
37,0,2,1,0,1,0
28,0,2,1,0,0,0
28,1,1,1,0,0,0
36,0,2,1,0,0,0
36,0,1,1,0,1,0
36,1,2,1,0,1,0
27,1,2,1,0,0,0
27,1,2,2,0,0,0
30,0,1,1,0,0,0
27,0,2,2,0,0,0
28,0,1,1,0,1,0
28,1,1,1,0,0,0
34,0,1,1,0,0,0
36,0,2,2,0,0,0
27,0,1,2,0,0,0
30,0,1,1,0,1,0
29,0,1,2,0,0,0
36,1,1,1,0,1,0
29,0,2,1,0,0,0
28,0,1,2,0,0,0
36,0,2,1,0,0,0
36,0,1,1,0,1,0
30,0,2,1,0,0,0
27,1,1,1,0,1,0
28,0,2,1,0,0,0
36,1,1,1,0,0,0
27,1,2,1,0,0,0
27,1,1,2,0,0,0
34,0,1,1,0,0,0
34,1,1,1,0,0,0
36,0,2,1,0,0,0
36,1,2,2,0,1,0
29,1,1,1,0,0,0
29,0,1,1,0,1,0
30,0,1,1,0,0,0
30,0,1,1,0,0,0
28,0,2,2,0,0,0
29,1,1,1,0,1,0
27,0,1,2,0,1,0
36,0,2,1,0,0,0
36,1,2,1,0,1,0
36,1,2,1,0,1,0
30,1,2,2,0,1,0
33,0,2,1,0,0,0
30,0,1,2,0,0,0
28,0,2,1,0,0,0
28,0,1,1,0,0,0
29,1,1,2,0,1,0
36,0,1,1,0,1,0
36,1,1,2,0,0,0
30,1,2,1,0,1,0
28,0,1,1,0,0,0
29,0,2,1,0,0,0
30,0,1,1,0,1,0
28,0,1,2,0,1,0
29,0,2,1,0,1,0
29,1,1,1,0,0,0
