sex,race,capital-loss,income,marital-status,native-country,workclass,fnlwgt,capital-gain,hours-per-week,age,occupation,relationship,education,education-num
1,4,0,0,4,38,2,188291,0,40,28,5,3,11,9
1,4,0,0,2,38,2,185407,0,40,35,2,0,11,9
1,4,0,0,2,38,2,187560,0,40,27,6,0,11,9
1,4,0,1,2,38,2,172538,0,40,52,11,0,11,9
0,4,0,0,4,38,2,187322,0,40,30,11,1,11,9
1,4,0,0,4,38,2,209205,0,40,26,9,1,9,13
0,4,0,0,4,38,2,162187,0,40,23,7,3,11,9
1,4,0,0,2,38,2,109952,0,40,49,5,0,11,9
1,4,0,0,4,38,2,162825,0,40,22,5,1,11,9
1,4,0,0,4,38,2,193042,0,20,23,7,3,15,10
1,4,0,0,4,38,2,190290,0,40,24,2,3,11,9
1,4,0,0,2,38,2,178353,0,40,41,2,0,11,9
1,4,0,0,2,38,2,182227,0,40,36,2,0,11,9
1,4,0,0,4,38,2,200471,0,40,25,11,1,11,9
1,4,0,0,2,38,2,195897,0,40,34,2,0,11,9
1,4,0,0,2,38,2,184378,0,40,41,2,0,11,9
1,4,0,0,4,38,2,236861,0,40,28,11,1,11,9
1,4,0,0,4,38,2,201127,0,40,23,5,1,11,9
1,4,0,0,2,38,2,191277,0,40,37,6,0,15,10
1,4,0,0,2,38,2,176711,0,40,31,2,0,11,9
1,4,0,0,2,38,2,176992,0,40,32,2,0,11,9
0,4,0,0,4,38,2,216129,0,40,21,0,1,15,10
1,4,0,0,4,38,2,160968,0,40,31,3,1,9,13
1,4,0,0,2,38,2,170979,0,40,45,2,0,11,9
0,4,0,0,0,38,2,162816,0,40,31,0,4,15,10
1,4,0,0,2,38,2,188069,0,40,36,2,0,11,9
1,4,0,0,4,38,2,209317,0,40,20,0,3,15,10
1,4,0,0,4,38,2,192337,0,40,25,2,1,11,9
1,4,0,0,4,38,2,193042,0,40,34,2,1,11,9
1,4,0,0,2,38,2,115023,0,40,30,2,0,11,9
1,4,0,0,2,38,2,204470,0,40,35,2,0,11,9
1,4,0,0,4,38,2,170070,0,40,21,2,3,11,9
1,4,0,1,2,38,2,186035,0,40,47,11,0,11,9
1,4,0,0,2,38,2,112847,0,40,45,13,0,11,9
1,4,0,0,4,38,2,182227,0,40,22,11,3,15,10
1,4,0,0,4,38,2,184655,0,40,25,5,3,11,9
1,4,0,0,2,38,2,155489,0,40,38,6,0,11,9
1,4,0,0,2,38,2,168539,0,40,47,11,0,11,9
1,4,0,0,4,38,2,202027,0,40,22,6,1,15,10
1,4,0,0,2,38,2,162825,0,40,56,2,0,11,9
0,4,0,0,4,38,2,197114,0,40,35,0,1,15,10
1,4,0,0,4,38,2,187322,0,40,30,2,3,11,9
0,4,0,0,4,38,2,216137,0,40,34,0,1,15,10
1,4,0,0,4,38,2,216481,0,40,23,5,1,11,9
1,4,0,0,2,38,2,192337,0,40,30,2,0,15,10
0,4,0,0,0,38,2,101509,0,40,35,0,4,15,10
1,4,0,0,4,38,2,206046,0,40,25,7,1,15,10
1,4,0,0,4,38,2,125461,0,40,28,2,3,11,9
1,4,0,0,2,38,2,170562,0,40,51,2,0,11,9
1,4,0,1,2,38,2,172538,0,40,51,2,0,11,9
0,4,0,0,2,38,2,175625,0,40,32,9,5,9,13
1,4,0,0,4,38,2,190227,0,40,23,3,3,11,9
1,4,0,0,2,38,2,188330,0,40,39,2,0,11,9
1,4,0,0,4,38,2,117210,0,40,23,11,3,15,10
1,4,0,0,4,38,2,184655,0,40,28,7,1,11,9
1,4,0,0,2,38,2,188330,0,40,40,2,0,11,9
1,4,0,0,4,38,2,200574,0,40,23,2,3,11,9
1,4,0,0,2,38,2,180599,0,40,53,2,0,15,10
0,4,0,0,4,38,2,167894,0,40,24,0,1,9,13
1,4,0,0,2,38,2,204751,0,40,48,2,0,11,9
0,4,0,0,0,38,2,101509,0,40,40,11,1,11,9
1,4,0,0,2,38,2,125461,0,40,59,2,0,11,9
1,4,0,0,2,38,2,187322,0,40,59,3,0,11,9
0,4,0,0,4,38,2,184655,0,40,29,11,1,9,13
1,4,0,0,4,38,2,169496,0,40,24,11,1,9,13
0,4,0,0,4,38,2,185057,0,40,25,0,1,9,13
1,4,0,0,2,38,2,125461,0,40,44,2,0,11,9
1,4,0,0,2,38,2,176286,0,40,30,2,0,11,9
1,4,0,1,2,38,2,198170,0,40,41,3,0,9,13
1,4,0,0,2,38,2,201127,0,40,35,2,0,11,9
1,4,0,1,2,38,2,168071,0,40,40,2,0,11,9
0,4,0,0,4,38,2,184378,0,20,23,11,3,9,13
1,4,0,1,2,38,2,188330,0,40,52,3,0,15,10
1,4,0,0,2,38,2,185846,0,40,50,2,0,11,9
1,4,0,0,2,38,2,170108,0,50,30,2,0,11,9
0,4,0,0,4,38,2,176814,0,35,33,0,1,11,9
1,4,0,0,2,38,2,169496,0,40,34,2,0,15,10
1,4,0,1,2,38,2,193047,0,40,36,11,0,9,13
1,4,0,0,2,38,2,181820,0,40,51,2,0,11,9
1,4,0,0,4,38,2,170720,0,40,33,6,1,11,9
1,4,0,0,4,38,2,183523,0,40,20,7,3,15,10
1,4,0,0,4,38,2,168071,0,20,18,5,3,1,7
1,4,0,0,4,38,2,208470,0,40,28,3,1,9,13
1,4,0,0,2,38,2,175127,0,40,30,6,0,11,9
1,4,0,1,2,38,2,177705,0,50,47,3,0,15,10
1,4,0,1,2,38,2,125461,0,50,44,9,0,12,14
0,4,0,0,0,38,2,118551,0,40,32,9,4,9,13
1,4,0,0,4,38,2,175674,0,40,32,11,1,9,13
0,4,0,0,4,38,2,187117,0,40,25,0,1,11,9
1,4,0,0,2,38,2,178615,0,40,47,2,0,15,10
1,4,0,0,2,38,2,125461,0,40,30,13,0,11,9
1,4,0,0,2,38,2,195949,0,40,50,6,0,11,9
1,4,0,0,2,38,2,170017,0,50,34,2,0,11,9
1,4,0,0,4,38,2,176917,0,40,33,11,3,15,10
1,4,0,0,4,38,2,202871,0,40,24,3,3,9,13
1,4,0,0,2,38,2,182227,0,40,44,2,0,11,9
1,4,0,0,2,38,2,101593,0,40,33,2,0,11,9
1,4,0,0,2,38,2,167725,0,40,42,2,0,11,9
1,4,0,0,4,38,2,112497,0,40,32,6,3,11,9
1,4,0,0,2,38,2,185127,0,40,44,2,0,11,9
0,4,0,0,4,38,2,117789,0,40,19,11,3,11,9
1,4,0,0,2,38,2,186035,0,40,41,13,0,11,9
