,age,sex,relation,has_high_education,top1_interes,top2_interes,top3_interes,top4_interes,top5_interes,is_parent,has_pets,mean_tr,median_tr,tr_per_month,real_identifier
0,35.0,1.0,0.0,1.0,7.0,12.0,22.0,3.0,17.0,0.0,0.0,8432.45,3100.0,2.35,0
1,47.0,2.0,0.0,0.0,16.0,9.0,20.0,10.0,5.0,1.0,0.0,2105.78,980.0,6.89,0
2,29.0,1.0,0.0,1.0,8.0,14.0,19.0,2.0,23.0,0.0,1.0,12450.33,7500.0,1.92,0
3,55.0,1.0,0.0,0.0,4.0,11.0,6.0,24.0,18.0,1.0,0.0,1890.67,520.0,12.44,0
4,33.0,2.0,0.0,0.0,5.0,15.0,13.0,7.0,21.0,0.0,0.0,987.12,390.0,23.67,0
5,41.0,1.0,0.0,0.0,10.0,17.0,8.0,22.0,12.0,0.0,1.0,3200.89,1450.0,3.11,0
6,26.0,2.0,0.0,1.0,9.0,16.0,4.0,23.0,6.0,0.0,0.0,450.34,120.0,9.88,0
7,59.0,1.0,0.0,0.0,3.0,20.0,11.0,15.0,7.0,1.0,0.0,2980.45,1300.0,4.56,0
8,37.0,2.0,0.0,1.0,14.0,21.0,19.0,5.0,24.0,0.0,0.0,7654.22,3500.0,2.14,0
9,49.0,1.0,0.0,0.0,18.0,13.0,2.0,12.0,9.0,1.0,0.0,1430.76,670.0,18.29,0
10,43.0,1.0,0.0,0.0,17.0,5.0,21.0,13.0,9.0,0.0,0.0,8432.12,1420.0,3.21,0
11,50.0,2.0,0.0,0.0,22.0,15.0,8.0,19.0,11.0,1.0,0.0,12045.67,2500.0,1.89,0
12,37.0,1.0,4.0,1.0,6.0,14.0,3.0,20.0,7.0,1.0,0.0,1980.34,410.2,24.12,0
13,28.0,1.0,0.0,0.0,10.0,18.0,24.0,16.0,4.0,0.0,0.0,1450.89,285.0,6.54,0
14,48.0,2.0,0.0,0.0,23.0,12.0,17.0,5.0,25.0,1.0,0.0,21500.45,9800.0,1.12,0
15,33.0,1.0,0.0,0.0,9.0,15.0,2.0,18.0,6.0,0.0,0.0,980.21,210.5,28.76,0
16,55.0,2.0,0.0,0.0,24.0,10.0,13.0,7.0,19.0,1.0,0.0,1890.56,640.3,29.83,0
17,41.0,1.0,0.0,0.0,16.0,21.0,8.0,3.0,22.0,0.0,0.0,6789.32,1150.0,2.45,0
18,29.0,1.0,0.0,0.0,5.0,14.0,23.0,12.0,17.0,0.0,0.0,1320.78,260.0,7.34,0
19,47.0,2.0,0.0,0.0,19.0,11.0,25.0,6.0,18.0,1.0,0.0,15430.98,8000.0,1.36,0
20,34.0,1.0,0.0,1.0,7.0,19.0,23.0,10.0,12.0,0.0,1.0,2483.714,1800.0,1.8923,0
21,49.0,2.0,4.0,0.0,22.0,17.0,15.0,3.0,8.0,1.0,0.0,3150.678,2500.0,5.2314,0
22,29.0,1.0,0.0,0.0,14.0,5.0,21.0,9.0,16.0,1.0,1.0,1683.452,1200.0,3.1789,0
23,37.0,2.0,0.0,1.0,24.0,6.0,18.0,13.0,2.0,0.0,0.0,4521.398,3000.0,2.7145,0
24,52.0,2.0,0.0,1.0,25.0,20.0,4.0,11.0,7.0,1.0,1.0,8932.147,5000.0,3.9821,0
25,23.0,1.0,0.0,0.0,15.0,19.0,22.0,1.0,10.0,0.0,0.0,1234.876,900.0,1.3456,0
26,45.0,1.0,4.0,1.0,8.0,24.0,6.0,17.0,5.0,1.0,1.0,6789.432,4500.0,4.6789,0
27,31.0,2.0,0.0,0.0,3.0,12.0,23.0,18.0,9.0,0.0,0.0,1987.321,1600.0,2.1234,0
28,40.0,2.0,0.0,1.0,10.0,16.0,25.0,4.0,14.0,1.0,1.0,7654.321,6000.0,3.4567,0
29,28.0,1.0,0.0,0.0,2.0,13.0,11.0,20.0,6.0,0.0,0.0,1598.765,1100.0,1.9876,0
30,41.0,1.0,0.0,1.0,17.0,2.0,13.0,22.0,9.0,1.0,1.0,2893.6145,1950.0,8.3712,0
31,28.0,2.0,0.0,0.0,19.0,5.0,20.0,1.0,18.0,0.0,0.0,4176.8932,3200.0,3.8947,0
32,37.0,1.0,0.0,0.0,7.0,25.0,4.0,12.0,14.0,1.0,0.0,1582.4379,630.0,10.1543,0
33,50.0,2.0,0.0,0.0,3.0,16.0,8.0,24.0,11.0,0.0,0.0,9410.7654,8700.0,2.3321,0
34,33.0,1.0,7.0,0.0,23.0,6.0,10.0,15.0,21.0,1.0,0.0,1245.9836,580.0,6.7189,0
35,47.0,2.0,0.0,1.0,0.0,22.0,9.0,17.0,5.0,0.0,0.0,3482.1094,2900.0,4.5678,0
36,26.0,2.0,0.0,0.0,12.0,18.0,25.0,7.0,4.0,0.0,0.0,2358.6741,1700.0,5.2301,0
37,49.0,1.0,0.0,0.0,8.0,23.0,19.0,1.0,6.0,0.0,0.0,1873.2984,410.0,37.8462,0
38,35.0,2.0,0.0,1.0,15.0,14.0,2.0,20.0,13.0,1.0,0.0,1129.4567,820.0,7.4593,0
39,56.0,2.0,0.0,0.0,24.0,11.0,3.0,16.0,25.0,0.0,0.0,10245.3876,9500.0,1.9874,0
40,37.0,0.0,0.0,1.0,7.0,18.0,2.0,12.0,22.0,0.0,1.0,6843.21,3200.0,12.45,0
