,fLength,fWidth,fSize,fConc,fConc1,fAsym,fM3Long,fM3Trans,fAlpha,fDist,class,real_identifier
0,92.4321,25.6789,3.0123,0.2205,0.1127,-118.431,59.876,-16.012,6.432,230.123,0.0,0
1,56.8924,17.9876,2.6453,0.4721,0.2914,-13.8901,-61.234,-16.345,1.89,214.321,0.0,0
2,190.2345,54.1234,3.2214,0.2913,0.1567,-168.123,-167.345,32.109,53.123,273.456,1.0,0
3,26.7891,10.8765,2.4987,0.5543,0.2976,36.4567,18.234,-10.543,15.012,168.901,0.0,0
4,73.4567,16.8765,2.8678,0.3123,0.2045,-64.5678,13.456,10.432,27.678,268.901,1.0,0
5,53.2109,11.6789,3.0145,0.3012,0.1623,-67.8901,-27.109,5.123,73.456,185.678,1.0,0
6,75.1234,16.3456,3.1098,0.2901,0.1145,-95.6789,34.567,13.789,27.89,278.123,1.0,0
7,32.1098,16.0123,2.6012,0.4067,0.2198,-14.321,-32.109,-14.123,74.123,77.89,0.0,0
8,22.3456,0.0007,2.1432,0.7789,0.5012,0.0,0.0002,-8.7654,29.789,240.123,0.0,0
9,88.1234,29.0123,3.1987,0.2123,0.1356,78.9012,68.234,-24.678,4.012,275.432,0.0,0
10,89.3217,34.1568,3.1246,0.1345,0.0721,97.6432,47.8913,14.6752,25.5678,298.341,1.0,0
11,39.1456,13.8794,2.5843,0.4012,0.2097,34.2156,18.2345,-9.3421,11.4562,187.632,0.0,0
12,24.6543,17.3215,2.4891,0.4567,0.2403,12.8743,-5.2134,11.4567,29.8734,245.123,0.0,0
13,98.7654,45.6789,3.8765,0.1234,0.0654,75.4321,58.7654,13.4567,0.1234,301.234,1.0,0
14,42.3456,18.7654,2.6345,0.3789,0.1987,5.3456,-22.3456,-15.6789,4.5678,210.432,0.0,0
15,37.8901,20.1234,2.7654,0.3543,0.1721,-24.3215,-28.4567,-16.7891,48.2345,0.9876,1.0,0
16,28.4567,13.2109,2.3456,0.4512,0.2345,19.8765,14.5678,7.6543,16.7891,175.21,0.0,0
17,112.345,60.5678,3.6789,0.1456,0.0789,12.3456,108.765,-18.9012,31.2345,160.432,1.0,0
18,48.9012,30.1234,3.321,0.1543,0.0812,14.5678,-8.7654,19.8765,4.1234,205.345,0.0,0
19,26.7891,16.3456,2.7432,0.4321,0.2543,25.4321,20.1234,-7.6543,13.4567,168.765,0.0,0
20,82.3412,25.6789,3.1245,0.2134,0.1067,-12.4567,48.9012,18.3456,5.6789,264.321,0.0,0
21,19.8765,11.2345,2.4567,0.5432,0.2716,24.5678,12.3456,-8.9012,62.345,198.765,1.0,0
22,98.7654,39.1234,3.3456,0.1987,0.0993,-89.1234,-42.3456,24.5678,4.321,385.432,0.0,0
23,75.4321,28.9012,3.5678,0.1456,0.0728,-3.4567,56.789,21.0987,4.8765,250.123,0.0,0
24,108.9012,62.3456,2.6789,0.271,0.1455,32.1098,37.8901,-44.321,1.2345,348.901,1.0,0
25,21.4567,12.8901,2.3456,0.4789,0.2495,26.789,8.9012,-9.8765,68.9012,219.876,0.0,0
26,160.2345,84.5678,3.8901,0.1345,0.0452,-112.345,-170.987,-41.2345,49.8765,230.123,1.0,0
27,235.6789,87.4567,3.5432,0.1156,0.0578,-203.456,-270.123,54.321,17.4567,280.987,1.0,0
28,122.3456,31.2345,2.8901,0.2789,0.1543,-112.345,62.3456,12.9876,27.6543,328.765,1.0,0
29,27.6543,21.3456,3.0123,0.2712,0.1356,-27.8901,-13.4567,11.2345,60.1234,145.678,0.0,0
30,31.2356,12.0478,2.5843,0.4721,0.2519,-12.3421,18.5934,-6.8417,19.2043,201.642,0.0,0
31,29.8142,10.7215,2.4127,0.5189,0.3087,-8.4352,-10.3264,-4.1581,32.6912,188.315,1.0,0
32,54.3021,14.1293,2.8912,0.3918,0.2346,42.1428,56.1932,-9.2473,10.8173,220.416,1.0,0
33,34.5922,12.3341,2.6783,0.4631,0.2729,15.6532,23.4018,6.9521,14.9132,192.174,0.0,0
34,19.8431,8.2145,2.2437,0.7239,0.4123,9.1273,-6.3409,-3.7214,12.4321,178.921,0.0,0
35,26.1234,11.4523,2.4821,0.5314,0.3402,13.5214,17.8934,-5.1234,25.3412,189.214,1.0,0
36,42.5432,13.0921,2.7912,0.3521,0.1893,-36.4213,21.9342,-8.2341,6.4321,160.214,0.0,0
37,23.4132,11.8214,2.4532,0.5932,0.3641,17.2341,20.4321,-7.1234,78.3421,123.412,1.0,0
38,38.9214,13.5421,2.8214,0.4012,0.2143,32.1423,41.2341,-11.234,14.3214,231.421,1.0,0
39,28.3412,10.9214,2.5432,0.4821,0.2634,-14.3214,13.4213,-4.3214,17.2134,234.123,0.0,0
40,58.4321,13.2974,2.7834,0.3112,0.1698,9.8265,43.1289,-5.6743,4.9876,213.674,0.0,0
41,21.8904,16.3245,2.4567,0.4521,0.2389,13.2841,18.6732,-10.9321,5.1234,178.945,1.0,0
42,44.1234,23.7891,3.0987,0.2045,0.1032,18.4321,32.1098,-8.1234,22.4567,81.2345,0.0,0
43,40.9876,18.5432,3.0123,0.2345,0.1321,10.8765,26.8765,-12.4321,0.1234,189.432,0.0,0
44,24.321,14.9876,2.5432,0.4321,0.2789,-17.321,-9.8765,6.7654,23.4567,245.678,0.0,0
45,75.6543,12.3456,2.2987,0.5123,0.2765,-82.4321,29.8765,-9.8765,12.3456,170.987,0.0,0
46,42.321,18.9876,2.5678,0.3012,0.1876,41.2345,28.7654,14.321,13.4567,179.876,0.0,0
47,48.9876,25.6543,3.3456,0.1876,0.1012,0.4321,-22.3456,11.2345,6.7654,182.345,0.0,0
48,18.3456,10.7654,2.3456,0.6789,0.3678,3.8765,-8.2345,-6.789,19.8765,172.345,0.0,0
49,105.432,28.321,3.4567,0.1432,0.0765,-45.6789,85.4321,-19.2345,3.1234,289.432,0.0,0
50,41.2345,16.3214,2.7143,0.3456,0.1962,19.8765,38.2143,-9.4321,0.7894,165.321,0.0,0
51,25.6789,10.4321,2.4321,0.5678,0.3123,26.1234,11.4321,4.3214,8.3456,188.345,0.0,0
52,35.4321,18.1234,2.6543,0.4321,0.2456,3.2143,27.4321,-13.2143,38.1234,135.432,0.0,0
53,68.3214,41.2345,2.9321,0.3987,0.2143,-47.1234,-30.3214,-17.4321,18.2345,298.123,1.0,0
54,245.1234,108.3214,3.3456,0.1321,0.0432,-28.4321,-128.1234,-79.3214,77.3456,168.214,1.0,0
55,30.1234,15.2345,2.5321,0.3894,0.2143,8.4321,18.2345,-11.3214,84.3214,49.1234,0.0,0
56,80.4321,23.4321,3.2143,0.1678,0.0894,32.4321,64.3214,18.2345,9.1234,245.321,0.0,0
57,94.1234,32.1234,3.6789,0.2043,0.1043,34.2345,-49.1234,-14.3214,0.1234,372.123,0.0,0
58,40.3214,11.2345,2.5789,0.3876,0.1987,-15.4321,24.3214,5.4321,7.2345,194.321,0.0,0
59,26.3214,12.1234,2.6234,0.4678,0.2345,33.2345,17.3214,-4.3214,46.3214,72.4321,1.0,0
60,38.742,16.321,2.784,0.3216,0.1643,18.624,-12.789,7.345,45.678,178.321,0.0,0
61,47.213,26.456,3.112,0.2478,0.1294,-23.456,32.109,-18.765,80.987,220.123,1.0,0
62,24.897,12.654,2.398,0.5678,0.3124,9.876,-15.432,5.678,12.345,210.987,0.0,0
63,50.321,30.123,3.214,0.2015,0.1067,-42.345,45.678,-25.432,46.789,280.321,1.0,0
64,31.456,14.234,2.678,0.3678,0.1843,6.789,12.345,-9.876,32.109,160.456,0.0,0
65,39.876,22.345,2.987,0.2843,0.1421,32.109,-20.456,14.321,6.789,200.123,0.0,0
66,41.234,25.678,3.012,0.2345,0.1178,-18.901,28.765,9.876,15.432,185.678,1.0,0
67,28.765,13.456,2.543,0.4567,0.2283,4.321,-10.987,6.789,55.678,230.456,0.0,0
68,33.456,18.765,2.867,0.3012,0.1506,-12.345,18.901,11.234,9.876,195.678,0.0,0
69,48.901,29.876,3.154,0.2109,0.1054,-35.432,40.123,-22.345,75.432,250.123,1.0,0
70,45.321,18.765,2.834,0.241,0.127,9.876,-6.345,11.234,1.678,154.321,0.0,0
71,132.456,30.123,3.356,0.214,0.068,-158.432,82.456,-26.789,25.678,203.123,1.0,0
72,23.456,11.345,2.234,0.598,0.299,5.89,-18.345,8.345,28.456,191.234,0.0,0
73,38.987,26.456,2.987,0.265,0.134,-24.345,-18.678,-17.987,89.345,23.456,1.0,0
74,17.89,15.678,2.765,0.367,0.234,4.987,15.234,13.678,63.456,252.345,1.0,0
75,37.654,22.345,3.123,0.245,0.123,6.234,-11.345,-18.456,2.987,168.456,0.0,0
76,26.789,21.234,2.845,0.345,0.183,-35.456,9.876,8.456,40.345,49.876,0.0,0
77,57.89,13.456,2.987,0.234,0.118,28.345,27.456,6.345,50.678,149.876,1.0,0
78,110.345,38.456,4.012,0.098,0.045,-17.654,85.345,20.678,0.456,315.678,0.0,0
79,58.456,31.234,3.456,0.198,0.112,25.345,52.456,-27.345,1.012,259.345,0.0,0
80,45.32,24.87,2.76,0.3,0.16,-12.45,-8.91,-5.34,34.67,198.32,0.0,0
81,58.91,33.24,2.81,0.21,0.1,28.76,60.23,-9.87,41.23,155.67,1.0,0
82,27.45,12.34,2.65,0.49,0.27,-22.34,-17.89,-6.54,68.9,134.56,1.0,0
83,34.67,14.23,2.78,0.37,0.19,-18.9,-10.32,4.12,49.78,182.45,1.0,0
84,30.89,11.56,2.84,0.43,0.23,30.12,28.45,-6.78,65.43,146.78,1.0,0
85,270.45,46.78,2.89,0.44,0.32,-290.12,150.34,27.89,5.23,260.45,1.0,0
86,72.12,34.56,3.25,0.27,0.14,26.89,53.45,24.67,5.34,355.67,0.0,0
87,29.87,27.65,3.04,0.23,0.12,-10.34,12.45,-21.43,43.21,89.87,0.0,0
88,34.23,10.12,2.49,0.47,0.28,23.56,22.12,-7.34,75.67,215.43,1.0,0
89,80.34,22.45,2.73,0.4,0.21,-98.76,-37.45,8.67,3.45,280.12,0.0,0
90,54.3217,18.6432,3.0124,0.2673,0.1489,-18.7439,14.3217,-3.8921,34.6782,234.5628,0.0,0
91,22.8914,11.4563,2.3456,0.5123,0.2678,19.4561,10.6789,3.2145,65.4321,189.7654,0.0,0
92,41.2345,17.8901,2.789,0.3456,0.1987,24.6789,28.9012,7.6543,2.3456,201.8765,1.0,0
93,67.4567,25.3456,3.4567,0.2109,0.1098,-45.6789,-34.5678,-12.3456,67.8901,345.6789,1.0,0
94,33.4567,15.4321,2.6789,0.321,0.1789,12.3456,-15.4321,8.7654,43.2109,198.7654,0.0,0
95,72.1098,22.3456,3.5432,0.2345,0.1234,22.3456,-31.2345,-5.4321,21.0987,312.3456,1.0,0
96,37.8901,13.2109,2.4321,0.5678,0.321,-37.8901,18.9012,5.6789,54.321,178.9012,0.0,0
97,29.0123,12.3456,2.4567,0.4987,0.289,15.6789,12.3456,4.321,67.8901,165.4321,0.0,0
98,83.2109,29.8765,3.7654,0.1987,0.0987,-32.1098,-43.2109,-15.6789,78.9012,389.0123,1.0,0
99,45.6789,18.9012,2.9876,0.3109,0.1678,-27.6543,10.9876,-4.321,32.1098,210.9876,0.0,0
100,108.215,34.217,3.619,0.184,0.102,-155.342,65.837,24.156,0.764,365.87,0.0,0
101,11.546,8.215,2.483,0.789,0.481,16.234,4.123,-9.123,49.782,270.45,1.0,0
102,28.456,17.345,2.678,0.273,0.158,3.987,-21.543,-6.894,6.342,198.76,0.0,0
103,110.345,36.789,3.467,0.172,0.092,-34.567,64.892,-22.345,2.543,318.43,0.0,0
104,102.789,24.567,2.821,0.432,0.273,50.432,102.345,-12.456,56.321,242.34,1.0,0
105,38.456,11.234,2.834,0.402,0.209,8.987,32.123,-3.214,4.234,189.34,0.0,0
106,89.321,32.456,3.456,0.205,0.121,3.876,59.453,-17.234,7.234,325.67,0.0,0
107,52.345,18.765,2.432,0.412,0.219,52.345,41.234,-13.456,77.432,101.23,0.0,0
108,18.987,9.345,2.312,0.634,0.443,-18.456,-14.567,2.123,87.456,250.34,1.0,0
109,33.214,16.432,2.543,0.318,0.163,-26.345,-19.876,-11.987,1.234,106.45,0.0,0
110,145.234,40.125,3.152,0.386,0.197,-94.356,-42.134,-16.872,5.124,312.876,1.0,0
111,20.311,11.423,2.481,0.632,0.365,1.324,-6.453,-6.127,53.219,215.342,1.0,0
112,38.764,18.932,2.734,0.325,0.204,-40.123,-18.671,-10.543,84.123,195.834,1.0,0
113,21.456,19.876,2.612,0.483,0.247,2.987,-12.345,15.234,41.123,128.456,1.0,0
114,35.214,16.345,2.873,0.284,0.149,38.123,20.456,8.765,1.023,127.654,0.0,0
115,59.123,24.567,3.312,0.167,0.089,10.876,26.345,-11.789,5.345,189.432,0.0,0
116,41.234,25.678,3.087,0.221,0.112,-6.876,22.987,-26.345,79.234,225.678,1.0,0
117,160.345,108.456,3.523,0.183,0.093,61.234,122.345,129.876,83.214,412.345,1.0,0
118,38.456,20.123,2.956,0.304,0.198,10.234,20.876,16.345,12.456,190.123,0.0,0
119,97.123,41.234,3.056,0.309,0.157,62.345,98.123,-31.456,70.123,260.456,1.0,0
120,41.3562,20.3678,3.0156,0.2254,0.1193,38.7465,39.1234,8.1045,15.2346,189.432,0.0,0
121,34.9815,14.3241,2.4837,0.3472,0.1765,-18.2345,-14.6789,6.3451,42.6789,156.789,0.0,0
122,80.4567,27.8901,3.3894,0.1983,0.1076,-14.5678,42.3456,12.8765,1.2345,298.456,0.0,0
123,37.6543,24.1098,3.2109,0.2567,0.1342,42.3456,40.1234,7.6543,20.1234,103.456,0.0,0
124,21.789,6.5432,2.1567,0.7345,0.389,-20.4321,-10.9876,5.4321,38.7654,145.678,0.0,0
125,58.4321,30.1234,3.5432,0.1678,0.0843,48.9012,45.6789,-16.789,10.3456,178.901,0.0,0
126,61.2345,16.789,2.7654,0.2987,0.1523,50.1234,55.4321,14.321,83.4567,220.123,1.0,0
127,83.4567,32.1098,3.6789,0.1843,0.0956,-62.3456,58.9012,19.4321,3.1234,308.765,0.0,0
128,55.6789,42.3456,2.8765,0.3012,0.1598,72.3456,-20.1234,-28.9012,65.4321,255.678,1.0,0
129,23.4567,0.0,2.2012,0.7543,0.4098,-4.321,12.3456,-0.0001,8.4321,185.678,0.0,0
130,40.2345,17.2312,2.7846,0.3462,0.1927,12.4563,18.7654,-7.2341,11.0987,212.432,0.0,0
131,28.7642,12.3456,2.4567,0.5123,0.2812,-10.7654,-14.321,-11.2345,4.7654,152.345,0.0,0
132,19.4567,20.1234,2.1234,0.4789,0.2345,13.4567,16.789,-16.3456,15.6789,130.234,0.0,0
133,58.3214,10.4321,2.3456,0.4987,0.2765,35.6789,42.3456,3.4567,16.789,190.456,0.0,0
134,41.2345,8.7654,2.6789,0.3987,0.2456,6.789,23.4567,-4.5678,26.789,234.567,1.0,0
135,37.8901,17.6543,2.8765,0.289,0.1567,28.4567,27.8901,8.9012,4.1234,190.123,0.0,0
136,51.2345,23.4567,3.1234,0.1567,0.0876,40.1234,-22.3456,9.1234,12.3456,170.987,0.0,0
137,17.6543,8.9012,2.2345,0.6432,0.4321,16.789,14.321,-3.4567,17.8901,180.123,0.0,0
138,13.4567,11.2345,2.0987,0.6789,0.3456,15.6789,-8.9012,8.7654,15.4321,145.678,0.0,0
139,70.1234,26.789,3.2345,0.1987,0.1098,-43.2109,68.7654,-14.321,5.6789,289.012,0.0,0
140,82.5341,40.2176,3.0245,0.3129,0.1687,49.1563,65.1234,18.9214,24.3578,138.624,1.0,0
141,28.4391,16.6421,2.7413,0.4215,0.2736,-1.3285,16.2934,-8.9173,61.2413,119.875,0.0,0
142,50.1283,22.9345,3.1129,0.2983,0.1592,12.4736,35.6482,-14.2981,1.2947,248.356,0.0,0
143,17.9432,9.2314,2.0947,0.5732,0.3014,-23.6412,-5.4893,-4.1264,69.5421,137.498,0.0,0
144,40.3894,18.7362,2.8931,0.2614,0.1489,41.2354,-15.4832,9.1247,3.1489,189.214,0.0,0
145,24.7832,17.1294,2.7843,0.3742,0.2361,6.9431,-11.2354,-13.6489,14.3241,112.987,0.0,0
146,97.6243,51.3472,3.1547,0.3874,0.1923,-61.4893,-101.234,37.6489,28.4732,412.354,1.0,0
147,62.3412,4.1234,2.8765,0.3847,0.2112,20.4387,62.1432,-4.2134,6.1243,241.354,1.0,0
148,88.4321,16.2345,3.1843,0.2412,0.1543,45.1234,47.3241,12.1432,53.2413,178.432,1.0,0
149,19.7432,6.8432,2.4321,0.7243,0.3624,24.3241,11.2345,-5.9432,67.4321,70.1234,1.0,0
150,32.1543,17.2138,2.8491,0.3927,0.2013,18.3465,10.6784,-5.1236,33.9412,134.786,0.0,0
151,28.9734,14.4371,2.6124,0.4889,0.3025,27.8941,19.1237,9.6348,57.3214,189.425,1.0,0
152,37.2456,22.1903,3.0175,0.2643,0.1427,14.0218,26.4539,-3.8762,23.1094,218.356,0.0,0
153,24.3981,10.2735,2.5816,0.5312,0.3486,33.4752,21.0987,1.2834,48.6325,152.987,1.0,0
154,30.8614,20.1459,2.7342,0.3541,0.1839,10.5473,-14.2361,-9.1043,1.2987,127.432,0.0,0
155,39.5027,16.7842,2.9834,0.2315,0.1184,19.6521,15.3894,-12.4789,19.4321,108.764,0.0,0
156,21.7438,13.6912,2.4987,0.4632,0.2768,23.7891,11.4563,-4.3219,28.1076,143.214,0.0,0
157,42.6319,25.3789,3.1456,0.2094,0.1073,2.4537,34.5672,18.9014,6.8732,114.653,0.0,0
158,35.4271,9.4835,2.6823,0.5024,0.2961,30.1429,18.7643,0.5432,52.3417,173.891,1.0,0
159,27.3846,18.9427,2.8145,0.3876,0.1942,26.4328,-10.9873,-7.2341,4.9873,98.1234,0.0,0
160,28.3457,18.6293,2.6841,0.3124,0.1589,14.8926,19.5783,6.2814,18.4395,176.341,0.0,0
161,19.6789,9.7514,2.1973,0.5812,0.3168,-18.4372,-10.3219,3.7541,24.6513,218.943,0.0,0
162,42.1345,20.3197,3.0427,0.2681,0.1345,25.3169,28.9453,14.7321,10.8764,214.789,0.0,0
163,12.3789,8.2176,2.3541,0.6234,0.3765,-7.9834,12.4567,5.6781,22.3456,248.654,1.0,0
