sex,race,capital-loss,income,marital-status,native-country,workclass,fnlwgt,capital-gain,hours-per-week,age,occupation,relationship,education,education-num
1,4,0,0,2,38,2,183173,0,40,50,2,0,15,10
1,4,0,0,4,38,2,125461,0,40,29,2,3,11,9
1,4,0,0,2,38,2,176992,0,40,36,6,0,11,9
0,4,0,0,0,38,2,163678,0,40,34,0,4,11,9
1,4,0,0,2,38,2,112840,0,40,32,3,0,9,13
1,4,0,0,4,38,2,169496,0,40,23,5,3,11,9
0,4,0,0,4,38,2,168906,0,40,24,0,3,11,9
1,4,0,1,2,38,2,115023,0,50,38,3,0,9,13
1,4,0,0,2,38,2,181553,0,40,30,2,0,11,9
0,4,0,0,0,38,2,182162,0,40,47,0,4,15,10
1,4,0,0,2,38,2,174575,0,40,32,2,0,11,9
1,4,0,0,2,38,2,204046,0,40,41,2,0,11,9
1,4,0,0,2,38,2,186035,0,40,40,6,0,15,10
0,4,0,0,4,38,2,117789,0,40,26,0,1,15,10
1,4,0,0,2,38,2,193689,0,40,36,2,0,11,9
1,4,0,0,2,38,2,186117,0,40,34,11,0,11,9
1,4,0,0,4,38,2,208470,0,40,20,11,3,11,9
0,4,0,0,4,38,2,101345,0,40,21,0,3,11,9
1,4,0,1,2,38,2,193898,0,40,32,9,0,9,13
1,4,0,0,2,38,2,113364,0,40,35,2,0,11,9
1,4,0,0,4,38,2,117381,0,40,27,2,1,11,9
1,4,0,0,4,38,2,194561,0,40,21,5,3,15,10
1,4,0,0,2,38,2,182227,0,40,46,2,0,11,9
1,4,0,1,2,38,2,153486,0,40,54,9,0,9,13
1,4,0,1,2,38,2,185407,0,40,54,3,0,9,13
0,4,0,0,4,38,2,108574,0,40,23,0,1,15,10
1,4,0,0,2,38,2,169496,0,40,47,2,0,15,10
1,4,0,0,4,38,2,168107,0,40,31,2,1,11,9
1,4,0,0,2,38,2,175127,0,40,54,2,0,11,9
1,4,0,0,2,38,2,168539,0,40,56,6,0,1,7
1,4,0,0,2,38,2,117381,0,40,41,11,0,15,10
1,4,0,0,2,38,2,185647,0,40,40,2,0,11,9
1,4,0,0,4,38,2,162187,0,40,26,11,1,9,13
0,4,0,0,4,38,2,117789,0,40,19,7,3,15,10
1,4,0,1,2,38,2,170924,0,40,41,11,0,11,9
1,4,0,1,2,38,2,199995,0,40,34,9,0,9,13
1,4,0,0,4,38,2,175023,0,40,19,5,3,11,9
1,4,0,0,2,38,2,190290,0,40,31,3,0,9,13
1,4,0,0,2,38,2,160910,0,40,38,6,0,11,9
1,4,0,0,2,38,2,160728,0,40,32,11,0,11,9
1,4,0,0,2,38,2,167474,0,40,33,2,0,15,10
1,4,0,1,2,38,2,155489,0,40,50,11,0,9,13
1,4,0,0,4,38,2,203836,0,40,30,2,1,11,9
1,4,0,0,4,38,2,185127,0,40,23,2,1,11,9
1,4,0,0,4,38,2,182227,0,40,27,2,3,15,10
1,4,0,1,2,38,2,155489,0,40,40,9,0,9,13
1,4,0,0,4,38,2,174789,0,40,29,2,1,11,9
1,4,0,0,4,38,2,170070,0,40,20,2,3,15,10
1,4,0,0,4,38,2,199227,0,40,19,6,3,11,9
0,4,0,0,0,38,2,177147,0,40,43,9,1,8,11
1,4,0,0,4,38,2,216129,0,50,24,2,1,15,10
0,4,0,0,4,38,2,174461,0,40,27,3,1,9,13
1,4,0,0,2,38,2,160786,0,40,41,2,0,15,10
0,4,0,0,4,38,2,177287,0,40,28,9,1,9,13
1,4,0,0,4,38,2,192386,0,40,31,2,1,11,9
1,4,0,0,2,38,2,194740,0,40,43,2,0,11,9
1,4,0,0,4,38,2,202027,0,40,32,6,1,11,9
1,4,0,0,4,38,2,185127,0,40,22,0,3,15,10
1,4,0,0,4,38,2,187322,0,40,27,11,1,9,13
1,4,0,0,4,38,2,208470,0,40,29,6,1,11,9
1,4,0,1,2,38,2,200190,0,40,38,11,0,9,13
0,4,0,0,4,38,2,163665,0,30,19,0,3,11,9
1,4,0,0,2,38,2,112497,0,40,39,6,0,11,9
0,4,0,0,4,38,2,187460,0,40,25,9,1,9,13
1,4,0,0,4,38,2,193374,0,40,30,7,3,11,9
1,4,0,0,4,38,2,191117,0,40,20,5,3,11,9
1,4,0,0,2,38,2,181820,0,40,48,6,0,1,7
1,4,0,1,2,38,2,115023,0,40,59,3,0,9,13
1,4,0,0,2,38,2,197114,0,40,36,2,0,11,9
1,4,0,1,2,38,2,180477,0,40,47,3,0,15,10
0,4,0,0,4,38,2,216181,0,35,23,0,1,9,13
0,4,0,0,4,38,2,118941,0,40,22,9,1,9,13
1,4,0,0,2,38,2,193235,0,40,35,11,0,15,10
0,4,0,0,4,38,2,196529,0,40,35,0,1,15,10
0,4,0,0,4,38,2,187901,0,30,25,11,3,11,9
1,4,0,0,4,38,2,204641,0,40,27,5,1,11,9
1,4,0,1,2,38,2,124963,0,40,52,2,0,11,9
1,4,0,1,2,38,2,124963,0,40,35,9,0,12,14
1,4,0,0,2,38,2,178615,0,40,33,2,0,11,9
1,4,0,0,2,38,2,112497,0,40,30,2,0,11,9
1,4,0,0,2,38,2,117381,0,40,28,2,0,11,9
1,4,0,0,4,38,2,162825,0,40,24,2,1,15,10
0,4,0,0,4,38,2,198183,0,40,24,0,1,9,13
1,4,0,0,2,38,2,192337,0,40,33,2,0,11,9
1,4,0,1,2,38,2,186035,0,40,46,9,0,9,13
1,4,0,1,2,38,2,124137,0,40,45,9,0,9,13
1,4,0,0,2,38,2,169589,0,40,48,3,0,15,10
1,4,0,0,2,38,2,113364,0,40,31,3,0,11,9
1,4,0,0,4,38,2,185127,0,40,26,5,1,15,10
1,4,0,1,2,38,2,187322,0,40,41,2,0,11,9
0,4,0,0,4,38,2,175027,0,40,35,11,3,11,9
1,4,0,0,2,38,2,190895,0,40,35,6,0,15,10
1,4,0,0,4,38,2,112497,0,40,20,7,3,15,10
1,4,0,1,2,38,2,187322,0,40,42,9,0,9,13
0,4,0,0,4,38,2,188291,0,40,33,0,1,11,9
1,4,0,1,2,38,2,176992,0,50,39,11,0,9,13
1,4,0,0,4,38,2,169496,0,40,28,7,3,11,9
0,4,0,0,0,38,2,175912,0,40,35,9,4,8,11
1,4,0,0,2,38,2,162825,0,40,29,2,0,11,9
0,4,0,0,4,38,2,216481,0,40,23,0,1,9,13
