Netpay,Tectonic regime,Basin name,Oil recovery factor,Gas recovery factor,Latitude,Permeability,Operator company,Longitude,Country,Region,Hydrocarbon type,Porosity,Structural setting,Reservoir status,Gross,Reservoir unit,Depth,Lithology,Condensate recovery factor,Period,Onshore/offshore,Field name,Oil density
15.5,9,82,0.4,0.793,29.938,18.0,42,-114.069,48,3.0,5,21.0,8.0,2,24.8,313,3640.0,11,0.513,17,1,361,781.62
3.8,0,89,0.42,0.71,51.917,10.0,120,-100.726,9,2.0,51,20.0,7.0,2,36.0,281,3150.0,9,0.513,7,1,115,829.912
45.0,0,115,0.0,0.717,56.867,500.0,173,-103.817,35,2.0,2,14.333,1.0,2,29.5,34,1317.5,11,0.513,16,0,338,860.182
18.9,0,64,0.31,0.83,-38.817,1.5,166,147.149,46,6.0,50,21.0,2.0,2,24.6,311,906.9,11,0.27,7,1,408,860.182
44.4,2,36,0.32,0.71,28.919,350.0,155,101.532,18,6.0,5,20.0,2.0,2,36.0,290,1355.0,11,0.377,7,1,327,825.073
3.9,9,63,0.27,0.75,31.867,3.0,155,-91.923,481,2.0,5,10.0,2.0,6,240.0,117,3725.0,11,0.513,7,1,363,879.614
45.0,4,115,0.29,0.76,55.383,9.0,166,-110.716,9,2.0,5,14.667,2.0,7,180.0,356,633.8,9,0.513,15,1,301,844.776
12.0,0,39,0.25,0.777,62.521,500.0,110,-111.858,48,0.0,5,21.0,10.0,4,120.0,308,3166.5,11,0.513,7,1,6,825.073
21.0,2,60,0.28,0.86,53.711,150.0,110,-105.149,48,6.0,5,17.0,1.0,2,25.0,327,2684.2,11,0.513,7,1,8,815.562
12.9,0,56,0.25,0.76,25.818,0.0,128,-105.183,8,4.0,5,23.0,7.0,5,42.5,110,2684.9,11,0.27,12,1,129,846.488
12.8,0,75,0.367,0.73,45.08,1.0,162,-92.541,8,6.0,5,22.333,2.0,2,144.0,179,1213.2,11,0.353,7,0,6,762.842
13.8,0,65,0.47,0.86,37.0,1.0,110,-110.614,48,6.0,5,25.0,4.0,2,69.0,185,1340.0,11,0.513,7,1,437,881.62
24.0,0,66,0.4,0.749,-20.928,3.0,127,-95.667,46,6.0,5,14.0,6.0,2,114.0,129,1230.0,11,0.513,17,1,376,876.161
12.5,2,88,0.44,0.827,28.262,0.4,155,-92.912,48,6.0,5,14.0,10.0,2,19.6,389,1285.5,11,0.513,7,0,363,832.803
9.8,0,115,0.5,0.78,29.766,100.0,165,1.859,48,2.0,5,12.0,3.0,6,17.0,294,1632.8,11,0.513,17,1,267,832.808
15.0,0,83,0.46,0.0,21.766,10.0,178,-114.867,48,6.0,5,27.0,4.0,5,34.4,128,1240.0,11,0.513,11,0,413,859.763
63.4,0,58,0.353,0.749,45.821,60.0,34,-102.912,48,0.0,5,11.0,6.0,2,114.0,128,1331.0,11,0.513,7,0,36,815.562
11.6,9,39,0.35,0.83,58.0,100.0,128,-102.916,33,6.0,5,22.0,2.0,8,120.0,61,1840.0,11,0.513,7,1,6,860.182
5.4,9,104,0.27,0.819,-38.397,1000.0,170,-84.917,48,3.0,5,20.0,2.0,8,45.0,294,2460.0,11,0.513,15,0,231,839.763
