mean_tr,wb_trans,eccen,height,blackpix,area,blackand,p_and,p_black,lenght,target
2.12,119,8.0,9,259,624,437,0.844,0.365,73,1
4.67,214,16.462,13,1318,2939,2198,0.633,0.334,187,1
1.0,6,1.25,4,12,24,19,0.75,0.333,6,1
1.33,31,4.125,8,47,168,146,0.0,0.333,28,1
1.92,135,10.75,8,279,864,621,0.844,0.236,93,1
2.36,532,16.6,15,812,2160,1742,0.0,0.375,240,1
2.06,39,2.8,10,80,270,195,0.971,0.336,30,1
11.0,1,0.045,11,11,11,11,1.0,1.0,1,4
1.46,122,13.286,7,238,812,553,0.695,0.292,126,1
1.61,19,1.125,8,28,72,72,0.872,0.375,9,1
1.29,16,1.714,7,24,63,35,0.929,0.327,9,1
2.0,50,5.0,8,127,320,360,0.8,0.375,40,1
1.43,31,2.75,8,43,152,99,0.789,0.228,19,1
3.0,13,1.5,8,20,48,48,1.0,0.469,6,1
2.45,88,5.4,10,219,585,478,0.6,0.298,55,1
1.42,23,2.571,7,31,147,145,0.947,0.247,21,1
3.33,6,0.778,9,17,44,40,0.973,0.469,6,1
19.0,1,19.0,1,19,19,19,1.0,0.942,19,2
1.92,65,4.857,7,106,280,224,0.0,0.348,42,1
6.0,3,0.857,7,18,42,30,0.857,0.667,6,1
1.35,130,13.714,7,189,602,654,0.852,0.259,98,1
1.0,87,7.857,7,134,558,439,0.835,0.256,59,1
6.5,14,1.6,10,84,150,126,0.933,0.5,15,1
2.75,8,1.0,8,24,64,59,0.792,0.427,8,1
2.04,25,1.0,10,60,110,110,0.943,0.436,11,1
1.0,34,2.5,8,46,160,139,0.865,0.317,20,1
2.25,41,5.0,7,80,245,223,0.829,0.407,35,1
7.5,1,0.111,9,9,9,9,1.0,0.889,1,4
2.14,7,1.333,6,15,54,38,0.816,0.327,9,1
1.58,173,13.667,9,244,1494,946,0.769,0.219,124,1
1.37,132,17.286,7,189,780,715,0.876,0.211,140,1
2.08,10,0.75,8,19,48,44,0.944,0.438,6,1
1.71,203,22.25,8,289,1464,1012,0.742,0.239,152,10
2.14,9,1.125,8,21,56,56,1.0,0.333,9,1
1.83,22,2.125,8,38,136,109,0.783,0.375,17,1
1.64,22,2.333,9,34,180,97,0.906,0.541,20,1
1.26,147,17.0,7,230,847,712,0.634,0.0,121,1
2.12,49,3.1,10,121,310,254,0.846,0.413,31,1
1.6,4,0.6,5,8,20,15,0.6,0.25,5,1
1.36,26,2.0,9,40,189,159,0.831,0.293,21,1
1.81,31,2.8,10,42,180,146,0.848,0.308,18,1
1.36,17,2.625,8,27,136,105,0.852,0.211,17,1
3.6,5,18.0,1,12,18,18,1.0,0.621,18,2
1.64,43,5.429,7,51,266,211,0.744,0.221,42,1
1.98,129,10.111,9,245,819,744,0.724,0.302,91,1
1.31,364,27.778,9,961,2760,2102,0.621,0.183,261,1
3.17,6,2.8,5,23,70,35,0.933,0.234,14,1
2.0,6,1.5,4,16,32,32,0.738,0.327,6,1
1.93,111,9.556,9,258,656,531,0.542,0.239,82,1
1.39,44,3.0,9,56,209,165,0.895,0.219,31,1
2.15,13,0.875,8,32,80,80,0.844,0.357,10,1
4.67,3,0.571,7,14,28,28,1.0,0.556,4,1
1.77,16,1.125,8,28,72,72,1.0,0.222,9,1
2.03,56,5.125,8,158,368,366,0.944,0.425,42,1
1.71,83,5.636,11,161,494,439,0.907,0.318,44,1
1.38,17,1.889,9,24,153,115,0.856,0.221,15,1
2.88,122,8.0,10,301,840,654,0.792,0.375,80,1
1.64,21,2.333,6,35,112,76,0.0,0.318,16,1
1.93,134,9.444,9,238,873,619,0.713,0.259,97,1
1.81,124,9.222,9,285,747,843,0.847,0.251,83,1
1.98,45,3.375,8,93,240,184,0.977,0.392,30,1
2.15,26,2.25,8,60,144,144,0.923,0.458,18,1
2.48,108,9.111,9,270,738,653,0.717,0.375,82,1
1.84,41,3.5,10,76,200,178,0.848,0.295,25,1
8.0,3,0.75,8,32,40,30,0.857,0.375,7,1
1.26,109,9.75,8,108,716,592,0.958,0.206,68,1
2.3,109,8.727,11,215,576,513,0.811,0.376,64,1
2.14,17,2.25,8,33,128,84,0.818,0.5,16,1
1.65,15,1.0,8,23,64,64,0.888,0.361,8,1
4.5,4,0.182,11,14,44,44,1.0,0.469,4,1
2.17,12,0.0,5,20,30,28,0.75,0.436,3,1
3.5,4,0.667,6,9,24,23,0.0,0.438,4,1
14.83,19,268.5,2,786,1720,1017,0.956,0.973,190,2
2.22,19,2.286,7,52,112,113,0.844,0.383,16,1
2.2,179,10.8,10,421,1080,993,0.813,0.357,90,1
2.0,18,2.0,7,30,98,98,1.0,0.357,14,1
2.1,30,2.5,10,77,250,202,0.829,0.392,25,1
1.36,215,13.5,10,753,1325,1034,0.751,0.216,175,1
1.36,16,2.286,7,24,112,75,0.689,0.265,16,1
2.94,398,26.1,10,684,2610,1593,0.721,0.0,262,1
1.47,48,59.0,10,9,1510,662,0.566,0.154,535,1
1.54,30,2.714,7,44,133,111,0.857,0.365,19,1
1.45,51,3.125,8,50,200,129,0.783,0.279,25,1
1.97,61,10.0,7,99,495,346,0.677,0.306,65,1
1.87,122,21.5,8,283,948,859,0.827,0.294,148,1
2.44,24,2.0,8,60,128,97,0.861,0.4,16,1
1.39,64,5.222,9,86,423,344,0.842,0.223,49,1
1.71,103,9.111,9,173,738,627,0.824,0.286,82,1
1.78,109,10.0,8,237,824,754,0.7,0.25,84,1
4.5,2,19.0,1,9,19,19,1.0,0.929,19,2
1.61,34,3.0,7,64,182,147,0.967,0.278,26,1
1.83,105,7.727,11,208,928,604,0.0,0.28,82,1
7.0,2,14.0,1,14,14,14,0.786,0.786,14,1
2.0,55,6.25,8,121,336,264,0.857,0.371,44,1
2.42,27,2.0,8,69,128,119,0.917,0.542,16,1
2.18,62,8.5,6,131,336,337,0.974,0.332,48,1
2.17,4,1.25,4,9,28,27,0.958,0.327,4,1
1.0,167,11.556,9,240,1134,954,0.634,0.259,114,1
9.0,1,1.75,4,9,12,12,0.944,0.583,4,1
1.0,134,10.111,9,236,819,878,0.821,0.293,98,1
