,age,sex,relation,has_high_education,top1_interes,top2_interes,top3_interes,top4_interes,top5_interes,is_parent,has_pets,mean_tr,median_tr,tr_per_month,real_identifier
0,49.0,1.0,0.0,0.0,8.0,12.0,16.0,22.0,1.0,0.0,0.0,823.1911,421.19,18.4198,0
1,35.0,2.0,0.0,1.0,19.0,7.0,14.0,2.0,10.0,1.0,0.0,1034.4292,517.41,12.1659,0
2,58.0,1.0,0.0,0.0,4.0,20.0,9.0,17.0,3.0,0.0,0.0,756.1985,381.03,22.6541,0
3,26.0,2.0,0.0,0.0,13.0,5.0,11.0,24.0,16.0,0.0,0.0,467.8622,236.55,8.4394,0
4,40.0,1.0,0.0,0.0,18.0,13.0,1.0,12.0,20.0,0.0,0.0,1291.0185,646.51,15.2895,0
5,55.0,2.0,0.0,0.0,3.0,22.0,5.0,11.0,14.0,1.0,0.0,942.1157,471.57,20.6119,0
6,30.0,1.0,0.0,1.0,15.0,9.0,7.0,19.0,2.0,0.0,0.0,624.8191,312.41,11.3952,0
7,48.0,2.0,0.0,0.0,2.0,16.0,23.0,8.0,6.0,0.0,0.0,819.4219,409.71,19.2821,0
8,39.0,1.0,0.0,0.0,12.0,3.0,4.0,10.0,22.0,0.0,0.0,958.1932,479.57,16.5856,0
9,29.0,2.0,0.0,0.0,11.0,1.0,17.0,5.0,9.0,0.0,0.0,541.8119,270.91,9.7519,0
10,42.0,1.0,0.0,0.0,20.0,12.0,9.0,16.0,13.0,1.0,0.0,8231.191,421.0,5.319,0
11,36.0,2.0,4.0,1.0,18.0,7.0,3.0,11.0,4.0,0.0,0.0,1920.811,512.0,22.191,0
12,48.0,1.0,0.0,0.0,22.0,14.0,10.0,17.0,6.0,1.0,0.0,4309.411,1200.0,3.911,0
13,29.0,2.0,0.0,0.0,19.0,8.0,5.0,13.0,9.0,0.0,0.0,2819.492,819.0,7.492,0
14,41.0,1.0,0.0,0.0,21.0,13.0,11.0,15.0,7.0,1.0,0.0,5911.982,2500.0,4.982,0
15,35.0,2.0,4.0,1.0,17.0,6.0,2.0,10.0,3.0,0.0,0.0,1420.819,421.0,20.819,0
16,50.0,1.0,0.0,0.0,24.0,16.0,12.0,18.0,8.0,1.0,0.0,6309.411,2500.0,3.411,0
17,32.0,2.0,0.0,0.0,20.0,11.0,6.0,14.0,10.0,0.0,0.0,3819.492,1000.0,6.492,0
18,44.0,1.0,0.0,0.0,23.0,15.0,9.0,16.0,11.0,1.0,0.0,5309.411,2000.0,4.411,0
19,37.0,2.0,4.0,1.0,19.0,7.0,3.0,12.0,4.0,0.0,0.0,1920.819,512.0,20.819,0
20,38.0,2.0,0.0,1.0,10.0,22.0,1.0,9.0,20.0,1.0,0.0,2789.3519,1200.0,11.4758,0
21,29.0,1.0,0.0,0.0,12.0,7.0,0.0,3.0,16.0,1.0,0.0,1921.1083,678.5,5.1921,0
22,42.0,2.0,4.0,1.0,9.0,11.0,24.0,13.0,2.0,1.0,0.0,3548.9755,2100.0,20.3846,0
23,55.0,2.0,0.0,0.0,8.0,14.0,19.0,5.0,10.0,0.0,0.0,1187.3043,450.0,24.5319,0
24,27.0,1.0,0.0,0.0,13.0,9.0,0.0,1.0,12.0,1.0,0.0,1619.4717,600.0,4.0119,0
25,40.0,2.0,0.0,1.0,25.0,16.0,4.0,11.0,6.0,1.0,0.0,2931.0164,1800.0,16.3824,0
26,58.0,2.0,0.0,0.0,7.0,18.0,10.0,22.0,9.0,0.0,0.0,1042.9111,390.0,25.4985,0
27,24.0,1.0,0.0,0.0,16.0,3.0,0.0,8.0,21.0,1.0,0.0,1339.2054,520.0,7.3569,0
28,36.0,2.0,4.0,1.0,22.0,13.0,5.0,20.0,0.0,1.0,0.0,3229.8137,2000.0,14.5921,0
29,30.0,1.0,0.0,0.0,14.0,2.0,0.0,7.0,11.0,1.0,0.0,1891.4308,660.0,5.6842,0
30,29.0,2.0,3.0,1.0,10.0,14.0,5.0,22.0,11.0,0.0,1.0,823.1925,421.0,18.3519,0
31,58.0,1.0,2.0,0.0,20.0,9.0,13.0,1.0,19.0,1.0,0.0,1918.8192,1089.0,12.4591,0
32,42.0,2.0,1.0,1.0,5.0,18.0,12.0,8.0,25.0,0.0,0.0,1357.9365,699.0,24.1917,0
33,49.0,1.0,5.0,0.0,16.0,4.0,11.0,20.0,2.0,0.0,1.0,982.1563,512.0,19.4278,0
34,35.0,2.0,0.0,0.0,7.0,22.0,9.0,14.0,17.0,1.0,0.0,2489.4271,1300.0,10.3519,0
35,26.0,1.0,6.0,1.0,15.0,10.0,24.0,5.0,13.0,0.0,0.0,1765.3019,901.0,22.8085,0
36,44.0,2.0,4.0,0.0,3.0,19.0,8.0,23.0,6.0,0.0,1.0,1234.5678,630.0,15.4278,0
37,51.0,1.0,3.0,1.0,9.0,12.0,21.0,4.0,16.0,1.0,0.0,2039.4271,1050.0,11.4278,0
38,31.0,2.0,2.0,0.0,18.0,8.0,1.0,10.0,22.0,0.0,0.0,1542.1563,810.0,20.4278,0
39,46.0,1.0,1.0,1.0,2.0,17.0,25.0,9.0,12.0,0.0,1.0,1873.3019,960.0,13.3519,0
40,38.0,1.0,0.0,0.0,12.0,9.0,20.0,7.0,16.0,1.0,0.0,1567.1234,825.5,10.2345,0
41,29.0,2.0,0.0,0.0,18.0,14.0,5.0,22.0,9.0,0.0,0.0,982.4567,421.25,6.789,0
42,40.0,1.0,4.0,0.0,8.0,20.0,12.0,16.0,5.0,1.0,0.0,2789.0123,1187.5,14.5678,0
43,32.0,2.0,0.0,0.0,10.0,8.0,19.0,15.0,22.0,0.0,0.0,1234.5678,567.89,8.9012,0
44,39.0,1.0,0.0,0.0,14.0,7.0,11.0,9.0,20.0,1.0,0.0,2012.3456,987.5,12.3456,0
45,34.0,2.0,4.0,0.0,16.0,13.0,10.0,18.0,6.0,0.0,0.0,1567.8901,789.5,9.0123,0
46,36.0,1.0,0.0,0.0,9.0,15.0,14.0,12.0,19.0,1.0,0.0,2345.6789,1098.75,13.4567,0
47,30.0,2.0,0.0,0.0,17.0,10.0,13.0,8.0,14.0,0.0,0.0,1456.789,689.5,7.8901,0
48,38.0,1.0,4.0,0.0,11.0,16.0,9.0,14.0,7.0,1.0,0.0,2012.3456,987.5,12.3456,0
49,35.0,2.0,0.0,0.0,13.0,12.0,18.0,10.0,15.0,0.0,0.0,1678.9012,789.5,9.0123,0
50,38.0,2.0,0.0,0.0,20.0,11.0,22.0,14.0,9.0,0.0,0.0,5319.326,3051.0,11.4295,0
51,29.0,1.0,5.0,1.0,18.0,6.0,13.0,20.0,1.0,1.0,0.0,794.198,394.0,23.1596,0
52,52.0,1.0,0.0,0.0,7.0,16.0,8.0,2.0,22.0,0.0,0.0,1931.928,928.0,6.3289,0
53,25.0,2.0,0.0,0.0,4.0,12.0,21.0,18.0,6.0,0.0,0.0,4732.191,2399.0,3.5567,0
54,44.0,1.0,3.0,0.0,9.0,14.0,5.0,11.0,20.0,1.0,0.0,1044.391,521.0,18.3019,0
55,36.0,2.0,0.0,1.0,12.0,8.0,19.0,15.0,10.0,1.0,0.0,630.761,315.0,29.4883,0
56,50.0,1.0,0.0,0.0,1.0,9.0,14.0,7.0,16.0,0.0,0.0,2751.395,1375.0,4.9173,0
57,31.0,2.0,2.0,0.0,6.0,13.0,3.0,10.0,24.0,0.0,0.0,3589.721,1794.0,10.3921,0
