target,Dcl,Ao,Iy,Aa,Sh
1,0.978,0.56,1.753,0.213,0
1,1.576,1.316,0.761,0.959,0.653
1,0.766,0.731,-0.505,0.297,0.956
1,0.737,0.724,1.809,0.246,0
0,0.415,0.303,1.177,0.138,2.03
0,0.524,0.433,1.019,0.233,0
1,1.928,0.53,1.064,0.369,-0.592
0,-0.601,2.786,0.701,0.561,0.542
1,0.632,0.623,1.509,0.239,0
1,1.761,1.02,0.899,0.554,-0.431
0,-0.443,2.302,-0.194,0.738,-0.124
0,1.935,1.043,-0.563,0.205,0
0,1.235,2.484,0.588,0.584,-0.229
1,0.671,0.516,1.792,0.135,-0.854
0,-0.415,2.141,0.256,0.318,-0.128
0,0.467,0.351,-0.674,0.135,1.833
0,1.02,2.547,-0.476,0.364,0
0,-0.424,2.75,0.24,0.816,-0.206
0,-0.448,2.104,-0.184,0.34,-0.097
0,0.513,0.434,1.798,0.115,0
1,1.266,0.58,1.496,0.19,0
0,1.056,2.531,-0.332,0.706,-0.177
0,-0.11,0.351,0.085,2.611,-0.08
0,2.313,1.436,-0.636,0.34,-0.27
0,1.355,1.591,0.65,0.228,0
0,0.468,0.855,0.312,1.494,-0.259
0,-0.122,0.435,-0.089,3.045,-0.056
0,0.324,0.768,0.279,2.236,-0.115
0,0.64,0.46,1.531,0.229,0
0,0.327,0.266,1.152,0.079,1.339
0,-0.356,2.275,-0.165,0.738,0.164
0,0.356,0.864,0.166,0.279,0.13
0,1.683,0.825,1.102,0.15,-0.52
0,1.066,2.168,0.56,0.228,-0.211
0,0.149,0.282,0.16,2.439,-0.065
0,0.153,-0.232,0.089,3.071,-0.086
0,0.797,2.819,0.454,0.542,-0.179
0,0.415,0.356,1.387,0.106,1.386
0,0.174,-0.258,-0.083,3.456,-0.061
0,0.515,0.464,1.811,0.104,0.991
1,0.936,0.561,1.826,0.158,0
0,0.604,1.797,0.226,0.774,0.162
0,0.45,0.936,0.257,1.971,0.404
