,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.03333333333111111,0.16666666665555555,0.09866666666008887,0.05215361923814428
sanity.nearest_syn_neighbor_distance.mean,0.2918480337394089,0.34270766510624673,0.3115988255459968,0.01935952000436879
sanity.close_values_probability.score,0.16666666666666666,0.26,0.20933333333333337,0.036998498468030966
sanity.distant_values_probability.score,0.006666666666666667,0.02666666666666667,0.018666666666666668,0.007302967433402215
stats.jensenshannon_dist.marginal,0.0045524201902844095,0.007189927591670994,0.006176048334712652,0.0010561894250180352
stats.chi_squared_test.marginal,0.39992152192496133,0.7999183068360577,0.5998650917541438,0.14142024012449372
stats.inv_kl_divergence.marginal,0.8625725421707433,0.949506346539601,0.8969415878408263,0.033058434666082735
stats.ks_test.marginal,0.9453333333333334,0.9613333333333334,0.9528000000000001,0.007339391437078868
stats.max_mean_discrepancy.joint,0.0016342292124181812,0.002847845782824099,0.002081562588892194,0.00047898625532450555
stats.wasserstein_dist.joint,0.001872576453670817,0.002342874067218838,0.0021065901232986206,0.00017047219810312954
stats.alpha_precision.delta_precision_alpha_OC,0.9172567049808429,0.9651187739463601,0.9406467432950191,0.017530468352272285
stats.alpha_precision.delta_coverage_beta_OC,0.49688888888888894,0.6915555555555555,0.6012444444444445,0.07131041514843375
stats.alpha_precision.authenticity_OC,0.4,0.49333333333333335,0.45199999999999996,0.036331804249169895
stats.alpha_precision.delta_precision_alpha_naive,0.9417777777777777,0.9567509578544061,0.9490206896551724,0.005646803555425361
stats.alpha_precision.delta_coverage_beta_naive,0.663111111111111,0.7297777777777777,0.6925333333333332,0.025713329396287385
stats.alpha_precision.authenticity_naive,0.2866666666666667,0.38666666666666666,0.3413333333333334,0.04793514136599346
stats.prdc.precision,0.9866666666666667,1.0,0.9960000000000001,0.0059628479399994345
stats.prdc.recall,0.9866666666666667,1.0,0.9946666666666667,0.007302967433402202
stats.prdc.density,1.076,1.1506666666666667,1.1245333333333334,0.035397426146229614
stats.prdc.coverage,1.0,1.0,1.0,0.0
performance.linear_model.gt,0.9978888888888889,0.9978888888888889,0.9978888888888889,0.0
performance.linear_model.syn_id,0.9986111111111112,0.9993888888888888,0.9990708333333332,0.0002871005007498649
performance.linear_model.syn_ood,0.9974444444444444,0.9988888888888889,0.9982666666666666,0.0005246986201386058
performance.mlp.gt,0.8325520833333334,0.8325520833333334,0.8325520833333334,0.0
performance.mlp.syn_id,0.7948784722222222,0.9026909722222223,0.8477430555555555,0.04454563066478355
performance.mlp.syn_ood,0.7544444444444445,0.906111111111111,0.8237777777777777,0.05974405285760117
performance.xgb.gt,0.978111111111111,0.978111111111111,0.978111111111111,0.0
performance.xgb.syn_id,0.9913055555555556,0.9967430555555555,0.9944000000000001,0.0026503388293751726
performance.xgb.syn_ood,0.9888888888888889,0.9962222222222221,0.9931999999999999,0.002920130218642123
performance.feat_rank_distance.corr,0.5504793462442037,0.7706635687376621,0.670012214172001,0.08236798521628788
performance.feat_rank_distance.pvalue,5.155519904946636e-24,5.16405509556555e-13,1.0328438410763508e-13,2.309417299104699e-13
detection.detection_xgb.mean,0.22844444444444445,0.31977777777777777,0.27944444444444444,0.03561869394046742
detection.detection_mlp.mean,0.29655555555555557,0.30966666666666665,0.3010888888888889,0.005753903666851495
detection.detection_gmm.mean,0.4357777777777777,0.585,0.48613333333333336,0.05991565058634667
detection.detection_linear.mean,0.19877777777777775,0.24200000000000005,0.21951111111111107,0.01635705005249278
privacy.delta-presence.score,1.5555555538271604,1.9999999933333334,1.9111110994320988,0.1987615924374174
privacy.k-anonymization.gt,2.0,2.0,2.0,0.0
privacy.k-anonymization.syn,1.00000001,5.00000001,2.60000001,1.8165902124584952
privacy.k-map.score,1.0,2.0,1.6,0.5477225575051661
privacy.distinct l-diversity.gt,2.0,2.0,2.0,0.0
privacy.distinct l-diversity.syn,1.00000001,5.00000001,2.60000001,1.8165902124584952
privacy.identifiability_score.,0.6466666666666666,0.7066666666666667,0.6733333333333332,0.025819888974716137
privacy.identifiability_score._privacy.identifiability_score.OC,0.5133333333333333,0.5733333333333334,0.5413333333333334,0.021807236311728186
