mean_tr,wb_trans,eccen,height,blackpix,area,blackand,p_and,p_black,lenght,target
1.38,94,9.875,8,130,632,623,0.984,0.205,79,0.779
1.85,150,2.779,45,278,11395,11336,0.996,0.024,253,253
1.71,21,1.857,7,36,91,91,1,0.396,13,13
1.71,7,1.143,7,12,56,35,0.625,0.214,8,8
1.34,77,6.444,9,103,522,344,0.659,0.198,58,0.5
2.08,24,1.182,11,50,143,112,0.783,0.35,13,9
1.87,258,15.7,10,482,1570,1215,0.775,0.307,157,7
1.88,24,2.125,8,45,136,110,0.811,0.331,17,0.529
1.5,18,1.571,7,27,77,56,0.727,0.351,11,11
1.77,120,16.857,7,212,826,598,0.724,0.257,118,0.857
2.14,22,1.75,8,47,112,86,0.768,0.42,14,0.786
1.33,43,4.143,7,57,203,159,0.783,0.281,29,29
2.01,81,4.6,10,163,460,397,0.863,0.354,46,5
2.05,40,3.125,8,82,200,148,0.74,0.41,25,113
1.36,45,3.75,8,61,240,197,0.821,0.254,30,10
2.86,22,3.2,5,63,80,80,1,0.788,16,80
1.93,41,3.125,8,79,200,151,0.755,0.395,25,116
2.35,110,8.3,10,258,830,618,0.745,0.311,83,6
1.39,77,6.875,8,107,440,289,0.657,0.243,55,3
1.48,31,2.375,8,46,152,149,0.98,0.303,19,19
1.67,9,1,7,15,49,47,0.959,0.306,7,21
2.22,60,4.667,9,133,378,366,0.971,0.351,42,42
1.69,13,1.143,7,22,56,56,1,0.393,8,8
1.91,57,3.556,9,109,288,260,0.903,0.379,32,9
2.4,20,2.429,7,48,119,111,0.933,0.403,17,10
1.5,42,4.286,7,63,210,183,0.871,0.3,30,186
2.63,99,9.111,9,260,738,589,0.798,0.352,82,11
1.87,91,6.1,10,170,610,502,0.822,0.279,61,0.822
1.29,68,5.75,8,88,368,304,0.826,0.239,46,2
1.71,14,1.571,7,24,77,56,0.727,0.312,11,11
1.38,96,6.556,9,132,531,446,0.839,0.248,59,0.923
1.38,24,2.571,7,33,126,126,1,0.262,18,126
1.38,465,32.5,10,641,3250,2246,0.69,0.197,325,11
1.6,15,1.833,6,24,66,59,0.891,0.364,11,0.727
1.4,120,11,9,168,891,664,0.745,0.189,99,0.745
2.17,90,9.222,9,195,747,437,0.585,0.261,83,6
1.93,30,2.25,8,58,144,129,0.897,0.403,18,11
1.44,27,2.286,7,39,112,106,0.946,0.346,16,91
1.27,191,18.889,9,242,1530,1103,0.721,0.158,170,9
1.84,19,1.714,7,35,84,64,0.762,0.417,12,84
1.86,21,1.5,8,39,96,86,0.896,0.406,12,12
2.05,20,1.5,8,41,96,93,0.969,0.427,12,0.969
1.57,14,2.286,7,22,112,71,0.634,0.196,16,85
2.22,27,1.182,11,60,143,140,0.979,0.42,13,2
1.82,11,1,7,20,49,43,0.878,0.408,7,49
1.44,521,56.444,9,751,4572,2093,0.456,0.164,508,9
1.85,13,1.286,7,24,63,60,0.952,0.381,9,63
1.82,22,2.286,7,40,112,107,0.955,0.357,16,89
2.42,24,2.25,8,58,144,135,0.938,0.403,18,2
2.07,60,4.1,10,124,410,283,0.69,0.302,41,2
1.82,11,1.429,7,20,70,62,0.886,0.286,10,3
2.22,9,0.75,8,20,48,44,0.917,0.417,6,48
2.08,12,1.125,8,25,72,65,0.903,0.347,9,9
1.85,13,1.857,7,24,91,80,0.879,0.264,13,80
1.33,27,2.833,6,36,102,97,0.951,0.356,17,17
2.08,12,2.6,5,25,65,54,0.831,0.385,13,2
1.84,174,10.5,10,321,1050,872,0.831,0.306,105,0.831
1.76,114,12.375,8,201,792,682,0.861,0.255,99,0.
1.75,16,1.571,7,28,77,71,0.922,0.364,11,11
1.46,26,2.571,7,38,126,124,0.984,0.302,18,13
1.34,149,15.75,8,199,1008,694,0.689,0.198,126,14
2.44,432,2.73,37,1054,3737,2592,0.695,0.283,101,31
