mean_tr,wb_trans,eccen,height,blackpix,area,blackand,p_and,p_black,lenght,target
2.2,35,2.667,9,77,216,196,0.907,0.356,24,3
1.4,110,10.5,8,154,672,463,0.689,0.229,84,7
1.38,13,2.167,6,18,78,52,0.667,0.231,13,13
1.4,83,10,7,116,490,364,0.744,0.237,70,20
1.69,16,1.857,7,27,91,76,0.835,0.297,13,0.571
1.28,171,31.857,7,219,1561,823,0.527,0.14,223,0.527
1.26,285,31.556,9,359,2556,1533,0.601,0.141,284,284
1.27,116,10.111,9,147,819,603,0.737,0.179,91,0.727
1.46,13,1.143,7,19,56,43,0.768,0.339,8,0.5
2.13,8,1.4,5,17,35,35,1,0.486,7,7
1.31,55,4.111,9,72,333,232,0.697,0.215,37,0.
2.21,98,9.556,9,217,774,517,0.667,0.281,86,7
2.2,137,10.222,9,302,828,790,0.954,0.365,92,0.954
1.36,44,4.286,7,60,210,199,0.948,0.286,30,186
2.13,16,1.25,8,34,80,74,0.925,0.425,10,80
1.34,32,3.143,7,43,154,136,0.883,0.279,22,110
1.41,279,23.5,10,393,2350,1361,0.579,0.168,235,20
1.41,69,6.857,7,97,336,202,0.602,0.289,48,2
1.82,22,3,6,40,108,108,1,0.37,18,108
2.44,149,9.8,10,364,980,823,0.842,0.371,98,0.842
1.83,29,2.714,7,53,133,117,0.88,0.398,19,0.9
1.87,53,6.4,5,99,160,158,0.988,0.619,32,160
1.38,82,8.625,8,113,552,456,0.826,0.205,69,69
2.5,4,1.2,5,10,30,29,0.967,0.333,6,30
1.33,43,4.857,7,57,238,156,0.656,0.239,34,238
2.4,20,1.5,8,48,96,90,0.938,0.5,12,7
1.44,79,6.111,9,114,495,360,0.727,0.23,55,7
1.84,31,2.375,8,57,152,149,0.98,0.375,19,8
2.11,9,1.167,6,19,42,41,0.976,0.452,7,7
2.17,6,0.5,8,13,32,32,1,0.406,4,32
2.02,54,4.375,8,109,280,219,0.782,0.389,35,220
1.71,21,2.429,7,36,119,103,0.866,0.303,17,0.7
2.13,24,1.889,9,51,153,137,0.895,0.333,17,117
2.74,22,2.333,9,60,189,147,0.778,0.317,21,2
1.58,104,16.833,6,164,606,520,0.859,0.271,101,477
1.33,40,3.571,7,53,175,156,0.891,0.303,25,25
1.81,43,3.125,8,78,200,159,0.795,0.39,25,113
1.36,45,4.857,7,61,238,186,0.782,0.257,34,2
2.2,5,0.667,6,11,24,24,1,0.458,4,24
1.53,58,6.4,10,89,640,290,0.453,0.139,64,3
1.75,8,1.4,5,14,35,33,0.943,0.4,7,20
1.83,6,1.4,5,11,35,30,0.857,0.314,7,7
1.58,31,2.111,9,49,171,117,0.684,0.287,19,2
2.23,45,2.9,10,100,290,233,0.803,0.345,29,2
1.26,121,13.5,8,152,864,704,0.815,0.176,108,0.727
1.41,41,3.571,7,58,175,156,0.891,0.331,25,0.75
1.38,61,7.571,7,84,371,252,0.679,0.226,53,2
1.26,222,19.444,9,279,1575,983,0.624,0.177,175,7
1.71,7,0.857,7,12,42,36,0.857,0.286,6,42
2.47,45,2.8,10,111,280,238,0.85,0.396,28,272
2.1,20,1.75,8,42,112,94,0.839,0.375,14,0.75
1.4,229,31.857,7,320,1561,1036,0.664,0.205,223,8
1.67,15,2.333,6,25,84,64,0.762,0.298,14,0.571
1.63,40,3.125,8,65,200,200,1,0.325,25,200
1.91,22,3.6,5,42,90,78,0.867,0.467,18,81
2.35,110,9.222,9,258,747,639,0.856,0.345,83,0.333
2.28,18,2.2,5,41,55,55,1,0.745,11,55
1.63,8,1.4,5,13,35,35,1,0.371,7,7
2.09,119,8.333,9,249,675,632,0.936,0.369,75,75
2.2,20,1.5,8,44,96,96,1,0.458,12,96
1.36,355,27.1,10,483,2710,1904,0.703,0.179,271,19
