mean_tr,wb_trans,eccen,height,blackpix,area,blackand,p_and,p_black,lenght,target
2.5,6,1.4,5,15,35,31,0.886,0.429,7,20
1.31,77,6.444,9,101,522,345,0.661,0.193,58,13
1.57,7,1,6,11,36,36,1,0.306,6,36
1.93,84,6.125,8,162,392,298,0.76,0.413,49,0.413
1.97,65,4.1,10,128,410,301,0.734,0.312,41,2
1.35,31,3,7,42,147,125,0.85,0.286,21,98
1.76,25,1.625,8,44,104,103,0.99,0.423,13,97
1.67,15,1.833,6,25,66,54,0.818,0.379,11,11
1.85,13,1.857,7,24,91,80,0.879,0.264,13,80
2.07,14,2.286,7,29,112,112,1,0.259,16,16
1.88,17,2.6,5,32,65,62,0.954,0.492,13,13
1.86,14,1.125,8,26,72,52,0.722,0.361,9,9
1.5,28,2.143,7,42,105,97,0.924,0.4,15,15
1.31,19,1.778,9,25,144,118,0.819,0.174,16,144
1.39,31,2.375,8,43,152,110,0.724,0.282,19,152
1.88,25,1.5,8,47,96,96,1,0.49,12,96
1.76,21,1.857,7,37,91,89,0.978,0.407,13,13
1.75,4,0.571,7,7,28,25,0.893,0.25,4,28
1.77,13,1.571,7,23,77,77,1,0.299,11,11
2.29,7,2.6,5,16,65,50,0.769,0.246,13,65
2.13,155,13.556,9,330,1098,798,0.726,0.301,122,122
1.83,6,22,1,11,22,22,1,0.5,22,22
2.42,24,2.222,9,58,180,142,0.789,0.322,20,2
2.38,58,4.111,9,138,333,315,0.946,0.414,37,2
1.36,25,2.571,7,34,126,89,0.705,0.27,18,2
1.71,7,1.143,7,12,56,35,0.625,0.214,8,8
1.29,279,29.571,7,361,1449,1200,0.829,0.249,207,207
2.05,20,1.625,8,41,104,103,0.99,0.394,13,82
1.43,378,34,9,540,2754,1978,0.717,0.196,306,13
1.83,6,22.5,2,11,90,51,0.567,0.122,45,0.5
1.48,227,19.444,9,336,1575,1500,0.952,0.213,175,175
1.43,37,4.667,6,53,168,168,1,0.315,28,168
1.43,356,24.727,11,510,2992,1781,0.595,0.17,272,0.
1.5,14,2.286,7,21,112,54,0.482,0.189,16,73
1.87,53,4.625,8,99,296,246,0.831,0.334,37,0.037
1.83,6,1.4,5,11,35,30,0.857,0.314,7,7
1.77,26,1.75,8,46,112,112,1,0.411,14,14
1.81,57,4.375,8,103,280,256,0.914,0.367,35,220
1.71,21,2.429,7,36,119,103,0.866,0.303,17,14
1.35,34,4.333,6,46,156,151,0.970,0.295,26,24
1.81,32,2.25,8,58,144,134,0.931,0.403,18,11
2.03,65,4.111,9,132,333,283,0.85,0.396,37,2
1.33,21,1.571,7,28,77,77,1,0.364,11,11
2.09,74,4.909,11,155,594,414,0.697,0.261,54,0.
1.33,15,2.167,6,20,78,68,0.872,0.256,13,45
2.47,43,5.857,7,106,287,183,0.638,0.369,41,0.857
2.38,133,8.909,11,316,1078,691,0.641,0.293,98,0.641
1.33,21,1.571,7,28,77,77,1,0.364,11,11
1.91,36,2.625,8,69,168,161,0.958,0.411,21,0.957
1.38,465,32.3,10,641,3230,2182,0.675,0.198,323,0.675
1.81,42,4.429,7,76,217,185,0.853,0.35,31,31
1.57,7,1.571,7,11,77,43,0.558,0.143,11,11
2.47,645,34.167,12,1594,4920,3474,0.706,0.324,410,410
1.36,355,24.636,11,483,2981,1616,0.542,0.162,271,9
2.2,5,0.833,6,11,30,30,1,0.367,5,30
1.48,227,34,7,336,1682,1000,0.597,0.2,242,14
1.81,62,5.375,8,112,344,258,0.75,0.326,43,0.293
2.71,7,1.857,7,19,91,77,0.846,0.209,13,0.846
1.27,575,66.875,8,732,4280,3043,0.711,0.171,535,0
1.43,40,3.286,7,57,161,151,0.938,0.354,23,0.846
2.44,481,24.214,14,1175,4746,2594,0.546,0.248,339,2022
1.46,26,3.167,6,38,114,111,0.971,0.333,19,19
1.63,8,1.6,5,13,40,36,0.9,0.325,8,8
2.2,5,0.667,6,11,24,24,1,0.458,4,24
1.97,31,2.375,8,61,152,149,0.98,0.401,19,114
1.31,32,3,7,42,147,125,0.85,0.286,21,98
1.71,21,2.286,7,36,112,105,0.938,0.321,16,73
1.94,16,1.857,7,31,91,83,0.912,0.341,13,13
1.85,110,8.75,8,204,560,538,0.961,0.364,70,0.7
2.38,13,1.25,8,31,80,73,0.913,0.388,10,80
2.47,32,2.875,8,79,184,152,0.826,0.431,23,2
1.39,41,4.571,7,57,224,186,0.83,0.254,32,3
2.47,45,2.9,10,111,290,242,0.834,0.383,29,0.29
1.29,14,1.571,7,18,77,52,0.675,0.234,11,11
2.47,64,6.111,9,158,495,462,0.933,0.319,55,0.707
2.08,12,2.6,5,25,65,58,0.892,0.385,13,2
1.83,6,1,6,11,36,33,0.917,0.306,6,36
2.4,83,24.75,4,199,396,373,0.942,0.503,99,6
2.33,3,1.25,4,7,20,16,0.8,0.35,5,12
2.21,14,2.8,5,31,70,52,0.743,0.443,14,2
1.27,575,66.875,8,731,4280,2988,0.697,0.171,535,0
1.38,13,1,7,18,49,49,1,0.367,7,49
1.87,15,2,7,28,98,98,1,0.286,14,98
1.93,358,30.222,9,692,2448,1653,0.677,0.283,272,8
2.17,40,3.625,8,87,232,170,0.733,0.375,29,0.75
1.93,30,2.625,8,58,168,162,0.964,0.346,21,0.964
1.85,26,1.333,9,48,108,108,1,0.444,12,12
1.63,40,3.125,8,65,200,200,1,0.325,25,200
2.23,40,2.182,11,89,264,214,0.811,0.338,24,264
1.33,97,19.75,8,129,1264,437,0.346,0.102,158,23
1.26,285,25.1,10,359,2510,1505,0.599,0.143,251,251
1.71,7,0.857,7,12,42,35,0.833,0.286,6,42
1.64,14,1.833,6,23,66,44,0.667,0.348,11,11
1.36,25,2.571,7,34,126,89,0.706,0.27,18,2
2.1,42,3.778,9,88,306,196,0.641,0.288,34,2
1.31,369,34.125,8,484,2184,1704,0.78,0.222,273,11
1.35,51,4.429,7,69,217,182,0.839,0.318,31,0.429
2.17,6,1.4,5,13,35,35,1,0.371,7,20
1.85,20,2.333,6,37,84,82,0.976,0.444,14,0.667
1.76,21,1.857,7,37,91,89,0.978,0.407,13,13
