mean_tr,wb_trans,eccen,height,blackpix,area,blackand,p_and,p_black,lenght,target
1.88,17,2,7,32,98,92,0.939,0.327,14,2
1.64,14,2.167,6,23,78,70,0.897,0.295,13,78
1.83,29,2.857,7,53,140,140,1,0.379,20,20
2.42,181,12.182,11,438,1474,1029,0.697,0.296,134,0.
2.38,133,8.182,11,316,990,653,0.659,0.319,90,2
1.48,24,2.571,7,36,126,90,0.714,0.286,18,2
1.48,31,2.857,7,46,140,140,1,0.329,20,20
1.35,26,2.571,7,35,126,123,0.976,0.278,18,13
1.38,24,1.556,9,33,126,126,1,0.262,14,14
1.83,12,1.6,5,22,40,38,0.95,0.55,8,38
1.48,50,4.714,7,74,231,174,0.753,0.32,33,2
1.83,40,3.125,8,73,200,146,0.73,0.365,25,91
2.14,22,2.286,7,47,112,86,0.768,0.42,16,7
1.58,19,1.857,7,30,91,76,0.835,0.33,13,0.571
1.87,91,6.1,10,170,610,581,0.953,0.279,61,0.952
2.08,12,2.6,5,25,65,60,0.923,0.385,13,2
2.08,12,0.7,10,25,70,61,0.871,0.357,7,7
1.97,150,12.667,9,295,1026,740,0.719,0.287,114,0.
1.64,14,1.833,6,23,66,44,0.667,0.348,11,11
1.26,84,7.286,7,106,357,346,0.969,0.297,51,252
1.82,38,2.857,7,69,140,137,0.979,0.493,20,20
2.74,23,2,8,63,128,128,1,0.492,16,128
1.88,17,1.25,8,32,80,80,1,0.4,10,80
2.86,7,2.571,7,20,126,73,0.58,0.159,18,0.7
2.63,19,2.111,9,50,171,130,0.76,0.292,19,2.63
2.75,4,0.833,6,11,30,26,0.867,0.367,5,30
2.58,19,2,8,49,128,119,0.93,0.383,16,2
1.83,6,1.167,6,11,42,33,0.786,0.262,7,7
1.83,66,3.5,10,121,350,250,0.714,0.347,35,20
2.1,51,3.1,10,107,310,261,0.847,0.345,31,245
1.28,154,13.111,9,197,1062,823,0.774,0.186,118,13
1.83,6,0.556,9,11,45,28,0.622,0.244,5,2
1.26,286,30.286,7,361,1491,1226,0.824,0.243,213,0
1.29,77,5.125,8,99,328,309,0.942,0.302,41,328
1.65,40,3.125,8,66,200,200,1,0.33,25,200
1.88,74,5.25,8,139,336,318,0.945,0.414,42,0.414
1.87,316,22.6,10,592,2260,1260,0.556,0.262,226,0.9
1.48,49,4.143,7,72,203,173,0.851,0.354,29,91
1.65,40,3.25,8,66,208,196,0.942,0.318,26,2
1.84,19,2.429,7,35,119,88,0.739,0.294,17,0.857
1.82,57,3.3,10,104,330,246,0.745,0.315,33,9
1.43,74,5.125,8,106,328,211,0.643,0.323,41,0.
1.93,84,6.125,8,162,392,298,0.76,0.413,49,0.413
1.82,61,4.111,9,111,333,266,0.8,0.333,37,3
1.36,14,2.167,6,19,78,72,0.923,0.244,13,13
1.87,108,6.083,12,202,876,549,0.626,0.231,73,0.726
1.46,13,1.143,7,19,56,43,0.768,0.339,8,0.5
1.29,87,5.1,10,112,510,429,0.841,0.22,51,0.869
2.13,63,4.1,10,134,410,383,0.935,0.327,41,0.357
2.2,5,0.667,6,11,24,24,1,0.458,4,24
1.31,32,3,7,42,147,125,0.85,0.286,21,69
1.82,22,2.286,7,40,112,107,0.955,0.357,16,89
1.29,87,6.111,9,112,495,362,0.731,0.226,55,0.
1.71,7,1,7,12,49,49,1,0.245,7,7
2.07,29,1.364,11,60,165,147,0.891,0.364,15,122
1.86,365,22.273,11,678,2695,2236,0.829,0.252,245,16
1.4,229,31.857,7,320,1561,1035,0.664,0.205,223,0.
1.41,17,2,7,24,98,89,0.908,0.245,14,98
1.41,17,2.167,6,24,78,76,0.974,0.308,13,78
2.38,8,1.167,6,19,42,39,0.929,0.452,7,7
1.69,16,1.857,7,27,91,85,0.934,0.297,13,0.571
1.29,17,1.375,8,22,88,73,0.83,0.25,11,0.857
2.05,56,5.143,7,115,252,247,0.98,0.456,36,252
2.11,9,1.4,5,19,35,35,1,0.543,7,7
1.63,8,1.6,5,13,40,36,0.9,0.325,8,16
1.36,11,1.4,5,15,35,35,1,0.429,7,20
1.29,17,2.167,6,22,78,73,0.936,0.282,13,13
