fWidth,fConc,fAsym,fConc1,fLength,fDist,fSize,fM3Long,fAlpha,class,fM3Trans
10.44,0.366,-23.569,0.201,29.813,167.093,2.633,-21.099,6.846,1,-6.038
11.59,0.615,7.0,0.332,18.731,155.827,2.302,-11.923,33.867,0,-7.878
11.967,0.569,-13.931,0.314,21.971,229.769,2.58,-17.087,16.843,1,-5.336
40.746,0.164,-4.906,0.082,35.971,226.946,3.831,34.826,19.33,1,-23.852
19.812,0.286,-4.869,0.164,46.838,199.917,2.902,-31.035,3.346,0,-8.743
20.878,0.323,-32.078,0.18,32.981,179.844,2.836,-22.867,7.894,0,-14.764
23.539,0.0,-52.688,0.086,81.838,282.611,3.716,71.827,4.735,0,21.633
10.922,0.532,0.438,0.278,21.723,172.824,2.25,-16.484,10.938,0,9.934
19.944,0.265,6.0,0.136,34.826,180.902,2.944,18.225,8.837,0,6.912
15.244,0.305,25.719,0.164,35.974,203.838,2.743,26.973,11.857,0,-7.0
10.871,0.619,15.867,0.333,12.867,168.542,2.214,-6.927,10.064,0,-9.853
12.652,0.444,-21.588,0.243,20.804,220.749,2.564,-6.843,0.76,0,-9.849
15.874,0.474,12.544,0.261,22.829,214.744,2.639,11.225,31.0,0,8.722
25.841,0.134,2.824,0.079,50.098,172.879,3.0,36.865,14.658,0,-16.813
10.19,0.575,-16.874,0.343,21.393,214.979,2.237,-14.722,26.731,0,4.738
40.929,0.124,-24.936,0.069,77.908,324.0,3.535,-38.974,5.895,1,-23.335
15.418,0.418,-1.873,0.231,32.0,228.818,2.851,-21.854,12.723,0,-9.09
34.061,0.137,-85.912,0.072,67.0,269.743,3.564,41.343,0.366,0,-18.726
18.0,0.294,20.936,0.152,47.811,172.869,2.856,40.826,18.715,0,-8.869
15.476,0.265,-14.903,0.14,52.358,212.726,2.851,-40.812,1.578,0,-7.926
17.914,0.286,-6.087,0.148,40.934,154.0,2.86,-21.749,6.839,0,-12.943
22.094,0.21,9.957,0.112,53.974,219.927,3.063,32.976,1.099,0,-14.945
11.814,0.741,15.98,0.377,12.982,113.873,2.112,-5.831,56.852,0,11.851
16.0,0.318,-7.955,0.182,54.997,254.921,2.778,-31.928,2.764,0,13.846
18.902,0.286,25.868,0.156,34.945,166.878,2.906,-29.0,3.05,0,8.898
34.0,0.159,-25.639,0.084,58.947,273.944,3.732,-47.828,8.897,0,28.976
27.976,0.174,67.827,0.082,89.634,213.981,3.134,94.05,0.573,0,11.0
30.859,0.195,72.994,0.102,94.891,286.631,3.818,98.965,4.741,0,-15.942
9.629,0.593,-0.0,0.344,20.741,160.744,2.16,-1.0,39.821,1,-5.954
6.835,0.548,-26.8,0.346,19.878,190.611,2.314,-17.912,21.819,0,-6.764
12.824,0.464,30.342,0.245,28.922,161.0,2.583,12.926,78.664,1,10.851
20.769,0.337,-17.868,0.184,29.0,203.285,2.634,-19.928,8.894,0,-11.5
18.964,0.294,-27.657,0.151,39.711,224.588,2.973,-35.922,4.966,0,14.076
15.851,0.0,-23.66,0.193,22.945,205.841,2.827,-11.844,61.724,1,-4.923
39.739,0.095,-122.096,0.044,119.456,342.395,3.566,-92.639,45.0,1,-36.874
21.868,0.0,-3.657,0.115,28.619,157.871,2.942,-12.861,17.846,0,10.535
12.979,0.527,-23.766,0.309,34.547,194.922,2.338,-30.092,0.0,0,-8.822
11.629,0.624,-30.0,0.365,20.749,190.409,2.531,-10.823,0.964,0,-5.534
14.872,0.355,-9.0,0.181,26.822,229.794,2.638,-14.078,78.919,1,-10.503
19.826,0.229,-3.831,0.115,46.9,212.721,3.048,-18.918,9.083,0,-12.0
22.826,0.265,-15.0,0.148,50.788,197.959,2.98,28.981,15.921,0,-10.873
18.164,0.0,-20.44,0.206,28.531,214.973,2.722,-13.902,3.936,0,-10.742
16.086,0.349,-57.716,0.183,57.974,273.072,2.662,-42.914,45.0,1,-13.932
19.088,0.304,-11.88,0.158,31.567,175.979,2.639,-29.0,4.098,0,-11.068
15.636,0.0,13.739,0.222,23.831,136.835,2.6,-13.86,27.624,0,-6.881
13.917,0.486,-9.541,0.264,21.836,238.749,2.436,-13.906,10.933,0,-3.808
18.034,0.319,-7.932,0.166,31.619,165.904,2.634,-26.5,0.932,0,8.906
19.711,0.357,-20.634,0.194,34.824,175.879,2.688,-22.918,1.0,0,-11.811
19.868,0.214,-66.999,0.106,66.838,245.838,3.096,-31.788,1.851,0,-12.054
14.929,0.0,-31.726,0.182,33.099,214.831,2.545,-12.742,7.825,0,-11.917
17.541,0.266,-3.858,0.148,24.842,155.831,2.902,17.906,18.005,0,14.0
15.547,0.401,-10.935,0.212,30.965,177.819,2.583,-23.838,14.987,0,-12.851
24.876,0.19,-107.076,0.0,104.096,286.931,3.353,78.726,2.929,0,8.769
22.639,0.302,-31.693,0.169,29.836,151.066,2.841,-17.067,40.823,0,-10.0
17.0,0.414,-13.944,0.267,25.955,172.087,2.533,-17.867,1.973,0,-11.932
22.768,0.268,-15.0,0.141,39.845,178.841,2.836,-14.831,10.203,0,-14.938
32.087,0.178,-6.128,0.09,60.867,216.845,3.153,36.845,1.737,0,-19.766
19.813,0.207,-65.0,0.114,58.078,220.077,3.136,-52.972,88.966,1,-10.051
12.967,0.469,-23.824,0.268,27.923,136.824,2.638,-10.0,13.816,0,-10.719
12.898,0.463,-23.633,0.244,32.0,161.564,2.443,-15.622,82.318,1,-5.831
12.062,0.529,-2.0,0.274,20.624,140.955,2.486,-11.0,19.05,0,7.741
25.637,0.334,-35.0,0.182,45.916,172.898,2.929,-17.903,4.19,0,-8.746
27.008,0.262,11.971,0.14,47.906,201.0,2.972,-17.823,12.929,0,3.878
19.974,0.29,15.861,0.172,40.844,175.972,2.857,36.947,7.058,0,7.842
