,Unnamed: 0,real_identifier,state_code,lat,lon,bird,lat_zone
1733,0,1.0,8.0,39.66,-75.75,11.0,2.0
1734,1,1.0,17.0,37.79,-87.03,19.0,2.0
1735,2,1.0,44.0,40.9,-109.97,6.0,2.0
1736,3,1.0,32.0,34.29,-104.87,14.0,2.0
1737,4,1.0,44.0,40.83,-110.99,6.0,2.0
1738,5,1.0,32.0,33.48,-104.8,14.0,2.0
1739,6,1.0,32.0,42.02,-78.36,12.0,2.0
1740,7,1.0,8.0,39.13,-75.55,11.0,2.0
1741,8,1.0,5.0,37.57,-102.87,17.0,2.0
1742,9,1.0,17.0,37.35,-83.64,19.0,2.0
1743,10,1.0,11.0,22.11,-159.46,15.0,1.0
1744,11,1.0,49.0,39.28,-80.69,19.0,2.0
1745,12,1.0,44.0,41.96,-114.02,6.0,2.0
1746,13,1.0,16.0,37.65,-97.33,26.0,2.0
1747,14,1.0,44.0,41.36,-111.78,6.0,2.0
1748,15,1.0,44.0,39.56,-112.76,6.0,2.0
1749,16,1.0,11.0,20.7,-156.42,15.0,1.0
1750,17,1.0,49.0,38.8,-79.73,19.0,2.0
1751,18,1.0,0.0,65.37,-154.69,28.0,0.0
1752,19,1.0,17.0,37.1,-87.66,19.0,2.0
1753,20,1.0,8.0,38.6,-75.47,11.0,2.0
1754,21,1.0,11.0,19.58,-155.17,15.0,1.0
1755,22,1.0,16.0,37.63,-99.65,26.0,2.0
1756,23,1.0,32.0,34.75,-106.89,14.0,2.0
1757,24,1.0,44.0,38.68,-109.92,6.0,2.0
1758,25,1.0,8.0,39.59,-75.66,11.0,2.0
1759,26,1.0,11.0,19.94,-155.28,15.0,1.0
1760,27,1.0,17.0,37.73,-83.27,19.0,2.0
1761,28,1.0,44.0,37.94,-109.41,6.0,2.0
1762,29,1.0,32.0,35.26,-106.65,14.0,2.0
1763,30,1.0,11.0,19.87,-155.18,15.0,1.0
1764,31,1.0,49.0,38.65,-79.71,19.0,2.0
1765,32,1.0,44.0,39.46,-113.52,6.0,2.0
1766,33,1.0,44.0,38.02,-112.41,6.0,2.0
1767,34,1.0,17.0,37.31,-84.89,19.0,2.0
1768,35,1.0,32.0,36.48,-108.91,14.0,2.0
1769,36,1.0,0.0,62.77,-148.86,28.0,0.0
1770,37,1.0,8.0,39.66,-75.65,11.0,2.0
1771,38,1.0,32.0,32.7,-107.01,14.0,2.0
1772,39,1.0,5.0,40.62,-108.24,17.0,2.0
1773,40,1.0,8.0,38.55,-75.59,11.0,2.0
1774,41,1.0,0.0,70.39,-150.86,28.0,0.0
1775,42,1.0,44.0,38.27,-113.37,6.0,2.0
1776,43,1.0,32.0,32.48,-105.42,14.0,2.0
1777,44,1.0,44.0,38.8,-113.34,6.0,2.0
1778,45,1.0,32.0,34.25,-108.61,14.0,2.0
1779,46,1.0,0.0,68.3,-159.68,28.0,0.0
1780,47,1.0,32.0,36.43,-107.7,14.0,2.0
1781,48,1.0,11.0,22.2,-159.36,15.0,1.0
1782,49,1.0,44.0,39.51,-111.66,6.0,2.0
1783,50,1.0,32.0,33.79,-109.0,14.0,2.0
1784,51,1.0,49.0,39.46,-78.79,19.0,2.0
1785,52,1.0,5.0,38.12,-105.73,17.0,2.0
1786,53,1.0,0.0,67.46,-154.27,28.0,0.0
1787,54,1.0,32.0,36.87,-107.67,14.0,2.0
1788,55,1.0,44.0,39.25,-113.19,6.0,2.0
1789,56,1.0,17.0,38.68,-85.38,19.0,2.0
1790,57,1.0,8.0,38.98,-75.49,11.0,2.0
1791,58,1.0,16.0,38.69,-95.43,26.0,2.0
1792,59,1.0,5.0,40.3,-105.84,17.0,2.0
1793,60,1.0,8.0,38.76,-75.6,11.0,2.0
1794,61,1.0,8.0,38.55,-75.32,11.0,2.0
