,state_code,lat,lon,bird,lat_zone,real_identifier
0,16.0,37.43,-99.57,26.0,2.0,1
1,8.0,39.66,-75.72,11.0,2.0,1
2,5.0,40.02,-105.93,17.0,2.0,1
3,16.0,38.21,-100.07,26.0,2.0,1
4,5.0,40.46,-106.13,17.0,2.0,1
5,44.0,38.78,-112.74,6.0,2.0,1
6,49.0,38.42,-81.18,19.0,2.0,1
7,5.0,40.92,-107.35,17.0,2.0,1
8,11.0,19.43,-154.96,15.0,1.0,1
9,32.0,31.39,-108.9,14.0,2.0,1
10,11.0,21.6,-157.99,15.0,1.0,1
11,32.0,44.4,-74.75,12.0,2.0,1
12,32.0,32.15,-103.52,14.0,2.0,1
13,5.0,38.48,-106.8,17.0,2.0,1
14,0.0,69.58,-142.82,28.0,0.0,1
15,8.0,39.0,-75.5,11.0,2.0,1
16,16.0,37.16,-99.88,26.0,2.0,1
17,16.0,39.89,-99.87,26.0,2.0,1
18,44.0,39.5,-113.05,6.0,2.0,1
19,32.0,34.3,-108.46,14.0,2.0,1
20,16.0,37.67,-98.69,26.0,2.0,1
21,8.0,39.07,-75.56,11.0,2.0,1
22,32.0,34.75,-105.93,14.0,2.0,1
23,49.0,39.7,-80.44,19.0,2.0,1
24,49.0,38.25,-82.04,19.0,2.0,1
25,8.0,39.78,-75.6,11.0,2.0,1
26,0.0,63.34,-149.1,28.0,0.0,1
27,44.0,38.06,-110.24,6.0,2.0,1
28,32.0,42.14,-78.23,12.0,2.0,1
29,44.0,38.99,-113.71,6.0,2.0,1
30,44.0,37.26,-113.46,6.0,2.0,1
31,5.0,40.62,-108.24,17.0,2.0,1
32,44.0,38.18,-110.63,6.0,2.0,1
33,49.0,38.93,-81.65,19.0,2.0,1
34,16.0,39.09,-95.7,26.0,2.0,1
35,32.0,44.88,-74.57,12.0,2.0,1
36,8.0,38.7,-75.28,11.0,2.0,1
37,44.0,40.9,-111.47,6.0,2.0,1
38,17.0,36.82,-84.11,19.0,2.0,1
39,5.0,40.89,-104.45,17.0,2.0,1
40,32.0,32.37,-106.87,14.0,2.0,1
41,0.0,61.1,-148.08,28.0,0.0,1
42,0.0,61.73,-163.48,28.0,0.0,1
43,17.0,37.34,-84.77,19.0,2.0,1
44,5.0,40.15,-104.86,17.0,2.0,1
45,32.0,32.91,-106.94,14.0,2.0,1
46,11.0,20.77,-156.94,15.0,1.0,1
47,17.0,37.33,-87.41,19.0,2.0,1
48,0.0,69.31,-143.09,28.0,0.0,1
49,5.0,40.77,-107.02,17.0,2.0,1
50,8.0,38.46,-75.33,11.0,2.0,1
51,17.0,37.53,-87.56,19.0,2.0,1
52,32.0,43.17,-74.61,12.0,2.0,1
53,17.0,38.51,-84.77,19.0,2.0,1
54,11.0,19.87,-155.18,15.0,1.0,1
55,11.0,19.04,-155.78,15.0,1.0,1
56,16.0,37.14,-98.19,26.0,2.0,1
57,49.0,39.35,-80.21,19.0,2.0,1
58,16.0,37.04,-101.57,26.0,2.0,1
59,49.0,39.66,-79.59,19.0,2.0,1
60,32.0,42.25,-78.22,12.0,2.0,1
61,32.0,41.99,-74.62,12.0,2.0,1
62,32.0,36.3,-103.72,14.0,2.0,1
63,17.0,36.96,-88.45,19.0,2.0,1
64,44.0,38.49,-109.51,6.0,2.0,1
65,49.0,38.75,-80.25,19.0,2.0,1
66,44.0,38.98,-112.02,6.0,2.0,1
67,49.0,38.94,-79.3,19.0,2.0,1
68,32.0,33.48,-105.9,14.0,2.0,1
69,17.0,36.85,-83.82,19.0,2.0,1
70,49.0,37.96,-81.23,19.0,2.0,1
71,8.0,39.78,-75.61,11.0,2.0,1
72,44.0,38.97,-110.02,6.0,2.0,1
73,0.0,64.1,-143.3,28.0,0.0,1
74,17.0,37.88,-83.65,19.0,2.0,1
75,17.0,36.71,-84.63,19.0,2.0,1
76,49.0,37.54,-80.83,19.0,2.0,1
77,0.0,66.42,-152.46,28.0,0.0,1
78,16.0,38.95,-96.28,26.0,2.0,1
79,49.0,39.53,-78.15,19.0,2.0,1
80,5.0,39.08,-105.1,17.0,2.0,1
81,32.0,32.31,-107.48,14.0,2.0,1
82,16.0,37.58,-101.89,26.0,2.0,1
83,32.0,44.2,-75.23,12.0,2.0,1
84,44.0,41.61,-111.81,6.0,2.0,1
85,49.0,38.43,-82.22,19.0,2.0,1
86,0.0,61.16,-144.3,28.0,0.0,1
87,8.0,38.53,-75.08,11.0,2.0,1
88,49.0,38.19,-80.23,19.0,2.0,1
89,5.0,40.0,-104.6,17.0,2.0,1
90,16.0,37.33,-99.15,26.0,2.0,1
91,32.0,42.15,-76.33,12.0,2.0,1
92,49.0,39.17,-79.64,19.0,2.0,1
93,11.0,19.08,-155.73,15.0,1.0,1
94,5.0,39.15,-102.57,17.0,2.0,1
95,49.0,38.6,-81.23,19.0,2.0,1
96,32.0,31.86,-107.14,14.0,2.0,1
97,17.0,37.88,-86.03,19.0,2.0,1
98,32.0,44.14,-75.03,12.0,2.0,1
99,5.0,40.13,-105.41,17.0,2.0,1
100,32.0,32.26,-106.3,14.0,2.0,1
101,11.0,19.67,-155.09,15.0,1.0,1
102,32.0,33.49,-104.39,14.0,2.0,1
103,5.0,40.45,-102.38,17.0,2.0,1
104,11.0,19.62,-155.49,15.0,1.0,1
105,44.0,40.63,-112.6,6.0,2.0,1
106,16.0,37.45,-98.44,26.0,2.0,1
107,5.0,40.89,-103.69,17.0,2.0,1
108,16.0,39.8,-96.33,26.0,2.0,1
109,5.0,38.39,-103.59,17.0,2.0,1
110,16.0,39.21,-97.23,26.0,2.0,1
111,32.0,42.71,-76.15,12.0,2.0,1
112,44.0,40.62,-112.97,6.0,2.0,1
113,8.0,39.43,-75.58,11.0,2.0,1
114,0.0,70.21,-160.78,28.0,0.0,1
115,32.0,33.62,-106.52,14.0,2.0,1
116,16.0,39.14,-101.1,26.0,2.0,1
117,8.0,39.03,-75.7,11.0,2.0,1
118,5.0,38.3,-102.86,17.0,2.0,1
119,32.0,43.41,-75.14,12.0,2.0,1
120,49.0,38.93,-79.82,19.0,2.0,1
121,0.0,60.34,-159.9,28.0,0.0,1
122,16.0,38.06,-98.88,26.0,2.0,1
123,49.0,37.84,-80.62,19.0,2.0,1
124,16.0,37.39,-98.02,26.0,2.0,1
125,49.0,37.72,-81.28,19.0,2.0,1
126,0.0,67.53,-159.4,28.0,0.0,1
127,32.0,41.9,-74.78,12.0,2.0,1
128,44.0,37.43,-112.81,6.0,2.0,1
129,8.0,38.47,-75.05,11.0,2.0,1
130,49.0,38.19,-81.49,19.0,2.0,1
131,32.0,35.14,-107.71,14.0,2.0,1
132,8.0,38.48,-75.22,11.0,2.0,1
133,8.0,39.41,-75.57,11.0,2.0,1
134,32.0,40.9,-72.59,12.0,2.0,1
135,17.0,37.52,-83.58,19.0,2.0,1
136,0.0,61.22,-158.33,28.0,0.0,1
137,0.0,59.59,-139.55,28.0,2.0,1
138,17.0,37.05,-84.09,19.0,2.0,1
139,5.0,38.25,-102.66,17.0,2.0,1
140,44.0,40.68,-111.97,6.0,2.0,1
141,11.0,20.73,-156.43,15.0,1.0,1
142,44.0,41.96,-114.02,6.0,2.0,1
143,17.0,37.96,-84.58,19.0,2.0,1
144,16.0,37.41,-94.68,26.0,2.0,1
145,17.0,38.33,-84.22,19.0,2.0,1
146,0.0,64.77,-148.77,28.0,0.0,1
147,0.0,62.25,-163.08,28.0,0.0,1
148,16.0,38.91,-97.5,26.0,2.0,1
149,32.0,44.55,-73.69,12.0,2.0,1
150,16.0,38.89,-99.33,26.0,2.0,1
151,5.0,39.75,-105.5,17.0,2.0,1
152,32.0,34.71,-106.73,14.0,2.0,1
153,0.0,67.48,-162.24,28.0,0.0,1
154,49.0,39.13,-78.51,19.0,2.0,1
155,49.0,39.04,-80.8,19.0,2.0,1
156,32.0,42.99,-76.85,12.0,2.0,1
157,5.0,37.7,-107.58,17.0,2.0,1
158,17.0,38.3,-85.15,19.0,2.0,1
159,49.0,38.65,-79.71,19.0,2.0,1
160,44.0,37.6,-109.87,6.0,2.0,1
161,32.0,43.4,-74.2,12.0,2.0,1
162,32.0,35.7,-103.1,14.0,2.0,1
163,8.0,38.47,-75.33,11.0,2.0,1
164,5.0,40.66,-107.83,17.0,2.0,1
165,5.0,37.42,-102.18,17.0,2.0,1
166,44.0,40.2,-109.62,6.0,2.0,1
167,11.0,20.18,-155.84,15.0,1.0,1
168,49.0,37.56,-80.43,19.0,2.0,1
169,16.0,38.89,-99.32,26.0,2.0,1
170,44.0,40.27,-111.91,6.0,2.0,1
171,32.0,34.21,-107.09,14.0,2.0,1
172,11.0,21.48,-157.92,15.0,1.0,1
173,11.0,19.62,-155.77,15.0,1.0,1
174,16.0,39.35,-98.18,26.0,2.0,1
175,17.0,36.98,-85.73,19.0,2.0,1
176,44.0,38.59,-111.92,6.0,2.0,1
177,0.0,60.26,-155.16,28.0,0.0,1
178,44.0,39.35,-113.65,6.0,2.0,1
179,0.0,63.52,-152.1,28.0,0.0,1
180,16.0,38.99,-100.12,26.0,2.0,1
181,8.0,39.42,-75.69,11.0,2.0,1
182,5.0,39.67,-107.36,17.0,2.0,1
183,32.0,42.67,-78.2,12.0,2.0,1
184,0.0,69.59,-149.51,28.0,0.0,1
185,44.0,39.57,-110.75,6.0,2.0,1
186,5.0,39.99,-102.59,17.0,2.0,1
187,32.0,41.26,-73.68,12.0,2.0,1
188,49.0,37.46,-81.33,19.0,2.0,1
189,17.0,38.0,-84.21,19.0,2.0,1
190,49.0,37.61,-80.7,19.0,2.0,1
191,11.0,19.53,-155.52,15.0,1.0,1
192,0.0,67.95,-148.24,28.0,0.0,1
193,44.0,38.82,-110.28,6.0,2.0,1
194,49.0,39.16,-79.83,19.0,2.0,1
195,49.0,38.17,-81.6,19.0,2.0,1
196,16.0,39.54,-101.36,26.0,2.0,1
197,0.0,64.93,-161.0,28.0,0.0,1
198,44.0,38.21,-112.22,6.0,2.0,1
199,32.0,33.7,-108.72,14.0,2.0,1
200,8.0,38.82,-75.28,11.0,2.0,1
201,5.0,40.35,-105.58,17.0,2.0,1
202,11.0,22.11,-159.46,15.0,1.0,1
203,49.0,37.94,-82.13,19.0,2.0,1
204,32.0,35.85,-106.51,14.0,2.0,1
205,49.0,38.18,-80.06,19.0,2.0,1
206,32.0,42.96,-74.27,12.0,2.0,1
207,17.0,38.2,-83.24,19.0,2.0,1
208,0.0,65.5,-142.46,28.0,0.0,1
209,44.0,39.78,-111.29,6.0,2.0,1
210,49.0,37.46,-81.28,19.0,2.0,1
211,16.0,37.47,-96.09,26.0,2.0,1
212,5.0,37.29,-104.55,17.0,2.0,1
213,8.0,39.3,-75.69,11.0,2.0,1
214,17.0,36.73,-86.31,19.0,2.0,1
215,44.0,39.56,-112.76,6.0,2.0,1
216,8.0,38.81,-75.65,11.0,2.0,1
217,32.0,36.95,-106.63,14.0,2.0,1
218,32.0,34.29,-106.27,14.0,2.0,1
219,44.0,39.02,-112.8,6.0,2.0,1
220,8.0,38.48,-75.29,11.0,2.0,1
221,16.0,37.84,-101.42,26.0,2.0,1
222,17.0,37.83,-83.61,19.0,2.0,1
223,16.0,39.28,-98.13,26.0,2.0,1
224,32.0,34.75,-106.89,14.0,2.0,1
225,49.0,37.66,-81.13,19.0,2.0,1
226,17.0,37.08,-87.64,19.0,2.0,1
227,5.0,38.61,-105.25,17.0,2.0,1
228,5.0,40.14,-108.44,17.0,2.0,1
229,17.0,37.69,-87.14,19.0,2.0,1
230,0.0,65.28,-142.18,28.0,0.0,1
231,32.0,32.7,-107.01,14.0,2.0,1
232,5.0,37.82,-104.3,17.0,2.0,1
233,17.0,36.77,-86.99,19.0,2.0,1
234,17.0,36.97,-84.06,19.0,2.0,1
235,0.0,57.32,-153.37,28.0,2.0,1
236,0.0,61.47,-153.54,28.0,0.0,1
237,44.0,37.16,-113.7,6.0,2.0,1
238,32.0,43.45,-75.47,12.0,2.0,1
239,5.0,40.25,-108.46,17.0,2.0,1
240,44.0,40.09,-111.08,6.0,2.0,1
241,32.0,34.12,-108.99,14.0,2.0,1
242,5.0,38.19,-106.09,17.0,2.0,1
243,5.0,38.6,-104.25,17.0,2.0,1
244,49.0,38.58,-81.88,19.0,2.0,1
245,32.0,35.45,-106.18,14.0,2.0,1
246,11.0,22.02,-159.71,15.0,1.0,1
247,11.0,21.47,-158.2,15.0,1.0,1
248,8.0,38.65,-75.56,11.0,2.0,1
249,44.0,37.98,-110.08,6.0,2.0,1
250,11.0,19.93,-155.35,15.0,1.0,1
251,32.0,35.25,-106.8,14.0,2.0,1
252,5.0,38.55,-105.83,17.0,2.0,1
253,44.0,38.68,-109.92,6.0,2.0,1
254,49.0,38.58,-81.88,19.0,2.0,1
255,11.0,22.0,-159.43,15.0,1.0,1
256,17.0,37.2,-84.91,19.0,2.0,1
257,11.0,19.2,-155.55,15.0,1.0,1
258,49.0,39.13,-81.72,19.0,2.0,1
259,44.0,41.86,-112.65,6.0,2.0,1
260,16.0,39.9,-100.08,26.0,2.0,1
261,32.0,33.47,-105.25,14.0,2.0,1
262,5.0,37.83,-102.24,17.0,2.0,1
263,16.0,37.7,-97.07,26.0,2.0,1
264,49.0,39.08,-81.55,19.0,2.0,1
265,49.0,39.08,-79.1,19.0,2.0,1
266,32.0,42.72,-76.78,12.0,2.0,1
267,11.0,20.66,-156.44,15.0,1.0,1
268,32.0,33.84,-104.62,14.0,2.0,1
269,32.0,35.98,-108.42,14.0,2.0,1
270,17.0,38.14,-85.66,19.0,2.0,1
271,8.0,39.38,-75.76,11.0,2.0,1
272,5.0,38.39,-105.73,17.0,2.0,1
273,44.0,37.62,-111.06,6.0,2.0,1
274,17.0,37.43,-88.24,19.0,2.0,1
275,17.0,37.88,-85.68,19.0,2.0,1
276,32.0,32.46,-104.01,14.0,2.0,1
277,8.0,38.86,-75.39,11.0,2.0,1
278,16.0,38.69,-95.43,26.0,2.0,1
279,32.0,43.14,-75.72,12.0,2.0,1
280,17.0,38.36,-85.1,19.0,2.0,1
281,16.0,38.23,-100.29,26.0,2.0,1
282,44.0,37.53,-111.02,6.0,2.0,1
283,8.0,39.82,-75.61,11.0,2.0,1
284,44.0,38.35,-113.8,6.0,2.0,1
285,5.0,39.16,-102.86,17.0,2.0,1
286,11.0,19.16,-155.52,15.0,1.0,1
287,17.0,37.16,-85.77,19.0,2.0,1
288,8.0,38.91,-75.51,11.0,2.0,1
289,11.0,19.66,-155.97,15.0,1.0,1
290,16.0,37.02,-99.93,26.0,2.0,1
291,44.0,37.9,-109.19,6.0,2.0,1
292,11.0,19.37,-155.14,15.0,1.0,1
293,32.0,42.94,-73.72,12.0,2.0,1
294,32.0,42.07,-78.54,12.0,2.0,1
295,32.0,33.79,-109.0,14.0,2.0,1
296,0.0,67.68,-161.48,28.0,0.0,1
297,17.0,37.91,-82.79,19.0,2.0,1
298,44.0,40.32,-111.61,6.0,2.0,1
299,32.0,42.46,-73.37,12.0,2.0,1
300,44.0,39.59,-113.12,6.0,2.0,1
301,32.0,44.67,-74.84,12.0,2.0,1
302,8.0,38.84,-75.71,11.0,2.0,1
303,44.0,37.19,-113.61,6.0,2.0,1
304,5.0,40.54,-102.61,17.0,2.0,1
305,17.0,36.93,-83.52,19.0,2.0,1
306,32.0,32.13,-104.32,14.0,2.0,1
307,44.0,38.9,-112.11,6.0,2.0,1
308,0.0,62.77,-148.86,28.0,0.0,1
309,17.0,38.02,-84.82,19.0,2.0,1
310,17.0,37.79,-87.03,19.0,2.0,1
311,32.0,44.31,-75.69,12.0,2.0,1
312,8.0,38.98,-75.49,11.0,2.0,1
313,32.0,33.19,-108.55,14.0,2.0,1
314,49.0,37.74,-81.78,19.0,2.0,1
315,8.0,38.48,-75.63,11.0,2.0,1
316,32.0,43.57,-73.98,12.0,2.0,1
317,8.0,38.98,-75.72,11.0,2.0,1
318,5.0,38.2,-103.89,17.0,2.0,1
319,0.0,66.82,-156.57,28.0,0.0,1
320,17.0,37.34,-83.49,19.0,2.0,1
321,17.0,38.0,-84.61,19.0,2.0,1
322,49.0,38.16,-81.95,19.0,2.0,1
323,0.0,65.51,-165.38,28.0,0.0,1
324,11.0,20.66,-156.19,15.0,1.0,1
325,11.0,19.14,-155.55,15.0,1.0,1
326,17.0,38.56,-83.28,19.0,2.0,1
327,5.0,37.85,-107.12,17.0,2.0,1
328,32.0,34.06,-106.59,14.0,2.0,1
329,5.0,40.93,-108.29,17.0,2.0,1
330,11.0,19.94,-155.28,15.0,1.0,1
331,0.0,66.98,-157.05,28.0,0.0,1
332,11.0,20.19,-155.7,15.0,1.0,1
333,44.0,41.83,-113.04,6.0,2.0,1
334,17.0,38.33,-85.19,19.0,2.0,1
335,49.0,38.06,-82.47,19.0,2.0,1
336,8.0,39.06,-75.63,11.0,2.0,1
337,5.0,39.18,-103.87,17.0,2.0,1
338,5.0,37.11,-102.81,17.0,2.0,1
339,32.0,42.68,-77.83,12.0,2.0,1
340,32.0,36.77,-103.99,14.0,2.0,1
341,32.0,32.23,-107.03,14.0,2.0,1
342,32.0,41.98,-74.39,12.0,2.0,1
343,16.0,38.78,-97.26,26.0,2.0,1
344,32.0,40.66,-73.54,12.0,2.0,1
345,0.0,69.97,-151.51,28.0,0.0,1
346,11.0,19.3,-155.51,15.0,1.0,1
347,5.0,38.82,-102.91,17.0,2.0,1
348,49.0,38.33,-80.09,19.0,2.0,1
