,Unnamed: 0,state_code,lat,lon,bird,lat_zone,real_identifier
0,0,32.0,33.41,-106.19,14.0,2.0,0
1,1,11.0,22.35,-159.85,15.0,1.0,0
2,2,5.0,39.51,-105.45,17.0,2.0,0
3,3,44.0,40.85,-112.51,6.0,2.0,0
4,4,32.0,34.49,-105.91,14.0,2.0,0
5,5,8.0,39.17,-75.29,11.0,2.0,0
6,6,17.0,37.49,-84.85,19.0,2.0,0
7,7,16.0,38.63,-96.49,26.0,2.0,0
8,8,49.0,38.92,-81.42,19.0,2.0,0
9,9,5.0,37.19,-102.59,17.0,2.0,0
10,10,44.0,39.39,-114.15,6.0,2.0,0
11,11,32.0,32.99,-106.73,14.0,2.0,0
12,12,11.0,21.75,-158.19,15.0,1.0,0
13,13,8.0,38.79,-75.51,11.0,2.0,0
14,14,16.0,37.85,-95.59,26.0,2.0,0
15,15,32.0,43.59,-74.03,12.0,2.0,0
16,16,44.0,38.19,-111.67,6.0,2.0,0
17,17,49.0,39.35,-81.69,19.0,2.0,0
18,18,5.0,40.78,-108.51,17.0,2.0,0
19,19,11.0,19.59,-155.51,15.0,1.0,0
20,20,0.0,61.29,-159.21,28.0,0.0,0
21,21,32.0,33.85,-108.29,14.0,2.0,0
22,22,17.0,36.93,-85.01,19.0,2.0,0
23,23,44.0,41.19,-113.85,6.0,2.0,0
24,24,8.0,39.46,-75.36,11.0,2.0,0
25,25,5.0,37.67,-102.85,17.0,2.0,0
26,26,16.0,38.25,-96.01,26.0,2.0,0
27,27,32.0,42.51,-79.41,12.0,2.0,0
28,28,11.0,22.57,-159.29,15.0,1.0,0
29,29,49.0,38.58,-81.29,19.0,2.0,0
30,30,44.0,40.49,-112.27,6.0,2.0,0
31,31,32.0,34.25,-105.65,14.0,2.0,0
32,32,8.0,38.35,-75.58,11.0,2.0,0
33,33,17.0,37.15,-84.71,19.0,2.0,0
34,34,5.0,39.29,-105.99,17.0,2.0,0
35,35,16.0,37.53,-94.85,26.0,2.0,0
36,36,44.0,39.83,-114.51,6.0,2.0,0
37,37,32.0,33.07,-106.87,14.0,2.0,0
38,38,11.0,21.29,-158.65,15.0,1.0,0
39,39,0.0,67.47,-149.85,28.0,0.0,0
40,40,49.0,39.59,-81.79,19.0,2.0,0
41,41,32.0,34.51,-107.81,14.0,2.0,0
42,42,5.0,40.29,-104.35,17.0,2.0,0
43,43,11.0,20.39,-156.59,15.0,1.0,0
44,44,16.0,37.85,-99.81,26.0,2.0,0
45,45,32.0,43.59,-75.41,12.0,2.0,0
46,46,44.0,39.25,-109.51,6.0,2.0,0
47,47,17.0,37.31,-87.49,19.0,2.0,0
48,48,8.0,38.85,-75.05,11.0,2.0,0
49,49,11.0,21.11,-157.43,15.0,1.0,0
50,50,32.0,35.07,-107.29,14.0,2.0,0
51,51,0.0,57.59,-153.85,28.0,2.0,0
52,52,5.0,38.07,-105.39,17.0,2.0,0
53,53,49.0,37.46,-81.59,19.0,2.0,0
54,54,16.0,39.27,-101.07,26.0,2.0,0
55,55,44.0,40.95,-111.39,6.0,2.0,0
56,56,32.0,34.29,-107.85,14.0,2.0,0
57,57,11.0,19.85,-155.23,15.0,1.0,0
58,58,5.0,40.67,-104.22,17.0,2.0,0
59,59,17.0,36.97,-86.67,19.0,2.0,0
60,60,8.0,39.21,-75.83,11.0,2.0,0
61,61,44.0,38.58,-113.04,6.0,2.0,0
62,62,32.0,43.31,-75.27,12.0,2.0,0
63,63,0.0,65.01,-142.51,28.0,0.0,0
64,64,16.0,37.19,-99.29,26.0,2.0,0
65,65,49.0,37.75,-80.79,19.0,2.0,0
66,66,5.0,38.49,-106.51,17.0,2.0,0
67,67,11.0,20.92,-156.19,15.0,1.0,0
68,68,32.0,35.39,-107.61,14.0,2.0,0
69,69,44.0,41.49,-111.81,6.0,2.0,0
70,70,17.0,37.59,-87.27,19.0,2.0,0
71,71,8.0,39.55,-75.29,11.0,2.0,0
