duration,age,purpose,property_magnitude,foreign_worker,existing_credits,residence_since,own_telephone,other_payment_plans,checking_status,housing,employment,job,target,personal_status,credit_history,num_dependents,savings_status,other_parties,installment_commitment,credit_amount
18,38,3,2,1,1,4,1,1,3,1,2,1,0,3,3,1,1,2,3,2110
30,30,6,1,1,2,4,0,1,3,1,2,3,1,3,3,1,1,2,2,1743
12,26,6,1,1,1,4,0,1,1,1,3,1,1,3,3,1,2,2,4,2984
12,23,0,3,1,1,2,0,1,3,2,0,1,1,0,3,1,1,2,2,8477
18,29,4,1,1,1,2,0,1,1,1,2,1,0,0,3,1,1,2,4,1533
18,33,6,3,1,1,4,1,1,3,1,2,0,1,3,3,1,1,2,4,1364
18,30,4,2,1,1,2,1,1,3,2,2,1,1,3,3,1,1,2,2,788
24,37,9,0,1,1,4,0,1,3,1,0,1,0,0,3,1,1,2,4,1023
18,26,4,3,1,2,3,1,1,3,1,2,1,1,3,3,1,4,2,1,1552
24,33,7,2,1,1,4,0,1,3,2,3,1,1,0,3,1,1,2,4,1287
24,30,0,3,1,1,4,0,1,3,2,2,1,0,3,3,1,1,2,4,1131
30,37,6,0,1,1,4,1,1,3,1,1,1,1,0,3,1,1,2,4,3234
24,25,4,1,1,1,4,0,0,3,1,2,1,1,3,1,1,1,2,4,2124
12,33,6,0,1,1,3,0,1,2,1,2,1,0,0,1,1,1,2,2,3022
24,23,4,2,1,2,4,1,1,1,1,2,1,0,3,3,1,2,2,4,6761
42,33,3,1,1,1,3,1,1,2,1,2,1,0,3,1,1,1,2,2,3432
30,35,4,0,1,1,4,0,1,3,1,0,1,1,0,1,1,4,2,4,1182
15,35,2,0,1,1,2,0,1,3,1,1,1,1,2,3,1,1,2,4,1299
48,26,6,1,1,1,4,0,1,3,1,4,1,1,3,3,1,1,2,2,1543
30,49,3,1,1,1,4,0,1,3,1,0,1,1,3,3,1,4,2,2,1431
24,34,3,1,1,1,4,0,1,2,1,3,1,1,3,3,1,1,2,4,3643
12,30,4,1,1,1,4,0,1,3,2,0,1,0,3,3,1,1,2,4,907
18,23,9,1,1,2,4,0,1,1,1,0,1,1,3,3,1,1,2,2,3141
