,height,length,area,eccen,p_black,p_and,mean_tr,blackpix,blackand,wb_trans,class,real_identifier
0,11.0,13.0,143.0,1.185,0.538,0.923,3.31,77.0,132.0,18.0,1.0,0
1,4.0,8.0,32.0,2.0,0.438,0.875,5.25,14.0,28.0,6.0,1.0,0
2,7.0,19.0,133.0,2.714,0.368,0.895,2.37,49.0,119.0,22.0,1.0,0
3,10.0,5.0,50.0,0.5,0.48,0.84,6.2,24.0,42.0,8.0,1.0,0
4,6.0,14.0,84.0,2.333,0.417,0.833,2.14,35.0,70.0,14.0,1.0,0
5,8.0,11.0,88.0,1.375,0.45,0.725,4.36,40.0,64.0,12.0,1.0,0
6,5.0,10.0,50.0,2.0,0.36,0.88,3.3,18.0,44.0,10.0,1.0,0
7,9.0,7.0,63.0,0.778,0.476,0.905,2.67,30.0,57.0,10.0,1.0,0
8,12.0,4.0,48.0,0.333,0.542,0.917,4.17,26.0,44.0,8.0,1.0,0
9,8.0,15.0,120.0,1.875,0.383,0.75,3.4,46.0,90.0,16.0,1.0,0
10,12.0,91.0,1092.0,7.58,0.421,0.835,2.19,460.0,913.0,135.0,1.0,0
11,6.0,55.0,330.0,9.17,0.313,0.742,1.67,103.0,245.0,56.0,1.0,0
12,18.0,128.0,2304.0,7.11,0.481,0.859,4.22,1107.0,1973.0,203.0,1.0,0
13,8.0,76.0,608.0,9.5,0.236,0.684,1.83,143.0,416.0,104.0,1.0,0
14,14.0,101.0,1414.0,7.21,0.394,0.793,3.15,558.0,1123.0,164.0,1.0,0
15,7.0,49.0,343.0,7.0,0.427,0.876,2.51,146.0,301.0,63.0,1.0,0
16,16.0,137.0,2208.0,8.56,0.451,0.821,4.01,996.0,1805.0,206.0,1.0,0
17,9.0,85.0,765.0,9.44,0.278,0.731,1.92,212.0,559.0,126.0,1.0,0
18,11.0,117.0,1287.0,10.64,0.384,0.785,2.85,494.0,1012.0,154.0,1.0,0
19,13.0,93.0,1209.0,7.15,0.439,0.848,3.39,529.0,1023.0,143.0,1.0,0
20,11.0,93.0,1023.0,8.515,0.391,0.812,2.34,401.0,831.0,141.0,1.0,0
21,10.0,56.0,560.0,5.6,0.298,0.742,1.83,167.0,415.0,94.0,1.0,0
22,14.0,245.0,3410.0,17.333,0.437,0.756,4.59,1495.0,2571.0,295.0,1.0,0
23,8.0,61.0,488.0,7.633,0.525,0.951,2.93,257.0,463.0,99.0,1.0,0
24,13.0,98.0,1274.0,7.538,0.319,0.693,2.21,405.0,883.0,163.0,1.0,0
25,9.0,81.0,729.0,9.0,0.384,0.822,2.49,280.0,597.0,126.0,1.0,0
26,12.0,67.0,804.0,5.667,0.259,0.734,1.85,209.0,590.0,118.0,1.0,0
27,11.0,88.0,968.0,8.0,0.351,0.785,2.31,339.0,761.0,147.0,1.0,0
28,10.0,76.0,760.0,7.6,0.481,0.927,3.03,366.0,705.0,134.0,1.0,0
29,8.0,51.0,408.0,6.4,0.411,0.865,2.17,168.0,354.0,85.0,1.0,0
30,8.0,82.0,656.0,10.25,0.438,0.913,2.85,288.0,573.0,113.0,1.0,0
31,9.0,29.0,261.0,3.222,0.483,0.965,2.59,126.0,251.0,42.0,1.0,0
32,5.0,15.0,75.0,3.0,0.267,0.533,1.8,20.0,40.0,10.0,1.0,0
33,8.0,93.0,744.0,11.625,0.415,0.887,2.93,309.0,661.0,138.0,1.0,0
34,9.0,18.0,162.0,2.0,0.444,0.944,2.33,72.0,152.0,29.0,1.0,0
35,7.0,39.0,273.0,5.571,0.356,0.795,2.38,97.0,217.0,49.0,1.0,0
36,9.0,64.0,576.0,7.111,0.403,0.855,2.63,232.0,492.0,95.0,1.0,0
37,8.0,55.0,440.0,6.875,0.455,0.927,2.79,201.0,408.0,83.0,1.0,0
38,9.0,13.0,117.0,1.444,0.487,0.974,2.15,57.0,114.0,23.0,1.0,0
39,8.0,76.0,608.0,9.5,0.424,0.895,2.91,257.0,544.0,121.0,1.0,0
40,7.0,41.0,287.0,5.5,0.201,0.621,2.51,58.0,178.0,34.0,1.0,0
41,9.0,92.0,828.0,10.2,0.391,0.859,2.42,324.0,711.0,113.0,1.0,0
42,5.0,19.0,95.0,3.8,0.447,0.947,2.11,43.0,90.0,18.0,1.0,0
43,8.0,50.0,400.0,6.25,0.265,0.73,2.33,106.0,292.0,61.0,1.0,0
44,12.0,35.0,420.0,2.9,0.314,0.829,2.59,132.0,348.0,53.0,1.0,0
45,6.0,23.0,138.0,3.9,0.486,0.957,2.46,67.0,132.0,24.0,1.0,0
46,10.0,67.0,670.0,6.6,0.299,0.881,2.38,200.0,589.0,96.0,1.0,0
47,4.0,82.0,328.0,20.5,0.421,0.887,2.73,138.0,291.0,69.0,1.0,0
48,15.0,56.0,840.0,3.7,0.278,0.616,2.85,233.0,517.0,89.0,1.0,0
49,7.0,31.0,217.0,4.3,0.355,0.806,2.19,77.0,175.0,39.0,1.0,0
50,9.0,58.0,522.0,6.44,0.478,0.933,2.83,249.0,561.0,101.0,1.0,0
51,8.0,11.0,88.0,1.375,0.432,0.964,1.93,38.0,85.0,24.0,1.0,0
52,65.0,4.0,260.0,0.061,0.635,0.892,2.58,164.0,232.0,63.0,4.0,0
53,7.0,5.0,35.0,0.714,0.286,0.886,1.79,10.0,31.0,6.0,1.0,0
54,7.0,240.0,1680.0,34.286,0.175,0.699,1.38,294.0,1173.0,211.0,1.0,0
55,43.0,3.0,129.0,0.07,0.586,0.833,2.44,76.0,107.0,31.0,4.0,0
56,10.0,40.0,400.0,4.0,0.38,0.89,2.08,152.0,356.0,73.0,1.0,0
57,7.0,140.0,980.0,20.0,0.321,0.689,1.83,315.0,672.0,165.0,1.0,0
58,7.0,15.0,105.0,2.143,0.38,0.904,1.72,40.0,95.0,23.0,1.0,0
59,11.0,70.0,770.0,6.364,0.229,0.718,1.64,176.0,553.0,105.0,1.0,0
60,8.0,102.0,816.0,12.8,0.289,0.74,2.02,236.0,448.0,92.0,1.0,0
61,5.0,82.0,410.0,16.4,0.34,0.695,2.51,140.0,287.0,58.0,1.0,0
62,9.0,148.0,1332.0,16.4,0.31,0.711,2.23,414.0,899.0,156.0,1.0,0
63,8.0,61.0,488.0,7.6,0.26,0.794,1.89,127.0,313.0,76.0,1.0,0
64,1.0,46.0,46.0,46.0,0.59,1.0,5.5,27.0,46.0,6.0,2.0,0
65,7.0,94.0,658.0,13.4,0.29,0.756,2.05,191.0,395.0,86.0,1.0,0
66,6.0,126.0,756.0,21.0,0.25,0.674,2.17,189.0,394.0,112.0,1.0,0
67,9.0,216.0,1944.0,24.0,0.32,0.73,2.36,623.0,1351.0,248.0,1.0,0
68,3.0,55.0,165.0,18.3,0.41,0.782,3.29,68.0,129.0,20.0,2.0,0
69,8.0,76.0,608.0,9.5,0.27,0.803,2.01,164.0,336.0,80.0,1.0,0
70,9.0,25.0,225.0,2.78,0.407,0.864,2.05,91.0,195.0,32.0,1.0,0
71,11.0,18.0,198.0,1.64,0.333,0.742,2.49,66.0,147.0,25.0,1.0,0
