,Col 1,Col 2,Col 3,Col 4,target,real_identifier
0,130.0,320.0,700000.0,500000.0,1.0,0
1,90.0,400.0,550000.0,800000.0,-10.0,0
2,200.0,350.0,750000.0,600000.0,5.0,0
3,100.0,150.0,300000.0,100000.0,-30.0,0
4,60.0,500.0,600000.0,900000.0,-20.0,0
5,140.0,280.0,680000.0,480000.0,0.0,0
6,50.0,640.0,620000.0,1200000.0,-25.0,0
7,80.0,250.0,520000.0,350000.0,-15.0,0
8,150.0,300.0,670000.0,460000.0,-5.0,0
9,110.0,180.0,490000.0,170000.0,-22.0,0
10,150.0,500.0,600000.0,800000.0,-10.0,0
11,200.0,400.0,750000.0,500000.0,0.5,0
12,180.0,250.0,700000.0,200000.0,-17.0,0
13,240.0,350.0,800000.0,550000.0,9.0,0
14,110.0,530.0,550000.0,950000.0,-14.0,0
15,170.0,260.0,680000.0,310000.0,-14.5,0
16,190.0,630.0,710000.0,1200000.0,-16.0,0
17,360.0,380.0,1080000.0,650000.0,34.0,0
18,100.0,570.0,590000.0,1080000.0,-22.0,0
19,230.0,280.0,850000.0,450000.0,8.0,0
20,50.0,320.0,500000.0,400000.0,-15.0,0
21,140.0,450.0,600000.0,750000.0,-10.0,0
22,70.0,360.0,520000.0,550000.0,-18.0,0
23,180.0,490.0,660000.0,800000.0,-5.0,0
24,30.0,300.0,480000.0,450000.0,-20.0,0
25,160.0,420.0,640000.0,700000.0,-8.0,0
26,110.0,350.0,540000.0,600000.0,-12.0,0
27,90.0,380.0,560000.0,500000.0,-14.0,0
28,200.0,610.0,720000.0,1100000.0,-9.0,0
29,120.0,480.0,580000.0,900000.0,-11.0,0
30,172.0,600.0,680000.0,1100000.0,-15.0,0
31,190.0,480.0,700000.0,720000.0,-2.0,0
32,100.0,200.0,470000.0,180000.0,-23.0,0
33,160.0,50.0,60000.0,110000.0,-48.0,0
34,180.0,90.0,115000.0,-60.0,-44.0,0
35,260.0,410.0,850000.0,640000.0,15.0,0
36,170.0,540.0,600000.0,960000.0,-14.0,0
37,110.0,680.0,650000.0,1300000.0,-23.0,0
38,140.0,70.0,125000.0,75000.0,-48.0,0
39,85.0,570.0,570000.0,1040000.0,-14.0,0
40,200.0,450.0,720000.0,680000.0,1.8,0
41,130.0,420.0,610000.0,630000.0,-6.0,0
42,190.0,600.0,670000.0,1120000.0,-14.0,0
43,135.0,540.0,580000.0,975000.0,-13.0,0
44,350.0,460.0,1060000.0,740000.0,29.0,0
45,40.0,240.0,470000.0,350000.0,-17.5,0
46,420.0,440.0,1160000.0,670000.0,43.0,0
47,90.0,410.0,600000.0,610000.0,-5.0,0
48,170.0,430.0,690000.0,650000.0,2.0,0
49,130.0,320.0,650000.0,460000.0,-7.0,0
50,120.0,56.0,110000.5,102000.7,-50.0,0
51,70.0,470.0,480000.0,830000.0,-20.0,0
52,160.0,5.0,31000.0,160000.0,-45.0,0
53,30.0,340.0,500000.0,530000.0,-10.0,0
54,180.0,350.0,720000.0,510000.0,-5.0,0
55,40.0,380.0,540000.0,580000.0,-14.0,0
56,200.0,500.0,620000.0,890000.0,-16.0,0
57,50.0,90.0,270000.0,150000.0,-30.0,0
58,140.0,400.0,660000.0,620000.0,2.0,0
59,10.0,150.0,320000.0,225000.0,-28.0,0
60,150.0,60.0,110000.0,85000.0,-48.0,0
61,270.0,420.0,880000.0,700000.0,18.5,0
62,290.0,440.0,930000.0,690000.0,21.0,0
63,130.0,250.0,620000.0,320000.0,-15.0,0
64,50.0,570.0,560000.0,1060000.0,-17.0,0
65,120.0,490.0,580000.0,800000.0,-12.5,0
66,45.0,360.0,530000.0,540000.0,-11.0,0
67,85.0,90.0,265000.0,120000.0,-35.0,0
68,160.0,65.0,130000.0,55000.0,-45.0,0
69,250.0,410.0,820000.0,640000.0,12.0,0
70,205.0,315.0,790000.0,500000.0,5.0,0
71,120.0,360.0,620000.0,570000.0,-1.0,0
72,240.0,410.0,830000.0,650000.0,12.0,0
73,40.0,380.0,550000.0,580000.0,-14.0,0
74,70.0,480.0,490000.0,810000.0,-18.0,0
75,130.0,640.0,660000.0,1200000.0,-20.0,0
76,190.0,470.0,640000.0,800000.0,-7.0,0
77,310.0,400.0,960000.0,670000.0,23.0,0
78,150.0,250.0,670000.0,270000.0,-15.0,0
79,180.0,530.0,600000.0,940000.0,-12.0,0
80,150.0,500.0,600000.0,900000.0,-10.0,0
81,370.0,420.0,1100000.0,680000.0,35.0,0
82,160.0,380.0,700000.0,580000.0,2.0,0
83,250.0,430.0,810000.0,650000.0,12.0,0
84,190.0,490.0,640000.0,870000.0,-13.0,0
85,70.0,360.0,570000.0,540000.0,-9.0,0
86,160.0,550.0,610000.0,1010000.0,-13.0,0
87,40.0,130.0,330000.0,170000.0,-30.0,0
88,245.0,350.0,820000.0,570000.0,11.0,0
89,230.0,390.0,800000.0,620000.0,9.0,0
90,70.0,310.0,550000.0,450000.0,-13.5,0
91,30.0,340.0,480000.0,510000.0,-14.5,0
92,65.0,670.0,620000.0,1260000.0,-24.0,0
93,95.0,200.0,490000.0,210000.0,-21.0,0
94,145.0,590.0,625000.0,1080000.0,-20.0,0
95,35.0,660.0,600000.0,1260000.0,-24.5,0
96,315.0,400.0,960000.0,660000.0,22.0,0
97,310.0,380.0,950000.0,640000.0,20.0,0
98,185.0,75.0,110000.0,8500.0,-44.0,0
99,250.0,270.0,895000.0,470000.0,9.0,0
100,150.0,450.0,650000.0,700000.0,-5.0,0
101,200.0,500.0,750000.0,800000.0,10.0,0
102,100.0,300.0,600000.0,500000.0,-15.0,0
103,175.0,420.0,720000.0,620000.0,0.0,0
