X,L,j,i,Y
613148.1,-23.4,654,76,1238477.2
595232.2,-17.7,244,74,342061.5
637702.7,-15.1,576,172,1063449.4
736269.4,4.4,394,204,609813.4
1045381.1,27.0,372,336,563637.8
616365.1,-2.8,366,98,559098.4
615579.2,-13.1,566,158,1058334.2
553506.8,-13.8,492,104,833003.9
567698.0,-9.9,360,72,544166.6
581629.8,-23.7,584,68,1084396.9
597166.1,-18.8,554,122,1022509.9
638125.7,-15.4,636,126,1196475.2
581241.0,-12.9,486,134,813885.4
528082.8,-18.9,482,92,855778.1
566254.0,-13.4,538,130,988853.0
539784.9,-13.2,370,38,557992.8
343693.5,-31.6,122,58,155097.6
612999.6,0.9,368,124,573000.5
674227.3,-16.7,634,162,1192263.6
602327.2,-11.7,576,190,1057107.0
559420.3,-17.5,248,56,320729.9
616240.3,-3.6,386,116,599862.5
368440.2,-28.3,134,50,154551.6
865449.5,10.0,326,244,516486.7
539296.8,-17.7,240,96,329895.5
1038776.3,30.5,406,340,669419.3
549199.6,-17.3,528,74,975838.0
664896.7,-19.7,636,148,1190126.0
535992.1,-18.5,510,86,894683.7
591388.9,-13.5,538,164,981539.0
635394.6,-22.8,658,90,1261236.8
478012.9,-21.9,206,36,214072.9
686442.7,-14.6,258,166,324445.5
606096.7,-8.2,404,98,612051.9
628174.4,-22.9,658,80,1257329.0
629013.9,-19.2,622,116,1165993.9
586306.6,-22.3,578,58,1078656.8
636226.9,-22.4,646,98,1226232.2
648783.5,-2.3,378,138,587456.1
607868.7,-1.1,454,140,705857.6
689853.4,-1.6,440,176,687744.9
562542.8,-13.8,524,102,947072.9
1097503.2,33.9,412,372,675387.1
613562.3,-19.2,628,122,1189499.7
576109.6,-22.1,572,98,1072183.2
626298.4,-12.2,498,188,853412.3
484227.3,-20.8,520,58,927241.5
619144.8,-16.8,574,176,1059121.2
649082.8,-1.1,384,148,599400.2
657566.2,-1.2,420,136,657402.7
664498.9,-20.7,662,134,1261560.4
1145766.7,42.2,392,420,648157.8
612492.9,-21.8,612,72,1145461.3
568050.0,-19.6,620,64,1112581.7
568243.2,-17.7,526,98,952900.6
576955.5,-24.2,596,58,1120396.1
649102.3,2.4,406,154,659041.5
298967.2,-31.1,104,80,123392.3
614505.2,-22.0,616,58,1145561.8
556136.8,-8.7,454,98,723793.2
549563.0,-10.8,394,32,596860.4
707378.0,-16.4,636,184,1190930.7
557960.0,-13.8,526,126,944277.9
689012.1,-20.0,656,154,1244887.2
726861.6,-1.0,380,194,578205.1
595642.8,-8.3,496,94,805420.6
588920.8,-19.5,216,74,232702.6
509501.4,-18.3,248,62,331579.8
586805.0,-3.2,452,102,789592.3
591323.6,-12.8,516,176,944651.4
568263.4,-19.0,410,38,609711.3
629308.6,-4.7,324,118,478560.4
579646.3,-19.1,572,110,1059219.1
613507.3,-12.3,564,206,1048952.1
574759.9,-15.0,442,88,688720.4
627992.5,-18.3,586,170,1091636.2
469287.3,-24.0,182,118,242861.5
824487.2,18.4,402,284,627757.4
607963.2,-14.0,578,170,1078153.9
616240.0,-22.5,614,76,1150600.5
616365.1,-21.3,612,102,1144884.6
545259.8,-19.3,564,20,1064384.0
809101.3,4.6,296,226,493958.1
619223.2,-9.9,562,202,1068390.4
427160.8,-23.6,170,38,215920.6
603268.6,-22.8,636,68,1203526.0
667213.9,-20.8,656,142,1209041.0
875894.5,8.9,394,238,623886.5
563993.3,-24.6,596,30,1115131.8
657419.4,-20.8,642,142,1259069.8
597318.0,-8.6,286,84,414027.5
344630.9,-31.2,116,104,68422.8
573924.4,-11.8,482,138,807906.1
584654.3,-5.8,346,84,519561.9
567411.6,-16.8,382,26,579493.4
687381.6,-14.6,526,162,944789.0
599411.9,-8.0,316,94,466373.1
478405.0,-22.2,512,32,901010.1
569230.0,-24.1,598,52,1098163.5
616274.7,-21.9,586,98,1086242.4
