input12,input9,input14,input13,input11,input5,input8,input15,input7,input16,input1,input2,target,input4,input6,input10,input3
0,0,0,66,34,24,28,100,16,1,4,65,2,100,66,1,14
16,100,0,48,92,83,54,0,57,8,52,85,3,100,78,44,66
0,60,26,0,31,100,52,69,87,27,0,87,7,100,79,26,62
8,100,0,41,80,81,53,0,73,3,51,100,3,100,77,30,84
100,100,88,37,73,74,55,68,95,73,0,0,9,14,32,81,39
31,99,0,67,100,1,64,0,64,9,60,88,9,100,73,68,35
51,78,25,41,58,66,100,24,100,0,0,42,1,62,81,76,29
0,43,2,50,0,60,52,100,52,5,33,67,1,100,91,16,58
14,0,0,59,19,62,46,100,34,10,21,74,2,100,76,23,47
0,44,6,45,4,46,63,100,48,7,0,65,1,98,100,26,29
11,0,5,51,2,47,53,100,24,0,2,91,2,100,76,30,25
53,100,27,57,77,64,100,43,100,0,0,43,1,60,81,80,29
0,0,1,64,28,53,38,100,30,0,18,96,2,100,67,15,47
30,31,0,62,80,100,100,0,55,17,12,15,8,48,86,65,56
0,0,2,54,9,62,36,100,34,1,23,76,2,100,70,5,49
19,0,3,66,33,49,50,100,23,0,24,93,2,100,71,32,55
0,0,23,57,34,34,41,14,11,26,100,100,6,91,67,13,67
12,48,0,43,18,75,61,100,73,3,0,88,2,100,85,35,38
12,28,32,31,0,100,34,81,63,36,24,92,7,100,69,0,99
0,0,2,63,25,35,35,100,22,7,7,69,2,100,73,2,21
0,34,0,50,0,51,46,100,46,4,25,64,1,100,89,5,50
3,100,0,41,87,71,77,0,89,15,71,91,9,80,100,40,93
100,100,93,15,63,49,22,0,93,52,17,67,0,26,0,64,0
0,0,25,66,40,49,47,19,17,25,100,95,6,100,76,15,87
0,0,25,54,44,34,39,7,7,31,100,100,6,91,67,6,67
0,0,25,66,40,49,41,19,17,25,100,100,6,97,70,6,81
0,40,7,34,0,100,46,89,74,4,61,73,2,100,79,19,93
22,61,0,43,100,77,71,0,32,15,38,98,5,93,100,51,98
100,100,92,18,67,54,23,0,96,52,15,70,0,31,0,64,20
0,32,32,0,0,100,61,61,67,34,9,90,7,100,91,29,58
15,66,0,49,100,90,52,0,62,20,14,67,3,100,84,47,34
31,100,2,59,93,35,79,0,86,0,97,92,9,100,78,70,54
53,100,26,48,76,0,49,23,55,0,74,100,4,77,53,72,28
0,0,22,60,36,27,44,20,4,32,100,100,6,92,70,13,57
29,33,14,7,18,60,58,0,44,0,100,100,1,86,72,44,78
0,0,25,48,38,34,39,1,10,23,100,100,6,91,66,6,64
0,0,26,60,37,49,48,24,17,25,100,88,6,100,76,17,87
22,55,0,51,100,72,100,0,53,17,48,94,9,75,57,53,9
100,100,97,26,73,49,19,0,93,57,16,70,0,34,0,62,20
19,53,43,74,100,2,15,22,0,29,72,100,6,80,49,0,28
0,0,25,57,39,44,39,15,13,25,100,100,6,96,70,5,76
8,100,0,38,82,83,56,0,72,13,46,87,3,100,77,35,76
51,0,86,100,42,71,0,37,74,100,80,92,8,83,41,13,33
51,100,26,71,82,0,51,64,63,0,34,100,4,77,52,68,15
0,0,15,70,37,27,43,16,6,16,100,100,6,90,67,17,57
0,0,1,63,26,50,39,100,29,4,0,88,2,100,71,13,32
22,58,42,56,100,10,14,0,7,38,63,100,6,77,45,0,32
0,0,25,48,36,45,43,2,16,25,100,100,6,97,70,13,77
46,0,88,43,11,73,4,100,54,100,40,94,5,55,46,0,19
18,100,0,44,86,71,57,0,56,7,15,82,3,100,83,49,45
9,42,25,54,100,5,21,1,0,13,80,100,6,82,53,0,28
0,0,22,97,57,49,40,24,14,27,100,100,6,91,66,7,96
0,0,25,78,45,37,49,30,4,48,100,99,6,100,78,15,74
0,0,25,53,36,37,42,11,11,25,100,100,6,94,70,12,73
14,100,0,46,90,92,61,0,72,9,26,80,3,100,89,43,58
64,0,100,100,51,76,0,0,21,95,7,95,8,63,27,28,36
0,0,18,70,44,22,41,29,0,27,100,100,6,89,66,12,53
53,0,89,100,62,78,0,9,55,100,36,91,8,71,36,21,20
21,61,0,55,100,92,65,0,51,8,29,74,3,100,87,46,68
8,100,0,46,97,97,62,0,72,13,22,74,3,100,95,43,46
21,70,0,56,100,82,50,0,41,7,29,84,3,100,74,45,69
17,82,0,43,81,100,58,0,70,8,46,83,3,100,79,45,79
0,34,34,0,0,44,63,31,33,57,85,66,8,100,97,25,100
54,100,27,74,87,52,100,68,88,0,0,45,1,62,80,82,20
0,40,2,50,0,42,62,100,42,5,24,62,1,98,100,24,39
30,100,1,56,98,24,77,0,83,0,79,89,9,100,70,72,41
19,46,31,51,95,22,17,0,7,15,100,100,6,81,51,0,53
0,0,25,48,38,37,41,2,12,30,100,100,6,94,70,11,70
46,100,23,33,62,18,65,9,98,0,0,100,4,85,63,69,18
11,78,0,54,100,90,64,0,68,5,26,87,3,100,90,38,45
0,28,4,49,0,74,42,100,60,1,9,92,2,100,72,19,48
12,100,0,43,86,94,57,0,70,4,39,93,3,100,79,37,78
