,fLength,fWidth,fSize,fConc,fConc1,fAsym,fM3Long,fM3Trans,fAlpha,fDist,class,real_identifier
0,62.1263,19.5479,2.9114,0.3562,0.1891,-53.2219,29.4749,6.2818,41.8594,243.8219,1.0,0
1,49.1832,14.3951,2.7832,0.3945,0.2074,-21.3855,-44.8953,-11.4359,67.4179,201.4921,0.0,0
2,81.4592,22.8919,3.1611,0.2361,0.1359,85.3928,61.4945,-23.1921,10.9709,291.1034,1.0,0
3,35.9821,13.4398,2.6359,0.4598,0.2513,-12.5398,-27.9825,-9.3759,75.3538,91.4359,0.0,0
4,67.8209,20.4649,2.9495,0.3245,0.1839,-57.8531,35.1655,9.5639,39.8194,259.3851,1.0,0
5,59.1509,16.9013,3.0435,0.2831,0.1519,-61.3349,-23.8419,4.5918,70.6289,194.5898,1.0,0
6,78.5359,24.4528,3.1362,0.2539,0.1449,82.5139,66.2995,-26.8531,13.4509,297.2354,1.0,0
7,43.9821,15.4394,2.6979,0.4229,0.2319,-15.8479,-34.9825,-10.5639,74.3538,99.4359,0.0,0
8,25.1957,1.4398,2.2319,0.7349,0.4698,0.0,0.0001,-9.8692,32.6802,251.229,0.0,0
9,92.691,31.4975,3.1885,0.2106,0.1344,77.8472,69.1927,-25.5303,5.886,284.98,0.0,0
10,93.4211,18.3519,2.8321,0.2439,0.1345,118.351,-63.1956,14.2135,81.4199,208.391,1.0,0
11,51.6314,24.8918,3.1945,0.1811,0.0938,44.8918,25.6314,-10.1051,11.1051,249.105,0.0,0
12,130.105,35.3158,3.8532,0.1282,0.0664,95.3158,80.105,18.4211,0.5789,302.421,0.0,0
13,29.4211,19.105,2.5782,0.4219,0.2439,17.105,14.4211,-6.5782,24.105,194.578,0.0,0
14,75.5782,31.6314,3.4211,0.1605,0.0853,59.6314,45.5782,12.105,6.4211,230.105,0.0,0
15,42.105,22.4211,2.9497,0.3882,0.2105,32.4211,-20.105,-15.5782,9.9497,201.421,0.0,0
16,118.421,59.105,3.6314,0.1447,0.0763,14.105,108.421,-16.6314,34.5782,161.105,1.0,0
17,34.5782,20.9497,2.6314,0.4032,0.2263,23.9497,18.5782,9.4211,16.6314,173.578,0.0,0
18,97.9497,43.6314,3.4211,0.1556,0.0821,76.6314,67.9497,13.105,2.5782,312.421,0.0,0
19,40.6314,17.4211,2.5782,0.3947,0.2145,4.4211,-24.6314,-18.9497,7.4211,221.105,0.0,0
20,81.4193,24.9119,3.1982,0.2431,0.1232,-53.1919,51.3199,18.4211,3.4219,301.819,0.0,0
21,140.819,51.3829,3.5038,0.1945,0.0982,102.351,83.9281,-29.1849,2.1388,421.351,1.0,0
22,61.1919,29.4819,2.9871,0.3119,0.1569,-21.819,39.4819,14.9281,5.3519,251.928,0.0,0
23,108.351,43.9281,3.6429,0.1842,0.0931,85.3519,69.4819,-21.9281,1.8199,383.928,1.0,0
24,92.9281,35.4819,3.3519,0.2619,0.1329,-48.9281,59.3519,19.4819,3.9281,321.351,0.0,0
25,175.928,73.3519,3.9281,0.1431,0.0729,129.351,103.928,-34.4819,2.3519,461.928,1.0,0
26,50.4819,25.9281,2.9281,0.2941,0.1492,-15.9281,31.3519,13.4819,5.9281,221.351,0.0,0
27,118.351,40.9281,3.4819,0.2031,0.1039,78.3519,74.4819,-23.9281,2.4819,351.928,1.0,0
28,76.9281,32.3519,3.1388,0.2781,0.1419,-39.4819,49.3519,17.9281,4.1388,281.351,0.0,0
29,149.351,58.4819,3.7031,0.1581,0.0792,119.351,93.9281,-31.3519,2.7031,431.928,1.0,0
30,29.3519,10.4098,2.5013,0.5129,0.3135,-12.8103,22.4908,-6.1919,21.1481,201.342,1.0,0
31,25.8192,12.1993,2.6312,0.4822,0.2913,18.3519,15.8103,8.4109,11.3519,189.351,0.0,0
32,42.3519,14.3519,2.8103,0.3519,0.1993,46.3519,28.3519,-18.3519,52.3519,251.351,1.0,0
33,31.3519,9.3519,2.3519,0.6312,0.3519,29.3519,27.3519,11.3519,65.3519,213.351,1.0,0
34,36.3519,11.3519,2.3519,0.4819,0.2913,-17.3519,13.3519,-5.3519,16.3519,247.351,0.0,0
35,20.3519,8.3519,2.3519,0.8519,0.4819,7.3519,-10.3519,-4.3519,15.3519,178.351,0.0,0
