beds,baths,size,lot_size,lot_size_units,zip_code,price,size_units
3.0,2.0,1960.0,5999.0,1.0,98117.0,533500.0,0.0
4.0,2.0,1440.0,5200.0,1.0,98144.0,619000.0,0.0
3.0,3.0,2360.0,4170.0,1.0,98177.0,2350000.0,0.0
2.0,1.5,1860.0,1472.0,1.0,98117.0,959630.0,0.0
4.0,3.5,1812.0,0.5,0.0,98115.0,875000.0,0.0
2.0,1.5,815.0,645.0,1.0,98122.0,824900.0,0.0
3.0,3.0,1720.0,5500.0,1.0,98106.0,766000.0,0.0
3.0,2.5,909.0,6800.0,0.0,98133.0,729950.0,0.0
5.0,2.5,1370.0,6500.0,1.0,98136.0,849000.0,0.0
3.0,1.0,1820.0,8200.0,1.0,98107.0,363500.0,0.0
3.0,2.1,2200.0,5000.0,1.0,98115.0,755000.0,0.0
3.0,3.5,1440.0,1125.0,1.0,98118.0,700000.0,0.0
2.0,1.5,970.0,967.0,1.0,98126.0,575000.0,0.0
3.0,1.0,3200.0,0.5,1.0,98144.0,3340000.0,0.0
4.0,2.0,2640.0,2800.0,1.0,98106.0,289900.0,0.0
3.0,3.0,3.0,7200.0,1.0,98133.0,800000.0,0.0
4.0,3.5,1476.0,4650.0,1.0,98107.0,1495000.0,0.0
3.0,2.0,2150.0,508.0,0.0,98115.0,1025000.0,0.0
2.0,2.0,2021.0,1280.0,1.0,98115.0,425000.0,0.0
3.0,3.5,1690.0,0.45,1.0,98177.0,485000.0,0.0
5.0,2.0,1290.0,4160.0,0.0,98107.0,583000.0,0.0
3.0,1.0,1835.0,8500.0,1.0,98105.0,1250000.0,0.0
2.0,1.5,7200.0,0.33,1.0,98103.0,650000.0,0.0
3.0,2.5,910.0,0.34,1.0,98122.0,1140000.0,0.0
3.0,3.0,1750.0,1490.0,1.0,98103.0,800500.0,0.0
3.0,2.0,2760.0,3045.0,1.0,98146.0,888000.0,0.0
2.0,1.0,927.0,0.43,1.0,98115.0,555000.0,0.0
3.0,2.0,2300.0,898.0,1.0,98118.0,759999.0,0.0
3.0,3.0,3350.0,5000.0,1.0,98108.0,1765000.0,0.0
2.0,2.0,1660.0,807.0,1.0,98117.0,1070000.0,0.0
2.0,3.0,1220.0,0.4,1.0,98103.0,1850000.0,0.0
3.0,1.0,2860.0,0.29,1.0,98133.0,760000.0,0.0
4.0,2.0,1340.0,0.29,0.0,98118.0,499000.0,0.0
4.0,3.0,760.0,3155.0,1.0,98108.0,895000.0,0.0
3.0,2.0,724.0,720.0,1.0,98118.0,1275000.0,0.0
3.0,1.0,2100.0,4750.0,1.0,98199.0,875100.0,0.0
2.0,3.0,2912.0,0.29,0.0,98122.0,538800.0,0.0
3.0,3.0,1160.0,1238.0,1.0,98115.0,2300000.0,0.0
4.0,1.0,1370.0,0.0,1.0,98105.0,1810000.0,0.0
3.0,2.5,2483.0,5.5,1.0,98115.0,660000.0,0.0
3.0,1.5,2080.0,1743.0,1.0,98115.0,1165000.0,0.0
2.0,6.0,1860.0,981.0,1.0,98144.0,749900.0,0.0
3.0,2.0,1830.0,0.9,1.0,98117.0,800000.0,0.0
3.0,3.0,1040.0,6500.0,1.0,98117.0,699950.0,0.0
2.0,2.0,1760.0,5500.0,1.0,98133.0,2080000.0,0.0
3.0,1.5,1025.0,395.0,1.0,98117.0,1750000.0,0.0
3.0,2.5,2000.0,1.5,1.0,9810550.0,875000.0,0.0
4.0,2.0,1340.0,7200.0,1.0,98122.0,3630000.0,0.0
3.0,2.0,2424.0,7500.0,1.0,98103.0,799000.0,0.0
3.0,1.5,1550.0,805.0,1.0,98117.0,775000.0,0.0
3.0,2.0,1360.0,6500.0,1.0,98168.0,435000.0,0.0
3.0,2.0,2160.0,1260.0,1.0,98103.0,660000.0,0.0
3.0,3.5,1380.0,0.34,0.0,98116.0,1360000.0,0.0
3.0,2.0,1370.0,5200.0,0.0,98117.0,925000.0,0.0
4.0,3.0,1070.0,6500.0,0.0,98125.0,799000.0,0.0
3.0,2.0,1460.0,4020.0,1.0,98105.0,2225000.0,0.0
2.0,1.0,496.0,6092.0,1.0,98144.0,519000.0,0.0
3.0,2.0,2150.0,2200.0,0.0,98122.0,959630.0,0.0
2.0,1.0,1470.0,5726.0,1.0,98107.0,850000.0,0.0
4.0,6.5,790.0,6080.0,1.0,98103.0,910000.0,0.0
3.0,2.5,447.0,1.0,1.0,98144.0,549950.0,0.0
3.0,3.0,1321.0,840.0,1.0,98103.0,360000.0,0.0
4.0,3.0,2050.0,6500.0,1.0,98158.0,785000.0,0.0
2.0,2.0,1880.0,5000.0,1.0,98106.0,1810000.0,0.0
3.0,2.0,1900.0,0.0,0.0,98106.0,926000.0,0.0
4.0,1.0,880.0,4000.0,1.0,98115.0,340000.0,0.0
3.0,2.0,1440.0,600.0,1.0,98117.0,390000.0,0.0
3.0,2.0,1460.0,5625.0,1.0,98122.0,490000.0,0.0
3.0,2.0,1470.0,3915.0,1.0,98117.0,1795000.0,0.0
3.0,3.0,1060.0,7200.0,1.0,98115.0,720000.0,0.0
2.0,1.0,1250.0,5000.0,1.0,98107.0,1075000.0,0.0
