duration,age,purpose,property_magnitude,foreign_worker,existing_credits,residence_since,own_telephone,other_payment_plans,checking_status,housing,employment,job,target,personal_status,credit_history,num_dependents,savings_status,other_parties,installment_commitment,credit_amount
24,38,9,0,1,1,3,1,1,3,1,3,0,1,3,3,1,1,2,3,7814
12,29,3,0,1,2,4,0,1,1,2,0,3,1,3,3,1,1,2,4,1974
12,27,6,3,1,1,1,0,1,2,1,3,1,1,0,3,1,1,2,4,1168
18,33,3,0,1,2,2,1,1,3,1,4,1,0,0,1,1,1,2,4,1131
12,23,6,3,1,1,1,0,1,2,1,2,3,1,2,3,1,1,2,4,786
24,48,9,2,1,1,4,1,1,3,0,2,1,1,1,3,1,4,2,2,9277
24,24,3,1,0,1,1,0,1,1,1,1,3,1,3,3,1,1,0,4,1747
12,35,3,0,1,1,2,0,1,0,1,2,3,1,3,3,1,1,2,3,1592
18,26,6,3,1,1,3,0,0,1,1,2,1,0,2,3,1,1,2,4,1345
24,23,4,3,1,1,2,0,2,2,1,1,3,0,3,3,1,1,2,4,1249
24,33,6,0,1,1,2,1,1,3,1,2,1,1,0,1,1,1,2,4,1851
15,23,6,0,1,1,2,1,1,1,2,2,0,1,3,3,1,1,2,2,3902
24,26,0,3,1,2,1,1,1,0,1,3,1,1,3,1,1,2,2,4,1382
6,45,4,2,1,2,3,1,1,3,1,3,0,1,3,1,2,1,2,1,6761
6,39,6,0,1,1,4,0,1,3,1,0,3,1,2,4,1,1,2,4,426
12,39,4,0,1,2,4,0,1,3,1,2,3,1,0,1,1,1,2,4,888
24,24,4,1,1,1,4,0,1,1,2,1,1,0,0,3,1,1,2,4,1207
12,38,4,3,1,2,4,1,1,3,1,0,1,1,3,1,1,1,2,4,1495
36,29,2,2,1,1,3,1,1,2,2,3,1,1,3,2,1,2,2,2,9055
36,30,9,1,1,1,2,0,1,1,1,2,1,1,3,3,1,1,2,2,8229
24,23,6,0,1,1,4,0,1,2,1,3,1,1,0,3,1,2,2,3,1932
36,37,4,2,1,1,4,1,1,2,0,2,1,0,3,3,1,4,2,1,3620
12,22,6,0,1,1,1,0,2,2,1,1,1,0,3,3,1,1,2,2,1331
36,30,6,2,1,1,1,1,1,2,1,1,0,1,0,3,1,1,2,4,4795
15,35,4,2,1,1,4,0,1,3,0,0,1,1,0,3,1,3,2,1,5324
24,26,6,1,1,1,4,1,1,3,1,1,1,1,0,3,1,1,2,4,3181
12,35,4,0,1,1,3,0,1,1,1,3,1,1,3,3,1,2,2,3,1546
36,45,4,0,1,2,2,1,1,3,1,0,1,1,3,2,2,1,2,2,10875
12,27,4,3,1,2,3,0,1,2,1,3,3,0,1,1,1,4,2,4,1168
36,31,3,0,1,2,2,1,1,3,1,2,0,1,0,1,1,1,2,4,5742
12,23,7,3,1,1,4,0,1,3,2,3,3,1,0,3,1,4,2,1,3573
24,25,3,0,1,1,4,0,0,1,2,1,3,0,0,3,1,4,2,4,1382
24,27,3,3,1,1,2,0,1,0,1,2,3,1,3,3,1,1,2,4,1925
12,26,4,3,1,1,1,0,1,0,1,1,1,1,3,3,1,1,2,4,1330
18,25,6,3,1,1,1,0,1,1,1,3,1,1,0,3,1,1,1,4,3509
18,33,6,3,1,1,1,0,1,3,1,1,1,1,3,3,1,1,2,4,2051
6,42,6,2,1,1,4,1,0,3,0,0,1,1,3,3,2,2,2,2,1346
48,34,0,3,1,1,2,1,1,3,1,2,0,1,3,2,1,2,2,2,6999
18,38,9,2,1,1,4,1,1,3,1,4,0,1,3,1,1,4,2,2,3229
36,30,6,2,1,2,2,1,1,3,0,2,0,1,3,1,1,1,2,4,4795
24,27,0,3,1,2,2,1,1,3,1,2,0,1,3,2,1,2,2,2,1932
18,23,3,3,1,1,4,0,0,1,2,3,1,0,0,3,1,1,2,4,1924
12,28,6,0,1,1,2,0,1,3,1,2,1,1,0,3,1,4,2,4,6199
24,34,6,0,1,1,3,1,1,3,1,1,0,1,3,3,1,1,2,4,1851
24,34,9,2,1,1,4,1,1,1,0,0,0,0,3,3,1,1,2,4,6574
12,28,6,3,1,1,2,0,1,3,1,2,1,1,2,3,1,1,1,4,776
24,25,6,0,1,2,2,0,1,3,1,0,1,1,3,3,1,4,2,4,999
12,24,6,0,1,1,1,0,1,0,1,2,1,1,2,3,1,1,2,3,3016
18,34,3,3,1,1,3,0,1,3,1,2,1,0,0,3,1,1,2,4,1925
24,46,9,1,1,2,4,1,1,3,1,2,0,1,3,1,2,4,2,2,6842
6,47,4,1,1,1,4,1,1,2,1,4,0,0,3,2,1,1,2,4,1209
24,31,6,0,1,1,2,1,1,0,1,0,1,1,3,3,1,1,2,4,1523
12,27,6,0,1,1,1,0,2,3,1,2,1,1,0,3,1,2,2,4,1995
24,22,3,3,1,1,4,1,2,1,1,2,1,1,3,0,1,3,2,4,2828
6,23,7,3,1,1,4,0,1,3,2,3,3,1,2,3,1,3,2,2,660
24,23,3,3,1,1,4,1,1,1,2,1,3,0,0,3,1,1,2,4,3234
24,27,0,3,1,2,2,1,2,3,1,2,0,1,3,2,1,1,2,2,1937
15,46,9,1,1,2,2,0,1,3,1,1,3,1,0,1,1,1,2,1,3594
24,27,6,0,1,1,2,0,1,1,1,3,1,1,3,3,1,1,2,4,1652
24,48,9,2,1,1,4,1,1,3,0,2,1,1,1,3,1,4,2,2,9277
12,31,3,0,1,1,2,0,1,0,1,0,0,1,3,3,1,1,2,2,3017
6,32,3,3,1,2,2,0,1,3,1,2,1,1,0,1,1,0,2,2,2503
24,29,9,2,1,1,2,1,1,1,0,4,0,1,3,3,1,1,2,4,6579
18,36,0,0,1,2,2,0,2,3,1,2,1,0,3,4,2,1,2,2,5096
24,33,4,3,1,1,2,0,1,2,1,2,3,0,0,3,1,4,2,1,3195
12,23,7,3,1,2,4,0,1,3,1,3,1,1,0,1,1,4,2,4,996
12,49,3,1,1,1,4,1,1,3,2,0,1,1,3,1,1,4,2,2,5801
12,26,4,3,1,1,1,0,1,0,1,1,1,1,3,3,1,1,2,4,1330
48,35,0,3,1,1,1,1,1,3,1,2,1,1,0,3,1,0,2,1,3605
12,29,4,3,1,1,2,0,1,2,1,2,3,0,3,0,1,4,2,4,1165
24,29,6,0,1,1,4,1,1,3,2,2,0,1,3,3,1,2,2,4,1901
12,26,0,3,1,1,1,0,1,0,1,1,2,0,0,0,1,1,2,4,609
24,23,6,0,1,1,4,0,1,2,1,3,1,1,0,3,1,1,2,3,1713
24,29,3,2,1,1,4,0,1,1,0,2,3,1,3,3,1,1,2,4,3069
12,28,4,0,1,1,3,0,0,2,1,3,1,1,2,1,1,1,2,4,1338
36,27,4,0,1,2,4,0,1,2,1,1,1,0,1,1,1,1,2,4,2820
18,22,3,0,1,1,4,0,1,1,2,1,1,1,0,3,1,1,2,1,3650
24,29,3,0,1,1,4,1,1,2,2,1,1,0,0,3,1,2,2,3,3416
24,25,4,1,1,1,4,0,1,3,1,2,1,1,3,3,1,2,2,4,3105
36,26,6,3,1,1,2,0,1,0,1,0,3,0,3,3,2,1,2,4,4455
12,26,0,3,1,1,1,0,1,0,1,1,2,0,0,0,1,1,2,4,609
12,38,4,3,1,2,4,1,1,3,1,0,1,1,3,1,1,1,2,4,1343
36,32,2,2,1,2,4,1,1,3,0,2,3,0,3,2,1,1,2,2,2273
12,26,6,3,1,1,1,0,1,2,1,3,1,1,0,3,1,1,2,4,625
24,25,3,3,1,1,4,0,1,1,1,2,1,1,3,3,1,1,2,4,1867
12,27,4,3,1,1,2,0,1,3,1,2,1,1,2,3,1,1,2,4,1168
24,31,3,2,1,1,4,0,1,0,0,2,1,1,3,3,2,3,2,3,2892
24,36,0,3,1,2,4,1,1,0,1,2,1,1,1,1,1,0,2,2,1275
24,25,4,3,1,1,4,0,1,1,2,2,1,0,0,3,1,4,2,4,1371
36,28,6,0,1,1,2,0,1,0,1,0,1,1,3,3,1,1,2,4,3595
24,37,4,3,1,2,4,1,1,3,1,0,1,1,0,1,1,0,2,4,1286
12,33,6,0,1,1,2,0,1,2,1,1,1,1,2,3,1,1,2,4,797
15,22,6,0,1,1,1,0,0,1,1,2,1,1,2,0,1,1,2,4,1309
12,37,4,3,1,2,2,0,1,3,1,2,3,1,3,1,2,1,2,2,2122
12,22,6,3,1,1,1,0,1,2,1,2,1,1,2,3,1,1,2,4,585
18,29,4,3,1,1,1,0,1,0,1,1,1,1,0,3,1,1,2,4,2509
36,26,6,0,1,1,2,0,1,0,1,2,1,0,3,3,1,1,2,4,4210
18,35,3,1,1,1,2,1,1,2,1,1,0,0,2,3,1,1,2,4,2576
6,39,4,3,1,2,4,1,1,1,1,3,3,1,0,1,1,0,2,3,666
12,24,3,3,1,1,2,0,1,3,2,2,3,1,3,3,1,1,2,3,1768
