,Aa,Ao,Dcl,Iy,Sh,Class,real_identifier
0,0.615,2.321,-0.523,0.312,-0.193,0.0,0
1,1.482,2.089,1.002,0.612,-0.142,0.0,0
2,2.045,1.367,0.512,0.487,0.712,0.0,0
3,0.273,0.492,0.689,1.812,1.623,1.0,0
4,0.378,1.623,0.634,0.289,0.176,0.0,0
5,1.412,0.915,1.278,-0.486,-0.362,1.0,0
6,0.562,1.734,0.523,-0.145,0.067,0.0,0
7,0.423,1.289,1.532,1.792,0.054,1.0,0
8,0.317,1.142,2.362,-0.689,-0.297,0.0,0
9,0.826,1.762,0.843,0.239,0.098,0.0,0
10,0.923,1.987,1.623,-0.317,-0.148,1.0,0
11,0.442,0.812,2.274,1.357,1.579,1.0,0
12,0.382,0.927,0.664,1.811,-0.692,0.0,0
13,2.857,0.46,1.336,-0.276,-0.138,0.0,0
14,0.68,1.324,1.811,1.686,-0.526,1.0,0
15,0.888,2.515,1.161,0.553,0.632,1.0,0
16,0.162,0.411,0.518,-0.634,0.1,0.0,0
17,0.307,0.699,1.364,2.052,-0.741,0.0,0
18,0.739,2.175,1.841,-0.518,-0.347,0.0,0
19,-0.05,1.536,2.31,-0.553,0.1,0.0,0
20,0.612,2.945,-0.472,-0.321,-0.215,0.0,0
21,1.987,0.872,0.489,0.327,0.527,0.0,0
22,0.578,0.759,2.145,-0.512,0.712,1.0,0
23,0.433,2.812,-0.612,0.589,0.842,1.0,0
24,0.295,0.683,0.889,2.315,-1.032,1.0,0
25,0.198,0.512,1.132,2.298,0.061,0.0,0
26,1.112,2.178,-0.298,-0.175,0.139,0.0,0
27,0.279,1.078,3.145,-0.842,-0.341,0.0,0
28,1.153,1.287,0.752,1.834,-0.455,0.0,0
29,0.312,0.782,2.589,-0.792,0.521,1.0,0
30,0.654,1.987,0.274,0.142,0.082,0.0,0
31,0.812,1.523,-0.312,-0.112,0.059,0.0,0
32,0.923,2.103,-0.392,-0.192,0.23,0.0,0
33,0.381,0.635,1.703,1.089,-0.636,1.0,0
34,0.78,2.292,-0.426,0.274,-0.176,0.0,0
35,0.28,2.673,-0.438,0.257,0.146,0.0,0
36,0.458,2.124,0.889,0.34,0.01,0.0,0
37,0.867,2.835,-0.44,-0.197,-0.189,0.0,0
38,0.222,1.41,2.443,-0.796,0.01,0.0,0
39,0.593,2.623,0.648,0.305,0.236,0.0,0
40,0.987,2.561,0.712,0.392,0.201,1.0,0
