,age,sex,relation,has_high_education,top1_interes,top2_interes,top3_interes,top4_interes,top5_interes,is_parent,has_pets,mean_tr,median_tr,tr_per_month,real_identifier
0,46.0,1.0,0.0,0.0,12.0,20.0,9.0,16.0,7.0,0.0,0.0,823.1911,351.19,18.4191,0
1,58.0,2.0,0.0,1.0,8.0,13.0,22.0,10.0,14.0,1.0,0.0,1421.8351,601.41,6.3519,0
2,35.0,1.0,0.0,0.0,15.0,9.0,11.0,20.0,6.0,0.0,0.0,951.4678,421.19,22.8191,0
3,29.0,2.0,0.0,1.0,11.0,16.0,7.0,14.0,22.0,0.0,0.0,631.1911,291.11,4.3519,0
4,49.0,1.0,0.0,0.0,20.0,12.0,10.0,18.0,9.0,0.0,0.0,1181.8351,501.41,26.3519,0
5,25.0,2.0,0.0,0.0,9.0,15.0,19.0,11.0,8.0,0.0,0.0,421.4678,191.19,3.3519,0
6,40.0,1.0,0.0,0.0,14.0,10.0,17.0,12.0,20.0,0.0,0.0,751.8351,331.41,19.3519,0
7,55.0,2.0,0.0,1.0,7.0,14.0,13.0,9.0,16.0,1.0,0.0,1621.8351,701.41,7.3519,0
8,32.0,1.0,0.0,0.0,13.0,11.0,16.0,8.0,10.0,0.0,0.0,581.4678,261.19,5.3519,0
9,48.0,2.0,0.0,0.0,18.0,7.0,14.0,13.0,11.0,0.0,0.0,991.8351,441.41,24.3519,0
10,42.0,1.0,0.0,0.0,20.0,12.0,9.0,21.0,13.0,0.0,0.0,8319.011,420.0,4.3811,0
11,36.0,2.0,4.0,1.0,16.0,7.0,3.0,11.0,4.0,1.0,0.0,2069.471,360.0,26.101,0
12,48.0,1.0,0.0,0.0,22.0,16.0,20.0,2.0,19.0,0.0,0.0,4921.891,280.0,3.141,0
13,29.0,1.0,0.0,0.0,13.0,10.0,17.0,6.0,7.0,0.0,0.0,1911.111,400.0,5.699,0
14,51.0,2.0,0.0,0.0,25.0,14.0,9.0,12.0,11.0,1.0,0.0,2351.99,650.0,29.403,0
