,Aa,Ao,Dcl,Iy,Sh,Class,real_identifier
0,1.213,2.011,0.831,0.419,-0.195,0.0,0
1,0.951,1.451,1.192,1.021,0.431,1.0,0
2,2.381,1.892,0.193,0.782,0.591,0.0,0
3,0.118,0.692,0.911,1.452,1.213,1.0,0
4,1.854,2.351,0.467,0.193,-0.082,0.0,0
5,0.632,1.213,1.891,-0.219,-0.451,1.0,0
6,1.492,0.982,0.812,-0.351,0.012,0.0,0
7,0.219,1.632,1.219,1.891,0.219,1.0,0
8,0.982,1.192,2.193,-0.591,-0.219,0.0,0
9,1.351,1.982,0.632,0.219,0.082,0.0,0
10,0.812,2.351,1.293,0.198,0.431,1.0,0
11,0.489,1.057,2.056,1.394,-0.219,1.0,0
12,0.275,0.942,0.819,1.631,-0.853,0.0,0
13,2.513,0.459,1.692,-0.351,-0.192,0.0,0
14,0.699,1.483,1.934,1.915,-0.463,1.0,0
15,0.926,2.789,1.249,0.759,0.621,1.0,0
16,0.081,0.369,0.512,-0.623,0.081,0.0,0
17,0.241,0.921,1.384,2.251,-0.712,0.0,0
18,0.749,2.418,1.859,-0.492,-0.281,0.0,0
19,-0.082,1.563,2.512,-0.742,0.082,0.0,0
20,0.814,2.351,0.192,-0.531,0.238,0.0,0
21,1.853,1.192,-0.273,0.418,-0.139,0.0,0
22,0.692,2.636,0.847,0.629,0.95,1.0,0
23,0.351,0.855,1.351,2.155,-0.799,1.0,0
24,1.492,0.982,-0.192,-0.982,0.645,0.0,0
25,0.599,3.012,0.626,0.355,-0.365,0.0,0
26,0.228,1.271,2.858,-0.249,0.812,1.0,0
27,1.028,2.494,-0.592,1.484,-0.227,0.0,0
28,0.462,0.756,0.928,-0.667,0.492,1.0,0
29,0.917,1.084,1.273,0.185,0.678,1.0,0
30,0.819,2.049,-0.299,0.194,0.113,0.0,0
31,0.421,1.882,0.751,0.061,-0.093,0.0,0
32,0.693,2.461,-0.523,-0.151,0.201,0.0,0
33,0.592,1.145,1.956,1.247,-0.751,1.0,0
