,Aa,Ao,Dcl,Iy,Sh,Class,real_identifier
0,0.851,2.191,-0.219,0.391,-0.195,0.0,0
1,1.473,2.514,1.021,0.693,-0.241,0.0,0
2,2.056,1.391,0.591,0.512,0.734,0.0,0
3,0.291,0.531,0.715,1.832,1.649,1.0,0
4,0.418,1.901,0.629,0.261,0.181,0.0,0
5,1.219,0.901,1.451,-0.461,-0.421,1.0,0
6,0.691,1.921,0.499,-0.201,0.051,0.0,0
7,0.461,1.401,1.551,2.011,0.061,1.0,0
8,0.321,1.091,2.541,-0.691,-0.391,0.0,0
9,0.901,1.951,0.821,0.231,0.141,0.0,0
10,1.143,2.519,1.823,-0.192,-0.351,1.0,0
11,0.491,1.032,2.035,1.421,1.031,1.0,0
12,0.219,0.951,0.693,2.058,-0.831,0.0,0
13,2.981,0.481,1.585,-0.291,-0.201,0.0,0
14,0.657,1.394,2.012,1.911,-0.592,1.0,0
15,0.893,2.859,1.149,0.761,0.619,1.0,0
16,0.081,0.349,0.491,-0.621,0.078,0.0,0
17,0.246,0.901,1.351,2.258,-0.732,0.0,0
18,0.721,2.481,1.853,-0.451,-0.291,0.0,0
19,-0.087,1.585,2.531,-0.689,0.078,0.0,0
20,0.813,1.982,-0.281,0.191,-0.129,0.0,0
21,0.419,2.459,0.831,-0.351,0.201,0.0,0
22,0.935,1.139,0.492,0.082,0.108,0.0,0
23,0.278,0.621,1.492,1.236,-0.591,1.0,0
24,0.651,2.082,-0.517,0.394,-0.234,0.0,0
25,0.381,2.651,-0.361,-0.141,0.185,0.0,0
26,0.529,1.851,0.753,0.459,0.012,0.0,0
27,0.792,2.394,-0.492,-0.251,-0.163,0.0,0
28,0.243,1.482,2.629,-0.931,0.051,0.0,0
29,0.609,2.351,0.582,0.261,0.294,0.0,0
30,0.942,1.138,1.851,0.813,0.219,1.0,0
31,1.351,0.817,0.592,1.634,-0.851,1.0,0
32,0.517,1.982,0.275,0.469,-0.628,0.0,0
33,2.156,0.692,-0.253,-0.191,0.143,0.0,0
34,0.753,1.421,1.982,-0.742,-0.351,0.0,0
35,1.624,1.051,0.817,0.531,-0.193,0.0,0
36,0.198,0.469,0.851,0.692,-0.475,0.0,0
37,3.538,0.628,-0.181,-0.133,0.094,0.0,0
38,0.421,0.942,1.769,1.317,1.901,1.0,0
39,0.693,2.351,-0.592,0.475,-0.011,0.0,0
40,0.512,2.193,0.465,0.754,0.258,1.0,0
41,0.351,1.982,0.451,-0.321,-0.351,0.0,0
42,2.458,-0.458,-0.193,-0.193,0.193,0.0,0
43,0.468,1.621,1.983,-0.551,0.465,0.0,0
44,0.702,2.982,-0.862,0.468,0.0,0.0,0
45,-0.193,0.702,0.982,1.821,-0.902,1.0,0
46,0.621,2.593,-0.465,-0.193,0.193,0.0,0
47,0.751,2.493,-0.621,-0.258,0.0,0.0,0
48,0.793,2.593,0.793,0.512,-0.512,0.0,0
49,2.465,0.902,-0.193,0.093,0.093,0.0,0
50,1.429,2.194,0.199,0.045,-0.519,0.0,0
51,0.812,0.532,1.531,1.661,1.011,1.0,0
52,0.648,2.222,-0.191,-0.269,0.623,0.0,0
53,0.351,0.631,1.739,0.933,0.782,1.0,0
54,1.083,1.988,-0.561,0.013,-0.301,0.0,0
55,0.763,2.351,0.086,-0.184,-0.259,0.0,0
56,1.259,0.881,1.411,1.839,1.251,1.0,0
57,0.599,2.459,-0.328,0.391,-0.517,0.0,0
58,0.929,1.181,0.931,2.051,-0.694,1.0,0
59,1.113,2.311,1.313,0.461,-0.198,0.0,0
60,1.234,1.876,-0.219,0.819,0.351,0.0,0
61,0.192,2.459,1.038,1.431,-0.628,1.0,0
62,0.817,0.658,0.591,-0.275,1.193,0.0,0
63,2.854,1.349,0.813,0.982,-0.492,0.0,0
64,0.351,2.193,-0.836,1.759,0.191,1.0,0
65,1.059,0.911,1.271,0.469,0.753,1.0,0
66,0.627,1.984,0.421,-0.591,0.269,0.0,0
67,0.481,2.651,0.937,1.283,-0.819,0.0,0
68,2.191,0.819,-0.351,0.628,-0.192,0.0,0
69,0.934,1.492,0.658,1.193,0.275,1.0,0
70,2.138,1.931,0.421,-0.351,0.591,0.0,0
71,0.817,2.503,-0.219,0.481,0.083,1.0,0
72,1.439,0.689,1.037,0.928,-0.459,0.0,0
