target,Dcl,Ao,Iy,Aa,Sh
1,0.944,0.556,1.811,0.205,1.141
1,0.76,0.721,1.781,0.325,-0.782
1,1.141,1.493,1.072,0.493,-0.35
0,0.524,1.807,0.337,0.533,-0.155
0,1.029,1.796,-0.34,0.504,0
0,0.524,0.797,0.529,2.925,-0.183
0,0.158,-0.213,0.102,2.511,-0.083
0,-0.467,2.236,0.22,1.185,0.163
0,0.166,-0.276,0.091,3.486,-0.054
0,-0.132,0.602,0.094,2.314,0.061
1,1.947,0.659,1.1,0.279,1.452
0,1.78,1.531,0.66,0.215,-0.247
1,1.657,1.116,1.078,0.493,0.969
0,0.337,0.79,0.327,2.904,-0.161
0,1.895,1.064,-0.564,0.25,0
0,-0.467,2.152,-0.209,0.764,0.12
0,-0.264,1.547,0.176,1.618,-0.103
0,0.415,1.09,0.448,2.647,-0.139
0,-0.387,2.26,-0.177,0.877,-0.119
0,-0.132,0.524,0.117,2.328,0.09
0,2.274,0.895,-0.668,0.379,0.433
0,0.43,0.368,-0.087,2.29,-0.086
1,1.688,0.915,1.177,0.305,1.547
1,1.761,1.042,0.681,0.854,-0.231
0,0.43,1.019,0.257,1.042,-0.106
0,0.484,1.496,-0.183,1.494,-0.123
1,1.718,1.037,0.937,0.518,-0.341
0,0.828,1.796,-0.339,0.362,1.107
0,-0.351,2.22,-0.177,1.064,-0.125
0,0.683,1.781,0.291,0.334,0.114
0,0.828,1.189,-0.216,1.631,-0.116
0,0.443,0.294,1.399,0.123,1.126
1,1.516,0.671,1.617,0.402,-0.834
0,0.309,0.966,0.157,1.313,0.22
0,0.149,-0.317,0.128,3.191,-0.104
0,0.643,2.424,0.353,0.55,0.214
0,-0.43,2.83,-0.207,0.816,0.132
0,0.279,0.624,0.275,3.056,-0.077
0,1.134,0.519,2.126,0.102,0
0,0.404,0.368,-0.447,0.111,0
0,-0.151,0.635,0.089,2.952,-0.082
0,0.524,0.497,-0.822,0.145,0
0,0.509,0.406,-0.77,0.145,0
1,0.832,0.771,2.044,0.132,-0.789
0,0.134,-0.258,0.133,2.925,-0.095
1,0.87,1.234,0.839,0.556,0.85
0,-0.346,2.114,-0.169,0.802,-0.101
1,1.781,0.853,-0.779,0.853,0.624
0,-0.115,0.65,0.14,2.025,-0.066
0,0.153,-0.241,0.101,2.834,-0.089
0,-0.43,2.778,-0.188,1.037,-0.122
0,0.158,0.375,0.156,2.656,-0.06
0,0.13,0.294,0.114,2.41,-0.053
0,1.935,1.223,-0.563,0.181,0
0,-0.484,2.521,0.221,0.303,0.161
0,0.795,0.75,1.71,0.236,-0.597
0,0.179,-0.281,-0.075,3.51,0.061
0,0.797,0.965,-0.242,2.511,-0.12
0,1.333,1.333,0.667,0.159,0
0,-0.601,3.072,0.315,0.598,0.273
0,1.285,0.519,2.116,0.14,-0.9
0,2.052,1.504,-0.7,0.219,-0.26
0,-0.47,2.533,0.286,0.308,-0.14
1,0.9,1.1,1.2,0.2,0.928
0,1.134,1.261,0.469,0.199,0
0,-0.111,0.377,0.073,2.954,0.048
0,-0.349,2.302,0.25,1.012,0.163
0,-0.238,1.661,-0.115,1.018,0.102
0,0.468,0.469,0.983,0.154,1.234
0,0.153,-0.291,0.084,3.486,0.071
0,0.75,2.464,0.325,0.678,0.164
1,1.781,0.505,0.777,0.505,0.497
0,1.354,1.185,0.648,0.207,-0.242
1,0.947,0.705,0.862,0.125,0.868
0,1.866,1.29,-0.601,-0.13,0
0,-0.319,1.781,-0.139,1.327,0.11
0,0.484,0.308,-0.74,0.049,0
1,0.7,0.398,0.866,0.199,0.714
0,0.641,1.973,0.307,0.43,-0.126
0,-0.134,0.782,0.102,2.982,0.069
0,1.064,1.761,-0.246,1.3,-0.123
0,-0.391,1.858,-0.163,0.316,-0.096
0,-0.413,1.796,0.27,0.252,-0.117
0,0.195,0.584,0.148,1.925,-0.062
0,0.513,0.312,1.878,0.119,0
1,1.258,0.81,1.369,0.816,-0.355
1,1.935,0.81,-0.602,0.564,0.37
0,-0.421,2.81,-0.169,0.837,-0.103
1,0.9,1.072,1.314,0.456,-0.482
0,1.04,1.604,0.493,0.353,-0.206
1,1.947,0.671,1.131,0.234,1.628
1,0.666,0.666,1.333,0.198,0
0,1.166,2.193,0.553,0.485,-0.194
0,1.436,0.697,-0.331,2.937,-0.126
1,1.435,0.602,0.749,0.199,0
0,1.576,1.827,-0.413,0.832,-0.259
0,0.467,1.399,0.266,1.975,-0.134
0,0.158,-0.213,0.093,2.935,-0.089
0,0.443,0.332,1.587,0.104,1.152
0,-0.112,0.519,0.13,2.829,-0.074
